question,question_concept,_split,answer,final_prompt,len_tk_gemma2_9b_base
"The man washed clothes, but needed more than water, what did he need?",wash clothes,train-00000-of-00001,C,"Question:
The man washed clothes, but needed more than water, what did he need?

Which of the following is the best response to the question?

Choices:
A. gather up
B. get dirty
C. use soap
D. use water
E. washcloth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Someone who is awake is likely to know what's going on because they are this?,awake,train-00000-of-00001,E,"Question:
Someone who is awake is likely to know what's going on because they are this?

Which of the following is the best response to the question?

Choices:
A. alert
B. deep sleep
C. drink coffee
D. open eyes
E. conscious

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"The man put flooring in above his garagge, what was he looking to make?",flooring,train-00000-of-00001,A,"Question:
The man put flooring in above his garagge, what was he looking to make?

Which of the following is the best response to the question?

Choices:
A. loft
B. bedroom
C. house
D. kitchen
E. home depot

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
Where might I re-home a well loved piece of furniture from college days?,furniture,train-00000-of-00001,C,"Question:
Where might I re-home a well loved piece of furniture from college days?

Which of the following is the best response to the question?

Choices:
A. pawn shop
B. rug
C. friend's house
D. room
E. apartment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
You can find a monkey in what West African region on the Gulf of Guinea,monkey,validation-00000-of-00001,E,"Question:
You can find a monkey in what West African region on the Gulf of Guinea

Which of the following is the best response to the question?

Choices:
A. south american country
B. rain forest
C. pay debts
D. works
E. nigeria

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
Where might I place the lamp so it will help me see better while I do my homework?,lamp,train-00000-of-00001,E,"Question:
Where might I place the lamp so it will help me see better while I do my homework?

Which of the following is the best response to the question?

Choices:
A. nearby
B. table
C. house
D. building
E. desktop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
Authors have a wide range of emotions from relief to happiness when they finally what?,authors,train-00000-of-00001,A,"Question:
Authors have a wide range of emotions from relief to happiness when they finally what?

Which of the following is the best response to the question?

Choices:
A. complete writing
B. write books
C. word passage
D. start book
E. write poems

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"The crab was feeling cold in the water, where was he stuck?",crab,train-00000-of-00001,E,"Question:
The crab was feeling cold in the water, where was he stuck?

Which of the following is the best response to the question?

Choices:
A. gulf of mexico
B. fridge freezer
C. fish market
D. grocery store
E. north sea

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
If a person is trying to keep something in their hand what should they do?,person,validation-00000-of-00001,E,"Question:
If a person is trying to keep something in their hand what should they do?

Which of the following is the best response to the question?

Choices:
A. complete collection
B. own house
C. procrastinate
D. explode
E. have to hold

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"The board game instructed that you must conquer opponent, only the what would come out on top?",conquer opponent,train-00000-of-00001,E,"Question:
The board game instructed that you must conquer opponent, only the what would come out on top?

Which of the following is the best response to the question?

Choices:
A. top piece
B. strong
C. win
D. total domination
E. best

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
A person who yawns and paces to help pass the time is likely feeling what?,person,train-00000-of-00001,E,"Question:
A person who yawns and paces to help pass the time is likely feeling what?

Which of the following is the best response to the question?

Choices:
A. ridiculous
B. excitement
C. meanness
D. terrorism
E. boredom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"The table was designed for gambling, where should it be placed?",table,train-00000-of-00001,A,"Question:
The table was designed for gambling, where should it be placed?

Which of the following is the best response to the question?

Choices:
A. card room
B. trash
C. livingroom
D. neighbor's house
E. kitchen

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
If you see materials surrounded by workers you may be in what zone?,material,train-00000-of-00001,B,"Question:
If you see materials surrounded by workers you may be in what zone?

Which of the following is the best response to the question?

Choices:
A. hazardous waste
B. construction
C. fabric store
D. science lab
E. house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
John was disgusted when he opened this and saw mold.  What is this?,mold,train-00000-of-00001,A,"Question:
John was disgusted when he opened this and saw mold.  What is this?

Which of the following is the best response to the question?

Choices:
A. refrigerator
B. breadbox
C. carpet
D. pizza box
E. cellar

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"The child felt like it was all pretend, he didn't understand what?",pretend,validation-00000-of-00001,E,"Question:
The child felt like it was all pretend, he didn't understand what?

Which of the following is the best response to the question?

Choices:
A. people believe
B. daydreams
C. transcendentalism
D. laughter
E. religion

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
Where would a clock help you to know when something will get there?,clock,train-00000-of-00001,E,"Question:
Where would a clock help you to know when something will get there?

Which of the following is the best response to the question?

Choices:
A. desk is incorrect one
B. desk
C. school room
D. department store
E. train station

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
You'd add pepper and salt to what liquid meal if it's bland?,pepper and salt,train-00000-of-00001,D,"Question:
You'd add pepper and salt to what liquid meal if it's bland?

Which of the following is the best response to the question?

Choices:
A. supermarket
B. water
C. cellars
D. soup
E. grocery store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
How might someone feel if they spend time learning about a subject they're very passionate?,learning about subject,train-00000-of-00001,E,"Question:
How might someone feel if they spend time learning about a subject they're very passionate?

Which of the following is the best response to the question?

Choices:
A. headache
B. advance
C. gain knowledge
D. form opinions
E. elation

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"If a person wants to buy a radio, where are they likely to go?",radio,train-00000-of-00001,C,"Question:
If a person wants to buy a radio, where are they likely to go?

Which of the following is the best response to the question?

Choices:
A. station
B. every car and house
C. shop
D. bedroom
E. space shuttle

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"When a person brings up marital issues while chatting with friends, what is the general feeling?",chatting with friends,train-00000-of-00001,C,"Question:
When a person brings up marital issues while chatting with friends, what is the general feeling?

Which of the following is the best response to the question?

Choices:
A. misunderstanding
B. mediation
C. discomfort
D. agreement
E. learning about

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
If you're celebrating with too many cocktails what may you have in the morning?,celebrating,validation-00000-of-00001,D,"Question:
If you're celebrating with too many cocktails what may you have in the morning?

Which of the following is the best response to the question?

Choices:
A. drunkenness
B. have fun
C. headache
D. hang over
E. intimacy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
What is something that the public can go to which involves a committee?,committee,train-00000-of-00001,B,"Question:
What is something that the public can go to which involves a committee?

Which of the following is the best response to the question?

Choices:
A. business
B. city council meeting
C. temple
D. office building
E. boardroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
What attraction is sometimes so large that you need a map to find your way around?,map,validation-00000-of-00001,A,"Question:
What attraction is sometimes so large that you need a map to find your way around?

Which of the following is the best response to the question?

Choices:
A. amusement park
B. truck stop
C. mcdonalds
D. backpack
E. classroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
Where would you put a ficus if you do not want it to get your carpet dirty?,ficus,train-00000-of-00001,A,"Question:
Where would you put a ficus if you do not want it to get your carpet dirty?

Which of the following is the best response to the question?

Choices:
A. ground
B. arboretum
C. apartment
D. refrigerator
E. california

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
What do most people do when they need to relax?,most people,train-00000-of-00001,B,"Question:
What do most people do when they need to relax?

Which of the following is the best response to the question?

Choices:
A. eat whales for breakfast
B. listen to music
C. have friends
D. hug
E. eat trash

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
Someone probably used more than one horse to make one of these?,horse,train-00000-of-00001,C,"Question:
Someone probably used more than one horse to make one of these?

Which of the following is the best response to the question?

Choices:
A. horseradish
B. farmyard
C. western movie
D. canada
E. race track

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
What is something that probably has a lot of testosterone and way too much alcohol?,alcohol,train-00000-of-00001,D,"Question:
What is something that probably has a lot of testosterone and way too much alcohol?

Which of the following is the best response to the question?

Choices:
A. beer
B. wine
C. restaurant
D. fraternity house
E. pub

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"A person wants to be like Michael Phelps, what should they do first?",person,train-00000-of-00001,E,"Question:
A person wants to be like Michael Phelps, what should they do first?

Which of the following is the best response to the question?

Choices:
A. feel relieved
B. cross street
C. act responsibly
D. avoid swimming
E. learn to swim

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Light from the sun goes past earth and becomes weaker as it spreads out into the what/,light,train-00000-of-00001,D,"Question:
Light from the sun goes past earth and becomes weaker as it spreads out into the what/

Which of the following is the best response to the question?

Choices:
A. a locked room
B. attic
C. desk
D. universe
E. ocean

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"The person was trying to describe what makes a good movie, he liked all the little what?",person,train-00000-of-00001,C,"Question:
The person was trying to describe what makes a good movie, he liked all the little what?

Which of the following is the best response to the question?

Choices:
A. mice
B. go home
C. details
D. witty
E. headache

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"If somebody is working at a reception desk, they are located at the front entrance of the what?",reception desk,validation-00000-of-00001,C,"Question:
If somebody is working at a reception desk, they are located at the front entrance of the what?

Which of the following is the best response to the question?

Choices:
A. motel
B. hostel
C. building
D. lobby
E. office park

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"The plant suffered in the shade, where did it need to be planted instead?",shade,train-00000-of-00001,C,"Question:
The plant suffered in the shade, where did it need to be planted instead?

Which of the following is the best response to the question?

Choices:
A. brightness
B. sunny delight
C. direct sunlight
D. bright light
E. tanning

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"The vet was concerned about all of the blood he saw, where was the blood coming from?",blood,train-00000-of-00001,B,"Question:
The vet was concerned about all of the blood he saw, where was the blood coming from?

Which of the following is the best response to the question?

Choices:
A. person
B. animals
C. hospital
D. battlefield
E. soccer game

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
A lot of people play the fiddle in what state which comes first alphabetically?,fiddle,train-00000-of-00001,D,"Question:
A lot of people play the fiddle in what state which comes first alphabetically?

Which of the following is the best response to the question?

Choices:
A. tennessee
B. violin case
C. orchestra
D. alabama
E. alaska

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
What has a shelf that does not allow you to see what is inside of it?,shelf,validation-00000-of-00001,A,"Question:
What has a shelf that does not allow you to see what is inside of it?

Which of the following is the best response to the question?

Choices:
A. chest of drawers
B. stove
C. hold alcohol
D. bookcase
E. grocery store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"When a person drinks, becoming inebriated, how are they likely to move?",becoming inebriated,train-00000-of-00001,D,"Question:
When a person drinks, becoming inebriated, how are they likely to move?

Which of the following is the best response to the question?

Choices:
A. jumping
B. drunkenness
C. paralysis
D. staggering
E. fights

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
Billy wanted to impress his family.  What might he do to impress people?,people,train-00000-of-00001,A,"Question:
Billy wanted to impress his family.  What might he do to impress people?

Which of the following is the best response to the question?

Choices:
A. make art
B. believe in god
C. leave
D. come home
E. go out

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"The children were making each other laugh, they did this via what?",children,train-00000-of-00001,D,"Question:
The children were making each other laugh, they did this via what?

Which of the following is the best response to the question?

Choices:
A. play ball
B. reading a book
C. jump rope
D. tickle
E. see exhibits

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"He hated having meeting while having food, he didn't want to hear somebody eat and what?",having food,train-00000-of-00001,C,"Question:
He hated having meeting while having food, he didn't want to hear somebody eat and what?

Which of the following is the best response to the question?

Choices:
A. drinking
B. sit
C. talk
D. dancing
E. being sociable

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"He was an expert in hieroglyphics, can you tell me the location of his excavation?",excavation,train-00000-of-00001,B,"Question:
He was an expert in hieroglyphics, can you tell me the location of his excavation?

Which of the following is the best response to the question?

Choices:
A. desert
B. egypt
C. montana
D. work area
E. in dirt

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where were the cowboys herding the heifers across the property towards?,heifer,train-00000-of-00001,C,"Question:
Where were the cowboys herding the heifers across the property towards?

Which of the following is the best response to the question?

Choices:
A. deep sea
B. slaughterhouse
C. cattle ranch
D. countryside
E. barnyard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
Why did the police office pull the car over?,car,train-00000-of-00001,A,"Question:
Why did the police office pull the car over?

Which of the following is the best response to the question?

Choices:
A. going too fast
B. last several years
C. go fast
D. careless driving
E. start running

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"To prevent unwanted pregnancies, you'd keep the heifers and the bulls in separate what?",heifer,train-00000-of-00001,C,"Question:
To prevent unwanted pregnancies, you'd keep the heifers and the bulls in separate what?

Which of the following is the best response to the question?

Choices:
A. cattle show
B. houses
C. corral
D. dairy barn
E. countryside

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
When you want to see new items what do you have to do?,see new,train-00000-of-00001,B,"Question:
When you want to see new items what do you have to do?

Which of the following is the best response to the question?

Choices:
A. go to movies
B. open eyes
C. have eyes open
D. ask
E. look for

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"The lady loved chatting with friends, she used all sorts of what to keep in touch?",chatting with friends,train-00000-of-00001,E,"Question:
The lady loved chatting with friends, she used all sorts of what to keep in touch?

Which of the following is the best response to the question?

Choices:
A. answers
B. hands
C. happiness
D. agreement
E. communication

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
Where does someone lay with their leg elevated when it's broken?,leg,train-00000-of-00001,C,"Question:
Where does someone lay with their leg elevated when it's broken?

Which of the following is the best response to the question?

Choices:
A. spinning wheel
B. on a ladder
C. hospital bed
D. legroom
E. grand piano

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
Where would you stand in a line and not need a coat if it is cold outside?,line,train-00000-of-00001,C,"Question:
Where would you stand in a line and not need a coat if it is cold outside?

Which of the following is the best response to the question?

Choices:
A. good book
B. bus stop
C. post office
D. triangle
E. graph

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
After giving assistance to a person who's lost their wallet what is customarily given?,giving assistance,train-00000-of-00001,A,"Question:
After giving assistance to a person who's lost their wallet what is customarily given?

Which of the following is the best response to the question?

Choices:
A. reward
B. guillotine
C. satisfaction
D. helpfulness
E. pleasure

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
What is something you do when you want to see someone?,something you,train-00000-of-00001,C,"Question:
What is something you do when you want to see someone?

Which of the following is the best response to the question?

Choices:
A. make noise
B. make payments
C. make time
D. make a mess
E. take time

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
You should probably have something healthier than just eat ice cream if you what?,eat ice cream,train-00000-of-00001,A,"Question:
You should probably have something healthier than just eat ice cream if you what?

Which of the following is the best response to the question?

Choices:
A. were hungry
B. depressed
C. cool down
D. exercise
E. let melt in mouth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
When we are running what are we doing?,run,validation-00000-of-00001,D,"Question:
When we are running what are we doing?

Which of the following is the best response to the question?

Choices:
A. stretches
B. running from police
C. learn to walk
D. go quickly
E. get out of bed

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"When love is not reciprocated, what are the feelings that are involved?",love,train-00000-of-00001,B,"Question:
When love is not reciprocated, what are the feelings that are involved?

Which of the following is the best response to the question?

Choices:
A. deaths
B. pain and suffering
C. having sex
D. happiness
E. bring joy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
How can people best have a conversation?,people,train-00000-of-00001,B,"Question:
How can people best have a conversation?

Which of the following is the best response to the question?

Choices:
A. learn from each other
B. face each other
C. enjoy themselves
D. group together
E. call each other

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
The boy loved to surprise his mother by jumping out from hiding and giving her a good what?,surprise,train-00000-of-00001,B,"Question:
The boy loved to surprise his mother by jumping out from hiding and giving her a good what?

Which of the following is the best response to the question?

Choices:
A. laugh
B. scare
C. send flowers
D. keep secret
E. laugh

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Superman refuses to kill.  He does this because he feels that every life is what?,life,train-00000-of-00001,C,"Question:
Superman refuses to kill.  He does this because he feels that every life is what?

Which of the following is the best response to the question?

Choices:
A. short
B. finite
C. important
D. good
E. created

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"A person who found something odd, may have found it odd because it wasn't what?",odd,train-00000-of-00001,C,"Question:
A person who found something odd, may have found it odd because it wasn't what?

Which of the following is the best response to the question?

Choices:
A. even
B. common
C. expected
D. happening
E. habitual

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
Where would you keep a chair to toss your clothes on before retiring for the evening?,chair,train-00000-of-00001,E,"Question:
Where would you keep a chair to toss your clothes on before retiring for the evening?

Which of the following is the best response to the question?

Choices:
A. airport
B. floor
C. office
D. floor
E. bedroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
The two conglomerates decided to reach  tentative agreement to what?,reach tentative agreement,train-00000-of-00001,A,"Question:
The two conglomerates decided to reach  tentative agreement to what?

Which of the following is the best response to the question?

Choices:
A. do business
B. accomplish
C. stop arguing
D. make progress
E. digging holes

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
Where is there likely to be a pool near your own home?,pool,train-00000-of-00001,E,"Question:
Where is there likely to be a pool near your own home?

Which of the following is the best response to the question?

Choices:
A. backyard
B. ymca
C. at hotel
D. waterfall
E. neighbor's house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"If you have an underlying heart condition, what might running twenty six miles cause?",running twenty six miles,train-00000-of-00001,C,"Question:
If you have an underlying heart condition, what might running twenty six miles cause?

Which of the following is the best response to the question?

Choices:
A. tiredness
B. passing out
C. death
D. exhaustion
E. heartbreak

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
If you brush your hair while bathing what is a good place to store a round brush?,round brush,train-00000-of-00001,B,"Question:
If you brush your hair while bathing what is a good place to store a round brush?

Which of the following is the best response to the question?

Choices:
A. kitchen
B. shower
C. department store
D. art supplies
E. hair salon

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
The cat knew to come just by the sound of what being opened?,cat,train-00000-of-00001,A,"Question:
The cat knew to come just by the sound of what being opened?

Which of the following is the best response to the question?

Choices:
A. tuna fish
B. food now
C. nap
D. train
E. four legs

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
What does going to bed with your spouse for sex lead to?,going to bed,validation-00000-of-00001,E,"Question:
What does going to bed with your spouse for sex lead to?

Which of the following is the best response to the question?

Choices:
A. bad dreams
B. a good nights sleep
C. rest
D. sleepiness
E. get pregnant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
Dan is always giving assistance.  He what does he want to create for people?,giving assistance,train-00000-of-00001,A,"Question:
Dan is always giving assistance.  He what does he want to create for people?

Which of the following is the best response to the question?

Choices:
A. better circumstances
B. happiness
C. people helped
D. learning new skills
E. death

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
The mall can usually be found in what part of a large group of houses and businesses?,mall,train-00000-of-00001,A,"Question:
The mall can usually be found in what part of a large group of houses and businesses?

Which of the following is the best response to the question?

Choices:
A. downtown
B. backyard
C. montana
D. suburbs
E. large city

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
What is the best way to learn new things from someoen else?,learn new,train-00000-of-00001,E,"Question:
What is the best way to learn new things from someoen else?

Which of the following is the best response to the question?

Choices:
A. go to school
B. be tutored
C. study
D. fun
E. ask questions

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"A monkey ran through La Defense with classified documents, who was chasing it?",monkey,train-00000-of-00001,E,"Question:
A monkey ran through La Defense with classified documents, who was chasing it?

Which of the following is the best response to the question?

Choices:
A. monkey
B. rain forest
C. captivity
D. madagascar
E. french government

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
Where can you expect to find items made of fabric that adorn one's body?,fabric,train-00000-of-00001,E,"Question:
Where can you expect to find items made of fabric that adorn one's body?

Which of the following is the best response to the question?

Choices:
A. sewing room
B. drawers
C. tailor shop
D. clothes store
E. clothing store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"It was satisfying seeing idea become reality, after years of work he finally could what?",seeing idea become reality,train-00000-of-00001,E,"Question:
It was satisfying seeing idea become reality, after years of work he finally could what?

Which of the following is the best response to the question?

Choices:
A. laugh
B. anxiety
C. build
D. excitement
E. celebrate

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
What treatment might an old time doctor have tried to accomplish with leeches?,doctor,train-00000-of-00001,E,"Question:
What treatment might an old time doctor have tried to accomplish with leeches?

Which of the following is the best response to the question?

Choices:
A. heart transplant
B. distance himself
C. perform surgery
D. study medicine
E. let blood

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
If a group of friends have gathered after reading a book they are likely about to have a what?,reading book,train-00000-of-00001,B,"Question:
If a group of friends have gathered after reading a book they are likely about to have a what?

Which of the following is the best response to the question?

Choices:
A. learn things
B. discussion
C. fit
D. learning
E. nightmares

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What eastern U.S. region is know for bbq and not apple trees?,apple tree,train-00000-of-00001,D,"Question:
What eastern U.S. region is know for bbq and not apple trees?

Which of the following is the best response to the question?

Choices:
A. great outdoors
B. washington state
C. garden of eden
D. north carolina
E. maine

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"James loves judging things, but all he has to go on is his own what?",judging,train-00000-of-00001,E,"Question:
James loves judging things, but all he has to go on is his own what?

Which of the following is the best response to the question?

Choices:
A. misperception
B. jury
C. knowing yourself
D. ignorance
E. experience

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"If someone is fiddling at a hoedown, how do they likely feel?",fiddling,train-00000-of-00001,A,"Question:
If someone is fiddling at a hoedown, how do they likely feel?

Which of the following is the best response to the question?

Choices:
A. being happy
B. frustrated
C. troubles
D. discovery
E. unpredictable

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"The science major was planning on digging in the earth one day, his favorite class was what?",science,train-00000-of-00001,D,"Question:
The science major was planning on digging in the earth one day, his favorite class was what?

Which of the following is the best response to the question?

Choices:
A. religion
B. faith
C. health
D. geography
E. history studies

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
A ferret would probably growl if it is in what kind of state?,ferret,train-00000-of-00001,D,"Question:
A ferret would probably growl if it is in what kind of state?

Which of the following is the best response to the question?

Choices:
A. outdoors
B. pair of trousers
C. confusion
D. bad mood
E. classroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
Why shouldn't you walk barefooted after the rain?,rain,train-00000-of-00001,B,"Question:
Why shouldn't you walk barefooted after the rain?

Which of the following is the best response to the question?

Choices:
A. shoes
B. wet ground
C. wet clothes
D. start to fall
E. water garden

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"Helium, magnesium, and sulfur are likely to be found where in a school?",helium,train-00000-of-00001,A,"Question:
Helium, magnesium, and sulfur are likely to be found where in a school?

Which of the following is the best response to the question?

Choices:
A. chemistry lab
B. atmosphere
C. air
D. supply closet
E. laboratory

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"I love crab, but I don't get much where I live in rural where?",crab,train-00000-of-00001,C,"Question:
I love crab, but I don't get much where I live in rural where?

Which of the following is the best response to the question?

Choices:
A. outside
B. alabama
C. virginia
D. cape cod
E. fish market

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"If you awake but are not fully ready to be up, what are you likely to do?",awake,train-00000-of-00001,B,"Question:
If you awake but are not fully ready to be up, what are you likely to do?

Which of the following is the best response to the question?

Choices:
A. stretch
B. yawn
C. sneezing
D. have fun
E. cough

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"He was bound to get hired quickly apply for job, he had a reputation for what?",applying for job,train-00000-of-00001,C,"Question:
He was bound to get hired quickly apply for job, he had a reputation for what?

Which of the following is the best response to the question?

Choices:
A. frustration
B. humor
C. working hard
D. stress
E. rejection

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"If someone is found to be committing murder, what did they do to someone?",committing murder,validation-00000-of-00001,B,"Question:
If someone is found to be committing murder, what did they do to someone?

Which of the following is the best response to the question?

Choices:
A. misery
B. kill
C. distress
D. tickel
E. go to jail

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
How are people typically positioned in an interview?,people,train-00000-of-00001,A,"Question:
How are people typically positioned in an interview?

Which of the following is the best response to the question?

Choices:
A. facing each other
B. round-table
C. gather together
D. get angry
E. believe in god

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
What is the word added to Manchester that signifies what county it is in?,manchester,validation-00000-of-00001,D,"Question:
What is the word added to Manchester that signifies what county it is in?

Which of the following is the best response to the question?

Choices:
A. england
B. united kingdome
C. lancashire
D. greater manchester
E. cheshire

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
What do people typically have a hard time doing while at a shop?,shop,train-00000-of-00001,B,"Question:
What do people typically have a hard time doing while at a shop?

Which of the following is the best response to the question?

Choices:
A. compare prices
B. spending of money
C. purchasing
D. gambling
E. have fun

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"The shark was navigating across from the African coast to New York, where was it?",shark,train-00000-of-00001,C,"Question:
The shark was navigating across from the African coast to New York, where was it?

Which of the following is the best response to the question?

Choices:
A. bathtub
B. seawater
C. atlantic ocean
D. saltwater
E. sea world

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"On an average day, going to work could make you feel like what?",going to work,train-00000-of-00001,A,"Question:
On an average day, going to work could make you feel like what?

Which of the following is the best response to the question?

Choices:
A. feeling good
B. anger
C. revelation
D. being fired
E. tardiness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
What happens when airplane engines cut off and are unable to be restarted in flight?,airplanes,validation-00000-of-00001,D,"Question:
What happens when airplane engines cut off and are unable to be restarted in flight?

Which of the following is the best response to the question?

Choices:
A. stall
B. start melting
C. taxi
D. crash
E. speed up

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
You have to spend money at a ticket booth before entering what building for entertainment?,ticket booth,train-00000-of-00001,A,"Question:
You have to spend money at a ticket booth before entering what building for entertainment?

Which of the following is the best response to the question?

Choices:
A. movie theater
B. venue
C. mall
D. clerk
E. auditorium

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
When you feel too much heat in your home you can turn on what?,heat,validation-00000-of-00001,E,"Question:
When you feel too much heat in your home you can turn on what?

Which of the following is the best response to the question?

Choices:
A. coolness
B. fan
C. get wet
D. coldness
E. air conditioning

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"The power went out, so why did the family use a candle?",candle,train-00000-of-00001,A,"Question:
The power went out, so why did the family use a candle?

Which of the following is the best response to the question?

Choices:
A. emit light
B. burn brightly
C. warmth
D. light house
E. fire hazard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"I want some original paintings to put on my wall, where should I go for instpiration?",wall,train-00000-of-00001,A,"Question:
I want some original paintings to put on my wall, where should I go for instpiration?

Which of the following is the best response to the question?

Choices:
A. art show
B. classroom
C. labyrinth
D. corner
E. paint store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
George liked hunting foxes.  Where might he go to do so?,fox,train-00000-of-00001,C,"Question:
George liked hunting foxes.  Where might he go to do so?

Which of the following is the best response to the question?

Choices:
A. hen house
B. painting
C. virginia
D. california
E. lion's den

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
What common area do most people keep a sofabed in?,sofabed,train-00000-of-00001,B,"Question:
What common area do most people keep a sofabed in?

Which of the following is the best response to the question?

Choices:
A. one room apartment
B. livingroom
C. spare room
D. sitting room
E. in a bathroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
What can happen as a result of a business spending money and having to make a declaration?,spending money,train-00000-of-00001,B,"Question:
What can happen as a result of a business spending money and having to make a declaration?

Which of the following is the best response to the question?

Choices:
A. financial problems
B. bankruptcy
C. debt
D. losing your home
E. poverty

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
