question,question_concept,_split,answer,final_prompt,len_tk_gemma2_9b_base
The trim made a good line between the floor and the what?,floor,train-00000-of-00001,D,"Question:
The trim made a good line between the floor and the what?

Which of the following is the best response to the question?

Choices:
A. obesity
B. desk
C. sky
D. wall
E. ceiling

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What is the opposite of hosting a crowd?,crowd,train-00000-of-00001,A,"Question:
What is the opposite of hosting a crowd?

Which of the following is the best response to the question?

Choices:
A. few people
B. pay debts
C. individual
D. single person
E. small group

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where could a personal ficus live?,ficus,validation-00000-of-00001,C,"Question:
Where could a personal ficus live?

Which of the following is the best response to the question?

Choices:
A. cabin in the woods
B. california
C. front yard
D. conservatory
E. tropical forest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where are you likely to find an injured soldier?,soldier,train-00000-of-00001,B,"Question:
Where are you likely to find an injured soldier?

Which of the following is the best response to the question?

Choices:
A. helicopter
B. war zone
C. armored car
D. white house
E. battlefield

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Placing a potato where can cause an explosion?,potato,train-00000-of-00001,B,"Question:
Placing a potato where can cause an explosion?

Which of the following is the best response to the question?

Choices:
A. pantry
B. exhaust pipe
C. vegetable soup
D. pot
E. shopping bags

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where is a snake unlikely to be welcome?,snake,train-00000-of-00001,C,"Question:
Where is a snake unlikely to be welcome?

Which of the following is the best response to the question?

Choices:
A. hollow log
B. arid climate
C. petting zoo
D. ocean
E. tropical forest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What could happen to a cat other than wanting food?,cat,validation-00000-of-00001,B,"Question:
What could happen to a cat other than wanting food?

Which of the following is the best response to the question?

Choices:
A. feline
B. thirsty
C. sharp claws
D. pussycat
E. hungry

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
WHat does someone usually produce a lot of when getting divorce?,getting divorce,train-00000-of-00001,B,"Question:
WHat does someone usually produce a lot of when getting divorce?

Which of the following is the best response to the question?

Choices:
A. freedom
B. tears
C. richer
D. depression
E. tissues

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where are a lot of offices in New York?,office,train-00000-of-00001,B,"Question:
Where are a lot of offices in New York?

Which of the following is the best response to the question?

Choices:
A. school building
B. skyscraper
C. business
D. grocery store.
E. work

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where is the best place to keep a dish cloth?,cloth,train-00000-of-00001,B,"Question:
Where is the best place to keep a dish cloth?

Which of the following is the best response to the question?

Choices:
A. laundry
B. kitchen
C. linen closet
D. fabric store
E. bedroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What happens after having food too much?,having food,train-00000-of-00001,D,"Question:
What happens after having food too much?

Which of the following is the best response to the question?

Choices:
A. being full
B. laziness
C. weight gain
D. getting fat
E. will not starve

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
An employer would prefer your planning vacation take place during what?,planning vacation,train-00000-of-00001,B,"Question:
An employer would prefer your planning vacation take place during what?

Which of the following is the best response to the question?

Choices:
A. organization
B. free time
C. imagination
D. meetings
E. money

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where did the old ladies indoor only pet cat stay?,cat,train-00000-of-00001,D,"Question:
Where did the old ladies indoor only pet cat stay?

Which of the following is the best response to the question?

Choices:
A. front door
B. zoo
C. jail cell
D. residence
E. floor

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where would you get marble if you do not have any?,marble,train-00000-of-00001,D,"Question:
Where would you get marble if you do not have any?

Which of the following is the best response to the question?

Choices:
A. opaque
B. game
C. pawn shop
D. store
E. pouch

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where are required to carry books all day?,books,validation-00000-of-00001,B,"Question:
Where are required to carry books all day?

Which of the following is the best response to the question?

Choices:
A. friend's house
B. university
C. large city
D. storage
E. table

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What city is likely to have many Mexican restaurants?,mexican restaurant,train-00000-of-00001,A,"Question:
What city is likely to have many Mexican restaurants?

Which of the following is the best response to the question?

Choices:
A. san diego
B. atmosphere
C. southern california
D. mexico
E. alabama

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What is the hopeful result of going to see a play?,going to play,validation-00000-of-00001,B,"Question:
What is the hopeful result of going to see a play?

Which of the following is the best response to the question?

Choices:
A. sit
B. being entertained
C. jobless
D. meet
E. laugh

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What do you give people when they meet people?,meet people,train-00000-of-00001,B,"Question:
What do you give people when they meet people?

Which of the following is the best response to the question?

Choices:
A. introduce yourself
B. greeting
C. look over
D. friendly
E. high five

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"James needed smooth sandpaper, but instead he got what type?",smooth,validation-00000-of-00001,A,"Question:
James needed smooth sandpaper, but instead he got what type?

Which of the following is the best response to the question?

Choices:
A. rough
B. non smooth
C. uneven
D. plastic
E. bumpy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What type of closet are canned goods likely to be in?,canned goods,train-00000-of-00001,B,"Question:
What type of closet are canned goods likely to be in?

Which of the following is the best response to the question?

Choices:
A. cupboard
B. pantry
C. shelf
D. cabinet
E. drower

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where can a calendar be purchased normally?,calendar,train-00000-of-00001,A,"Question:
Where can a calendar be purchased normally?

Which of the following is the best response to the question?

Choices:
A. office supply store
B. desktop
C. smart phone
D. wrist watch
E. date book

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where is a man likely to keep his sunglasses?,sunglasses,train-00000-of-00001,B,"Question:
Where is a man likely to keep his sunglasses?

Which of the following is the best response to the question?

Choices:
A. drugstore
B. shirt pocket
C. purse
D. jeans pocket
E. bag

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What is a common cause of injury?,injury,train-00000-of-00001,A,"Question:
What is a common cause of injury?

Which of the following is the best response to the question?

Choices:
A. accident
B. theatre
C. doctor's office
D. hockey game
E. living thing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where are you if you've received bbq after paying?,bbq,train-00000-of-00001,D,"Question:
Where are you if you've received bbq after paying?

Which of the following is the best response to the question?

Choices:
A. ribs
B. backyard
C. texas
D. restaurant
E. louisiana

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Shark tank is a popular reality what?,shark,train-00000-of-00001,C,"Question:
Shark tank is a popular reality what?

Which of the following is the best response to the question?

Choices:
A. pool hall
B. san francisco bay
C. television show
D. museum
E. new england

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where would one hope to not find a jellyfish?,jellyfish,train-00000-of-00001,A,"Question:
Where would one hope to not find a jellyfish?

Which of the following is the best response to the question?

Choices:
A. japanese restaurant
B. hawaii
C. pacific ocean
D. bathtub
E. salt water

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What could contain no more than around 100 people?,people,train-00000-of-00001,B,"Question:
What could contain no more than around 100 people?

Which of the following is the best response to the question?

Choices:
A. apartment
B. classroom
C. buildings
D. car
E. audience

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
The lizard tried to warm itself by resting where?,lizard,train-00000-of-00001,E,"Question:
The lizard tried to warm itself by resting where?

Which of the following is the best response to the question?

Choices:
A. porch
B. rocky areas
C. garden
D. shady spot
E. sunny place

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Writers with a great what can amass a large fortune?,fortune,validation-00000-of-00001,D,"Question:
Writers with a great what can amass a large fortune?

Which of the following is the best response to the question?

Choices:
A. cookie
B. bank
C. real estate
D. imagination
E. bank roll

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What is a heat source that can be obtained for free?,heat source,train-00000-of-00001,D,"Question:
What is a heat source that can be obtained for free?

Which of the following is the best response to the question?

Choices:
A. bedroom
B. fire
C. car
D. solar energy
E. gasoline

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What does a bus station have to be near?,bus station,train-00000-of-00001,E,"Question:
What does a bus station have to be near?

Which of the following is the best response to the question?

Choices:
A. eat cake
B. maps
C. enter bus
D. city centre
E. street

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What does it mean when I have to do something not optional,optional,train-00000-of-00001,A,"Question:
What does it mean when I have to do something not optional

Which of the following is the best response to the question?

Choices:
A. mandatory
B. nonelective
C. obligatory
D. lazy
E. compulsory

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What causes fear in skating?,skating,train-00000-of-00001,C,"Question:
What causes fear in skating?

Which of the following is the best response to the question?

Choices:
A. injuries
B. increased heart rate
C. might fall
D. can't stop
E. move fast

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where would you find a pot that is being used by someone?,pot,train-00000-of-00001,E,"Question:
Where would you find a pot that is being used by someone?

Which of the following is the best response to the question?

Choices:
A. toilet
B. porch
C. greenhouse
D. cupboard
E. restaurant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What old models are likely to be made of wood?,wood,train-00000-of-00001,E,"Question:
What old models are likely to be made of wood?

Which of the following is the best response to the question?

Choices:
A. car
B. tree
C. hardware store
D. lumberyard
E. boat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What would people feel if they are agreeing with each other?,agreeing with,train-00000-of-00001,D,"Question:
What would people feel if they are agreeing with each other?

Which of the following is the best response to the question?

Choices:
A. band together
B. harmony
C. smiles
D. rapport
E. belonging

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where do people get beer after a bit of gambling?,beer,validation-00000-of-00001,C,"Question:
Where do people get beer after a bit of gambling?

Which of the following is the best response to the question?

Choices:
A. bottle
B. grocery store
C. casino
D. spaceship
E. hockey game

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
The president usually lays his weary head to bed where?,president,train-00000-of-00001,B,"Question:
The president usually lays his weary head to bed where?

Which of the following is the best response to the question?

Choices:
A. bedroom
B. whitehouse
C. corporation
D. government
E. pta

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What are you doing if you are fishing?,fishing,train-00000-of-00001,D,"Question:
What are you doing if you are fishing?

Which of the following is the best response to the question?

Choices:
A. anger
B. eating fish
C. getting wet
D. getting food
E. catching fish

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where would you put things in a paper bag?,paper,train-00000-of-00001,C,"Question:
Where would you put things in a paper bag?

Which of the following is the best response to the question?

Choices:
A. synagogue
B. classroom
C. grocery store
D. lunchbox
E. front porch

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where is a good place to store a frying pan?,frying pan,train-00000-of-00001,C,"Question:
Where is a good place to store a frying pan?

Which of the following is the best response to the question?

Choices:
A. galley
B. department store
C. kitchen cabinet
D. closet
E. homes

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Which group is the cover for tonight's musical program?,program,train-00000-of-00001,B,"Question:
Which group is the cover for tonight's musical program?

Which of the following is the best response to the question?

Choices:
A. opera
B. concert
C. television
D. symphonic
E. computer

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What does breathing do for living things?,breathing,train-00000-of-00001,C,"Question:
What does breathing do for living things?

Which of the following is the best response to the question?

Choices:
A. asthma attacks
B. satisfies hunger
C. sustaining life
D. warm air
E. giving life

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where do humans go in space?,human,train-00000-of-00001,D,"Question:
Where do humans go in space?

Which of the following is the best response to the question?

Choices:
A. anywhere on earth
B. ufos
C. strip club
D. international space station
E. school

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What do use coal to light?,coal,train-00000-of-00001,A,"Question:
What do use coal to light?

Which of the following is the best response to the question?

Choices:
A. fire
B. (this question makes no sense)
C. underground
D. stocking
E. fluid

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where could a pilot go after he or she is finished working?,pilot,train-00000-of-00001,C,"Question:
Where could a pilot go after he or she is finished working?

Which of the following is the best response to the question?

Choices:
A. cockpit
B. airplane
C. shower
D. airport
E. home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What has happened after a tennis game has started?,tennis game,train-00000-of-00001,A,"Question:
What has happened after a tennis game has started?

Which of the following is the best response to the question?

Choices:
A. progress
B. achievement
C. park
D. match
E. field with tennis court

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
How is clothing better after getting in shape?,getting in shape,train-00000-of-00001,D,"Question:
How is clothing better after getting in shape?

Which of the following is the best response to the question?

Choices:
A. feels better
B. feeling better
C. exercise
D. look better
E. feel stronger

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What does the idea of going on vacation inspire ?,going on vacation,train-00000-of-00001,E,"Question:
What does the idea of going on vacation inspire ?

Which of the following is the best response to the question?

Choices:
A. relaxation
B. overspending
C. staying there
D. pie
E. pleasant thoughts

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where is there usually more than one telephone?,telephone,train-00000-of-00001,D,"Question:
Where is there usually more than one telephone?

Which of the following is the best response to the question?

Choices:
A. friend's house
B. desktop
C. party
D. hospital
E. phone booth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where is quiet conversation likely to take place?,conversation,train-00000-of-00001,C,"Question:
Where is quiet conversation likely to take place?

Which of the following is the best response to the question?

Choices:
A. friend's house
B. party
C. dinner
D. stadium
E. water cooler

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Exercising by lifting weights will give you large what?,exercising,train-00000-of-00001,C,"Question:
Exercising by lifting weights will give you large what?

Which of the following is the best response to the question?

Choices:
A. breaths
B. shortness of breath
C. muscles
D. effort
E. discipline

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Illegitimate designer handbags will not have a certificate of what?,illegitimate,train-00000-of-00001,C,"Question:
Illegitimate designer handbags will not have a certificate of what?

Which of the following is the best response to the question?

Choices:
A. actions
B. legal
C. authentic
D. logical
E. legitimate

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What could you do while you are listening to music?,music,train-00000-of-00001,E,"Question:
What could you do while you are listening to music?

Which of the following is the best response to the question?

Choices:
A. fiddle
B. sing
C. play piano
D. run
E. have fun

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where does an athlete usually prepare for a game?,athlete,train-00000-of-00001,E,"Question:
Where does an athlete usually prepare for a game?

Which of the following is the best response to the question?

Choices:
A. restaurant
B. sporting event
C. stadium
D. olympics
E. locker room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where could you make a hole with your fist?,hole,train-00000-of-00001,E,"Question:
Where could you make a hole with your fist?

Which of the following is the best response to the question?

Choices:
A. swiss cheese
B. football ground
C. ground
D. golf course
E. wall

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What type of person wants to get in shape?,get in shape,train-00000-of-00001,B,"Question:
What type of person wants to get in shape?

Which of the following is the best response to the question?

Choices:
A. look attractive
B. overweight
C. sex
D. bowel movements
E. feel good

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What will the judge declare if someone is committing perjury?,committing perjury,train-00000-of-00001,A,"Question:
What will the judge declare if someone is committing perjury?

Which of the following is the best response to the question?

Choices:
A. mistrial
B. criminal prosecution
C. citation
D. injustices
E. penalty

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where do you store a salad bowl when not in use?,salad bowl,train-00000-of-00001,D,"Question:
Where do you store a salad bowl when not in use?

Which of the following is the best response to the question?

Choices:
A. french restaurant
B. lettuce
C. dishwasher
D. cupboard
E. buffet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What must someone go through when heading to the sky?,sky,train-00000-of-00001,D,"Question:
What must someone go through when heading to the sky?

Which of the following is the best response to the question?

Choices:
A. outdoors
B. planetarium
C. head strain
D. atmosphere
E. heavens

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What is waging war often considered to be?,waging war,train-00000-of-00001,D,"Question:
What is waging war often considered to be?

Which of the following is the best response to the question?

Choices:
A. suffering
B. killing people
C. people dying
D. evil
E. a party

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Why does a person find a routine odd when things go astray?,odd,train-00000-of-00001,B,"Question:
Why does a person find a routine odd when things go astray?

Which of the following is the best response to the question?

Choices:
A. unexpected
B. habitual
C. even
D. expected
E. common

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where are you if a number of athletes are wrestling?,wrestling,train-00000-of-00001,B,"Question:
Where are you if a number of athletes are wrestling?

Which of the following is the best response to the question?

Choices:
A. bruises
B. competition
C. ancient greece
D. get free
E. wins

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Beer is usually expensive when you attend what public event?,beer,train-00000-of-00001,D,"Question:
Beer is usually expensive when you attend what public event?

Which of the following is the best response to the question?

Choices:
A. refrigerator
B. drink
C. fridge
D. sporting event
E. bowling alley

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where does she keep her notebook with her when not in use?,notebook,train-00000-of-00001,E,"Question:
Where does she keep her notebook with her when not in use?

Which of the following is the best response to the question?

Choices:
A. locker
B. desktop
C. classroom
D. office
E. backpack

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where is a large city hall usually located?,city hall,train-00000-of-00001,C,"Question:
Where is a large city hall usually located?

Which of the following is the best response to the question?

Choices:
A. detroit
B. major city
C. downtown area
D. dallas
E. towns

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where is it safer to keep marmot?,marmot,train-00000-of-00001,C,"Question:
Where is it safer to keep marmot?

Which of the following is the best response to the question?

Choices:
A. home
B. vancouver island
C. cage
D. united states
E. north america

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What type of structure has doorways that are connected to vehicles?,doorway,train-00000-of-00001,A,"Question:
What type of structure has doorways that are connected to vehicles?

Which of the following is the best response to the question?

Choices:
A. airport
B. castle
C. library
D. every building
E. zoo

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Why would you not want to be working with wood?,working,train-00000-of-00001,A,"Question:
Why would you not want to be working with wood?

Which of the following is the best response to the question?

Choices:
A. blisters
B. frustration
C. being paid
D. make money
E. money

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
what does having sex without protection lead to?,having sex,train-00000-of-00001,E,"Question:
what does having sex without protection lead to?

Which of the following is the best response to the question?

Choices:
A. sexually transmitted diseases
B. making babies
C. bliss
D. aids
E. unwanted pregnancy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What state is likely to have a county highway?,county highway,train-00000-of-00001,B,"Question:
What state is likely to have a county highway?

Which of the following is the best response to the question?

Choices:
A. rural areas
B. michigan
C. country
D. in town
E. map

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What is eating an unhealthy meal likely to cause?,eating,train-00000-of-00001,A,"Question:
What is eating an unhealthy meal likely to cause?

Which of the following is the best response to the question?

Choices:
A. gas
B. gaining weight
C. electrical circuit
D. indigestion
E. getting full

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
A lot of people who wrestle are very?,wrestle,train-00000-of-00001,D,"Question:
A lot of people who wrestle are very?

Which of the following is the best response to the question?

Choices:
A. train yourself
B. have strength
C. choke hold
D. strong
E. take lessons

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What might happen to a head to cause losing consciousness?,losing consciousness,train-00000-of-00001,A,"Question:
What might happen to a head to cause losing consciousness?

Which of the following is the best response to the question?

Choices:
A. injury
B. coma
C. death
D. a blow
E. falling down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where would you buy a finely crafted writing instrument?,writing instrument,validation-00000-of-00001,C,"Question:
Where would you buy a finely crafted writing instrument?

Which of the following is the best response to the question?

Choices:
A. nasa
B. classroom
C. stationery store
D. purse
E. office supply store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What does a real estate agent typically do when describing homes?,real estate agent,train-00000-of-00001,C,"Question:
What does a real estate agent typically do when describing homes?

Which of the following is the best response to the question?

Choices:
A. charming
B. cover up
C. exaggerate
D. incompetent
E. smile

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where would you go if you want to see a beautiful thunderstorm?,beautiful,train-00000-of-00001,E,"Question:
Where would you go if you want to see a beautiful thunderstorm?

Which of the following is the best response to the question?

Choices:
A. house
B. wet
C. bad
D. dull
E. plain

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Several train terminals linked together is an example of what?,terminal,train-00000-of-00001,E,"Question:
Several train terminals linked together is an example of what?

Which of the following is the best response to the question?

Choices:
A. station
B. electrical device
C. battery
D. initial
E. transportation system

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What do people do to pass time when washing clothes?,washing clothes,train-00000-of-00001,E,"Question:
What do people do to pass time when washing clothes?

Which of the following is the best response to the question?

Choices:
A. money
B. watch tv
C. getting wet
D. study
E. singing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What would a test be if it is not hard?,hard,train-00000-of-00001,C,"Question:
What would a test be if it is not hard?

Which of the following is the best response to the question?

Choices:
A. tricky
B. agreeable
C. easy
D. bearable
E. tryhard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where do people say god is at all times?,god,train-00000-of-00001,C,"Question:
Where do people say god is at all times?

Which of the following is the best response to the question?

Choices:
A. give peace
B. judge people
C. everywhere
D. anything
E. work miracles

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What can be used to carry a small dog?,small dog,train-00000-of-00001,B,"Question:
What can be used to carry a small dog?

Which of the following is the best response to the question?

Choices:
A. swimming pool
B. basket
C. dog show
D. backyard
E. own home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What device popular with children has two wheels?,wheel,train-00000-of-00001,E,"Question:
What device popular with children has two wheels?

Which of the following is the best response to the question?

Choices:
A. coaching
B. cars bycicles etc
C. vehicle
D. car
E. bicycle

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where would you likely find a spa alongside similar services?,spa,train-00000-of-00001,B,"Question:
Where would you likely find a spa alongside similar services?

Which of the following is the best response to the question?

Choices:
A. sweden
B. health centre
C. backyard
D. house
E. country club

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What might a couple do in a canoe?,couple,train-00000-of-00001,E,"Question:
What might a couple do in a canoe?

Which of the following is the best response to the question?

Choices:
A. marry each other
B. make sex
C. communicate
D. fishing
E. row about

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Best friends are often good at?,friends,train-00000-of-00001,C,"Question:
Best friends are often good at?

Which of the following is the best response to the question?

Choices:
A. go shopping
B. borrow money
C. keep secrets
D. meet for lunch
E. hang out

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What do all people have at first but later might not have?,all people,train-00000-of-00001,E,"Question:
What do all people have at first but later might not have?

Which of the following is the best response to the question?

Choices:
A. mentality
B. feelings
C. muscles
D. brains
E. parents

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where is a fireplace likely to be a heat source?,fireplace,train-00000-of-00001,E,"Question:
Where is a fireplace likely to be a heat source?

Which of the following is the best response to the question?

Choices:
A. desert
B. home
C. family room
D. living room
E. cabin

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
You can view a window with your current task on what?,window,train-00000-of-00001,B,"Question:
You can view a window with your current task on what?

Which of the following is the best response to the question?

Choices:
A. bus
B. computer screen
C. classroom
D. binocular
E. car

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"If you are cleaning house, what will happen to it?",cleaning house,train-00000-of-00001,D,"Question:
If you are cleaning house, what will happen to it?

Which of the following is the best response to the question?

Choices:
A. neatness
B. exhaustion
C. sneezing
D. order
E. clutter

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where would you need to use a writing instrument?,writing instrument,train-00000-of-00001,C,"Question:
Where would you need to use a writing instrument?

Which of the following is the best response to the question?

Choices:
A. pocket
B. purse
C. classroom
D. writer's hand
E. stationary

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"A loud machine is irritating, but many are expected where?",machine,validation-00000-of-00001,E,"Question:
A loud machine is irritating, but many are expected where?

Which of the following is the best response to the question?

Choices:
A. museum
B. house
C. laboratory
D. library
E. industrial area

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What can learning about the world from a shut in lead to?,learning about world,train-00000-of-00001,B,"Question:
What can learning about the world from a shut in lead to?

Which of the following is the best response to the question?

Choices:
A. enlightenment
B. confusion
C. understanding
D. cynicism
E. sadness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Remembering a terrible event is likely to cause what?,remembering,train-00000-of-00001,E,"Question:
Remembering a terrible event is likely to cause what?

Which of the following is the best response to the question?

Choices:
A. problems
B. inspiration
C. going to a therapist
D. crying
E. trauma

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where would a teacher store their upright piano?,upright piano,train-00000-of-00001,E,"Question:
Where would a teacher store their upright piano?

Which of the following is the best response to the question?

Choices:
A. music class
B. piano store
C. band
D. music store
E. music room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Mold on what will lead to a smelly room?,mold,train-00000-of-00001,B,"Question:
Mold on what will lead to a smelly room?

Which of the following is the best response to the question?

Choices:
A. make-up kit
B. carpet
C. fridge
D. refrigerator
E. cellar

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"I communicate in public streets, what is my goal?",communicate,train-00000-of-00001,A,"Question:
I communicate in public streets, what is my goal?

Which of the following is the best response to the question?

Choices:
A. speak out
B. death
C. send email
D. listen
E. think

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where is likely to have a family owned barber shop?,barber shop,train-00000-of-00001,A,"Question:
Where is likely to have a family owned barber shop?

Which of the following is the best response to the question?

Choices:
A. neighborhood
B. high street
C. canada
D. comb
E. wig store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What does a long session of procreating cause?,procreating,train-00000-of-00001,D,"Question:
What does a long session of procreating cause?

Which of the following is the best response to the question?

Choices:
A. having children
B. feeling good
C. overpopulation
D. exhaustion
E. reproduction

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What can you use hear other people but not be heard yourself?,voice,train-00000-of-00001,B,"Question:
What can you use hear other people but not be heard yourself?

Which of the following is the best response to the question?

Choices:
A. television
B. radio
C. telephone
D. mouth
E. song

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What could silicone get stuck to and cause irritation?,silicone,train-00000-of-00001,A,"Question:
What could silicone get stuck to and cause irritation?

Which of the following is the best response to the question?

Choices:
A. contact lens
B. hardware store
C. artificial breasts
D. tube
E. home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where would you keep a rug near your front door?,rug,validation-00000-of-00001,D,"Question:
Where would you keep a rug near your front door?

Which of the following is the best response to the question?

Choices:
A. persia
B. desk
C. table
D. living room
E. hall

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What might cause someone to stop driving a car?,driving car,train-00000-of-00001,D,"Question:
What might cause someone to stop driving a car?

Which of the following is the best response to the question?

Choices:
A. going someplace
B. car crash
C. boredom
D. get sleepy
E. moving

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What is the way that couples like to have fun?,have fun,train-00000-of-00001,B,"Question:
What is the way that couples like to have fun?

Which of the following is the best response to the question?

Choices:
A. laughter
B. have sex
C. crying
D. spontaneous
E. enjoy yourself

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What is the primary purpose of cars?,cars,validation-00000-of-00001,C,"Question:
What is the primary purpose of cars?

Which of the following is the best response to the question?

Choices:
A. cost money
B. slow down
C. move people
D. turn right
E. get girls

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
How does a maid start her work?,maid,train-00000-of-00001,C,"Question:
How does a maid start her work?

Which of the following is the best response to the question?

Choices:
A. cleaning house
B. bathroom
C. clean room
D. clean house
E. airing sleeping room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
