question,question_concept,_split,answer,final_prompt,len_tk_gemma2_9b_it
Billy took his desk lamp with him wherever he went.  He needed the lighting and didn't trust the lights at what places?,lamp,train-00000-of-00001,C,"Question:
Billy took his desk lamp with him wherever he went.  He needed the lighting and didn't trust the lights at what places?

Which of the following is the best response to the question?

Choices:
A. office
B. corner
C. at hotel
D. shop
E. house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"She was going to barbecue some kangaroo meat while camping in the outback, where was she?",barbecue,train-00000-of-00001,D,"Question:
She was going to barbecue some kangaroo meat while camping in the outback, where was she?

Which of the following is the best response to the question?

Choices:
A. retail store
B. detroit
C. wyoming
D. australia
E. michigan park

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"Anybody could be hired in the kitchen, what was needed of them?",anybody,validation-00000-of-00001,D,"Question:
Anybody could be hired in the kitchen, what was needed of them?

Which of the following is the best response to the question?

Choices:
A. forget
B. oil squeaky hinge
C. question authority
D. wash dishes
E. oik squeaky hinge

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"He was going to sleep at his summer home, he turned on an electric fan to air out his what?",electric fan,train-00000-of-00001,E,"Question:
He was going to sleep at his summer home, he turned on an electric fan to air out his what?

Which of the following is the best response to the question?

Choices:
A. home
B. office
C. closet
D. field
E. hot room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"For some reason she was devoid of regular emotions, buying products was the only way she could feel what?",buying products,validation-00000-of-00001,A,"Question:
For some reason she was devoid of regular emotions, buying products was the only way she could feel what?

Which of the following is the best response to the question?

Choices:
A. pleasure
B. owning
C. debt
D. spending money
E. smart

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"He had been farting and getting away with it, he didn't what?",farting,train-00000-of-00001,D,"Question:
He had been farting and getting away with it, he didn't what?

Which of the following is the best response to the question?

Choices:
A. stink up room
B. making noise
C. public disapproval
D. make noise
E. sleep in

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"The teacher walked up and down the rows of seats checking the belts, then gave the okay for the what to leave?",rows of seats,train-00000-of-00001,C,"Question:
The teacher walked up and down the rows of seats checking the belts, then gave the okay for the what to leave?

Which of the following is the best response to the question?

Choices:
A. school
B. theatre
C. bus
D. hockey game
E. theater

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Bill had to pay tax on the full price in spite of the fact that he received what?,tax,train-00000-of-00001,A,"Question:
Bill had to pay tax on the full price in spite of the fact that he received what?

Which of the following is the best response to the question?

Choices:
A. discount
B. refund
C. less money
D. death and
E. free money

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"Danny was studying statistics in class, and he something disturbing about driving.   It causes a significant number of what?",driving,train-00000-of-00001,A,"Question:
Danny was studying statistics in class, and he something disturbing about driving.   It causes a significant number of what?

Which of the following is the best response to the question?

Choices:
A. deaths
B. moving
C. car wrecks
D. using gas
E. may die

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
Bill told the audience that good things would happen to them if they gave him all of their money. Where is Bill most likely speaking?,audience,train-00000-of-00001,D,"Question:
Bill told the audience that good things would happen to them if they gave him all of their money. Where is Bill most likely speaking?

Which of the following is the best response to the question?

Choices:
A. stadium
B. hockey game
C. baseball game
D. church
E. movie theater

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
When John turned on the light he saw a severed gazelle head.  Where was John?,gazelle,train-00000-of-00001,D,"Question:
When John turned on the light he saw a severed gazelle head.  Where was John?

Which of the following is the best response to the question?

Choices:
A. ball gown
B. zoo
C. ivory coast
D. trophy room
E. kalahari desert

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"When people discover something new while chatting with friends, why are they likely to continue talking?",chatting with friends,train-00000-of-00001,E,"Question:
When people discover something new while chatting with friends, why are they likely to continue talking?

Which of the following is the best response to the question?

Choices:
A. agreement
B. to fill their time
C. discomfort
D. misunderstanding
E. learning about

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"Jane was doing housework and started sneezing when she used a cleaning agent, what did the cleaner cause in her?",doing housework,train-00000-of-00001,B,"Question:
Jane was doing housework and started sneezing when she used a cleaning agent, what did the cleaner cause in her?

Which of the following is the best response to the question?

Choices:
A. pain and suffering
B. allergies
C. cleanliness
D. fever
E. boredom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"I was invited to a party but I'm not a social person, so I decided to do what?",party,train-00000-of-00001,B,"Question:
I was invited to a party but I'm not a social person, so I decided to do what?

Which of the following is the best response to the question?

Choices:
A. meeting
B. stay home
C. medium
D. blowing off steam
E. studying

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"The man finished mowing his lawn and enjoyed a glass of lemonade on his porch, he took a sip and told himself that life was what?",life,train-00000-of-00001,A,"Question:
The man finished mowing his lawn and enjoyed a glass of lemonade on his porch, he took a sip and told himself that life was what?

Which of the following is the best response to the question?

Choices:
A. good
B. ending soon
C. fleeting
D. finite
E. important

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"Billy loved grapes and other similar foods, so for his birthday his friends bought him one of these.  What did they buy him?",grape,train-00000-of-00001,A,"Question:
Billy loved grapes and other similar foods, so for his birthday his friends bought him one of these.  What did they buy him?

Which of the following is the best response to the question?

Choices:
A. fruit basket
B. field
C. winery
D. bowl of fruit
E. kitchen

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
Johnny had a disease that kept him from playing with friends.  His family only wanted him to achieve what?,disease,train-00000-of-00001,B,"Question:
Johnny had a disease that kept him from playing with friends.  His family only wanted him to achieve what?

Which of the following is the best response to the question?

Choices:
A. healthy
B. wellness
C. passing around
D. cure
E. infect

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"The bird flew around and around, finally it landed on a branch with its what?",bird,train-00000-of-00001,D,"Question:
The bird flew around and around, finally it landed on a branch with its what?

Which of the following is the best response to the question?

Choices:
A. having for pet
B. falling down
C. feathers
D. two legs
E. two wings

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Procreating isn't the only consequence of sex.  What is even more common than kids?,procreating,train-00000-of-00001,C,"Question:
Procreating isn't the only consequence of sex.  What is even more common than kids?

Which of the following is the best response to the question?

Choices:
A. twins
B. children born
C. venereal disease
D. used condoms
E. pregnancy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where would you put an eraser if you are at home and need to go to class?,eraser,train-00000-of-00001,E,"Question:
Where would you put an eraser if you are at home and need to go to class?

Which of the following is the best response to the question?

Choices:
A. office supply store
B. desk drawer
C. schools
D. under the arm
E. pencil box

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"The old man would be stuck staying in bed, part of the nurse's job was to move him so he wouldn't get what?",staying in bed,train-00000-of-00001,A,"Question:
The old man would be stuck staying in bed, part of the nurse's job was to move him so he wouldn't get what?

Which of the following is the best response to the question?

Choices:
A. bed sores
B. missing out
C. nervous
D. comfort
E. resting

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
"The human always would have fun making up questions for the A.I. overlords, he found the task quite what?",have fun,train-00000-of-00001,E,"Question:
The human always would have fun making up questions for the A.I. overlords, he found the task quite what?

Which of the following is the best response to the question?

Choices:
A. do enjoy
B. eat cake
C. enjoy living
D. get laid
E. enjoyable

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
A monkey with a knife was spotted picking bananas from a tree.  Where might that monkey have been?,monkey,train-00000-of-00001,C,"Question:
A monkey with a knife was spotted picking bananas from a tree.  Where might that monkey have been?

Which of the following is the best response to the question?

Choices:
A. nigeria
B. brazil
C. south american country
D. rain forest
E. works

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"The man looked at the beautiful woman and knew that she could never love him after his devastating facial injury, how would he desrcibe his face?",beautiful,train-00000-of-00001,B,"Question:
The man looked at the beautiful woman and knew that she could never love him after his devastating facial injury, how would he desrcibe his face?

Which of the following is the best response to the question?

Choices:
A. remodeled
B. grotesque
C. bad
D. hideous
E. cloudy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
"They were very careful transporting the holy artifact, the last thing they wanted to do was deliver it what?",holy,train-00000-of-00001,E,"Question:
They were very careful transporting the holy artifact, the last thing they wanted to do was deliver it what?

Which of the following is the best response to the question?

Choices:
A. profane
B. common
C. halibut
D. broken
E. damaged

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"The child was asked where his ear is, what did the child respond with?",ear,train-00000-of-00001,D,"Question:
The child was asked where his ear is, what did the child respond with?

Which of the following is the best response to the question?

Choices:
A. person's head
B. serial killer's bedroom
C. ground
D. side of head
E. missing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
James was a student who had a report that is due tomorrow.  Where might he spend most of his time today?,student,train-00000-of-00001,E,"Question:
James was a student who had a report that is due tomorrow.  Where might he spend most of his time today?

Which of the following is the best response to the question?

Choices:
A. university
B. college class
C. class room
D. classroom
E. library

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"She wasn't just out windows shopping, she was filling up her cart and doing what?",shopping,train-00000-of-00001,D,"Question:
She wasn't just out windows shopping, she was filling up her cart and doing what?

Which of the following is the best response to the question?

Choices:
A. debt
B. giving up
C. meeting friends
D. purchasing
E. compare prices

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"When you get together with friends to watch film, you might do plenty of this?",watch film,validation-00000-of-00001,D,"Question:
When you get together with friends to watch film, you might do plenty of this?

Which of the following is the best response to the question?

Choices:
A. see what happens
B. enjoy stories
C. pass time
D. have fun
E. interesting

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"Joe likes to pretend, and he knows that to pretend you need something special.  What is necessary to pretend?",pretend,train-00000-of-00001,B,"Question:
Joe likes to pretend, and he knows that to pretend you need something special.  What is necessary to pretend?

Which of the following is the best response to the question?

Choices:
A. cell phone
B. have imagination
C. day dream
D. think
E. have fun with

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
John was in a ship.  It began taking water.  He was worried because the ship might do what?,water,train-00000-of-00001,A,"Question:
John was in a ship.  It began taking water.  He was worried because the ship might do what?

Which of the following is the best response to the question?

Choices:
A. sink
B. glass
C. fly
D. ocean
E. surface of earth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
The foreman told the new worker to stop standing in the way and to do what in regards to the dangerous equipment?,stop standing in,train-00000-of-00001,E,"Question:
The foreman told the new worker to stop standing in the way and to do what in regards to the dangerous equipment?

Which of the following is the best response to the question?

Choices:
A. get off
B. sit down
C. step out of
D. have moved
E. move away from

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
John saw a fox running along the beach and was glad to be on the east coast.  Where might he have been?,fox,validation-00000-of-00001,B,"Question:
John saw a fox running along the beach and was glad to be on the east coast.  Where might he have been?

Which of the following is the best response to the question?

Choices:
A. tennessee
B. south carolina
C. louisiana
D. oklahoma
E. mountains

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"If a person  answers the phone from a local area code, where might the call be coming from?",phone,train-00000-of-00001,E,"Question:
If a person  answers the phone from a local area code, where might the call be coming from?

Which of the following is the best response to the question?

Choices:
A. office
B. motel
C. desktop
D. rest area
E. neighbor's house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
What do you do when your friend needs someone to help them move next week?,friend,train-00000-of-00001,B,"Question:
What do you do when your friend needs someone to help them move next week?

Which of the following is the best response to the question?

Choices:
A. rely on
B. promise to help
C. pretend to be busy
D. offer to help
E. write letter

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"The Canadian farmer wondered if potatoes would grow where he lived, where was his likely location?",potato,train-00000-of-00001,B,"Question:
The Canadian farmer wondered if potatoes would grow where he lived, where was his likely location?

Which of the following is the best response to the question?

Choices:
A. main course
B. prince edward island
C. ireland
D. french fries
E. idaho

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
If you're going to a party in a new town what are you hoping to make?,going to party,validation-00000-of-00001,B,"Question:
If you're going to a party in a new town what are you hoping to make?

Which of the following is the best response to the question?

Choices:
A. getting drunk
B. making new friends
C. new contacts
D. doing drugs
E. set home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
What is likely to happen to a driver with an open sunroof during  rainstorm?,diving,train-00000-of-00001,D,"Question:
What is likely to happen to a driver with an open sunroof during  rainstorm?

Which of the following is the best response to the question?

Choices:
A. common cold
B. spinal injuries
C. splats
D. getting wet
E. exhilaration

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Beavers are native to the northwest of north american such as what canadian region?,beaver,train-00000-of-00001,A,"Question:
Beavers are native to the northwest of north american such as what canadian region?

Which of the following is the best response to the question?

Choices:
A. british columbia
B. woodlands
C. wooded area
D. niagara falls
E. body of water

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"The man working in the attic swatted away a bee, but soon the single bee was an entire what?",bee,validation-00000-of-00001,A,"Question:
The man working in the attic swatted away a bee, but soon the single bee was an entire what?

Which of the following is the best response to the question?

Choices:
A. swarm
B. pack
C. countryside
D. soft drink
E. field of flowers

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"The women decided it was time to talk about the issue, they were tired of staying and what?",talk,train-00000-of-00001,B,"Question:
The women decided it was time to talk about the issue, they were tired of staying and what?

Which of the following is the best response to the question?

Choices:
A. keeping quiet
B. being silent
C. sit silently
D. magazine
E. think of to say

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
James was a collector of literature.  Where might he have gone to get some?,literature,train-00000-of-00001,A,"Question:
James was a collector of literature.  Where might he have gone to get some?

Which of the following is the best response to the question?

Choices:
A. public library
B. own home
C. shelf
D. yard sales
E. books and magazines

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"After becoming inebriated, she laid down on a bench, what happened afterwards?",becoming inebriated,train-00000-of-00001,E,"Question:
After becoming inebriated, she laid down on a bench, what happened afterwards?

Which of the following is the best response to the question?

Choices:
A. death and destruction
B. fall down
C. drunkenness
D. sleeping
E. pass out

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Loraine didn't like drinking alcohol. She didn't get a buzz from it.  What might she have experienced when drinking?,drinking alcohol,train-00000-of-00001,E,"Question:
Loraine didn't like drinking alcohol. She didn't get a buzz from it.  What might she have experienced when drinking?

Which of the following is the best response to the question?

Choices:
A. intoxication
B. toxicity
C. getting laid
D. sickness
E. nausea

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
Where could you go to between 1000 and 10000 restaurant?,restaurant,validation-00000-of-00001,A,"Question:
Where could you go to between 1000 and 10000 restaurant?

Which of the following is the best response to the question?

Choices:
A. big city
B. town
C. small town
D. canada
E. yellow pages

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"She knew what presents she was getting, none of them were what she wanted and so she felt what?",getting,train-00000-of-00001,E,"Question:
She knew what presents she was getting, none of them were what she wanted and so she felt what?

Which of the following is the best response to the question?

Choices:
A. excited
B. ownership
C. satisfaction
D. being happy
E. disappointment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
John needed to go across the country so he ordered tickets online and got into his car.  Where might he be going?,tickets,train-00000-of-00001,A,"Question:
John needed to go across the country so he ordered tickets online and got into his car.  Where might he be going?

Which of the following is the best response to the question?

Choices:
A. train station
B. opera
C. car rental shop
D. show
E. race track

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
Where would you only need a shopping bag if you did not finish what you got there?,shopping bag,train-00000-of-00001,B,"Question:
Where would you only need a shopping bag if you did not finish what you got there?

Which of the following is the best response to the question?

Choices:
A. mart
B. restaurant
C. relative's home
D. supermarket
E. grocery store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"Billy held the key information that Lorna needed.  Without that, Lorna couldn't find what?",key,train-00000-of-00001,E,"Question:
Billy held the key information that Lorna needed.  Without that, Lorna couldn't find what?

Which of the following is the best response to the question?

Choices:
A. bus stand
B. turn lock
C. front door
D. open doors
E. solution to problem

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
Sally likes to create art. It's better than sex. Putting brush to canvas gives you what sort of feeling?,creating art,train-00000-of-00001,D,"Question:
Sally likes to create art. It's better than sex. Putting brush to canvas gives you what sort of feeling?

Which of the following is the best response to the question?

Choices:
A. frustration
B. pride
C. communication
D. pleasure
E. work of art

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"The living room is a common area for the family, it really makes it feel like a what?",living room,train-00000-of-00001,E,"Question:
The living room is a common area for the family, it really makes it feel like a what?

Which of the following is the best response to the question?

Choices:
A. porch
B. friend's house
C. formal seating
D. apartment
E. home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What is not a safe way to transport jewelry on vacation?,jewelry,train-00000-of-00001,A,"Question:
What is not a safe way to transport jewelry on vacation?

Which of the following is the best response to the question?

Choices:
A. suitcase
B. department store
C. safe deposit box
D. these twos are not safe way to transport jewellery
E. lady's boudoir

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"People always talked childlike to him, even though his disability was physical and didn't affect his what?",disability,train-00000-of-00001,E,"Question:
People always talked childlike to him, even though his disability was physical and didn't affect his what?

Which of the following is the best response to the question?

Choices:
A. strength
B. brain
C. potential
D. qualification
E. competence

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"The crab was separated from his compatriots out in the sea, where was he likely to be?",crab,train-00000-of-00001,C,"Question:
The crab was separated from his compatriots out in the sea, where was he likely to be?

Which of the following is the best response to the question?

Choices:
A. fish market
B. cooking pot
C. tide pool
D. beach sand
E. farm

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
If you're going to buy a house for your family you're about to do what?,buy house,train-00000-of-00001,C,"Question:
If you're going to buy a house for your family you're about to do what?

Which of the following is the best response to the question?

Choices:
A. make money
B. closet space
C. settle down
D. lose money
E. pay for

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"If someone mean wanted to insult somebody by calling them a fruit, where is probably not the smartest place to do it?",fruit,validation-00000-of-00001,A,"Question:
If someone mean wanted to insult somebody by calling them a fruit, where is probably not the smartest place to do it?

Which of the following is the best response to the question?

Choices:
A. gay bar
B. market
C. grocery store
D. refrigerator
E. container

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
Where do people who use a puck for living go at the end of their work day?,puck,train-00000-of-00001,A,"Question:
Where do people who use a puck for living go at the end of their work day?

Which of the following is the best response to the question?

Choices:
A. locker room
B. desert
C. ice hockey game
D. sporting goods store
E. hockey rink

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"It may have many an eye but it doesn't see you peel it's skin off, what is it?",eye,train-00000-of-00001,A,"Question:
It may have many an eye but it doesn't see you peel it's skin off, what is it?

Which of the following is the best response to the question?

Choices:
A. potato
B. faces
C. lizard
D. person's head
E. mammal

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"His parents thought he was suffering from boredom, but the teen loved to lay in bed and just do what?",boredom,validation-00000-of-00001,C,"Question:
His parents thought he was suffering from boredom, but the teen loved to lay in bed and just do what?

Which of the following is the best response to the question?

Choices:
A. meet interesting people
B. lift weights
C. listen to music
D. play chess
E. entertain

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
Sarah was not a little girl anymore.  She learned the hard way when buying new clothes.  What size might she have worn?,little,train-00000-of-00001,A,"Question:
Sarah was not a little girl anymore.  She learned the hard way when buying new clothes.  What size might she have worn?

Which of the following is the best response to the question?

Choices:
A. large
B. big
C. see work
D. lot of
E. bog

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"When a company wants to let people know about upcoming deals and offers, what do they do?",company,train-00000-of-00001,E,"Question:
When a company wants to let people know about upcoming deals and offers, what do they do?

Which of the following is the best response to the question?

Choices:
A. branch out
B. call
C. own factory
D. pay employees
E. mail clients

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"If two people are walking into a house, what do they plan to do?",people,train-00000-of-00001,B,"Question:
If two people are walking into a house, what do they plan to do?

Which of the following is the best response to the question?

Choices:
A. talk to each other
B. sleep together
C. need each other
D. own things
E. have fun

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"You could call it jackson for short, but you'd be leaving out a hole when talking about a place where?",jackson,train-00000-of-00001,E,"Question:
You could call it jackson for short, but you'd be leaving out a hole when talking about a place where?

Which of the following is the best response to the question?

Choices:
A. lousiana
B. tennessee
C. jack
D. mississippi
E. wyoming

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"He was lost going up and down the long hall, it must've been a very what to contain a hall that long?",hall,train-00000-of-00001,D,"Question:
He was lost going up and down the long hall, it must've been a very what to contain a hall that long?

Which of the following is the best response to the question?

Choices:
A. prison
B. conference
C. dormitory
D. large building
E. inside

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"Bobby was just having fun when he jumped off of the slide, but that didn't help.  When he landed, he had what?",having fun,train-00000-of-00001,B,"Question:
Bobby was just having fun when he jumped off of the slide, but that didn't help.  When he landed, he had what?

Which of the following is the best response to the question?

Choices:
A. glee
B. injuries
C. being happy
D. sandwiches
E. pleasure

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"There are a lot of ways to relax, for this person it is simply opening one up and what?",person,train-00000-of-00001,E,"Question:
There are a lot of ways to relax, for this person it is simply opening one up and what?

Which of the following is the best response to the question?

Choices:
A. more rice
B. own house
C. warm coat
D. light up
E. read book

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"Where are you If you're on a road that passes a group of residences, stores, and other public buildings?",road,train-00000-of-00001,C,"Question:
Where are you If you're on a road that passes a group of residences, stores, and other public buildings?

Which of the following is the best response to the question?

Choices:
A. valley
B. bridge
C. town
D. highway
E. north america

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"If a person is craving lemonade and there's a festival in town, where might they go to quench their thirst?",lemonade,train-00000-of-00001,D,"Question:
If a person is craving lemonade and there's a festival in town, where might they go to quench their thirst?

Which of the following is the best response to the question?

Choices:
A. cabin
B. concert
C. carnival
D. fairgrounds
E. refrigerator

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"The baby heard his mom talk for months, what did he do as a result?",baby,train-00000-of-00001,E,"Question:
The baby heard his mom talk for months, what did he do as a result?

Which of the following is the best response to the question?

Choices:
A. learn to speak
B. talk nonsense
C. talk rubbish
D. boy or girl
E. begin to talk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Where can you spend the night on the ground floor when you're away from home?,ground floor,train-00000-of-00001,C,"Question:
Where can you spend the night on the ground floor when you're away from home?

Which of the following is the best response to the question?

Choices:
A. brownstone
B. highrise building
C. hotel
D. subway
E. office building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What could have a title on it which takes up a large percentage of the space?,title,train-00000-of-00001,A,"Question:
What could have a title on it which takes up a large percentage of the space?

Which of the following is the best response to the question?

Choices:
A. magazine article
B. safe deposit box
C. indicating accomplishment
D. indicating identity
E. library

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"If people are looking for fun in the summertime, where's one good place for them to go?",people,train-00000-of-00001,B,"Question:
If people are looking for fun in the summertime, where's one good place for them to go?

Which of the following is the best response to the question?

Choices:
A. confession
B. carnival
C. meetings
D. state park
E. supermarket

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"When people are learning about science and not burdened by the morals of a higher power, they are more likely to come up with what?",learning about science,train-00000-of-00001,B,"Question:
When people are learning about science and not burdened by the morals of a higher power, they are more likely to come up with what?

Which of the following is the best response to the question?

Choices:
A. experiment
B. new ideas
C. scientific knowledge
D. enlightened
E. atheism

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
What can you do in front of a tv if you have curiosity about what is being displayed on the tv?,curiosity,train-00000-of-00001,D,"Question:
What can you do in front of a tv if you have curiosity about what is being displayed on the tv?

Which of the following is the best response to the question?

Choices:
A. search the web
B. go somewhere
C. read book
D. see favorite show
E. analyse

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"When two people who love each other are alone, they will probably try to contact each other and get what?",alone,train-00000-of-00001,D,"Question:
When two people who love each other are alone, they will probably try to contact each other and get what?

Which of the following is the best response to the question?

Choices:
A. with others
B. with people
C. crowded
D. together
E. contact

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"If you're typing for a long time, what's a sign you should take a break?",typing,train-00000-of-00001,A,"Question:
If you're typing for a long time, what's a sign you should take a break?

Which of the following is the best response to the question?

Choices:
A. pain
B. carpal tunnel syndrome
C. letter
D. thirst
E. printed word

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"The person was frustrated when she couldn't find what she was looking for online, what did she desire?",person,train-00000-of-00001,C,"Question:
The person was frustrated when she couldn't find what she was looking for online, what did she desire?

Which of the following is the best response to the question?

Choices:
A. food and water
B. acknowledgment
C. freedom of information
D. information
E. freedom of expression

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"He was finally able to experience seeing his idea become reality, how  is he likely to feel?",seeing idea become reality,train-00000-of-00001,B,"Question:
He was finally able to experience seeing his idea become reality, how  is he likely to feel?

Which of the following is the best response to the question?

Choices:
A. sad
B. very nice
C. inspiration
D. fulfilling
E. make money

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Jim decided to lose weight.  He thought that exercise is the best way to lose weight because you can't get rid of what?,exercise,validation-00000-of-00001,A,"Question:
Jim decided to lose weight.  He thought that exercise is the best way to lose weight because you can't get rid of what?

Which of the following is the best response to the question?

Choices:
A. need for food
B. fitness
C. sweating
D. fastfood
E. thirst

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
The baking open is sometimes made of brick in what kind of place where you get round food?,baking oven,train-00000-of-00001,D,"Question:
The baking open is sometimes made of brick in what kind of place where you get round food?

Which of the following is the best response to the question?

Choices:
A. stove
B. house
C. person's kitchen
D. pizza parlor
E. new york

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where would you put a dead body if you do not want anyone to find it and you do not have a car?,dead body,train-00000-of-00001,D,"Question:
Where would you put a dead body if you do not want anyone to find it and you do not have a car?

Which of the following is the best response to the question?

Choices:
A. trunk
B. corner of two streets
C. police station
D. basement
E. funeral

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"The weasel was scavenging in the cold winter on a farmer's land, where was he likely?",weasel,train-00000-of-00001,D,"Question:
The weasel was scavenging in the cold winter on a farmer's land, where was he likely?

Which of the following is the best response to the question?

Choices:
A. fairytale
B. mountain
C. great outdoors
D. corn fields
E. chicken coop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"If the kitten was going to grow up to be a mouser like it's mother, where should it spend most of it's time?",kitten,validation-00000-of-00001,D,"Question:
If the kitten was going to grow up to be a mouser like it's mother, where should it spend most of it's time?

Which of the following is the best response to the question?

Choices:
A. shelter
B. floor
C. warm place
D. farmhouse
E. living room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"After being in space the astronaut was happy to be breathing fresh air, it left him what?",breathing fresh air,train-00000-of-00001,B,"Question:
After being in space the astronaut was happy to be breathing fresh air, it left him what?

Which of the following is the best response to the question?

Choices:
A. breathe deeply
B. feeling good
C. feel refreshed
D. living
E. continue

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
John is studying animals.   What is one of the many things he has to watch them doing?,animals,train-00000-of-00001,E,"Question:
John is studying animals.   What is one of the many things he has to watch them doing?

Which of the following is the best response to the question?

Choices:
A. bathe
B. bite
C. die of cancer
D. obesity
E. copulate

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
You can hear testimony of how spirituality changes lives when you do what?,hear testimony,train-00000-of-00001,A,"Question:
You can hear testimony of how spirituality changes lives when you do what?

Which of the following is the best response to the question?

Choices:
A. go to church
B. appear in court
C. watch soap operas
D. paying attention
E. go into court

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"He finished installing a swinging hinge on both parts, she had always wanted a fancy what?",hinge,train-00000-of-00001,C,"Question:
He finished installing a swinging hinge on both parts, she had always wanted a fancy what?

Which of the following is the best response to the question?

Choices:
A. swing door
B. gate
C. french door
D. car door
E. exterior door

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
