question,subject,split,answer,final_prompt,len_tk_mistral_7b_instruct
"A nonconducting sphere is given a nonzero net electric charge, +Q, and then brought close to a neutral conducting sphere of the same radius. Which of the following will be true?",high_school_physics,test-00000-of-00001,C,"A nonconducting sphere is given a nonzero net electric charge, +Q, and then brought close to a neutral conducting sphere of the same radius. Which of the following will be true?

Choices:
A. An electric field will be induced within the conducting sphere.
B. The conducting sphere will develop a net electric charge of –Q.
C. The spheres will experience an electrostatic attraction.
D. The spheres will experience an electrostatic repulsion.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
The appeal to joy fallacy involves,logical_fallacies,test-00000-of-00001,A,"The appeal to joy fallacy involves

Choices:
A. arguing that someone should do something based only on the assertion that it will make him or her feel happier
B. causing confusion during refutation because of a lack of ability to engage in refutation
C. arguing for a conclusion based only on feeling sorry for someone when that feeling is irrelevant to the conclusion
D. arguing someone should do something only because other people will like him or her for doing it

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
"Which of the following propositions is an immediate (one-step) consequence in PL of the given premises?
(A ∨ B) ⊃ (C ∨ D)
A ∨ B
~C",formal_logic,test-00000-of-00001,C,"Which of the following propositions is an immediate (one-step) consequence in PL of the given premises?
(A ∨ B) ⊃ (C ∨ D)
A ∨ B
~C

Choices:
A. ~A ∨ ~B
B. ~~C
C. C ∨ D
D. (A ∨ B) ⊃ D

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
The largest proportion of variation in therapy outcome is accounted for by,professional_psychology,test-00000-of-00001,A,"The largest proportion of variation in therapy outcome is accounted for by

Choices:
A. pre-existing client factors, such as the motivation to-change
B. therapeutic technique variables, such as the ability to be directive and still keep the patient in therapy
C. therapist personality factors, such as warmth and empathy
D. therapist—client interactions, such as the (favorable) combination of 2 cold therapists with a manipulative client

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
"Clams, oysters, and mussels eat plankton filtered from water. How would clams, oysters, and mussels most likely be affected if the amount of plankton in a large body of water was significantly reduced?",,auxiliary_train-00000-of-00001,D,"Clams, oysters, and mussels eat plankton filtered from water. How would clams, oysters, and mussels most likely be affected if the amount of plankton in a large body of water was significantly reduced?

Choices:
A. They would increase in number.
B. They would find a new food source.
C. They would become prey to other animals.
D. They would compete for a limited food source.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
Which of the following is a true statement about the flow of energy in an ecosystem?,miscellaneous,test-00000-of-00001,C,"Which of the following is a true statement about the flow of energy in an ecosystem?

Choices:
A. Smaller organisms need less energy per gram of body weight than do larger organisms.
B. Energy transfer between organisms normally involves conservation of heat energy.
C. Energy flow between trophic levels is inefficient.
D. Chemical energy is converted into radiant energy, which is then converted into chemical energy at the next trophic level.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
All of the following have been cited as evidence for the Giant Impact Hypothesis except:,astronomy,test-00000-of-00001,B,"All of the following have been cited as evidence for the Giant Impact Hypothesis except:

Choices:
A. The relative size of the Moon to the size of Earth is large compared to most planets and their moon.
B. Most rocks on the Moon’s surface are older than those on the Earth’s surface.
C. The Moon has a much smaller iron core than the Earth even considering its size.
D. The Moon was once entirely molten.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
Meteorologists categorize hurricanes based on the Saffir-Simpson scale. The scale measures the intensity and destructive potential of hurricanes. Which factor has the most significant effect on the strength of a hurricane?,,auxiliary_train-00000-of-00001,D,"Meteorologists categorize hurricanes based on the Saffir-Simpson scale. The scale measures the intensity and destructive potential of hurricanes. Which factor has the most significant effect on the strength of a hurricane?

Choices:
A. the initial speed of a hurricane
B. the direction that the hurricane rotates
C. the number of hurricanes that form in a year
D. the temperature of the water below the hurricane

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
Your client is on probation and your ongoing treatment is a condition of his probation. He informs you that he wishes to terminate treatment. You should ___________.,professional_psychology,test-00000-of-00001,D,"Your client is on probation and your ongoing treatment is a condition of his probation. He informs you that he wishes to terminate treatment. You should ___________.

Choices:
A. Inform your client’s probation officer
B. Insist that your client stay in therapy
C. Agree to termination because your client has free choice
D. Discuss the possible ramifications and legal consequences of terminating therapy without informing his probation officer

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
I have six baskets. Three are big . Three are small . I have some pears and some oranges . I put three pears in each big basket and four oranges in each small basket . The number of oranges is my age . What are those in the small basket ?,,auxiliary_train-00000-of-00001,B,"I have six baskets. Three are big . Three are small . I have some pears and some oranges . I put three pears in each big basket and four oranges in each small basket . The number of oranges is my age . What are those in the small basket ?

Choices:
A. Nine pears
B. Four oranges
C. Three pears and three oranges
D. Nine pears and three oranges.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
Which statement correctly describes a relationship between the distance from Earth and a characteristic of a star?,,auxiliary_train-00000-of-00001,C,"Which statement correctly describes a relationship between the distance from Earth and a characteristic of a star?

Choices:
A. As the distance from Earth to the star decreases, its size increases.
B. As the distance from Earth to the star increases, its size decreases.
C. As the distance from Earth to the star decreases, its apparent brightness increases.
D. As the distance from Earth to the star increases, its apparent brightness increases.

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
A tube of water is traveling at 1/2 c relative to the lab frame when a beam of light traveling in the same direction as the tube enters it. What is the speed of light in the water relative to the lab frame? (The index of refraction of water is 4/3.),college_physics,test-00000-of-00001,D,"A tube of water is traveling at 1/2 c relative to the lab frame when a beam of light traveling in the same direction as the tube enters it. What is the speed of light in the water relative to the lab frame? (The index of refraction of water is 4/3.)

Choices:
A. 1/2 c
B. 2/3 c
C. 5/6 c
D. 10/11 c

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
"Of the following potential benefits, which is LEAST likely to be provided by the upgraded system?",high_school_computer_science,test-00000-of-00001,B,"Of the following potential benefits, which is LEAST likely to be provided by the upgraded system?

Choices:
A. Human representatives will not be needed to respond to some inquiries.
B. The company will be able to provide a human representative for any incoming call.
C. Customers are likely to spend less time listening to information not relevant to their issue.
D. Customers will be unable to mistakenly select the incorrect department for their particular issue.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
Dr. Marcos Manzetti uses a “sliding scale” that is based on a client’s current income to set his fees for therapy. Dr. Manzetti’s practice is:,professional_psychology,test-00000-of-00001,A,"Dr. Marcos Manzetti uses a “sliding scale” that is based on a client’s current income to set his fees for therapy. Dr. Manzetti’s practice is:

Choices:
A. ethically acceptable since it serves the best interests of his clients.
B. explicitly recommended in the ethical guidelines.
C. ethically unacceptable since it treats clients inequitably.
D. explicitly prohibited in the ethical guidelines.

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
"Alice has 8 buckets. Each bucket has t tennis balls in it. There are a total of 56 tennis balls in the buckets. Which number sentence shows how to find, t, the number of tennis balls in each bucket?",elementary_mathematics,test-00000-of-00001,B,"Alice has 8 buckets. Each bucket has t tennis balls in it. There are a total of 56 tennis balls in the buckets. Which number sentence shows how to find, t, the number of tennis balls in each bucket?

Choices:
A. 8 ÷ t = 56
B. 8 × t = 56
C. t + 8 = 56
D. t ÷ 8 = 56

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
"k digits are to be chosen at random (with repetitions allowed) from {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}. What is the probability that 0 will not be chosen?",college_mathematics,validation-00000-of-00001,A,"k digits are to be chosen at random (with repetitions allowed) from {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}. What is the probability that 0 will not be chosen?

Choices:
A. (9/10)^k
B. (1/10)^k
C. (k-1)/k
D. 1/10

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
"Which of the following statements is not true?
",nutrition,test-00000-of-00001,C,"Which of the following statements is not true?


Choices:
A. Docosahexaenoic acid can be synthesised from linolenic acid in vegans
B. Docosahexaenoic acid is absent from vegan diets
C. Lack of docosahexaenoic acid in vegans causes visual and cognitive impairment
D. Microalgae can be used to synthesise docosahexaenoic acid

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
Poverty as defined by the United States government is best understood as,miscellaneous,test-00000-of-00001,C,"Poverty as defined by the United States government is best understood as

Choices:
A. the index value of government services such as Medicaid and public housing
B. the concept of relative deprivation and is based on changes in the distribution of income
C. an absolute level set in the 1960s and since adjusted to reflect inflation at the consumer level
D. a concept based on lifestyle and measured on a sliding scale based on the needs of an individual

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
The _ad nauseam_ fallacy is,logical_fallacies,test-00000-of-00001,C,"The _ad nauseam_ fallacy is

Choices:
A. arguing that something should be done because that's the way it's been done in the past.
B. arguing that an act should be carried out because it will not have any significant consequences, when there is no evidence of the effects
C. reasoning that a conclusion is true because it's been claimed so often
D. reasoning that a claim is true because so many people believe it is true

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
 Carens's main conclusion is that,moral_disputes,test-00000-of-00001,A," Carens's main conclusion is that

Choices:
A. liberal egalitarianism should almost always press for more openness toward immigrants and refugees.
B. liberal egalitarianism, contrary to appearances, entails that only closed border immigration policies are acceptable.
C. egalitarianism is founded on sentiments of envy and is therefore unjustified.
D. liberal egalitarian objections to anticosmopolitanism do not succeed.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
"As a child, Fara’s responsibilities were to help her mother in the kitchen while her brother and father mowed the lawn. She was expected to do the housework like her mother while her brother did yard work like their father. What part of Feminist Therapy addresses these issues?",professional_psychology,test-00000-of-00001,B,"As a child, Fara’s responsibilities were to help her mother in the kitchen while her brother and father mowed the lawn. She was expected to do the housework like her mother while her brother did yard work like their father. What part of Feminist Therapy addresses these issues?

Choices:
A. Self In Relation
B. Feminist Object Relations
C. Empowerment Therapy
D. Household Responsibilities

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
"To achieve an 0/1 loss estimate that is less than 1 percent of the true 0/1 loss (with probability 95%), according to Hoeffding's inequality the IID test set must have how many examples?",machine_learning,dev-00000-of-00001,D,"To achieve an 0/1 loss estimate that is less than 1 percent of the true 0/1 loss (with probability 95%), according to Hoeffding's inequality the IID test set must have how many examples?

Choices:
A. around 10 examples
B. around 100 examples
C. between 100 and 500 examples
D. more than 1000 examples

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
In astronomy the concept of black bodies is very important to better calculate the radiation of stars. Which one is the correct definition of a black body?,astronomy,validation-00000-of-00001,B,"In astronomy the concept of black bodies is very important to better calculate the radiation of stars. Which one is the correct definition of a black body?

Choices:
A. An idealized physical object that reflects all electromagnetic radiation.
B. An idealized physical object that absorbs all electromagnetic radiation.
C. An idealized physical object that reflects all polarized radiation.
D. An idealized physical object that absorbs all polarized radiation.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
Research indicates that a test participant exposed to a list of positive words and then asked to recall the words from that list a week later will be more likely to remember those words if he,high_school_psychology,test-00000-of-00001,B,"Research indicates that a test participant exposed to a list of positive words and then asked to recall the words from that list a week later will be more likely to remember those words if he

Choices:
A. is tested by a researcher who deliberately exhibits a positive attitude
B. is in a positive mood when initially exposed to the words
C. considers himself a ""positive"" person, regardless of his mood during the experience
D. considers the initial testing experience positive

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
"Stem cells are cells that can differentiate into many different kinds of cells. Scientists have discovered that the environment supporting the cells influences stem-cell differentiation. For example, stem cells grown on strong, flexible surfaces became muscle cells. What most likely happened to stem cells grown on a hard, rigid surface?",,auxiliary_train-00000-of-00001,C,"Stem cells are cells that can differentiate into many different kinds of cells. Scientists have discovered that the environment supporting the cells influences stem-cell differentiation. For example, stem cells grown on strong, flexible surfaces became muscle cells. What most likely happened to stem cells grown on a hard, rigid surface?

Choices:
A. They became nerve cells.
B. They became red blood cells.
C. They became bone cells.
D. They became skin cells.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
Which of the following best describes ethical guidelines regarding barter as a substitute for the collection of fees for professional psychological services?,professional_psychology,test-00000-of-00001,A,"Which of the following best describes ethical guidelines regarding barter as a substitute for the collection of fees for professional psychological services?

Choices:
A. Barter may be acceptable when certain conditions are met.
B. The barter of goods (but not services) is prohibited by ethical guidelines.
C. The barter of services (but not goods) is prohibited by ethical guidelines.
D. Barter of any kind is prohibited by ethical guidelines.

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
Which best describes how ice cores are important to the study of geologic history?,,auxiliary_train-00000-of-00001,C,"Which best describes how ice cores are important to the study of geologic history?

Choices:
A. They show unconformities, which signal changes in deposition.
B. They hold index fossils, which are used to date the different ice cores.
C. They contain evidence showing changes in the atmospheric composition over time.
D. They follow the Law of Superposition, which gives reasons for extinctions of species.

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
Which of the following pairs of substances would make a good buffer solution?,high_school_chemistry,validation-00000-of-00001,A,"Which of the following pairs of substances would make a good buffer solution?

Choices:
A. HC2H3O2(aq) and NaC2H3O2(aq)
B. H2SO4(aq) and LiOH(aq)
C. HCl(aq) and KCl(aq)
D. HF(aq) and NH3(aq)

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
"In clear weather, a bright light can be seen for a long distance. In conditions of heavy fog, the visibility is greatly reduced. Which of the following explains the reduced visibility?",,auxiliary_train-00000-of-00001,B,"In clear weather, a bright light can be seen for a long distance. In conditions of heavy fog, the visibility is greatly reduced. Which of the following explains the reduced visibility?

Choices:
A. Light is refracted by water vapor in the air.
B. Light is scattered by water droplets in the air.
C. Light is absorbed by water vapor near the ground.
D. Light is reflected by water droplets on the ground.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
Which statement correctly describes a relationship between two human body systems?,,auxiliary_train-00000-of-00001,B,"Which statement correctly describes a relationship between two human body systems?

Choices:
A. The digestive system absorbs nutrients which are transported by the nervous system.
B. The digestive system absorbs nutrients which are transported by the circulatory system.
C. The circulatory system exchanges gases which are transported by the nervous system.
D. The circulatory system exchanges gases which are transported by the digestive system.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
Which BEST explains why green marine algae are most often restricted to the top 100 meters of the ocean?,,auxiliary_train-00000-of-00001,B,"Which BEST explains why green marine algae are most often restricted to the top 100 meters of the ocean?

Choices:
A. They have no roots to anchor them to the ocean floor.
B. They can live only where there is light.
C. The pressure is too great for them to survive below 100 meters.
D. If the algae lived below 100 meters they would be eaten by animals.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
Robert Nozick's proposes the formula r x H as a guide to determine the appropriate punishment. What does it mean?,jurisprudence,test-00000-of-00001,B,"Robert Nozick's proposes the formula r x H as a guide to determine the appropriate punishment. What does it mean?

Choices:
A. Effectiveness of rehabilitation of multiplied by hazard to the community.
B. Extent of responsibility multiplied by actual harm done.
C. Risk of violence multiplied by degree of humility of offender.
D. Recidivism multiplied by defendant's history.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
"Dr. Tanaka discovered a new virus. The virus has a single strand of a nucleic acid, but she does not know if it is DNA or RNA. After running tests, she concludes that it is DNA. Which of the following would lead her to that conclusion?",,auxiliary_train-00000-of-00001,C,"Dr. Tanaka discovered a new virus. The virus has a single strand of a nucleic acid, but she does not know if it is DNA or RNA. After running tests, she concludes that it is DNA. Which of the following would lead her to that conclusion?

Choices:
A. It contains uracil.
B. It contains adenine.
C. It contains thymine.
D. It contains cytosine.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
"Determine the H+(aq) concentration in 1.0 M phenol, C6H5OH, solution. (The Ka for phenol is 1 × 10^-10.)",high_school_chemistry,test-00000-of-00001,D,"Determine the H+(aq) concentration in 1.0 M phenol, C6H5OH, solution. (The Ka for phenol is 1 × 10^-10.)

Choices:
A. 1 × 10^-10 M
B. 1 × 10^-9 M
C. 1 × 10^-3 M
D. 1 × 10^-5 M

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
"On her previous five attempts Sarah had achieved times, in seconds, of 86, 94, 97, 88 and 96, for swimming 50 meters. After her sixth try she brought her median time down to 92 seconds. What was her time, in seconds, for her sixth attempt?",high_school_mathematics,test-00000-of-00001,B,"On her previous five attempts Sarah had achieved times, in seconds, of 86, 94, 97, 88 and 96, for swimming 50 meters. After her sixth try she brought her median time down to 92 seconds. What was her time, in seconds, for her sixth attempt?

Choices:
A. 92
B. 90
C. 87
D. 10

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
"In a certain population of squirrels that is in Hardy-Weinberg equilibrium, black color is a recessive phenotype present in 9 percent of the squirrels, and 91 percent are gray. What percentage of the population is homozygous dominant for this trait?",high_school_biology,validation-00000-of-00001,C,"In a certain population of squirrels that is in Hardy-Weinberg equilibrium, black color is a recessive phenotype present in 9 percent of the squirrels, and 91 percent are gray. What percentage of the population is homozygous dominant for this trait?

Choices:
A. 21 percent
B. 30 percent
C. 49 percent
D. 70 percent

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
" The main difference between ""actual act principles"" (like the harm principle) and ""internal principles"" (like the universalizability principle) is that",moral_disputes,validation-00000-of-00001,A," The main difference between ""actual act principles"" (like the harm principle) and ""internal principles"" (like the universalizability principle) is that

Choices:
A. internal principles focus on the agent's motives for acting.
B. internal principles focus only on the immediate effects of an action.
C. actual act principles focus on the agent's actual motives for acting.
D. actual act principles concern how we ought to think about other people.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
"If the point $(3,6)$ is on the graph of $y=g(x)$, and $h(x)=(g(x))^2$ for all $x$, then there is one point that must be on the graph of $y=h(x)$. What is the sum of the coordinates of that point?",high_school_mathematics,test-00000-of-00001,C,"If the point $(3,6)$ is on the graph of $y=g(x)$, and $h(x)=(g(x))^2$ for all $x$, then there is one point that must be on the graph of $y=h(x)$. What is the sum of the coordinates of that point?

Choices:
A. 12
B. 36
C. 39
D. 13

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
"Which of the following statements about horizontal versus vertical microarchitecture is (are) true?
I. Programs for horizontal architectures require more time steps than those for vertical architectures.
II. Horizontal microinstructions are unencoded.
III. Horizontal microinstructions usually have a single opcode and multiple operand specifiers.",college_computer_science,test-00000-of-00001,B,"Which of the following statements about horizontal versus vertical microarchitecture is (are) true?
I. Programs for horizontal architectures require more time steps than those for vertical architectures.
II. Horizontal microinstructions are unencoded.
III. Horizontal microinstructions usually have a single opcode and multiple operand specifiers.

Choices:
A. I only
B. II only
C. III only
D. II and III only

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
A CPA prepared a tax return that involved a tax shelter transaction that was disclosed on the return. In which of the following situations would a tax return preparer penalty not be applicable?,professional_accounting,test-00000-of-00001,B,"A CPA prepared a tax return that involved a tax shelter transaction that was disclosed on the return. In which of the following situations would a tax return preparer penalty not be applicable?

Choices:
A. There was substantial authority for the position.
B. It is reasonable to believe that the position would more likely that not be upheld.
C. There was a reasonable possibility of success for the position.
D. There was a reasonable basis for the position.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
"A horizontal spring-block oscillator is in motion when a second block of equal mass falls on top of the oscillating block. If the two blocks stick together, what effect will this have on the amplitude of the oscillations?",high_school_physics,test-00000-of-00001,D,"A horizontal spring-block oscillator is in motion when a second block of equal mass falls on top of the oscillating block. If the two blocks stick together, what effect will this have on the amplitude of the oscillations?

Choices:
A. It will increase the amplitude.
B. It will decrease the amplitude.
C. It will have no effect.
D. It would depend on where the original block was in its cycle when the second block fell.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
Which of the following is not a correct definition?,security_studies,test-00000-of-00001,D,"Which of the following is not a correct definition?

Choices:
A. Acting subjects: who or what is acting to produce security or insecurity.
B. Substantive content: what being secure looks like and what conditions must exist for us to be able to say we are secure.
C. Referent object: whom or what we act to make secure.
D. Objective security: when a matter is objectively considered a security issue, regardless of interpretation.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
"Every time you buy ice cream from the Yellow Brick Road ice cream parlor, you get your over-the-rainbow card stamped. Once you purchase ten items, you get your next item free. The Yellow Brick Road ice cream parlor has you on which of the following reinforcement schedules?",high_school_psychology,test-00000-of-00001,C,"Every time you buy ice cream from the Yellow Brick Road ice cream parlor, you get your over-the-rainbow card stamped. Once you purchase ten items, you get your next item free. The Yellow Brick Road ice cream parlor has you on which of the following reinforcement schedules?

Choices:
A. Variable-ratio
B. Variable-interval
C. Fixed-ratio
D. Fixed-interval

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
Earth's magnetosphere is not uniformly shaped. It is compressed on the side facing the Sun and has a long tail extending away from the Sun. Which phenomenon is responsible for this shape?,,auxiliary_train-00000-of-00001,C,"Earth's magnetosphere is not uniformly shaped. It is compressed on the side facing the Sun and has a long tail extending away from the Sun. Which phenomenon is responsible for this shape?

Choices:
A. centripetal force of Earth's rotation
B. gravitational attraction between Earth and the Sun
C. solar winds bringing high-energy particles toward Earth
D. differences in the distance between Earth and the Sun during Earth's orbit

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
In a study in which depressed individuals presenting for outpatient mental health treatment are randomly assigned to either cognitive behavioral or brief dynamic treatment and both groups are assessed at pretest and posttest:,professional_psychology,test-00000-of-00001,D,"In a study in which depressed individuals presenting for outpatient mental health treatment are randomly assigned to either cognitive behavioral or brief dynamic treatment and both groups are assessed at pretest and posttest:

Choices:
A. A mixed model analysis of variance (ANOVA) could be used to analyze the data
B. The design includes one between-subjects factor and one within-subjects factor
C. Each factor comprises two levels
D. All of the above

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
"In reference to a segment of DNA, which of the following molecules contains the fewest number of nucleotides?",high_school_biology,test-00000-of-00001,D,"In reference to a segment of DNA, which of the following molecules contains the fewest number of nucleotides?

Choices:
A. a single strand of the original DNA segment
B. a single strand of the original DNA segment after a point mutation
C. the primary RNA transcript (before splicing) from the original DNA
D. a single strand of complementary DNA (cDNA) made from the original DNA

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
"If a transfusion reaction is suspected, you should:",clinical_knowledge,test-00000-of-00001,A,"If a transfusion reaction is suspected, you should:

Choices:
A. turn off the transfusion, inform medical staff immediately, and follow transfusion policy advice on dealing with acute transfusion reactions.
B. leave the transfusion running and contact the medical staff immediately.
C. disconnect and dispose of the blood bag immediately.
D. leave the transfusion running and record a set of observations on the patient.

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
Which of the following is true about the relationship of the average total cost (ATC) curve and the marginal cost (MC) curve?,high_school_microeconomics,test-00000-of-00001,D,"Which of the following is true about the relationship of the average total cost (ATC) curve and the marginal cost (MC) curve?

Choices:
A. ATC and MC are always equal.
B. ATC and MC are never equal.
C. The ATC curve intersects the MC curve at the minimum point of the MC curve.
D. The MC curve intersects the ATC curve at the minimum point of the ATC curve.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
"Except for identical twins, no two people are genetically identical. Which of the following statements most accurately describes the main source of variation in humans?",high_school_biology,test-00000-of-00001,C,"Except for identical twins, no two people are genetically identical. Which of the following statements most accurately describes the main source of variation in humans?

Choices:
A. The main source of variation in humans is genetic drift.
B. Changes in the environment cause rapid changes in different human populations.
C. Shuffling of alleles is responsible for the greatest variation in humans.
D. Mutations are responsible for the greatest changes in different human populations.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
"I have seven bags. Three bags are big, and the other four bags are small. I have some basketballs and volleyballs. I put two volleyballs in each small bag. And I put two basketballs and two volleyballs in each big bag. The number of the volleyballs is my age. I have  _  volleyballs.",,auxiliary_train-00000-of-00001,C,"I have seven bags. Three bags are big, and the other four bags are small. I have some basketballs and volleyballs. I put two volleyballs in each small bag. And I put two basketballs and two volleyballs in each big bag. The number of the volleyballs is my age. I have  _  volleyballs.

Choices:
A. three
B. five
C. fourteen
D. seven

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
When you drop a ball from rest it accelerates downward at 9.8 m/s^2. If you instead throw it downward assuming no air resistance its acceleration immediately after leaving your hand is,conceptual_physics,test-00000-of-00001,A,"When you drop a ball from rest it accelerates downward at 9.8 m/s^2. If you instead throw it downward assuming no air resistance its acceleration immediately after leaving your hand is

Choices:
A. 9.8 m/s2
B. more than 9.8 m/s2
C. less than 9.8 m/s2
D. Cannot say unless the speed of throw is given.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
"Peter felt   very sorry because he forgot   to say ""Happy Birthday"" to his uncle yesterday. So he wrote  a letter to his uncle : ""My dear uncle, I'm very sorry because I forgot your birthday. But to teach me a lesson, you'd better   forget my birthday on Tuesday, tomorrow."" Peter wrote this letter on  _  .",,auxiliary_train-00000-of-00001,A,"Peter felt   very sorry because he forgot   to say ""Happy Birthday"" to his uncle yesterday. So he wrote  a letter to his uncle : ""My dear uncle, I'm very sorry because I forgot your birthday. But to teach me a lesson, you'd better   forget my birthday on Tuesday, tomorrow."" Peter wrote this letter on  _  .

Choices:
A. Monday
B. Tuesday
C. Saturday
D. Sunday

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
"A fair coin is to be tossed 100 times, with each toss resulting in a head or a tail. If H is the total number of heads and T is the total number of tails, which of the following events has the greatest probability?",college_mathematics,test-00000-of-00001,D,"A fair coin is to be tossed 100 times, with each toss resulting in a head or a tail. If H is the total number of heads and T is the total number of tails, which of the following events has the greatest probability?

Choices:
A. H = 50
B. T >= 60
C. 51 <= H <= 55
D. H >= 48 and T >= 48

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
"When marginal cost equals price in a perfectly competitive product market at long run equilibrium, which of the following is NOT correct?",high_school_microeconomics,validation-00000-of-00001,C,"When marginal cost equals price in a perfectly competitive product market at long run equilibrium, which of the following is NOT correct?

Choices:
A. There is a socially optimal or efficient output and price.
B. Other product markets are inefficient by contrast.
C. It is a sign of high concentration among sellers.
D. The value placed on the product by the buyer is equal to the cost of production of the seller at the margin of an additional sale.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
Why would some birds have beaks that look a lot different than those of other birds?,,auxiliary_train-00000-of-00001,C,"Why would some birds have beaks that look a lot different than those of other birds?

Choices:
A. some of the birds eat worms and the other birds have blue feathers
B. some of the birds of the same species have lived in a zoo all their lives
C. some of the birds take seeds for nourishment and the others look for dead animals for nourishment
D. some of the birds like to file down their beaks

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
A major advantage of direct mapping of a cache is its simplicity. The main disadvantage of this organization is that,college_computer_science,test-00000-of-00001,C,"A major advantage of direct mapping of a cache is its simplicity. The main disadvantage of this organization is that

Choices:
A. it does not allow simultaneous access to the intended data and its tag
B. it is more expensive than other types of cache organizations
C. the cache hit ratio is degraded if two or more blocks used alternately map onto the same block frame in the cache
D. its access time is greater than that of other cache organizations

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
"When fresh water and salt water meet in an estuary, the salt water typically flows underneath the fresh water because the salt water is denser. What effect does this most likely have on the nutrients concentrated in the fresh water?",,auxiliary_train-00000-of-00001,B,"When fresh water and salt water meet in an estuary, the salt water typically flows underneath the fresh water because the salt water is denser. What effect does this most likely have on the nutrients concentrated in the fresh water?

Choices:
A. They are kept close to the shore.
B. They are spread out from the shore.
C. They are diluted by the ocean water.
D. They are inactivated by the ocean water.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
Earth has been gradually warming over the past few decades. Based on a great deal of evidence scientists conclude that this warming is caused by ________.,astronomy,test-00000-of-00001,A,"Earth has been gradually warming over the past few decades. Based on a great deal of evidence scientists conclude that this warming is caused by ________.

Choices:
A. human activities that are increasing the concentration of greenhouse gases in Earth's atmosphere
B. the fact that our politicians spout a lot of hot air
C. the human release of chemicals called CFCs into the stratosphere
D. the increase in forest fires during recent years

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
What is virus attenuation in practical terms for successful vaccine discovery?,virology,validation-00000-of-00001,C,"What is virus attenuation in practical terms for successful vaccine discovery?

Choices:
A. Passage of live virus from cell to cell and a search for less virulent mutants
B. As (a) but using low temperature (33oC) to select cold adapted mutants
C. Direct random mutagenesis to create a less virulent mutant
D. Recovery of a naturally occurring 'wild' virus which is naturally less virulent

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
