question,question_concept,_split,answer,final_prompt,len_tk_qwen3_8b_instruct
"James had difficult beginning work, but once it did he didn't stop.  He worked best when he had what?",beginning work,train-00000-of-00001,E,"Question:
James had difficult beginning work, but once it did he didn't stop.  He worked best when he had what?

Which of the following is the best response to the question?

Choices:
A. panic
B. stress
C. anxiety
D. accomplishing
E. momentum

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
She was hitting bottle to the point that doing what would seem like sobering up even though it wasn't?,hitting bottle,train-00000-of-00001,A,"Question:
She was hitting bottle to the point that doing what would seem like sobering up even though it wasn't?

Which of the following is the best response to the question?

Choices:
A. buying beer
B. table
C. alcoholism
D. aim
E. michigan

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
The fact that Joe was able to memorize the list in spite of his apparent  state proved that part of his brain was what?,memorize,validation-00000-of-00001,A,"Question:
The fact that Joe was able to memorize the list in spite of his apparent  state proved that part of his brain was what?

Which of the following is the best response to the question?

Choices:
A. awake
B. repeat
C. sleeping
D. concentrate
E. read aloud

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"When one is using computers for a long period of time, what might happen to the human body?",using computer,train-00000-of-00001,A,"Question:
When one is using computers for a long period of time, what might happen to the human body?

Which of the following is the best response to the question?

Choices:
A. headache
B. addiction
C. editing
D. falling asleep
E. carpal tunnel syndrome

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"When the pond near the train tracks froze over the local kids all played hockey, it was the stereotypical thing to do where?",train tracks,train-00000-of-00001,D,"Question:
When the pond near the train tracks froze over the local kids all played hockey, it was the stereotypical thing to do where?

Which of the following is the best response to the question?

Choices:
A. train station
B. michigan
C. alaska
D. canada
E. countryside

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"The nice lady nursed the injured and abandoned cat back to health, after recovery it went on to what?",cat,train-00000-of-00001,D,"Question:
The nice lady nursed the injured and abandoned cat back to health, after recovery it went on to what?

Which of the following is the best response to the question?

Choices:
A. dog
B. see king
C. sun itself
D. live many years
E. meow

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"If I am reading a letter from a friend who I asked to write me a response, what might I be looking for?",reading letter,train-00000-of-00001,E,"Question:
If I am reading a letter from a friend who I asked to write me a response, what might I be looking for?

Which of the following is the best response to the question?

Choices:
A. get news
B. envelope
C. happiness
D. though
E. answer

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"The mammoth has often been considered for cloning, if this happened it would would make it no longer just what?",mammoth,train-00000-of-00001,A,"Question:
The mammoth has often been considered for cloning, if this happened it would would make it no longer just what?

Which of the following is the best response to the question?

Choices:
A. ancient history
B. recent
C. stone age
D. storybook
E. ancient times

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"The cow farm was free range, it provided all the quality meat to t he bay area of where?",cow,train-00000-of-00001,D,"Question:
The cow farm was free range, it provided all the quality meat to t he bay area of where?

Which of the following is the best response to the question?

Choices:
A. slaughter house
B. rural area
C. nursery rhyme
D. northern california
E. farmyard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
The double edged razor was used to cut tape.  It was found in what box?,double edged razor,train-00000-of-00001,C,"Question:
The double edged razor was used to cut tape.  It was found in what box?

Which of the following is the best response to the question?

Choices:
A. drug store
B. medicine cabinet
C. first aid kit
D. shaving kit
E. shower

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"Dan is driving a car, though he's stopped at a light right now. What else can we assume that he's doing?",driving car,train-00000-of-00001,E,"Question:
Dan is driving a car, though he's stopped at a light right now. What else can we assume that he's doing?

Which of the following is the best response to the question?

Choices:
A. listening to the radio
B. car crash
C. moving
D. get sleepy
E. going someplace

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"It turned out it wasn't a kidney stone, what might it have been a stone in?",stone,train-00000-of-00001,A,"Question:
It turned out it wasn't a kidney stone, what might it have been a stone in?

Which of the following is the best response to the question?

Choices:
A. gallbladder
B. creek bed
C. driveway
D. river bed
E. gravel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",punishing,train-00000-of-00001,A,"Question:
The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?

Which of the following is the best response to the question?

Choices:
A. ignore
B. enforce
C. authoritarian
D. yell at
E. avoid

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"If you have a lot of money after cashing in your chips at a casino, what would the casino owner feel towards you?",cashing in,train-00000-of-00001,B,"Question:
If you have a lot of money after cashing in your chips at a casino, what would the casino owner feel towards you?

Which of the following is the best response to the question?

Choices:
A. betrayal
B. resentment
C. get money
D. revenge
E. leave

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Jim's grass didn't get any sunlight because he parked his car over it.  The grass began to do what?,grass,train-00000-of-00001,B,"Question:
Jim's grass didn't get any sunlight because he parked his car over it.  The grass began to do what?

Which of the following is the best response to the question?

Choices:
A. continue to grow
B. turn brown
C. changes color with seasons
D. dry
E. burn

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"When learning about the world and different cultures, what is important if you are committed to eliminating preconceived notions",learning about world,validation-00000-of-00001,D,"Question:
When learning about the world and different cultures, what is important if you are committed to eliminating preconceived notions

Which of the following is the best response to the question?

Choices:
A. newness
B. loss of innocence
C. enlightenment
D. open mind
E. smartness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"A sedentary lifestyle of always sitting down is nearly as unhealthy as a bad diet, but still people sit on the couch all day and what?",sitting down,train-00000-of-00001,E,"Question:
A sedentary lifestyle of always sitting down is nearly as unhealthy as a bad diet, but still people sit on the couch all day and what?

Which of the following is the best response to the question?

Choices:
A. talk
B. relaxing
C. pee
D. gardening
E. watch tv

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"A John is a bum.  Much like the stereotype, he lives near this sort of transportation infrastructure. Where does he live?",bum,train-00000-of-00001,D,"Question:
A John is a bum.  Much like the stereotype, he lives near this sort of transportation infrastructure. Where does he live?

Which of the following is the best response to the question?

Choices:
A. bus depot
B. beach
C. train station
D. bridge
E. bridge

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
How might young adult friends have fun?,friends,train-00000-of-00001,B,"Question:
How might young adult friends have fun?

Which of the following is the best response to the question?

Choices:
A. adult friends don't like to clean room and play poker
B. going out at night
C. jump rope
D. tell story
E. clean room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"If somebody had a great love of music, they probably do what in the car?",love of music,train-00000-of-00001,D,"Question:
If somebody had a great love of music, they probably do what in the car?

Which of the following is the best response to the question?

Choices:
A. sing
B. play piano
C. attend classical concert
D. listen to radio
E. play violin

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"If a person spends all day at their job, what are they likely doing?",person,train-00000-of-00001,C,"Question:
If a person spends all day at their job, what are they likely doing?

Which of the following is the best response to the question?

Choices:
A. gain weight
B. walk away
C. work hard
D. turn around
E. getting a burnout

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"Bobby had a toothache so he went to the closet dentist office, which was in a strange place.  Where might it be?",dentist office,train-00000-of-00001,B,"Question:
Bobby had a toothache so he went to the closet dentist office, which was in a strange place.  Where might it be?

Which of the following is the best response to the question?

Choices:
A. town
B. office building
C. patient
D. medical center
E. candy shop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
What type of demands to the unions need to be making to go off strike?,go off strike,validation-00000-of-00001,A,"Question:
What type of demands to the unions need to be making to go off strike?

Which of the following is the best response to the question?

Choices:
A. reasonable
B. more money
C. not go to work
D. return to work
E. union

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"I get hot when I run, so what am is my body likely to do?",running,train-00000-of-00001,E,"Question:
I get hot when I run, so what am is my body likely to do?

Which of the following is the best response to the question?

Choices:
A. searching for oxygen
B. tiredness
C. shortness of breath
D. exhaustion
E. sweating

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"Returning to work was easy for Dan.  He had liked doing nothing for weeks, and after his treatment he was complately what?",returning to work,train-00000-of-00001,C,"Question:
Returning to work was easy for Dan.  He had liked doing nothing for weeks, and after his treatment he was complately what?

Which of the following is the best response to the question?

Choices:
A. sobering
B. work
C. painless
D. malaise
E. boredom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"While some people prefer to lie, others do prefer to bluntly what?",people,train-00000-of-00001,E,"Question:
While some people prefer to lie, others do prefer to bluntly what?

Which of the following is the best response to the question?

Choices:
A. amount to nothing
B. talk louder
C. talking loudly
D. talk to each other
E. state facts

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
James wanted to know the truth because questions were weighing on him.  Learning would give him what?,truth,train-00000-of-00001,B,"Question:
James wanted to know the truth because questions were weighing on him.  Learning would give him what?

Which of the following is the best response to the question?

Choices:
A. lies
B. free mind
C. work to advantage
D. further knowledge
E. matter to

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"She put cozy chairs in all the nooks and crannies, she wanted people to spend time reading and browsing her what?",chairs,train-00000-of-00001,E,"Question:
She put cozy chairs in all the nooks and crannies, she wanted people to spend time reading and browsing her what?

Which of the following is the best response to the question?

Choices:
A. conversation
B. friend's house
C. race track
D. building
E. bookstore

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"If you choose to fly in an airplane, it normally means you have to?",fly in airplane,train-00000-of-00001,E,"Question:
If you choose to fly in an airplane, it normally means you have to?

Which of the following is the best response to the question?

Choices:
A. like bird
B. get home
C. go half an hour away
D. go someplace
E. go far

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
Mandy was naturally entertaining.  She enjoyed making people feel good and hoped that she could bring lasting what to them?,entertaining,train-00000-of-00001,A,"Question:
Mandy was naturally entertaining.  She enjoyed making people feel good and hoped that she could bring lasting what to them?

Which of the following is the best response to the question?

Choices:
A. happiness
B. laughter
C. fulfillment
D. like
E. infection

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
John is in a dressing room changing into shorts and sweat pants.  What sort of building is he most likely to be in?,dressing room,train-00000-of-00001,A,"Question:
John is in a dressing room changing into shorts and sweat pants.  What sort of building is he most likely to be in?

Which of the following is the best response to the question?

Choices:
A. gym
B. swimming pool
C. theatre
D. department store
E. boutique

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"The person knew the police were after him, so what did he do?",person,train-00000-of-00001,C,"Question:
The person knew the police were after him, so what did he do?

Which of the following is the best response to the question?

Choices:
A. the sun
B. catch cold
C. prepare to go
D. feel humiliated
E. hunt for food

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"When the man was preparing for having a bath, what did he look for in the water?",having bath,train-00000-of-00001,A,"Question:
When the man was preparing for having a bath, what did he look for in the water?

Which of the following is the best response to the question?

Choices:
A. being clear
B. get wet
C. bathing soap
D. will drown
E. personal cleanliness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
Where would you put the end of a steel cable if you want to use it as a lightningrod?,steel cable,train-00000-of-00001,D,"Question:
Where would you put the end of a steel cable if you want to use it as a lightningrod?

Which of the following is the best response to the question?

Choices:
A. ship
B. building
C. in the air
D. ground
E. suspension bridge

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
Dan thought that he was bad.  But hid Queen disagreed.  She knighted him.  She thought he was what?,bad,train-00000-of-00001,E,"Question:
Dan thought that he was bad.  But hid Queen disagreed.  She knighted him.  She thought he was what?

Which of the following is the best response to the question?

Choices:
A. exceptional
B. upright
C. choice
D. sufficient
E. worthy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
The travelers came across many a toll road during their road drip through New England and other parts of where?,toll road,train-00000-of-00001,B,"Question:
The travelers came across many a toll road during their road drip through New England and other parts of where?

Which of the following is the best response to the question?

Choices:
A. connecticut
B. eastern united states
C. florida
D. new york
E. sea

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"The bat was abducted and absconded to top secret government facilities, where did this happen?",bat,train-00000-of-00001,B,"Question:
The bat was abducted and absconded to top secret government facilities, where did this happen?

Which of the following is the best response to the question?

Choices:
A. office building
B. new mexico
C. bridge
D. belfry
E. dug out

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
Billy liked driving cars.  He was good at it.  But he was rattled ever since his father experienced what?,driving car,validation-00000-of-00001,D,"Question:
Billy liked driving cars.  He was good at it.  But he was rattled ever since his father experienced what?

Which of the following is the best response to the question?

Choices:
A. transportation
B. pollution
C. stress
D. death
E. go somewhere

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"Luke was a human. Like most humans, he learned from his parents.  He was mortal, but he could preserve himself by doing what?",human,train-00000-of-00001,B,"Question:
Luke was a human. Like most humans, he learned from his parents.  He was mortal, but he could preserve himself by doing what?

Which of the following is the best response to the question?

Choices:
A. ocean
B. write
C. smile
D. die
E. think critically

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"He was excitedly making bread with his sourdough starter, he watched intently as it began to rise inside the where?",making bread,train-00000-of-00001,D,"Question:
He was excitedly making bread with his sourdough starter, he watched intently as it began to rise inside the where?

Which of the following is the best response to the question?

Choices:
A. bread pan
B. yeast
C. to the top
D. oven
E. flour

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"Nowadays people have smart ones, but at one time it was cutting edge to have a tiny calculator on your what?",calculator,train-00000-of-00001,B,"Question:
Nowadays people have smart ones, but at one time it was cutting edge to have a tiny calculator on your what?

Which of the following is the best response to the question?

Choices:
A. mobile phone
B. wristwatch
C. briefcase
D. office
E. desktop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"John bought a new bookend for a shelf, but he was frustrated because he forgot that they were supposed to come in what?",bookend,train-00000-of-00001,A,"Question:
John bought a new bookend for a shelf, but he was frustrated because he forgot that they were supposed to come in what?

Which of the following is the best response to the question?

Choices:
A. pair
B. a box
C. library book
D. school library
E. library holding books together

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"If you have a home with a courtyard, what's one thing you probably don't have to care for any longer?",courtyard,validation-00000-of-00001,A,"Question:
If you have a home with a courtyard, what's one thing you probably don't have to care for any longer?

Which of the following is the best response to the question?

Choices:
A. lawn
B. kids
C. asshole
D. spain
E. office complex

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"It was important precious cargo, so it was delivered as quickly as possible by means of what?",cargo,train-00000-of-00001,A,"Question:
It was important precious cargo, so it was delivered as quickly as possible by means of what?

Which of the following is the best response to the question?

Choices:
A. aeroplane
B. boat
C. ship's hold
D. airplane
E. ferry

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"The car preferred hunting in the dark, what ability did it have that its prey did not?",cat,train-00000-of-00001,D,"Question:
The car preferred hunting in the dark, what ability did it have that its prey did not?

Which of the following is the best response to the question?

Choices:
A. night time
B. run away
C. sleep all day
D. see at night
E. cast shadow

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"The churchyard was the furthest east in all the contiguous states, it was located in which?",churchyard,train-00000-of-00001,E,"Question:
The churchyard was the furthest east in all the contiguous states, it was located in which?

Which of the following is the best response to the question?

Choices:
A. country side
B. near the ocean
C. city
D. michigan
E. maine

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"The bell rang, and the congregation began to what in to the church?",bell,validation-00000-of-00001,C,"Question:
The bell rang, and the congregation began to what in to the church?

Which of the following is the best response to the question?

Choices:
A. run away
B. wind instrument
C. funnel
D. blunderbuss
E. associated with telephones

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
Joe crossed the half court boundary and focused on 3 pointers.  What game is his playing?,boundary,train-00000-of-00001,E,"Question:
Joe crossed the half court boundary and focused on 3 pointers.  What game is his playing?

Which of the following is the best response to the question?

Choices:
A. society
B. sporting event
C. football
D. atlas or map
E. basketball

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"If you're running twenty six miles you need to be careful, you should make sure you do what throughout the run?",running twenty six miles,train-00000-of-00001,C,"Question:
If you're running twenty six miles you need to be careful, you should make sure you do what throughout the run?

Which of the following is the best response to the question?

Choices:
A. collapse
B. sweat
C. drink water
D. rest
E. pace yourself

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"Everybody seemed to have a horse not just the regular gamblers, which event always brings out the biggest crowds to the sport?",horse,train-00000-of-00001,B,"Question:
Everybody seemed to have a horse not just the regular gamblers, which event always brings out the biggest crowds to the sport?

Which of the following is the best response to the question?

Choices:
A. race track
B. kentucky derby
C. american southwest
D. triple crown
E. horse derby

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"The jaw skeleton of the shark was on display for the children to walk through, it was one of the many attractions where?",shark,train-00000-of-00001,E,"Question:
The jaw skeleton of the shark was on display for the children to walk through, it was one of the many attractions where?

Which of the following is the best response to the question?

Choices:
A. tomales bay
B. football ground
C. business
D. pool hall
E. marine museum

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"If I am tilting a drink toward my face, what should I do before the liquid spills over?",drink,train-00000-of-00001,E,"Question:
If I am tilting a drink toward my face, what should I do before the liquid spills over?

Which of the following is the best response to the question?

Choices:
A. close eyes
B. use glass
C. buy bottle
D. eat first
E. open mouth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
Going in an air conditioned room to cool off is a good way to get what from hot weather?,cool off,train-00000-of-00001,C,"Question:
Going in an air conditioned room to cool off is a good way to get what from hot weather?

Which of the following is the best response to the question?

Choices:
A. rest
B. go swimming
C. relief
D. calm down
E. change

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"John lives in Texas. If he takes the highway South and doesn't stop, where will he end up next?",highway,train-00000-of-00001,E,"Question:
John lives in Texas. If he takes the highway South and doesn't stop, where will he end up next?

Which of the following is the best response to the question?

Choices:
A. oklahoma
B. developed land
C. united states
D. desert
E. mexico

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"The man was giving assistance to a pan handler in the streets, how did he give assistance?",giving assistance,validation-00000-of-00001,D,"Question:
The man was giving assistance to a pan handler in the streets, how did he give assistance?

Which of the following is the best response to the question?

Choices:
A. feeling good
B. killing
C. law suits
D. out of pocket
E. feel loved

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"Bailey saw something scary in the entrance hall,  but closer examination showed that it was just a what?",entrance hall,train-00000-of-00001,D,"Question:
Bailey saw something scary in the entrance hall,  but closer examination showed that it was just a what?

Which of the following is the best response to the question?

Choices:
A. bathroom
B. palace
C. house
D. person
E. school

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
If you say farewell to a group of children what gesture might they make?,children,train-00000-of-00001,A,"Question:
If you say farewell to a group of children what gesture might they make?

Which of the following is the best response to the question?

Choices:
A. wave goodbye
B. rub their head
C. experience fear
D. watch television
E. spring into action

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"What happens to people, including their stomach, if they do not eat enough food?",people,train-00000-of-00001,C,"Question:
What happens to people, including their stomach, if they do not eat enough food?

Which of the following is the best response to the question?

Choices:
A. appear beautiful
B. jump ahead
C. suffering pain
D. talk to each other
E. free slaves

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"If a person wants to make sure their lemonade is the most refreshing, where might they store it?",lemonade,train-00000-of-00001,B,"Question:
If a person wants to make sure their lemonade is the most refreshing, where might they store it?

Which of the following is the best response to the question?

Choices:
A. carnival
B. refrigerator
C. fairgrounds
D. summer
E. freezer

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"He had only experienced tangible and corporeal events in his life, but the hippy girl opened up his what side?",corporeal,train-00000-of-00001,E,"Question:
He had only experienced tangible and corporeal events in his life, but the hippy girl opened up his what side?

Which of the following is the best response to the question?

Choices:
A. insubstantial
B. mind
C. intangible
D. ethereal
E. spiritual

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"The general saw that by taking the hill, he was reaching advantage, what was the likely result of such a move?",reaching advantage,train-00000-of-00001,D,"Question:
The general saw that by taking the hill, he was reaching advantage, what was the likely result of such a move?

Which of the following is the best response to the question?

Choices:
A. becoming target
B. being ahead
C. fall
D. victory
E. moving forward

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"The weasel was becoming a problem, it kept getting into the chicken eggs kept in the what?",weasel,validation-00000-of-00001,B,"Question:
The weasel was becoming a problem, it kept getting into the chicken eggs kept in the what?

Which of the following is the best response to the question?

Choices:
A. forrest
B. barn
C. public office
D. out of doors
E. freezer

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"The two friends had been close for decades, but one of their new habits of lying had become a what between the two?",lying,train-00000-of-00001,E,"Question:
The two friends had been close for decades, but one of their new habits of lying had become a what between the two?

Which of the following is the best response to the question?

Choices:
A. deception
B. feeling guilty
C. more lies
D. mistake
E. betrayal of trust

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"Debbie buys a ficus on how own, but she doesn't want to keep it in a pot.  Where does she put it?",ficus,train-00000-of-00001,E,"Question:
Debbie buys a ficus on how own, but she doesn't want to keep it in a pot.  Where does she put it?

Which of the following is the best response to the question?

Choices:
A. window
B. park
C. hair salon
D. family room
E. flower garden

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"He wanted to write a novel, what did he have to do when he backed the plot into a corner?",write,train-00000-of-00001,B,"Question:
He wanted to write a novel, what did he have to do when he backed the plot into a corner?

Which of the following is the best response to the question?

Choices:
A. ocean
B. not give up
C. literate
D. have paper
E. move fingers

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"Two friend decided to spend their lives together in matrimony, so what did they arrange?",friends,train-00000-of-00001,B,"Question:
Two friend decided to spend their lives together in matrimony, so what did they arrange?

Which of the following is the best response to the question?

Choices:
A. restaurant
B. wedding
C. internet cafe
D. movie
E. friend's house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"If I have to pass through a ticket booth to see a concert, where is the concert?",ticket booth,train-00000-of-00001,A,"Question:
If I have to pass through a ticket booth to see a concert, where is the concert?

Which of the following is the best response to the question?

Choices:
A. venue
B. amusement park
C. fairgrounds
D. toll plaza
E. auditorium

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"Sailors drive many different types of boats, what type of boat involves their namesake.",sailor,validation-00000-of-00001,E,"Question:
Sailors drive many different types of boats, what type of boat involves their namesake.

Which of the following is the best response to the question?

Choices:
A. coming home
B. row boat
C. board ship
D. inflatable raft
E. sail boat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
The baking open is sometimes made of brick in what kind of place where you get round food?,baking oven,train-00000-of-00001,D,"Question:
The baking open is sometimes made of brick in what kind of place where you get round food?

Which of the following is the best response to the question?

Choices:
A. stove
B. house
C. person's kitchen
D. pizza parlor
E. new york

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"The christian Sunday school teacher gave out a punishment, this happened when the students did what to her orders?",christian,train-00000-of-00001,C,"Question:
The christian Sunday school teacher gave out a punishment, this happened when the students did what to her orders?

Which of the following is the best response to the question?

Choices:
A. stumble
B. rebel
C. disobey
D. go astray
E. commit sin

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"He kept throwing the stick away, but thanks to the dog the stick would always what?",away,train-00000-of-00001,D,"Question:
He kept throwing the stick away, but thanks to the dog the stick would always what?

Which of the following is the best response to the question?

Choices:
A. stay here
B. present
C. being here
D. come back
E. come here

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"The drawing room was a central feature of the palatial estate, where was it located?",drawing room,train-00000-of-00001,A,"Question:
The drawing room was a central feature of the palatial estate, where was it located?

Which of the following is the best response to the question?

Choices:
A. mansion
B. large house
C. artist's house
D. bordello
E. studio

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"If you were looking for a grape, where is one place where you probably wouldn't find one?",grape,train-00000-of-00001,C,"Question:
If you were looking for a grape, where is one place where you probably wouldn't find one?

Which of the following is the best response to the question?

Choices:
A. kitchen
B. plate
C. field
D. winery
E. fruit stand

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
John was 15 and this was the first year he would get to do what?,student,train-00000-of-00001,C,"Question:
John was 15 and this was the first year he would get to do what?

Which of the following is the best response to the question?

Choices:
A. teach class
B. try to get
C. go to high school
D. go to class
E. study book

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
James is an anthropologist.  He believes that creating art was one of the earliest forms of what?,creating art,train-00000-of-00001,A,"Question:
James is an anthropologist.  He believes that creating art was one of the earliest forms of what?

Which of the following is the best response to the question?

Choices:
A. communication
B. relax
C. penguins
D. pride
E. pleasure

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What would be a cheap way for a medieval family to satisfy their hunger?,hunger,train-00000-of-00001,B,"Question:
What would be a cheap way for a medieval family to satisfy their hunger?

Which of the following is the best response to the question?

Choices:
A. go to the store
B. make bread
C. bring home fish
D. go to market
E. eat hamburger

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"He needed a computer program to do a certain task and he knew how to make it, so he began to do what?",program,train-00000-of-00001,B,"Question:
He needed a computer program to do a certain task and he knew how to make it, so he began to do what?

Which of the following is the best response to the question?

Choices:
A. get frustrated
B. write code
C. debug
D. damage
E. compile

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"The old man needed to have rest multiple times a day, he would do what on the couch and catnap?",have rest,validation-00000-of-00001,E,"Question:
The old man needed to have rest multiple times a day, he would do what on the couch and catnap?

Which of the following is the best response to the question?

Choices:
A. lay in bed
B. lay in bed
C. go to bed
D. relax
E. lie down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Sarah wants to eat lunch.  To do this she'll have to go to her kitchen and do what?,eat lunch,train-00000-of-00001,C,"Question:
Sarah wants to eat lunch.  To do this she'll have to go to her kitchen and do what?

Which of the following is the best response to the question?

Choices:
A. smell
B. have food
C. get food
D. hungry
E. buy food

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"She was the youngest and always got stuck in the middle seat, she never got the what of a bench seat?",middle,train-00000-of-00001,B,"Question:
She was the youngest and always got stuck in the middle seat, she never got the what of a bench seat?

Which of the following is the best response to the question?

Choices:
A. left right
B. outsides
C. window
D. extremes
E. outer

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
Where would an apple tree be unlikely to grow due to the presence of uneven land?,apple tree,train-00000-of-00001,C,"Question:
Where would an apple tree be unlikely to grow due to the presence of uneven land?

Which of the following is the best response to the question?

Choices:
A. washington state
B. illinois
C. north carolina
D. florida
E. orchard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"John and Sarah refused to talk.  They were part of a contest, and they'd lose if they stopped what?",talk,train-00000-of-00001,C,"Question:
John and Sarah refused to talk.  They were part of a contest, and they'd lose if they stopped what?

Which of the following is the best response to the question?

Choices:
A. produce sounds
B. shut up
C. being quiet
D. silence
E. ocean

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"The man working in the attic swatted away a bee, but soon the single bee was an entire what?",bee,validation-00000-of-00001,A,"Question:
The man working in the attic swatted away a bee, but soon the single bee was an entire what?

Which of the following is the best response to the question?

Choices:
A. swarm
B. pack
C. countryside
D. soft drink
E. field of flowers

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"A man was called a weasel for ""ambulance chasing,"" where did he likely work?",weasel,train-00000-of-00001,D,"Question:
A man was called a weasel for ""ambulance chasing,"" where did he likely work?

Which of the following is the best response to the question?

Choices:
A. hollow log
B. backyards
C. golf course
D. law office
E. forrest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"The child wanted to test electricity, so what did he feel as a result?",electricity,train-00000-of-00001,B,"Question:
The child wanted to test electricity, so what did he feel as a result?

Which of the following is the best response to the question?

Choices:
A. cause fire
B. shock
C. short fuse
D. kill if used improperly
E. produce heat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
