question,question_concept,_split,answer,final_prompt,len_tk_qwen2.5_7b_base
You loose water in your body while playing sport because of what?,playing sports,train-00000-of-00001,D,"Question:
You loose water in your body while playing sport because of what?

Which of the following is the best response to the question?

Choices:
A. good health
B. pain
C. fatigue
D. sweating
E. injuries

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
What is the largest state with a coast in the US?,coast,train-00000-of-00001,C,"Question:
What is the largest state with a coast in the US?

Which of the following is the best response to the question?

Choices:
A. new york
B. florida
C. california
D. country
E. united states

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
What would easily hide a snake?,snake,train-00000-of-00001,D,"Question:
What would easily hide a snake?

Which of the following is the best response to the question?

Choices:
A. living room of a house
B. kew gardens
C. terrarium
D. thick forest
E. tropical forest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What country in North American can grow beans for a cup of coffee?,cup of coffee,train-00000-of-00001,C,"Question:
What country in North American can grow beans for a cup of coffee?

Which of the following is the best response to the question?

Choices:
A. desk
B. office
C. mexico
D. coffee shop
E. kitchen office

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where could you find a quite old clavichord?,clavichord,train-00000-of-00001,D,"Question:
Where could you find a quite old clavichord?

Which of the following is the best response to the question?

Choices:
A. parlor
B. music hall
C. make music
D. museum
E. music room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What is the least likely immediate side effect of eating hamburger?,eating hamburger,validation-00000-of-00001,B,"Question:
What is the least likely immediate side effect of eating hamburger?

Which of the following is the best response to the question?

Choices:
A. nausea
B. death
C. illness
D. health problems
E. gain weight

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
What is typically the attitude of a child waiting for something?,waiting for,train-00000-of-00001,C,"Question:
What is typically the attitude of a child waiting for something?

Which of the following is the best response to the question?

Choices:
A. wisdom
B. anxiety
C. impatience
D. tiredness
E. boredom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What could happen to a cat other than wanting food?,cat,validation-00000-of-00001,B,"Question:
What could happen to a cat other than wanting food?

Which of the following is the best response to the question?

Choices:
A. feline
B. thirsty
C. sharp claws
D. pussycat
E. hungry

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Singers go to a studio to do what?,singers,train-00000-of-00001,D,"Question:
Singers go to a studio to do what?

Which of the following is the best response to the question?

Choices:
A. clear throats
B. sound beautiful
C. warm up
D. create music
E. make noise

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What do humans do when they want to reproduce?,humans,train-00000-of-00001,B,"Question:
What do humans do when they want to reproduce?

Which of the following is the best response to the question?

Choices:
A. eat ice cream
B. have sex
C. sit down
D. make mistakes
E. hear sounds

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where is a jellyfish not likely to be?,jellyfish,train-00000-of-00001,B,"Question:
Where is a jellyfish not likely to be?

Which of the following is the best response to the question?

Choices:
A. pacific ocean
B. store
C. atlantic ocean
D. indian ocean
E. japanese restaurant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What do you use to make confetti?,confetti,train-00000-of-00001,D,"Question:
What do you use to make confetti?

Which of the following is the best response to the question?

Choices:
A. big cities
B. friend's wedding
C. air
D. shredder
E. grocery store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
When you're driving you're what from place to place?,driving,train-00000-of-00001,C,"Question:
When you're driving you're what from place to place?

Which of the following is the best response to the question?

Choices:
A. transportation
B. traffic jams
C. moving
D. dragging
E. traffic accident

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
What should be done with old newspapers?,newspapers,train-00000-of-00001,D,"Question:
What should be done with old newspapers?

Which of the following is the best response to the question?

Choices:
A. written on paper
B. informative but often biased
C. delivered
D. recycled
E. printed on paper

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
How does a person know how to make the right decision?,person,train-00000-of-00001,C,"Question:
How does a person know how to make the right decision?

Which of the following is the best response to the question?

Choices:
A. new experiences
B. good looking
C. trust himself
D. questioning
E. acknowledgment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What does an actor do when they are bored of their roles?,actor,validation-00000-of-00001,B,"Question:
What does an actor do when they are bored of their roles?

Which of the following is the best response to the question?

Choices:
A. mask
B. branch out
C. wear costume
D. pretend
E. sing songs

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
You can read about new bullet varieties in a what for weapons enthusiasts?,bullet,train-00000-of-00001,E,"Question:
You can read about new bullet varieties in a what for weapons enthusiasts?

Which of the following is the best response to the question?

Choices:
A. bible
B. casing
C. gun shop
D. box
E. magazine

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"Everybody raised a drink and cheered, they were doing what?",drink,train-00000-of-00001,E,"Question:
Everybody raised a drink and cheered, they were doing what?

Which of the following is the best response to the question?

Choices:
A. were thirsty
B. toasting
C. getting drunk
D. refreshment
E. celebrating

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Standing in line is made more difficult by what?,standing in line,train-00000-of-00001,C,"Question:
Standing in line is made more difficult by what?

Which of the following is the best response to the question?

Choices:
A. fidgeting
B. get tired
C. tiredness
D. cars
E. pain

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Where is not likely to have a very formal dining area?,dining area,train-00000-of-00001,C,"Question:
Where is not likely to have a very formal dining area?

Which of the following is the best response to the question?

Choices:
A. coming together
B. supper club
C. mall
D. cruise ship
E. home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"She was always helping at the senior center, it brought her what?",helping,validation-00000-of-00001,E,"Question:
She was always helping at the senior center, it brought her what?

Which of the following is the best response to the question?

Choices:
A. satisfaction
B. heart
C. feel better
D. pay
E. happiness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What can occur in fencing if you are not careful?,fencing,train-00000-of-00001,B,"Question:
What can occur in fencing if you are not careful?

Which of the following is the best response to the question?

Choices:
A. competition
B. severe injuries
C. fever
D. perspiration
E. small cuts

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
What is the legal consequence of killing likely to be?,killing,train-00000-of-00001,A,"Question:
What is the legal consequence of killing likely to be?

Which of the following is the best response to the question?

Choices:
A. being imprisoned
B. no longer live
C. dies
D. fine
E. feeling of guilt

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Regular pants are sometimes not long enough if a person is very what?,regular,train-00000-of-00001,B,"Question:
Regular pants are sometimes not long enough if a person is very what?

Which of the following is the best response to the question?

Choices:
A. goofy
B. tall
C. constipated
D. abnormal
E. new

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where could one find old opera glasses in a glass case?,opera glasses,train-00000-of-00001,A,"Question:
Where could one find old opera glasses in a glass case?

Which of the following is the best response to the question?

Choices:
A. museum
B. amazon
C. compartment or pocket
D. theater
E. antique store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What kind of store does a merchant have if they sell produce?,merchant,train-00000-of-00001,B,"Question:
What kind of store does a merchant have if they sell produce?

Which of the following is the best response to the question?

Choices:
A. the sun
B. market
C. business
D. mall
E. shopping center

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where in a house would a table be most likely placed?,table,train-00000-of-00001,C,"Question:
Where in a house would a table be most likely placed?

Which of the following is the best response to the question?

Choices:
A. living room
B. kitchen
C. dining room
D. conference
E. demonstration

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
You'll see the plains and mountains when driving through where?,plain,train-00000-of-00001,B,"Question:
You'll see the plains and mountains when driving through where?

Which of the following is the best response to the question?

Choices:
A. middle america
B. countryside
C. beach
D. landscape
E. georgia

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
What do people call it when they are going for run?,going for run,train-00000-of-00001,C,"Question:
What do people call it when they are going for run?

Which of the following is the best response to the question?

Choices:
A. trip
B. running in
C. working out
D. get tired
E. falling down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What are the problems of eating and not exercising?,eating,train-00000-of-00001,B,"Question:
What are the problems of eating and not exercising?

Which of the following is the best response to the question?

Choices:
A. satisfaction
B. gaining weight
C. fatness
D. full stomach
E. getting full

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
"By playing with educational materials, what were the children doing?",playing,train-00000-of-00001,B,"Question:
By playing with educational materials, what were the children doing?

Which of the following is the best response to the question?

Choices:
A. fighting
B. learning
C. getting tired
D. injuries
E. having fun

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Where is the world's most famous horse race?,horse,train-00000-of-00001,A,"Question:
Where is the world's most famous horse race?

Which of the following is the best response to the question?

Choices:
A. in kentucky
B. central park
C. philippines
D. state fair
E. western movie

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Sally bought bubblegum. Where might she have gotten it?,bubblegum,train-00000-of-00001,A,"Question:
Sally bought bubblegum. Where might she have gotten it?

Which of the following is the best response to the question?

Choices:
A. supermarket
B. theater
C. street
D. pocket
E. church

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Where could you find multiple ruler that are owned by different people?,ruler,train-00000-of-00001,C,"Question:
Where could you find multiple ruler that are owned by different people?

Which of the following is the best response to the question?

Choices:
A. measure distance
B. england
C. office
D. drawer
E. desk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where would you expect to find popcorn in a public place?,popcorn,train-00000-of-00001,D,"Question:
Where would you expect to find popcorn in a public place?

Which of the following is the best response to the question?

Choices:
A. movies
B. show
C. see work
D. movie theater
E. soccer game

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where would a local terrorist end up if they are caught?,terrorists,train-00000-of-00001,C,"Question:
Where would a local terrorist end up if they are caught?

Which of the following is the best response to the question?

Choices:
A. airport
B. hijack planes
C. prison
D. hotel
E. afghanistan

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where would you borrow furniture if you do not have any?,furniture,validation-00000-of-00001,B,"Question:
Where would you borrow furniture if you do not have any?

Which of the following is the best response to the question?

Choices:
A. sewer
B. neighbor's house
C. apartment
D. room
E. floor

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Where is a snake unlikely to be welcome?,snake,train-00000-of-00001,C,"Question:
Where is a snake unlikely to be welcome?

Which of the following is the best response to the question?

Choices:
A. hollow log
B. arid climate
C. petting zoo
D. ocean
E. tropical forest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What is likely to run high when two people are competing against each other?,competing against,train-00000-of-00001,C,"Question:
What is likely to run high when two people are competing against each other?

Which of the following is the best response to the question?

Choices:
A. pride
B. frustration
C. emotions
D. encouraging
E. tensions

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"Work can be a grind, it makes you appreciate times of what?",work,train-00000-of-00001,D,"Question:
Work can be a grind, it makes you appreciate times of what?

Which of the following is the best response to the question?

Choices:
A. unemployment
B. earn money
C. sleeping
D. relaxation
E. do nothing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"After recovering from the disease, what did the doctor call the patient?",disease,validation-00000-of-00001,A,"Question:
After recovering from the disease, what did the doctor call the patient?

Which of the following is the best response to the question?

Choices:
A. healthy
B. passing around
C. cure
D. wellness
E. healthy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where would you go to look for your human ancestors?,human,train-00000-of-00001,B,"Question:
Where would you go to look for your human ancestors?

Which of the following is the best response to the question?

Choices:
A. memorial site
B. gravesite
C. school
D. temperate climate
E. interesting place

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What is a person the leader of after they are inagurated?,leader,train-00000-of-00001,B,"Question:
What is a person the leader of after they are inagurated?

Which of the following is the best response to the question?

Choices:
A. earth
B. country
C. pack
D. organization
E. army

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
If a beautiful person sprays you with a hose what will you be?,beautiful,train-00000-of-00001,A,"Question:
If a beautiful person sprays you with a hose what will you be?

Which of the following is the best response to the question?

Choices:
A. wet
B. cold
C. dull
D. bad
E. rainy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where will more than a drop of blood be spilt?,drop of blood,train-00000-of-00001,D,"Question:
Where will more than a drop of blood be spilt?

Which of the following is the best response to the question?

Choices:
A. during a fight
B. needle
C. person
D. battlefield
E. test tube

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
After making contact the spy had to go somewhere to what?,go somewhere,train-00000-of-00001,B,"Question:
After making contact the spy had to go somewhere to what?

Which of the following is the best response to the question?

Choices:
A. have fun
B. meet
C. whittle
D. die
E. arriving

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
"The sickness was beginning to fade after resting, he was what?",resting,train-00000-of-00001,C,"Question:
The sickness was beginning to fade after resting, he was what?

Which of the following is the best response to the question?

Choices:
A. relaxation
B. relaxation
C. feeling better
D. recuperation
E. doing nothing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Why would someone be wet after being full of fear?,fear,train-00000-of-00001,E,"Question:
Why would someone be wet after being full of fear?

Which of the following is the best response to the question?

Choices:
A. run
B. swimming
C. calculate things quickly
D. fight enemy
E. urinate

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"The clerk had a paper sign, where did he put it?",paper sign,train-00000-of-00001,E,"Question:
The clerk had a paper sign, where did he put it?

Which of the following is the best response to the question?

Choices:
A. hallway
B. public place
C. toilet
D. shop window
E. store window

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where can you find a tennis court for non professionals?,tennis court,train-00000-of-00001,C,"Question:
Where can you find a tennis court for non professionals?

Which of the following is the best response to the question?

Choices:
A. athletic club
B. country club
C. recreational center
D. college campus
E. zoo

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Why would people go into a ship?,ship,train-00000-of-00001,A,"Question:
Why would people go into a ship?

Which of the following is the best response to the question?

Choices:
A. heading east
B. run aground
C. near shore
D. list to port
E. party

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
"If they were celebrating the occasion, how could the occasion be described?",celebrating,train-00000-of-00001,D,"Question:
If they were celebrating the occasion, how could the occasion be described?

Which of the following is the best response to the question?

Choices:
A. drinking
B. intimacy
C. dancing
D. happiness
E. enjoyment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Where would a specific place for a delicatessen be?,delicatessen,train-00000-of-00001,B,"Question:
Where would a specific place for a delicatessen be?

Which of the following is the best response to the question?

Choices:
A. large city
B. michigan
C. shop
D. mall
E. hometown

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
What happens when not paying attention when bathing?,bathing,train-00000-of-00001,E,"Question:
What happens when not paying attention when bathing?

Which of the following is the best response to the question?

Choices:
A. dry skin
B. using soap
C. reading newspaper
D. shampoo
E. slip and fall

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Colorado is two states away from the border with what nation?,colorado,train-00000-of-00001,B,"Question:
Colorado is two states away from the border with what nation?

Which of the following is the best response to the question?

Choices:
A. arizona
B. mexico
C. utah
D. united states
E. texas

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
The aorta is the main artery in what area of the body?,main artery,train-00000-of-00001,D,"Question:
The aorta is the main artery in what area of the body?

Which of the following is the best response to the question?

Choices:
A. neck
B. own brain
C. human body
D. torso
E. heart

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
If you spend time doing what you will need a rest?,rest,train-00000-of-00001,D,"Question:
If you spend time doing what you will need a rest?

Which of the following is the best response to the question?

Choices:
A. pay debts
B. wakefulness
C. resthold
D. active
E. in motion

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where would you most commonly find a marmot?,marmot,train-00000-of-00001,A,"Question:
Where would you most commonly find a marmot?

Which of the following is the best response to the question?

Choices:
A. in wild
B. northern hemisphere
C. tree
D. colorado
E. the beach

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
On what can you relax in your bedroom other than your bed?,bed,train-00000-of-00001,B,"Question:
On what can you relax in your bedroom other than your bed?

Which of the following is the best response to the question?

Choices:
A. footbed
B. chair
C. sofa
D. furniture
E. couch

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
What did I do that has made me on the ground?,losing consciousness,train-00000-of-00001,A,"Question:
What did I do that has made me on the ground?

Which of the following is the best response to the question?

Choices:
A. falling down
B. peace
C. forgetfulness
D. death
E. injury

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
What are you getting from you boss at the end of the week?,getting,validation-00000-of-00001,B,"Question:
What are you getting from you boss at the end of the week?

Which of the following is the best response to the question?

Choices:
A. asking for
B. money
C. food
D. work
E. energy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"If I want to open a steakhouse, what should I get first?",steakhouse,validation-00000-of-00001,E,"Question:
If I want to open a steakhouse, what should I get first?

Which of the following is the best response to the question?

Choices:
A. michigan
B. florida
C. wine
D. texas
E. building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
After getting a divorce what does your relationship status change to?,getting divorce,train-00000-of-00001,B,"Question:
After getting a divorce what does your relationship status change to?

Which of the following is the best response to the question?

Choices:
A. children suffer
B. being single
C. freedom
D. default setting
E. no spouse

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"The person put on lotion, what did they want?",person,train-00000-of-00001,C,"Question:
The person put on lotion, what did they want?

Which of the following is the best response to the question?

Choices:
A. fresh smell
B. good credit
C. smooth skin
D. fresh produce
E. headache

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where would you find children playing with a ball or swinging?,ball,train-00000-of-00001,D,"Question:
Where would you find children playing with a ball or swinging?

Which of the following is the best response to the question?

Choices:
A. bearing
B. street
C. gymnasium
D. playground
E. park

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
where do you use a tourniquet temporarily?,tourniquet,train-00000-of-00001,B,"Question:
where do you use a tourniquet temporarily?

Which of the following is the best response to the question?

Choices:
A. doctor's office
B. ambulance
C. applying even pressure
D. hospital
E. emergency kit

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"If you get your paper back marked with corrections, where are you?",paper,train-00000-of-00001,A,"Question:
If you get your paper back marked with corrections, where are you?

Which of the following is the best response to the question?

Choices:
A. classroom
B. conference
C. bench
D. cabinet
E. notebook

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
"The man measured from each edge, he was trying to find the dead what?",edge,train-00000-of-00001,A,"Question:
The man measured from each edge, he was trying to find the dead what?

Which of the following is the best response to the question?

Choices:
A. center
B. middle
C. corner
D. middle
E. interior

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What about you will decrease after you exercise for many months?,exercise,train-00000-of-00001,E,"Question:
What about you will decrease after you exercise for many months?

Which of the following is the best response to the question?

Choices:
A. work out
B. blood
C. expend energy
D. stretch
E. weigh

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
What would answering questions cause if the questions are not interesting?,answering questions,train-00000-of-00001,D,"Question:
What would answering questions cause if the questions are not interesting?

Which of the following is the best response to the question?

Choices:
A. discussion
B. getting tired
C. sharing information
D. boredom
E. flatulence

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What do children like to do on a ranch?,children,train-00000-of-00001,B,"Question:
What do children like to do on a ranch?

Which of the following is the best response to the question?

Choices:
A. pet the horses
B. ride horses
C. play games
D. watch tv
E. learn together

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where could you find millions of jellyfish?,jellyfish,train-00000-of-00001,A,"Question:
Where could you find millions of jellyfish?

Which of the following is the best response to the question?

Choices:
A. north sea
B. smack
C. sponge bob's house
D. store
E. sea water

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Susan threw the highly elastic ball at the wall.  The ball did what?,elastic,train-00000-of-00001,C,"Question:
Susan threw the highly elastic ball at the wall.  The ball did what?

Which of the following is the best response to the question?

Choices:
A. bounce
B. recoil
C. rebound
D. underwear
E. stretch

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What does 	drinking alcohol lead to?,drinking alcohol,validation-00000-of-00001,B,"Question:
What does 	drinking alcohol lead to?

Which of the following is the best response to the question?

Choices:
A. have fun
B. intoxication
C. vomiting
D. drinking more alcohol
E. nausea

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Where are you normally when you take a bath?,bath,train-00000-of-00001,D,"Question:
Where are you normally when you take a bath?

Which of the following is the best response to the question?

Choices:
A. greece
B. hotel room
C. clothing store
D. own home
E. house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Where might I find a decanter outside of drinking alcohol?,decanter,train-00000-of-00001,D,"Question:
Where might I find a decanter outside of drinking alcohol?

Which of the following is the best response to the question?

Choices:
A. georgia
B. kitchen cupboard
C. brewery
D. chemistry lab
E. restaurant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What could you find at a bus station that can help you?,bus station,train-00000-of-00001,C,"Question:
What could you find at a bus station that can help you?

Which of the following is the best response to the question?

Choices:
A. city centre
B. lottery ticket
C. maps
D. street
E. busy city

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
where would a good newspaper boy put a paper in the rain?,newspaper,train-00000-of-00001,E,"Question:
where would a good newspaper boy put a paper in the rain?

Which of the following is the best response to the question?

Choices:
A. library
B. lawn
C. trash
D. roof
E. front door

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
What is a person looking for when completing puzzles or riddles?,person,validation-00000-of-00001,C,"Question:
What is a person looking for when completing puzzles or riddles?

Which of the following is the best response to the question?

Choices:
A. avoid pain
B. compliments
C. intellectual challenge
D. passing grade
E. attention

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where in a meadow would a snake hide?,snake,train-00000-of-00001,E,"Question:
Where in a meadow would a snake hide?

Which of the following is the best response to the question?

Choices:
A. underwater
B. tropical forest
C. amazon river
D. western texas
E. high grass

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
What is a landscape gardner likely to do?,gardner,train-00000-of-00001,C,"Question:
What is a landscape gardner likely to do?

Which of the following is the best response to the question?

Choices:
A. water lawn
B. water plants
C. plant trees
D. garden roses
E. playing on ground

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
A percussion instrument can be obtained in what sort of place?,percussion instrument,train-00000-of-00001,D,"Question:
A percussion instrument can be obtained in what sort of place?

Which of the following is the best response to the question?

Choices:
A. marching band
B. pawn shop
C. orchestra
D. music store
E. own home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where can you find a rubber shark as a villain?,shark,train-00000-of-00001,C,"Question:
Where can you find a rubber shark as a villain?

Which of the following is the best response to the question?

Choices:
A. museum
B. outside
C. bad movie
D. sea world
E. marine museum

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
What is the best way to begin going into trance?,going into trance,validation-00000-of-00001,B,"Question:
What is the best way to begin going into trance?

Which of the following is the best response to the question?

Choices:
A. religious experience
B. closed eyes
C. loss of control
D. sleep
E. hallucination

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What is a person likely to lock at night?,lock,train-00000-of-00001,D,"Question:
What is a person likely to lock at night?

Which of the following is the best response to the question?

Choices:
A. own
B. gate
C. entrance
D. front door
E. controlling whether door opened

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
"He used an umbrella while tanning, where was he likely?",umbrella,validation-00000-of-00001,D,"Question:
He used an umbrella while tanning, where was he likely?

Which of the following is the best response to the question?

Choices:
A. waves
B. seattle
C. suitcase
D. beach
E. jacket closet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What is a person considered a bully known for?,person,validation-00000-of-00001,C,"Question:
What is a person considered a bully known for?

Which of the following is the best response to the question?

Choices:
A. ridiculous
B. false information
C. made fun of
D. brain tumor
E. bull rider

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Who might end up with a wound from lying in bed?,wound,train-00000-of-00001,A,"Question:
Who might end up with a wound from lying in bed?

Which of the following is the best response to the question?

Choices:
A. patient
B. hospital
C. emergency room
D. senior citizen
E. injured person

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Why is it hard for a young child to read a long book?,book,validation-00000-of-00001,E,"Question:
Why is it hard for a young child to read a long book?

Which of the following is the best response to the question?

Choices:
A. knowledge
B. cover
C. no pictures
D. past
E. many words

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
While attending a lecture what should be done in the auditorium?,attending lecture,train-00000-of-00001,A,"Question:
While attending a lecture what should be done in the auditorium?

Which of the following is the best response to the question?

Choices:
A. take notes
B. listening
C. fall asleep
D. falling asleep
E. learning

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
How are people typically positioned in an interview?,people,train-00000-of-00001,A,"Question:
How are people typically positioned in an interview?

Which of the following is the best response to the question?

Choices:
A. facing each other
B. round-table
C. gather together
D. get angry
E. believe in god

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
When picking an object for a baby something soft is the what option?,soft,train-00000-of-00001,C,"Question:
When picking an object for a baby something soft is the what option?

Which of the following is the best response to the question?

Choices:
A. harsh
B. crazy
C. sensible
D. abrasive
E. hard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Where are you unlikely to see clouds?,clouds,train-00000-of-00001,C,"Question:
Where are you unlikely to see clouds?

Which of the following is the best response to the question?

Choices:
A. top of mountain
B. inside of a house
C. ground level
D. air
E. sky

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
The tourist was probably most happy to capture pictures of snow on what?,snow,train-00000-of-00001,C,"Question:
The tourist was probably most happy to capture pictures of snow on what?

Which of the following is the best response to the question?

Choices:
A. canada
B. roof
C. mountains
D. ground
E. ground

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Where do you keep musical instrument so it doesn't get scratched?,musical instrument,validation-00000-of-00001,C,"Question:
Where do you keep musical instrument so it doesn't get scratched?

Which of the following is the best response to the question?

Choices:
A. bank
B. orchestra
C. case
D. music room
E. movie

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
In what country are the most fast food restaurants?,fast food restaurant,validation-00000-of-00001,D,"Question:
In what country are the most fast food restaurants?

Which of the following is the best response to the question?

Choices:
A. new york
B. blocks of flats
C. center of town
D. america
E. big cities

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where did he put the newspaper for his new puppy's leaks?,newspaper,train-00000-of-00001,A,"Question:
Where did he put the newspaper for his new puppy's leaks?

Which of the following is the best response to the question?

Choices:
A. floor
B. jail
C. next door
D. library
E. porch

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
What is a place with pictures that a small dog is not allowed into?,small dog,train-00000-of-00001,A,"Question:
What is a place with pictures that a small dog is not allowed into?

Which of the following is the best response to the question?

Choices:
A. movies
B. photograph
C. laboratory
D. basket
E. museum

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where could a printer be used by thousands of people?,printer,train-00000-of-00001,A,"Question:
Where could a printer be used by thousands of people?

Which of the following is the best response to the question?

Choices:
A. school
B. home office
C. people store
D. print shop
E. newspaper office

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What happens to a dog before someone puts up posters of them?,dogs,validation-00000-of-00001,A,"Question:
What happens to a dog before someone puts up posters of them?

Which of the following is the best response to the question?

Choices:
A. get lost
B. require water
C. trained
D. bark
E. roll over

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where would there be many people sitting in chair and listening to religious speech?,chair,train-00000-of-00001,C,"Question:
Where would there be many people sitting in chair and listening to religious speech?

Which of the following is the best response to the question?

Choices:
A. auditorium
B. office
C. synagogue
D. confession
E. church

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What is a place that someone can go buy a teddy bear?,teddy bear,train-00000-of-00001,E,"Question:
What is a place that someone can go buy a teddy bear?

Which of the following is the best response to the question?

Choices:
A. thrift store
B. bed
C. shelf
D. home
E. toy store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
