question,subject,split,answer,final_prompt,len_tk_glm4_9b_chat
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I buried the puppy because it was still breathing. Scenario 2 | I called the police on the violent man",moral_scenarios,test-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I buried the puppy because it was still breathing. Scenario 2 | I called the police on the violent man

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I took my children to the zoo to see the lions. Scenario 2 | When Karen was resting, I threw water on her.",moral_scenarios,test-00000-of-00001,C,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I took my children to the zoo to see the lions. Scenario 2 | When Karen was resting, I threw water on her.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I told Coach Smith that he is a joke. Scenario 2 | I called in sick to work because I got food poisoning at the beach.",moral_scenarios,test-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I told Coach Smith that he is a joke. Scenario 2 | I called in sick to work because I got food poisoning at the beach.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I plucked the rare flowers in the public garden. Scenario 2 | I broke his running record.",moral_scenarios,test-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I plucked the rare flowers in the public garden. Scenario 2 | I broke his running record.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",111
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | It was a hot day, so I had the child sit in the car while we were at the park. Scenario 2 | When my husband makes a small mistake, I dwell on it.",moral_scenarios,validation-00000-of-00001,A,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | It was a hot day, so I had the child sit in the car while we were at the park. Scenario 2 | When my husband makes a small mistake, I dwell on it.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",129
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I pulled the plug from my grandma's lamp to save electricity. Scenario 2 | I loosened my grip on purpose while holding onto the struggling elder as they teetered backward.",moral_scenarios,test-00000-of-00001,C,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I pulled the plug from my grandma's lamp to save electricity. Scenario 2 | I loosened my grip on purpose while holding onto the struggling elder as they teetered backward.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",127
"Good morning! I am an English boy. My name is Frank Smith. My telephone number is 451-3175.My pen is blue, and my ruler is white. The girl is Grace Brown. Grace is a nice girl. Her telephone number is 535-9861. Her pen is black, and her ruler is red. Grace and I both like numbers. Numbers are interesting. The girl's last name is    _    .",,auxiliary_train-00000-of-00001,D,"Good morning! I am an English boy. My name is Frank Smith. My telephone number is 451-3175.My pen is blue, and my ruler is white. The girl is Grace Brown. Grace is a nice girl. Her telephone number is 535-9861. Her pen is black, and her ruler is red. Grace and I both like numbers. Numbers are interesting. The girl's last name is    _    .

Choices:
A. Frank
B. Smith
C. Grace
D. Brown

Reply with exactly one uppercase letter out of A, B, C, or D.
",130
Which of the following guidelines is applicable to initialization of the weight vector in a fully connected neural network.,machine_learning,validation-00000-of-00001,B,"Which of the following guidelines is applicable to initialization of the weight vector in a fully connected neural network.

Choices:
A. Should not set it to zero since otherwise it will cause overfitting
B. Should not set it to zero since otherwise (stochastic) gradient descent will explore a very small space
C. Should set it to zero since otherwise it causes a bias
D. Should set it to zero in order to preserve symmetry across all neurons

Reply with exactly one uppercase letter out of A, B, C, or D.
",111
"Wen Feng Store Sale Goods     Colors     Price(each) Socks      Black, white, green $3 Sweater   Black      $15 Hat  Blue, white     $4 T-shirt     Red, green      $14 Shoes      Black and white     $25 Bag  Blue $5 ,. Jack wants to buy two pairs of socks, one bag and two hats. How much are they?",,auxiliary_train-00000-of-00001,D,"Wen Feng Store Sale Goods     Colors     Price(each) Socks      Black, white, green $3 Sweater   Black      $15 Hat  Blue, white     $4 T-shirt     Red, green      $14 Shoes      Black and white     $25 Bag  Blue $5 ,. Jack wants to buy two pairs of socks, one bag and two hats. How much are they?

Choices:
A. Twenty-one yuan.
B. Nineteen yuan.
C. Eighteen dollars.
D. Nineteen dollars.

Reply with exactly one uppercase letter out of A, B, C, or D.
",128
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I used my copier to made duplicates of money because my bank account was running low. Scenario 2 | When I play cards, I make small talk.",moral_scenarios,test-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I used my copier to made duplicates of money because my bank account was running low. Scenario 2 | When I play cards, I make small talk.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I am sneaking in narcotic drugs into a prison and selling them to prisoners. Scenario 2 | I told my son to turn on the lawnmower before clearing the blades.",moral_scenarios,test-00000-of-00001,A,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I am sneaking in narcotic drugs into a prison and selling them to prisoners. Scenario 2 | I told my son to turn on the lawnmower before clearing the blades.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",127
"I'm Wang Ping. I'm in Beijing. I like healthy food. I have milk   and fruit for breakfast; rice  , chicken and vegetables for lunch; vegetables, fruit and salad for dinner. Here is what my friends like eating. Let's have a look! Zhang Jian(inBeijing)Like: Li Ming(inShanghai)Like: Zheng Hui(inBeijing)Like: ,. _   likes tomatoes.",,auxiliary_train-00000-of-00001,D,"I'm Wang Ping. I'm in Beijing. I like healthy food. I have milk   and fruit for breakfast; rice  , chicken and vegetables for lunch; vegetables, fruit and salad for dinner. Here is what my friends like eating. Let's have a look! Zhang Jian(inBeijing)Like: Li Ming(inShanghai)Like: Zheng Hui(inBeijing)Like: ,. _   likes tomatoes.

Choices:
A. Wang Ping
B. Zheng Hui
C. Zhang Jian
D. Li Ming

Reply with exactly one uppercase letter out of A, B, C, or D.
",129
"An experiment was designed to test the effects of three different types of paint on the durability of wooden toys. Because boys and girls tend to play differently with toys, a randomly selected group of children was divided into two groups by sex. Which of the following statements about this experiment is true?",high_school_statistics,test-00000-of-00001,C,"An experiment was designed to test the effects of three different types of paint on the durability of wooden toys. Because boys and girls tend to play differently with toys, a randomly selected group of children was divided into two groups by sex. Which of the following statements about this experiment is true?

Choices:
A. There are three types of paint and two sex groups, giving a total of six treatment combinations in this experiment.
B. Type of paint is a blocking factor.
C. Sex is a blocking factor.
D. This is a completely randomized design.

Reply with exactly one uppercase letter out of A, B, C, or D.
",129
"In cloning experiments on the frog Xenopus laevis, nuclei were removed from intestinal cells of tadpoles and transplanted into zygotes whose nuclei had been removed. A small percent of these zygotes developed into normal frogs, suggesting that",college_biology,validation-00000-of-00001,D,"In cloning experiments on the frog Xenopus laevis, nuclei were removed from intestinal cells of tadpoles and transplanted into zygotes whose nuclei had been removed. A small percent of these zygotes developed into normal frogs, suggesting that

Choices:
A. intestinal cells can be transformed into all cell types
B. frogs do not have the same developmental constraints as other species
C. intestinal cell nuclei are highly specialized
D. the genomes of all somatic cells are equivalent

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
"Here is a photo of my family. These are my parents, Jack Ken and Mary Ken. My father is a teacher and my mother is a nurse . This is my brother David and this is my sister Jane. And the little girl is me .I have  a happy family. I love my family. There are   _   people in my family.",,auxiliary_train-00000-of-00001,D,"Here is a photo of my family. These are my parents, Jack Ken and Mary Ken. My father is a teacher and my mother is a nurse . This is my brother David and this is my sister Jane. And the little girl is me .I have  a happy family. I love my family. There are   _   people in my family.

Choices:
A. 2
B. 3
C. 4
D. 5

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
"Salespeople at a large consumer goods manufacturer are encouraged to ask probing questions of customers to identify their interests. Once their key desires have been uncovered, the salesperson should tailor a presentation so that the customers can see how the product will satisfy their wants. Which of the following presentation formats does the scenario best represent?",marketing,validation-00000-of-00001,C,"Salespeople at a large consumer goods manufacturer are encouraged to ask probing questions of customers to identify their interests. Once their key desires have been uncovered, the salesperson should tailor a presentation so that the customers can see how the product will satisfy their wants. Which of the following presentation formats does the scenario best represent?

Choices:
A. Hard selling format
B. Formula selling format
C. Need-satisfaction format
D. Stimulus-response format

Reply with exactly one uppercase letter out of A, B, C, or D.
",109
"The dissociation energy for a hydrogen-bromine bond is defined as the change in enthalpy, DH, for which of the following reactions?",college_chemistry,test-00000-of-00001,D,"The dissociation energy for a hydrogen-bromine bond is defined as the change in enthalpy, DH, for which of the following reactions?

Choices:
A. 2 HBr(g) → H2(g) + Br2(l)
B. HBr(g) → H+(g) + Br−(g)
C. H(g) + Br(g) → HBr(g)
D. HBr(g) → H(g) + Br(g)

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
What is the role of the compiler in the process of developing executable software?,high_school_computer_science,test-00000-of-00001,D,"What is the role of the compiler in the process of developing executable software?

Choices:
A. Managing specification files created as part of the development process
B. Running and testing the executable created by the programmer
C. Tracking older versions of the software in case an error is found and the software needs to be reverted to an earlier form
D. Translating a program written in an abstract, high-level language into a program with the same behavior expressed in machine code

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
"I'm Kate. I'm an American girl. I am thirteen. I'm in a middle school in Shanghai. My English teacher is a Chinese girl. My good friend is Mary. She is an English girl. She is thirteen, too. She is in Wuhan. I'm in Grade Eight. But she is in Grade Nine. We often have a talk by E-mail. We are both good students. Kate is from the   _  .",,auxiliary_train-00000-of-00001,C,"I'm Kate. I'm an American girl. I am thirteen. I'm in a middle school in Shanghai. My English teacher is a Chinese girl. My good friend is Mary. She is an English girl. She is thirteen, too. She is in Wuhan. I'm in Grade Eight. But she is in Grade Nine. We often have a talk by E-mail. We are both good students. Kate is from the   _  .

Choices:
A. UK
B. HK
C. USA
D. UN

Reply with exactly one uppercase letter out of A, B, C, or D.
",128
The primary purpose of a Supervised Agricultural Experience ( SAE ) program is to,miscellaneous,test-00000-of-00001,D,"The primary purpose of a Supervised Agricultural Experience ( SAE ) program is to

Choices:
A. provide a basis for students to apply for and win proficiency awards
B. provide students with an income to be used to learn money management skills
C. give students a chance to earn enough money to qualify for local, state, and national FFA degrees
D. allow students to apply skills learned in the classroom and learn new skills in a specialized area

Reply with exactly one uppercase letter out of A, B, C, or D.
",112
"A breeder of dogs induced a purchaser to buy a puppy by representing that it was a registered basset hound, when in fact the breeder knew it was a mixed breed. The purchaser later discovered that the representation was false. She wants to sue to disaffirm the contract and get a refund. What legal theory would be best applicable to decide this case?",professional_law,validation-00000-of-00001,C,"A breeder of dogs induced a purchaser to buy a puppy by representing that it was a registered basset hound, when in fact the breeder knew it was a mixed breed. The purchaser later discovered that the representation was false. She wants to sue to disaffirm the contract and get a refund. What legal theory would be best applicable to decide this case?

Choices:
A. Unconscionability.
B. Breach of warranty.
C. Fraudulent inducement.
D. Fraud in the factum.

Reply with exactly one uppercase letter out of A, B, C, or D.
",125
Which of the following is a true statement?,high_school_statistics,test-00000-of-00001,D,"Which of the following is a true statement?

Choices:
A. In a well-designed, well-conducted sample survey, sampling error is effectively eliminated.
B. In a well-designed observational study, responses are influenced through an orderly, carefully planned procedure during the collection of data.
C. In a well-designed experiment, the treatments are carefully planned to result in responses that are as similar as possible.
D. None of the above is a true statement.

Reply with exactly one uppercase letter out of A, B, C, or D.
",109
A cannon is mounted on a truck that moves forward at a speed of 5 m/s. The operator wants to launch a ball from a cannon so the ball goes as far as possible before hitting the level surface. The muzzle velocity of the cannon is 50 m/s. At what angle from the horizontal should the operator point the cannon?,high_school_physics,test-00000-of-00001,D,"A cannon is mounted on a truck that moves forward at a speed of 5 m/s. The operator wants to launch a ball from a cannon so the ball goes as far as possible before hitting the level surface. The muzzle velocity of the cannon is 50 m/s. At what angle from the horizontal should the operator point the cannon?

Choices:
A. 5°
B. 41°
C. 45°
D. 49°

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
"When you examine a patient who has suffered an unfavourable fracture of the body of the mandible, you would expect the",anatomy,test-00000-of-00001,A,"When you examine a patient who has suffered an unfavourable fracture of the body of the mandible, you would expect the

Choices:
A. anterior fragment to be displaced downwards by the action of the digastric muscle.
B. posterior fragment to be displaced anteriorly by the action of the lateral pterygoid muscle.
C. anterior fragment to be displaced backwards by action of the temporalis muscle.
D. posterior fragment to be displaced medially by action of the medial pterygoid muscle.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
A major advantage of direct mapping of a cache is its simplicity. The main disadvantage of this organization is that,college_computer_science,test-00000-of-00001,C,"A major advantage of direct mapping of a cache is its simplicity. The main disadvantage of this organization is that

Choices:
A. it does not allow simultaneous access to the intended data and its tag
B. it is more expensive than other types of cache organizations
C. the cache hit ratio is degraded if two or more blocks used alternately map onto the same block frame in the cache
D. its access time is greater than that of other cache organizations

Reply with exactly one uppercase letter out of A, B, C, or D.
",112
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I cheered for the police officer as he helped the old woman. Scenario 2 | I looked up at the gorgeous chandelier and threw a rock at it.",moral_scenarios,validation-00000-of-00001,C,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I cheered for the police officer as he helped the old woman. Scenario 2 | I looked up at the gorgeous chandelier and threw a rock at it.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I didn't pour extra water on the coals before leaving the campsite, although they could start a forest fire. Scenario 2 | I washed my dirty kid with a washcloth dipped in soap.",moral_scenarios,test-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I didn't pour extra water on the coals before leaving the campsite, although they could start a forest fire. Scenario 2 | I washed my dirty kid with a washcloth dipped in soap.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",131
Why do we know more about Neandertals than other extinct species of premodern humans?,prehistory,test-00000-of-00001,B,"Why do we know more about Neandertals than other extinct species of premodern humans?

Choices:
A. Neandertals spread throughout the world and their remains are found on every continent.
B. Neandertals used caves in Europe where their remains were preserved.
C. Neandertal populations were larger and more violent than any other premodern humans, whom they drove to extinction.
D. Neandertals left crude but intelligible written records.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I tried to run over the animal that ran into the road so I didn't swerve and miss it. Scenario 2 | I decided to dam the river upstream of a lot of farmland.",moral_scenarios,test-00000-of-00001,A,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I tried to run over the animal that ran into the road so I didn't swerve and miss it. Scenario 2 | I decided to dam the river upstream of a lot of farmland.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",130
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I cooked a delicious chicken for dinner. Scenario 2 | I asked the woman my age on a date.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I cooked a delicious chicken for dinner. Scenario 2 | I asked the woman my age on a date.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",112
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I used his toothbrush to clean the toilet. Scenario 2 | I locked the prisoner in his cell for the night.",moral_scenarios,test-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I used his toothbrush to clean the toilet. Scenario 2 | I locked the prisoner in his cell for the night.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I kissed my niece at the magic show. Scenario 2 | I put the matches up high where my son couldn't reach them.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I kissed my niece at the magic show. Scenario 2 | I put the matches up high where my son couldn't reach them.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
23Na has an NMR frequency of 198.52 MHz in a 750 MHz NMR spectrometer. What is its magnetogyric ratio?,college_chemistry,test-00000-of-00001,C,"23Na has an NMR frequency of 198.52 MHz in a 750 MHz NMR spectrometer. What is its magnetogyric ratio?

Choices:
A. 101.1 x 10^7 T-1 s-1
B. 26.75 x 10^7 T-1 s-1
C. 7.081 x 10^7 T-1 s-1
D. 0.9377 x 10^7 T-1 s-1

Reply with exactly one uppercase letter out of A, B, C, or D.
",127
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I called a foul because I saw the player commit one. Scenario 2 | I am way too sleepy to drive safely, so I'll tuck my twins in for the night.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I called a foul because I saw the player commit one. Scenario 2 | I am way too sleepy to drive safely, so I'll tuck my twins in for the night.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",127
"Which one of following statements about nitrogen balance is correct?
",nutrition,test-00000-of-00001,C,"Which one of following statements about nitrogen balance is correct?


Choices:
A. In nitrogen equilibrium the excretion of nitrogenous metabolites is greater than the dietary intake of nitrogenous compounds.
B. Positive nitrogen balance means that there is a net loss of protein from the body
C. In positive nitrogen balance the excretion of nitrogenous metabolites is less than the dietary intake of nitrogenous compounds.
D. In negative nitrogen balance the excretion of nitrogenous metabolites is less than the dietary intake of nitrogenous compounds

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
Which of the following are examples of continuous data? I. The speed your car goes II. The number of outcomes of a binomial experiment III. The average temperature in San Francisco IV. The wingspan of a bird V. The jersey numbers of a football team,high_school_statistics,validation-00000-of-00001,A,"Which of the following are examples of continuous data? I. The speed your car goes II. The number of outcomes of a binomial experiment III. The average temperature in San Francisco IV. The wingspan of a bird V. The jersey numbers of a football team

Choices:
A. I, III, and IV only
B. II and V only
C. I, III, and V only
D. II, III, and IV only

Reply with exactly one uppercase letter out of A, B, C, or D.
",112
"In one of the steps of the carbon cycle, a person exhales a molecule of carbon dioxide (CO2) into the atmosphere. Which of the following is most likely to happen next to the atom of carbon in this molecule?",,auxiliary_train-00000-of-00001,A,"In one of the steps of the carbon cycle, a person exhales a molecule of carbon dioxide (CO2) into the atmosphere. Which of the following is most likely to happen next to the atom of carbon in this molecule?

Choices:
A. It may be used as part of a sugar in a plant.
B. It may become part of a protein in an animal.
C. It may be consumed as a fossil fuel is burned.
D. It may be decomposed into carbon and oxygen by a bacterium.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
How would Piaget describe the process of learning something new using terminology from his cognitive development theory?,high_school_psychology,test-00000-of-00001,A,"How would Piaget describe the process of learning something new using terminology from his cognitive development theory?

Choices:
A. When we can't assimilate new information, we change our schemas through accommodation.
B. As we encounter new social situations, we either develop healthy or unhealthy personality characteristics in order to cope with social demands.
C. Humans develop increasing abilities to think about moral choices, and our ability to think about the rights of others develops over time.
D. Rewards and punishments for behaviors are the major influence on learning in humans.

Reply with exactly one uppercase letter out of A, B, C, or D.
",125
"This is a photo of Mr. Black's family. The man with glasses  is Mr. Black, the father. The woman is the mother. They have a son and a daughter. The son is behind(....) Jack and Kate are in the same  school, but they are in different grades. Jack is in Grade Three and Kate is in Grade One. They are good students. Black is the   _   name.",,auxiliary_train-00000-of-00001,D,"This is a photo of Mr. Black's family. The man with glasses  is Mr. Black, the father. The woman is the mother. They have a son and a daughter. The son is behind(....) Jack and Kate are in the same  school, but they are in different grades. Jack is in Grade Three and Kate is in Grade One. They are good students. Black is the   _   name.

Choices:
A. man's
B. woman's
C. boy's
D. family

Reply with exactly one uppercase letter out of A, B, C, or D.
",127
"Which of the statements below is correct about the following argument?

""If the sky is blue there won't be rain. The sky is blue today. Therefore, there won't be rain.""",logical_fallacies,test-00000-of-00001,C,"Which of the statements below is correct about the following argument?

""If the sky is blue there won't be rain. The sky is blue today. Therefore, there won't be rain.""

Choices:
A. It is a formally valid categorical syllogism
B. It is a formally invalid disjunctive syllogism
C. It is a formally valid conditional syllogism
D. It is a formally invalid conditional syllogism

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
"A particular disk unit uses a bit string to record the occupancy or vacancy of its tracks, with O denoting vacant and 1 denoting occupied. A 32-bit segment of this string has the hexadecimal value D4FE2003. The percentage of occupied tracks for the corresponding part of the disk, to the nearest percent, is",college_computer_science,test-00000-of-00001,D,"A particular disk unit uses a bit string to record the occupancy or vacancy of its tracks, with O denoting vacant and 1 denoting occupied. A 32-bit segment of this string has the hexadecimal value D4FE2003. The percentage of occupied tracks for the corresponding part of the disk, to the nearest percent, is

Choices:
A. 12%
B. 25%
C. 38%
D. 44%

Reply with exactly one uppercase letter out of A, B, C, or D.
",109
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I needed money, so I brought my gun to the pawn shop.   Scenario 2 | I installed cameras inside store bathrooms to watch customers.",moral_scenarios,test-00000-of-00001,C,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I needed money, so I brought my gun to the pawn shop.   Scenario 2 | I installed cameras inside store bathrooms to watch customers.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
"Rather than use a shortcut to find out various possible combinations of alleles that could result from fertilization of an egg with particular genes by a sperm with particular genes, Shakira systematically lists every single possible combination to determine the probability that the baby will show a particular set of traits. Shakira is solving the problem by use of",high_school_psychology,validation-00000-of-00001,D,"Rather than use a shortcut to find out various possible combinations of alleles that could result from fertilization of an egg with particular genes by a sperm with particular genes, Shakira systematically lists every single possible combination to determine the probability that the baby will show a particular set of traits. Shakira is solving the problem by use of

Choices:
A. trial and error
B. the availability heuristic
C. the representativeness heuristic
D. an algorithm

Reply with exactly one uppercase letter out of A, B, C, or D.
",111
"Computers are very popular with students now. It's very easy for them to surf the Internet .Most of them go to the Internet bar and spend more than two hours there. They can do their homework,get some information for their study,download music,and send emails on the computer. But some of them spend too much time playing computer games,and it is bad for their study. Where do most students surf the Internet?",,auxiliary_train-00000-of-00001,C,"Computers are very popular with students now. It's very easy for them to surf the Internet .Most of them go to the Internet bar and spend more than two hours there. They can do their homework,get some information for their study,download music,and send emails on the computer. But some of them spend too much time playing computer games,and it is bad for their study. Where do most students surf the Internet?

Choices:
A. At home.
B. At school.
C. At the Internet bar.
D. In the library.

Reply with exactly one uppercase letter out of A, B, C, or D.
",128
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I only compliments someone when I means it. Scenario 2 | I did not stay home when I knew I had a fever.",moral_scenarios,test-00000-of-00001,C,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I only compliments someone when I means it. Scenario 2 | I did not stay home when I knew I had a fever.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
A 22-year-old male presents to the office with a 5-day history of diarrhea after completing his third course of antibiotics for mastoiditis. Physical examination reveals vague generalized abdominal pain on palpation. Culture on hektoen enteric agar is positive. The most likely etiologic agent causing the diarrhea is,professional_medicine,test-00000-of-00001,D,"A 22-year-old male presents to the office with a 5-day history of diarrhea after completing his third course of antibiotics for mastoiditis. Physical examination reveals vague generalized abdominal pain on palpation. Culture on hektoen enteric agar is positive. The most likely etiologic agent causing the diarrhea is

Choices:
A. Clostridium difficile
B. Entamoeba histolytica
C. Giardia lamblia
D. Salmonella typhi

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
"According to attachment theory, which of the following children is most likely to attach to a male psychologist, previously unknown to the child, in the course of a psychological study?",college_medicine,test-00000-of-00001,A,"According to attachment theory, which of the following children is most likely to attach to a male psychologist, previously unknown to the child, in the course of a psychological study?

Choices:
A. A two month old female infant raised in a safe, stable environment
B. A five month old male infant raised in a safe, stable environment
C. An eight month old male infant raised by a single caregiver who frequently neglect the child
D. A thirteen month old female infant raised by two caregivers who occasionally neglect the child

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
