question,subject,split,answer,final_prompt,len_tk_qwen3_8b_instruct
"This question refers to the following information.
O ye who believe! Strong drink and games of chance and idols… are only an infamy of Satan's handiwork. Leave it aside in order that ye may succeed.
the Qur'an, Sura 5: 89
When once you hear the roses are in bloom,
Then is the time, my love, to pour the wine.
the Rubáiyát of Omar Khayyám
The tone of the first verse best reflects which of the following modes of religious discourse?",high_school_world_history,test-00000-of-00001,A,"This question refers to the following information.
O ye who believe! Strong drink and games of chance and idols… are only an infamy of Satan's handiwork. Leave it aside in order that ye may succeed.
the Qur'an, Sura 5: 89
When once you hear the roses are in bloom,
Then is the time, my love, to pour the wine.
the Rubáiyát of Omar Khayyám
The tone of the first verse best reflects which of the following modes of religious discourse?

Choices:
A. A puritanical injunction to adhere to a strict code of conduct
B. An ecumenical call for religious tolerance
C. A sermon about respecting political authority
D. A spirited attempt to convert non-believers

Reply with exactly one uppercase letter out of A, B, C, or D.
",176
"The police use computers. They save   all the information   on the computer. So the police can often check the information. And they can also visit some websites and get more information to catch criminals   on the Internet. Scientists today have computers for their work. They can do their work easily and quickly with the help of computers. Today in many schools, there is a computer room. Children can have their lessons with computers. For example, computers give questions on the screen   of the monitor in front of the children and the children answer them with keyboards  . A computer can do many things. With the computer, we can write novels, listen to music, draw pictures, play computer games, make friends, send emails and download information and so on. In the future, we may use computers for more things. But it can't take the place of   man. We can think but it can't. A computer can help scientists do their work   _  .",,auxiliary_train-00000-of-00001,D,"The police use computers. They save   all the information   on the computer. So the police can often check the information. And they can also visit some websites and get more information to catch criminals   on the Internet. Scientists today have computers for their work. They can do their work easily and quickly with the help of computers. Today in many schools, there is a computer room. Children can have their lessons with computers. For example, computers give questions on the screen   of the monitor in front of the children and the children answer them with keyboards  . A computer can do many things. With the computer, we can write novels, listen to music, draw pictures, play computer games, make friends, send emails and download information and so on. In the future, we may use computers for more things. But it can't take the place of   man. We can think but it can't. A computer can help scientists do their work   _  .

Choices:
A. easily
B. quickly
C. slowly
D. A and B

Reply with exactly one uppercase letter out of A, B, C, or D.
",231
"At a defendantÕs trial for extortion, the prosecutor called a witness expecting her to testify that she had heard the defendant threaten a man with physical harm unless the man made payoffs to the defendant. The witness denied ever having heard the defendant make such threats, even though she had testified to that effect before the grand jury. The prosecutor now seeks to admit the witnessÕs grand jury testimony. How should the court rule with regard to the grand jury testimony?",professional_law,test-00000-of-00001,B,"At a defendantÕs trial for extortion, the prosecutor called a witness expecting her to testify that she had heard the defendant threaten a man with physical harm unless the man made payoffs to the defendant. The witness denied ever having heard the defendant make such threats, even though she had testified to that effect before the grand jury. The prosecutor now seeks to admit the witnessÕs grand jury testimony. How should the court rule with regard to the grand jury testimony?

Choices:
A. Admit the testimony, because it contains a statement by a party-opponent.
B. Admit the testimony, both for impeachment and for substantive use, because the witness made the inconsistent statement under oath at a formal proceeding.
C. Admit the testimony under the former testimony exception to the hearsay rule.
D. Exclude the testimony for substantive use, because it is a testimonial statement.

Reply with exactly one uppercase letter out of A, B, C, or D.
",192
I am Wei Fang. I am a Chinese girl. I have  a good friend. Her name is Miaomiao. Do you think  Miaomiao is a nice girl ? That's wrong . She isn't a girl but a cat. She's a little   lovely  cat. Miaomiao is black and brown. She is only fourteen days old. She _ e  her mother Mimi. Miaomiao looks like   _  .,,auxiliary_train-00000-of-00001,B,"I am Wei Fang. I am a Chinese girl. I have  a good friend. Her name is Miaomiao. Do you think  Miaomiao is a nice girl ? That's wrong . She isn't a girl but a cat. She's a little   lovely  cat. Miaomiao is black and brown. She is only fourteen days old. She _ e  her mother Mimi. Miaomiao looks like   _  .

Choices:
A. a cat
B. her mother
C. lovely
D. a nice girl

Reply with exactly one uppercase letter out of A, B, C, or D.
",131
"You are what you eat Keeping better eating habits can help you reduce   disease. A healthy eating plan means choosing the right foods to eat and preparing foods in a healthy way.  _  Do you often change your toothbrush? Maybe you think it is not necessary. A study shows old toothbrushes bring disease. You should often change your toothbrush. Exercise Swimming, running, skating, skiing, dancing, walking and some other activities can help you stay healthy. You should exercise at least three times a week and for twenty minutes or more each time. Do it. Plan out your life You should have breakfast before you go to school. Have a proper   meal for lunch. Follow a healthy diet. ,. At least how long should you exercise each time?",,auxiliary_train-00000-of-00001,A,"You are what you eat Keeping better eating habits can help you reduce   disease. A healthy eating plan means choosing the right foods to eat and preparing foods in a healthy way.  _  Do you often change your toothbrush? Maybe you think it is not necessary. A study shows old toothbrushes bring disease. You should often change your toothbrush. Exercise Swimming, running, skating, skiing, dancing, walking and some other activities can help you stay healthy. You should exercise at least three times a week and for twenty minutes or more each time. Do it. Plan out your life You should have breakfast before you go to school. Have a proper   meal for lunch. Follow a healthy diet. ,. At least how long should you exercise each time?

Choices:
A. Twenty minutes.
B. Fifteen minutes.
C. Ten minutes.
D. Five minutes.

Reply with exactly one uppercase letter out of A, B, C, or D.
",194
"A state imposes a tax on nonresident photographers who operate photographic studios in the state at a rate of 2% of their state-derived income above $12,000. This income tax exempts taxable income earned outside of the state by photographers who live in the state. Moreover, resident-photographers of the state are not taxed on their in-state earned income. A photographer who operates a studio in the state but is a resident of another state, challenges the constitutionality of this tax. Which of the following provisions would furnish the most applicable basis for this constitutional challenge?",professional_law,test-00000-of-00001,D,"A state imposes a tax on nonresident photographers who operate photographic studios in the state at a rate of 2% of their state-derived income above $12,000. This income tax exempts taxable income earned outside of the state by photographers who live in the state. Moreover, resident-photographers of the state are not taxed on their in-state earned income. A photographer who operates a studio in the state but is a resident of another state, challenges the constitutionality of this tax. Which of the following provisions would furnish the most applicable basis for this constitutional challenge?

Choices:
A. The equal protection clause of the Fourteenth Amendment.
B. The due process clause of the Fourteenth Amendment.
C. The commerce clause.
D. The privileges and immunities clause of ArticleIv.

Reply with exactly one uppercase letter out of A, B, C, or D.
",179
"My name is Sally Miller. I am a student in No. 3 Middle School. Look! This is a ruler. It's yellow. It's not my ruler. Who lost it? ""Anna, is this your ruler?"" I ask my friend. ""No, it isn't. My ruler is white. And it's in my pencil box now,"" Anna answers. ""Excuse me, Jack. Is this your ruler?"" ""No, it isn't. My ruler is black."" Jack answers. ""You can ask your cousin Jenny. She can't find her ruler."" ""Hi, Jenny! Is this your ruler?"" I ask. ""Yes, it's mine. Thank you very much,"" Jenny says. She is very happy to find her ruler. Anna's ruler is   _  .",,auxiliary_train-00000-of-00001,B,"My name is Sally Miller. I am a student in No. 3 Middle School. Look! This is a ruler. It's yellow. It's not my ruler. Who lost it? ""Anna, is this your ruler?"" I ask my friend. ""No, it isn't. My ruler is white. And it's in my pencil box now,"" Anna answers. ""Excuse me, Jack. Is this your ruler?"" ""No, it isn't. My ruler is black."" Jack answers. ""You can ask your cousin Jenny. She can't find her ruler."" ""Hi, Jenny! Is this your ruler?"" I ask. ""Yes, it's mine. Thank you very much,"" Jenny says. She is very happy to find her ruler. Anna's ruler is   _  .

Choices:
A. blue
B. black
C. in the pencil box
D. lost

Reply with exactly one uppercase letter out of A, B, C, or D.
",201
"My friend has a big police dog named Kim. Police dogs are often very smart. Every Sunday afternoon my friend takes Kim for a long walk in the park. Kim likes walking very much. One Sunday afternoon a man visited my friend. He talked to my friend a long time. They talked and talked. Soon it was time for my friend to take Kim for his walk, but the man still stayed. Kim became very worried about his walk in the park. He walked around the living-room sometimes and at last sat down in front of the man and looked at him. But the man went on talking. After thirty minutes, Kim couldn't stand  it. He went out of the room and came back a few minutes later. He sat down in front of the man again but this time he held the man's hat in his mouth. When do they go for a walk?",,auxiliary_train-00000-of-00001,D,"My friend has a big police dog named Kim. Police dogs are often very smart. Every Sunday afternoon my friend takes Kim for a long walk in the park. Kim likes walking very much. One Sunday afternoon a man visited my friend. He talked to my friend a long time. They talked and talked. Soon it was time for my friend to take Kim for his walk, but the man still stayed. Kim became very worried about his walk in the park. He walked around the living-room sometimes and at last sat down in front of the man and looked at him. But the man went on talking. After thirty minutes, Kim couldn't stand  it. He went out of the room and came back a few minutes later. He sat down in front of the man again but this time he held the man's hat in his mouth. When do they go for a walk?

Choices:
A. On Mondays
B. On Saturdays
C. On weekends
D. Every Sunday afternoon

Reply with exactly one uppercase letter out of A, B, C, or D.
",216
"Many overseas Chinese make their kids learn the Chinese language because they don't want them to lose their mother language. In the city of Portland in the USA, there is a weekend Chinese school in a church. In the school, there are Chinese kids and American kids. They study Chinese on Saturdays and Sundays. Teachers at the school are usually some overseas Chinese women. Miss Tian is one of them. She is from Beijing. She teaches her students many Chinese characters, sentences and Chinese songs. Most of these kids speak English better than Chinese, because they spend most of their time at the local school, and their classmates are American.Their teachers teach them in English. When the overseas Chinese children get home after school, their parents often speak Chinese to them. Only at that time do they think they are at home. Which one is true?",,auxiliary_train-00000-of-00001,B,"Many overseas Chinese make their kids learn the Chinese language because they don't want them to lose their mother language. In the city of Portland in the USA, there is a weekend Chinese school in a church. In the school, there are Chinese kids and American kids. They study Chinese on Saturdays and Sundays. Teachers at the school are usually some overseas Chinese women. Miss Tian is one of them. She is from Beijing. She teaches her students many Chinese characters, sentences and Chinese songs. Most of these kids speak English better than Chinese, because they spend most of their time at the local school, and their classmates are American.Their teachers teach them in English. When the overseas Chinese children get home after school, their parents often speak Chinese to them. Only at that time do they think they are at home. Which one is true?

Choices:
A. Most kids speak Chinese better than English.
B. Most kids speak English better than Chinese.
C. Most kids speak Chinese as well as English.
D. Most kids can't speak Chinese at all.

Reply with exactly one uppercase letter out of A, B, C, or D.
",228
"All students need to have good study habits . When you have good study habits, you can learn things quickly. You also remember them easily. Do you like to study in the living-room? This is not a good place because it is usually too noisy. You need to study in a quiet place, like your bedroom. A quiet place will help you only think about one thing, and you will learn better. Before you begin to study, do not forget to clean your desk. A good desk light is important, too. You are feeling tired easily if there is not enough  light. You are feeling tired easily if the light is   _  .",,auxiliary_train-00000-of-00001,C,"All students need to have good study habits . When you have good study habits, you can learn things quickly. You also remember them easily. Do you like to study in the living-room? This is not a good place because it is usually too noisy. You need to study in a quiet place, like your bedroom. A quiet place will help you only think about one thing, and you will learn better. Before you begin to study, do not forget to clean your desk. A good desk light is important, too. You are feeling tired easily if there is not enough  light. You are feeling tired easily if the light is   _  .

Choices:
A. good
B. enough
C. bad
D. well

Reply with exactly one uppercase letter out of A, B, C, or D.
",166
"Near the North Pole there are only two seasons:winter and summer.In winter,nights are long.For more than two months you can't see the sun,even at noon.In summer,days are long.For more than two months the sun never sets and there is no night at a11.The temperature is very low near the North Pole.Even in summer the temperature is below 0degC.So people there wear warm clothes all year round.They make their clothing from the skins of animals.From the skins they also make coats,hats and even boots. In the cold climate,plants cannot grow.So the people have to build their houses with skins,earth,stone or snow.When they go out to hunt something,they live in tents of skins.When they move,they take their tents with them.Sometimes,they build houses of snow.Now don't think that these houses must be cold.In fact,they are very warm and safe. The life near the North Pole is very interesting. Near the North Pole the winter nights can last  _  .",,auxiliary_train-00000-of-00001,B,"Near the North Pole there are only two seasons:winter and summer.In winter,nights are long.For more than two months you can't see the sun,even at noon.In summer,days are long.For more than two months the sun never sets and there is no night at a11.The temperature is very low near the North Pole.Even in summer the temperature is below 0degC.So people there wear warm clothes all year round.They make their clothing from the skins of animals.From the skins they also make coats,hats and even boots. In the cold climate,plants cannot grow.So the people have to build their houses with skins,earth,stone or snow.When they go out to hunt something,they live in tents of skins.When they move,they take their tents with them.Sometimes,they build houses of snow.Now don't think that these houses must be cold.In fact,they are very warm and safe. The life near the North Pole is very interesting. Near the North Pole the winter nights can last  _  .

Choices:
A. more than a month
B. more than two months
C. more than half a year
D. more than four months

Reply with exactly one uppercase letter out of A, B, C, or D.
",257
"There are seven days in a week. They are Sunday, Monday, Tuesday,Wednesday, Thursday, Friday and Saturday. Most  children go toschool from Monday to Friday. Most people don't work on Saturday orSunday and most shops are closed in England on Saturday and Sunday. But in China shops are open every day. Sunday is always a holiday.Some people go to church  on that day. The time between Fridayevening and Monday morning is the weekend. It is time for rest. Wedon't work all the time. We have to rest from time to time. We rest overthe weekend. Most children don't go to school on   _  .",,auxiliary_train-00000-of-00001,A,"There are seven days in a week. They are Sunday, Monday, Tuesday,Wednesday, Thursday, Friday and Saturday. Most  children go toschool from Monday to Friday. Most people don't work on Saturday orSunday and most shops are closed in England on Saturday and Sunday. But in China shops are open every day. Sunday is always a holiday.Some people go to church  on that day. The time between Fridayevening and Monday morning is the weekend. It is time for rest. Wedon't work all the time. We have to rest from time to time. We rest overthe weekend. Most children don't go to school on   _  .

Choices:
A. Saturday
B. Monday
C. Wednesday
D. Tuesday

Reply with exactly one uppercase letter out of A, B, C, or D.
",169
"Hi, I'm Judy. I'm a middle school student . In my class, there are thirty-eight students. How do they go to school every day? Seventeen of them take buses because they live far from the school. Six students walk. They think walking is good exercise. Fifteen students ride their bikes to school because they like riding bikes very much and their homes are not far from the school. No one goes to school by car. How do I go to school? Ha, I'm one of the fifteen. Six students think  _  is good exercise.",,auxiliary_train-00000-of-00001,B,"Hi, I'm Judy. I'm a middle school student . In my class, there are thirty-eight students. How do they go to school every day? Seventeen of them take buses because they live far from the school. Six students walk. They think walking is good exercise. Fifteen students ride their bikes to school because they like riding bikes very much and their homes are not far from the school. No one goes to school by car. How do I go to school? Ha, I'm one of the fifteen. Six students think  _  is good exercise.

Choices:
A. running
B. walking
C. swimming
D. riding

Reply with exactly one uppercase letter out of A, B, C, or D.
",151
"Mr. and Mrs. Wilson lived in a big city, and one summer they went to the country for their vacation. They enjoyed it very much, because it was a quiet, clean place. One day they went for a walk early in the morning and saw an old man.   He was sitting alone in the warm sun in front of his house. Mr. Wilson asked him, ""Do you like living in a quiet place?"" The old man said, ""Yes, I do."" Mr. Wilson said,"" What are the good things about it?"" The old man answered, ""Well, everybody knows everybody. People often come and see me, and I often go and see them. And there are lots of children here. ""Mr. Wilson said, ""That's interesting. And what are the bad things?"" The old man thought for a few minutes and said, "" Well, the same things, really."" Did the old man think the good things and the bad things in the country were the same?",,auxiliary_train-00000-of-00001,B,"Mr. and Mrs. Wilson lived in a big city, and one summer they went to the country for their vacation. They enjoyed it very much, because it was a quiet, clean place. One day they went for a walk early in the morning and saw an old man.   He was sitting alone in the warm sun in front of his house. Mr. Wilson asked him, ""Do you like living in a quiet place?"" The old man said, ""Yes, I do."" Mr. Wilson said,"" What are the good things about it?"" The old man answered, ""Well, everybody knows everybody. People often come and see me, and I often go and see them. And there are lots of children here. ""Mr. Wilson said, ""That's interesting. And what are the bad things?"" The old man thought for a few minutes and said, "" Well, the same things, really."" Did the old man think the good things and the bad things in the country were the same?

Choices:
A. No, he didn't.
B. Yes, he did.
C. I don't know.
D. I don't think so

Reply with exactly one uppercase letter out of A, B, C, or D.
",252
"All students need to have good study habits .When you have good study habits, you will learn things quickly and also remember them easily. Do you like to study in the living room? This is not a good place because it is usually too noisy. You need to study in a quiet place, like your bedroom. A quiet place will help you only think about one thing. When you study, don,t think about other things at the same time. Only think about your homework. If you do so, you will do your homework more quickly , and you will make fewer mistakes. Good study habits are very important. If you do not have them, try to learn them. If your study habits are already good, try to make them better. According to the writer, which can be a good study habit?",,auxiliary_train-00000-of-00001,B,"All students need to have good study habits .When you have good study habits, you will learn things quickly and also remember them easily. Do you like to study in the living room? This is not a good place because it is usually too noisy. You need to study in a quiet place, like your bedroom. A quiet place will help you only think about one thing. When you study, don,t think about other things at the same time. Only think about your homework. If you do so, you will do your homework more quickly , and you will make fewer mistakes. Good study habits are very important. If you do not have them, try to learn them. If your study habits are already good, try to make them better. According to the writer, which can be a good study habit?

Choices:
A. Reading English among a crowd of people.
B. Thinking only about math in a math class.
C. Thinking in Chinese while talking in English.
D. Do your homework as quickly as you can.

Reply with exactly one uppercase letter out of A, B, C, or D.
",223
"Life in the future will be different from life today. The population  is growing fast. There will be more people in the world and most of them will live longer. Computer will be much smaller and more useful, and there will be at least one in each home. And computer science will be one of the most important subjects in school then. People will work fewer hours than they do now, and they will have more free time for sports, watching TV and travel. Our food will be different, too. More land  will be used for building new towns and houses for people. So there will be less land for cows and sheep, and meat will be more expensive. Maybe no one will eat it one day. They will eat more fruits and vegetables. Work in the future will also be different. Robots will do dangerous and hard work. Because of this, many people will have no jobs to do. This will be a big problem in the future. ,. In the future there will be  _   .",,auxiliary_train-00000-of-00001,B,"Life in the future will be different from life today. The population  is growing fast. There will be more people in the world and most of them will live longer. Computer will be much smaller and more useful, and there will be at least one in each home. And computer science will be one of the most important subjects in school then. People will work fewer hours than they do now, and they will have more free time for sports, watching TV and travel. Our food will be different, too. More land  will be used for building new towns and houses for people. So there will be less land for cows and sheep, and meat will be more expensive. Maybe no one will eat it one day. They will eat more fruits and vegetables. Work in the future will also be different. Robots will do dangerous and hard work. Because of this, many people will have no jobs to do. This will be a big problem in the future. ,. In the future there will be  _   .

Choices:
A. much more meat
B. more people
C. fewer people
D. fewer vegetables

Reply with exactly one uppercase letter out of A, B, C, or D.
",244
If 200 computers with a retail value of $100000 are domestically produced in 2005 but not sold until 2006 then GDP in 2005 is,high_school_macroeconomics,test-00000-of-00001,A,"If 200 computers with a retail value of $100000 are domestically produced in 2005 but not sold until 2006 then GDP in 2005 is

Choices:
A. $100000 higher because of the computers.
B. 200 higher because of the computers.
C. unaffected until 2006 when the computers are sold and the figure for GDP in 2005 is revised.
D. higher by the wholesale value of the computers.

Reply with exactly one uppercase letter out of A, B, C, or D.
",131
"Becky was really smart.  She knew how to spell really well.  She won every spelling prize from her teacher.  Her teacher told her that soon the whole school would have a spelling test.  Becky wanted to get the highest grade.  Her two best friends were going take it too.  She dreamed that they would all get prizes.  Every day she practiced spelling new words.  Her family always laughed.  ""Is that a spelling word Becky?"" they would ask.  Then they would all practice it together.  Becky walked with her dog to school each day excited.  Soon the day of the test arrived.  Becky was not nervous.  She had eaten a big breakfast.  She had worn her lucky socks.  She had spelled every single word she knew out loud.  When Becky got her test, she picked up her sharpened pencil and happily started writing her name.  The spelling test was going to be hard, but she could do it! What did Becky want to get the highest grade on?",,auxiliary_train-00000-of-00001,A,"Becky was really smart.  She knew how to spell really well.  She won every spelling prize from her teacher.  Her teacher told her that soon the whole school would have a spelling test.  Becky wanted to get the highest grade.  Her two best friends were going take it too.  She dreamed that they would all get prizes.  Every day she practiced spelling new words.  Her family always laughed.  ""Is that a spelling word Becky?"" they would ask.  Then they would all practice it together.  Becky walked with her dog to school each day excited.  Soon the day of the test arrived.  Becky was not nervous.  She had eaten a big breakfast.  She had worn her lucky socks.  She had spelled every single word she knew out loud.  When Becky got her test, she picked up her sharpened pencil and happily started writing her name.  The spelling test was going to be hard, but she could do it! What did Becky want to get the highest grade on?

Choices:
A. The spelling test.
B. Making a big breakfast.
C. Making friends.
D. Reading.

Reply with exactly one uppercase letter out of A, B, C, or D.
",253
"A manufacturer of widgets entered into a written agreement to deliver 500 widgets to a buyer. The contract provided that the widgets would be shipped C. O. D. The manufacturer subsequently delivered 490 widgets, which were accepted and paid for by the buyer. If the buyer brings suit for breach of contract against the manufacturer, the buyer will most likely",professional_law,test-00000-of-00001,C,"A manufacturer of widgets entered into a written agreement to deliver 500 widgets to a buyer. The contract provided that the widgets would be shipped C. O. D. The manufacturer subsequently delivered 490 widgets, which were accepted and paid for by the buyer. If the buyer brings suit for breach of contract against the manufacturer, the buyer will most likely

Choices:
A. not recover, because under the circumstances the manufacturer substantially performed.
B. not recover, because the buyer accepted delivery of the 490 widgets.
C. recover, because the manufacturer failed to perform his contractual obligation.
D. recover, because the manufacturer's failure to deliver the additional widgets resulted in a material breach.

Reply with exactly one uppercase letter out of A, B, C, or D.
",159
"Two computers communicate with each other by sending data packets across a local area network. The size of these packets is 1,000 bytes. The network has the capacity to carry 1,000 packets per second. The CPU time required to execute the network protocol to send one packet is 10 milliseconds. The maximum rate at which one computer can send data to another is approximately",college_computer_science,test-00000-of-00001,C,"Two computers communicate with each other by sending data packets across a local area network. The size of these packets is 1,000 bytes. The network has the capacity to carry 1,000 packets per second. The CPU time required to execute the network protocol to send one packet is 10 milliseconds. The maximum rate at which one computer can send data to another is approximately

Choices:
A. 10,000 bytes/second
B. 25,000 bytes/ second
C. 100,000 bytes/ second
D. 500,000 bytes/ second

Reply with exactly one uppercase letter out of A, B, C, or D.
",154
"Here is a picture of Mr Wang's family. The man in the middle  is Mr Wang, the father. The woman is the mother. They only have a daughter. Her name is Wang Jia. She is 14 years old. She is a good student in Foreign Language School. Her classmates like her very much, and her parents like her very much, too. Is Wang Jia a student of Foreign Language School?   _",,auxiliary_train-00000-of-00001,D,"Here is a picture of Mr Wang's family. The man in the middle  is Mr Wang, the father. The woman is the mother. They only have a daughter. Her name is Wang Jia. She is 14 years old. She is a good student in Foreign Language School. Her classmates like her very much, and her parents like her very much, too. Is Wang Jia a student of Foreign Language School?   _

Choices:
A. No, she isn't.
B. No, she is.
C. Yes, she isn't.
D. Yes, she is.

Reply with exactly one uppercase letter out of A, B, C, or D.
",139
"Millions years ago much of our earth was covered with blocks   of ice. These ice blocks were as tall as high buildings in modern cities. Most of the ice was in the northern  part of the world. Then the ice blocks started to move south. Cold and rain came with the ice. Animals and people had to move. At last, the ice began to melt  . After half a million years, most of it had melted. More than half of the earth became covered with water. The _ became much warmer. Things began to grow. The earth began to look the way it looks today. What did animals and people try to do when the ice blocks moved south?",,auxiliary_train-00000-of-00001,C,"Millions years ago much of our earth was covered with blocks   of ice. These ice blocks were as tall as high buildings in modern cities. Most of the ice was in the northern  part of the world. Then the ice blocks started to move south. Cold and rain came with the ice. Animals and people had to move. At last, the ice began to melt  . After half a million years, most of it had melted. More than half of the earth became covered with water. The _ became much warmer. Things began to grow. The earth began to look the way it looks today. What did animals and people try to do when the ice blocks moved south?

Choices:
A. they tried to stop them moving.
B. They tried to melt them.
C. They tried to stay ahead of them.
D. They tried to move behind them.

Reply with exactly one uppercase letter out of A, B, C, or D.
",192
"Life in the future  is different from now. There are not any paper money in the future. People use their _ when they go shopping. There are not so many stores. At weekends, people needn't go out. They usually do some shopping at home on the Internet. Children don't get up early to go to school. They have lessons at home on the  Internet, too. Teachers teach their students and give them homework on the Internet. Children give the homework to their teachers on the Internet, too. People don't need to do much work. There are more robots . Robots do hard work for people. Parents don't cook or wash clothes. A cooking robot cooks breakfast. In fact, robots do all the housework for us. There are more holidays. Parents spend much time with their children. They spend a lot of time travelling around the world. I think life in the future is very interesting. Do you think so? How does the writer like the life in the future? He thinks it is  _  .",,auxiliary_train-00000-of-00001,C,"Life in the future  is different from now. There are not any paper money in the future. People use their _ when they go shopping. There are not so many stores. At weekends, people needn't go out. They usually do some shopping at home on the Internet. Children don't get up early to go to school. They have lessons at home on the  Internet, too. Teachers teach their students and give them homework on the Internet. Children give the homework to their teachers on the Internet, too. People don't need to do much work. There are more robots . Robots do hard work for people. Parents don't cook or wash clothes. A cooking robot cooks breakfast. In fact, robots do all the housework for us. There are more holidays. Parents spend much time with their children. They spend a lot of time travelling around the world. I think life in the future is very interesting. Do you think so? How does the writer like the life in the future? He thinks it is  _  .

Choices:
A. hard
B. easy
C. interesting
D. healthy

Reply with exactly one uppercase letter out of A, B, C, or D.
",245
"I'm Wang Ping. I'm in Beijing. I like healthy food. I have milk   and fruit for breakfast; rice  , chicken and vegetables for lunch; vegetables, fruit and salad for dinner. Here is what my friends like eating. Let's have a look! Zhang Jian(inBeijing)Like: Li Ming(inShanghai)Like: Zheng Hui(inBeijing)Like: ,. Which of the following is TRUE  ?",,auxiliary_train-00000-of-00001,B,"I'm Wang Ping. I'm in Beijing. I like healthy food. I have milk   and fruit for breakfast; rice  , chicken and vegetables for lunch; vegetables, fruit and salad for dinner. Here is what my friends like eating. Let's have a look! Zhang Jian(inBeijing)Like: Li Ming(inShanghai)Like: Zheng Hui(inBeijing)Like: ,. Which of the following is TRUE  ?

Choices:
A. Zhang Jian and Li Ming like rice.
B. Zheng hui and Wang Ping are friends.
C. Wang Ping doesn't eat healthy food.
D. Wang Ping has two friends in Shanghai.

Reply with exactly one uppercase letter out of A, B, C, or D.
",150
"Mr Black is an American,but he is in Canada now.He is a tall man with funny glasses.He works in a big city but lives in a town far away.He lives on the twentieth floor of a building.Every morning he gets up early.Then he gets into the lift and it takes him down to the first floor.He runs to the bus stop and catches the early bus.It usually takes him about two hours to get to the factory by bus.Then he gets off the bus and walks into the workshop quickly.He starts his work at eight in the morning. The city is not  _  to the town.",,auxiliary_train-00000-of-00001,C,"Mr Black is an American,but he is in Canada now.He is a tall man with funny glasses.He works in a big city but lives in a town far away.He lives on the twentieth floor of a building.Every morning he gets up early.Then he gets into the lift and it takes him down to the first floor.He runs to the bus stop and catches the early bus.It usually takes him about two hours to get to the factory by bus.Then he gets off the bus and walks into the workshop quickly.He starts his work at eight in the morning. The city is not  _  to the town.

Choices:
A. far
B. away
C. near
D. from

Reply with exactly one uppercase letter out of A, B, C, or D.
",156
"My summer holiday began on July 5th. I didn't want to stay at home and did nothing in the hot summer. I called my grandma, and she asked me to go to her village. I was very happy with it. After four hours, I got to my grandma's house by bus. There are many trees around her house. I liked to play games with other children during the day. At night, people in the neighborhood often came and sat together to chat. My grandma liked telling stories. My new friends and I enjoyed her stories very much. There is a pool in the village. My friends and I often went there with some food and _ fish in the pool. Then we cooked the fish and had dinner there. It was not easy to catch fish, but it was interesting and exciting. I stayed there for about a month, and then I went back home. What did the writer do in the village at night?",,auxiliary_train-00000-of-00001,A,"My summer holiday began on July 5th. I didn't want to stay at home and did nothing in the hot summer. I called my grandma, and she asked me to go to her village. I was very happy with it. After four hours, I got to my grandma's house by bus. There are many trees around her house. I liked to play games with other children during the day. At night, people in the neighborhood often came and sat together to chat. My grandma liked telling stories. My new friends and I enjoyed her stories very much. There is a pool in the village. My friends and I often went there with some food and _ fish in the pool. Then we cooked the fish and had dinner there. It was not easy to catch fish, but it was interesting and exciting. I stayed there for about a month, and then I went back home. What did the writer do in the village at night?

Choices:
A. He listened to stories.
B. He swam in the pool.
C. He caught fish.
D. He goes online.

Reply with exactly one uppercase letter out of A, B, C, or D.
",237
"Norman Bethune  Born in 1890 in Canada. A doctor Came to China in 1937. Died in 1939 in China. Thomas Edison  Born in 1847, Kentucky, USA Made over 1,000 inventions .Died in 1931. Celine Dion  Born in Quebec, Canada  In 1997, sang the song My Heart Will Go On for the film    Titanic   A singer. Bill Gates    Born in 1955 in USA Wrote Business @ the Speed of Thought Owns Microsoft Company. Mark Twain  Born in 1835 in USA A Writer Died in 1910 Wrote Tom Sawyer Dr Bethune work in China for about   _   years.",,auxiliary_train-00000-of-00001,A,"Norman Bethune  Born in 1890 in Canada. A doctor Came to China in 1937. Died in 1939 in China. Thomas Edison  Born in 1847, Kentucky, USA Made over 1,000 inventions .Died in 1931. Celine Dion  Born in Quebec, Canada  In 1997, sang the song My Heart Will Go On for the film    Titanic   A singer. Bill Gates    Born in 1955 in USA Wrote Business @ the Speed of Thought Owns Microsoft Company. Mark Twain  Born in 1835 in USA A Writer Died in 1910 Wrote Tom Sawyer Dr Bethune work in China for about   _   years.

Choices:
A. 2
B. 4
C. 6
D. 8

Reply with exactly one uppercase letter out of A, B, C, or D.
",207
