question,question_concept,_split,answer,final_prompt,len_tk_mistral_7b_instruct
What do geese do every fall in fields?,geese,validation-00000-of-00001,E,"Question:
What do geese do every fall in fields?

Which of the following is the best response to the question?

Choices:
A. guard house
B. fly
C. eat
D. follow ultralight airplane
E. group together

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"She felt so alone on campus, she just wanted to be what?",alone,train-00000-of-00001,A,"Question:
She felt so alone on campus, she just wanted to be what?

Which of the following is the best response to the question?

Choices:
A. with someone
B. together
C. in crowd
D. many people
E. confined

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where should an excavation never take place?,excavation,train-00000-of-00001,B,"Question:
Where should an excavation never take place?

Which of the following is the best response to the question?

Choices:
A. construction site
B. cemetary
C. building
D. city
E. archeological site

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"When generals want to drop bombs, what vehicle do they need?",bomb,train-00000-of-00001,C,"Question:
When generals want to drop bombs, what vehicle do they need?

Which of the following is the best response to the question?

Choices:
A. mail box
B. car
C. aircraft
D. afghanistan
E. suitcase

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"She was in an affair, what did that end upon discovery by her husband?",affair,validation-00000-of-00001,B,"Question:
She was in an affair, what did that end upon discovery by her husband?

Which of the following is the best response to the question?

Choices:
A. relationship
B. marriage
C. fidelity
D. love
E. divorce

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What do you use to make confetti?,confetti,train-00000-of-00001,D,"Question:
What do you use to make confetti?

Which of the following is the best response to the question?

Choices:
A. big cities
B. friend's wedding
C. air
D. shredder
E. grocery store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What do you need to do to keep a surprise party a surprise?,surprise,train-00000-of-00001,A,"Question:
What do you need to do to keep a surprise party a surprise?

Which of the following is the best response to the question?

Choices:
A. keep secret
B. laugh
C. enjoy
D. scare
E. send flowers

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What might one use to figure out the best route for travelling?,route,train-00000-of-00001,C,"Question:
What might one use to figure out the best route for travelling?

Which of the following is the best response to the question?

Choices:
A. atlas
B. post office
C. map
D. get to specific place
E. phone

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"The rats were hiding in the house, where were they?",rats,validation-00000-of-00001,E,"Question:
The rats were hiding in the house, where were they?

Which of the following is the best response to the question?

Choices:
A. sewers
B. laboratory
C. basement
D. clinic
E. cellar

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Many containers full of goods are unloaded where after their long sea journey,container,train-00000-of-00001,A,"Question:
Many containers full of goods are unloaded where after their long sea journey

Which of the following is the best response to the question?

Choices:
A. port
B. cargo ship
C. refrigerator
D. food
E. lorry

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What would someone wear to protect themselves from a cannon?,cannon,train-00000-of-00001,C,"Question:
What would someone wear to protect themselves from a cannon?

Which of the following is the best response to the question?

Choices:
A. ungulate
B. bomber
C. body armor
D. tank
E. hat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"Working on the elaborate task was taxing, it require extreme what?",working,validation-00000-of-00001,B,"Question:
Working on the elaborate task was taxing, it require extreme what?

Which of the following is the best response to the question?

Choices:
A. holding
B. concentration
C. energy
D. job
E. energh

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"Light, games, and music are part of what celebration?",lights,train-00000-of-00001,D,"Question:
Light, games, and music are part of what celebration?

Which of the following is the best response to the question?

Choices:
A. concert
B. found at disco
C. plane
D. carnival
E. christmas

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What does a person looking for new things in life do?,person,train-00000-of-00001,B,"Question:
What does a person looking for new things in life do?

Which of the following is the best response to the question?

Choices:
A. become depressed
B. welcome change
C. thank god
D. experiences
E. pay bills

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Indoor cats versus outdoor tend to what longer?,cat,train-00000-of-00001,C,"Question:
Indoor cats versus outdoor tend to what longer?

Which of the following is the best response to the question?

Choices:
A. walk on two legs
B. meow
C. live many years
D. cast shadow
E. see king

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What is done to wood to attach something to it?,wood,train-00000-of-00001,A,"Question:
What is done to wood to attach something to it?

Which of the following is the best response to the question?

Choices:
A. nailed
B. carved
C. polished
D. eat cake
E. petrify

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"The young lady favored his wealth, she did not care how what he was?",young,train-00000-of-00001,D,"Question:
The young lady favored his wealth, she did not care how what he was?

Which of the following is the best response to the question?

Choices:
A. youngstock
B. aged
C. mature
D. old
E. senior

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"How does having a light, healthy lunch affect you?",having lunch,train-00000-of-00001,D,"Question:
How does having a light, healthy lunch affect you?

Which of the following is the best response to the question?

Choices:
A. feel full
B. vomiting
C. spending money
D. feeling satisfied
E. obesity

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where do all marmot live before they are captured?,marmot,train-00000-of-00001,D,"Question:
Where do all marmot live before they are captured?

Which of the following is the best response to the question?

Choices:
A. switzerland
B. spain
C. vancouver island
D. wilderness
E. australia

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
If you're drinking what body part does most of the work?,drinking,train-00000-of-00001,D,"Question:
If you're drinking what body part does most of the work?

Which of the following is the best response to the question?

Choices:
A. glass
B. swallowing
C. throat
D. mouth
E. use glass

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where are people most likely to ride a bicycle beside canals?,bicycle,train-00000-of-00001,B,"Question:
Where are people most likely to ride a bicycle beside canals?

Which of the following is the best response to the question?

Choices:
A. university
B. netherlands
C. schoolyard
D. road
E. garage

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What do taking illegal drugs do long term?,drugs,train-00000-of-00001,A,"Question:
What do taking illegal drugs do long term?

Which of the following is the best response to the question?

Choices:
A. cause illness
B. damage
C. benefit well-being
D. cause accidents
E. change state of mind

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
The bald eagle serves as what for America?,bald eagle,train-00000-of-00001,C,"Question:
The bald eagle serves as what for America?

Which of the following is the best response to the question?

Choices:
A. high tree
B. tree
C. national emblem
D. in washington
E. tree top

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where do people drive on the left on a motorway?,motorway,train-00000-of-00001,A,"Question:
Where do people drive on the left on a motorway?

Which of the following is the best response to the question?

Choices:
A. england
B. europe
C. new jersey
D. city
E. a river

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What can be done with a product on a table?,table,train-00000-of-00001,B,"Question:
What can be done with a product on a table?

Which of the following is the best response to the question?

Choices:
A. apartment
B. demonstration
C. tablecloth
D. dining room
E. furniture store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Inside what structure do you normally take a bath?,bath,train-00000-of-00001,D,"Question:
Inside what structure do you normally take a bath?

Which of the following is the best response to the question?

Choices:
A. room that is upstairs
B. own home
C. hotel room
D. house
E. found in house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Name an adjective that can mean the opposite of normal.,normal,train-00000-of-00001,A,"Question:
Name an adjective that can mean the opposite of normal.

Which of the following is the best response to the question?

Choices:
A. unconventional
B. reverse
C. strange
D. uncommon
E. ill

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where is a paper notice likely to be left on a house?,paper,train-00000-of-00001,A,"Question:
Where is a paper notice likely to be left on a house?

Which of the following is the best response to the question?

Choices:
A. front door
B. conference
C. classroom
D. refrigerator
E. suitcase

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"She choked while eating hamburger, what was the result?",eating hamburger,train-00000-of-00001,D,"Question:
She choked while eating hamburger, what was the result?

Which of the following is the best response to the question?

Choices:
A. satisfaction
B. yum
C. gas
D. death
E. gain weight

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What island country is ferret popular?,ferret,validation-00000-of-00001,C,"Question:
What island country is ferret popular?

Which of the following is the best response to the question?

Choices:
A. own home
B. north carolina
C. great britain
D. hutch
E. outdoors

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"If I needed help with answering questions, what would help me?",answering questions,train-00000-of-00001,C,"Question:
If I needed help with answering questions, what would help me?

Which of the following is the best response to the question?

Choices:
A. getting tired
B. better grade
C. sharing information
D. interesting
E. teaching

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where would a human go to be near his or her ancestors?,human,train-00000-of-00001,C,"Question:
Where would a human go to be near his or her ancestors?

Which of the following is the best response to the question?

Choices:
A. civilisation
B. underground
C. graveyard
D. spacecraft
E. space shuttle

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where could you buy an old pie safe with decorative tin?,tin,train-00000-of-00001,C,"Question:
Where could you buy an old pie safe with decorative tin?

Which of the following is the best response to the question?

Choices:
A. shopping bag
B. trash
C. antique store
D. landfill
E. cupboard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What might help if my dog wants a drink but his bowl is empty?,drink,train-00000-of-00001,D,"Question:
What might help if my dog wants a drink but his bowl is empty?

Which of the following is the best response to the question?

Choices:
A. empty bottle
B. can
C. cabinet
D. cup
E. backpack

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where will you wait in a reception area when you're suffering?,reception area,train-00000-of-00001,A,"Question:
Where will you wait in a reception area when you're suffering?

Which of the following is the best response to the question?

Choices:
A. hospital
B. people
C. motel
D. drug store
E. hotels

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where would you find many tables of silverware rolled into nice displayed napkins?,silverware,train-00000-of-00001,E,"Question:
Where would you find many tables of silverware rolled into nice displayed napkins?

Which of the following is the best response to the question?

Choices:
A. silver
B. park
C. table
D. cupboard
E. restaurant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What method of transportation uses air to float?,air,train-00000-of-00001,E,"Question:
What method of transportation uses air to float?

Which of the following is the best response to the question?

Choices:
A. surface of earth
B. supermarket
C. train station
D. space shuttle
E. balloon

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where is a grape likely to be being fed to someone else?,grape,validation-00000-of-00001,E,"Question:
Where is a grape likely to be being fed to someone else?

Which of the following is the best response to the question?

Choices:
A. field
B. bathroom
C. michigan
D. minnesota
E. painting

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where could you have fun with lots of people around you?,fun,train-00000-of-00001,C,"Question:
Where could you have fun with lots of people around you?

Which of the following is the best response to the question?

Choices:
A. good
B. friend's house
C. fairgrounds
D. watching television
E. expensive

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What is something that the public can go to which involves a committee?,committee,train-00000-of-00001,B,"Question:
What is something that the public can go to which involves a committee?

Which of the following is the best response to the question?

Choices:
A. business
B. city council meeting
C. temple
D. office building
E. boardroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"The fox was lost among the many trees, where was it?",fox,train-00000-of-00001,B,"Question:
The fox was lost among the many trees, where was it?

Which of the following is the best response to the question?

Choices:
A. storybook
B. dense forest
C. natural habitat
D. river
E. mountains

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What do professors primarily do?,professors,validation-00000-of-00001,E,"Question:
What do professors primarily do?

Which of the following is the best response to the question?

Choices:
A. master physics
B. state facts
C. wear wrinkled tweed jackets
D. school students
E. teach courses

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What do women wear on their legs that is made of nylon?,nylon,train-00000-of-00001,B,"Question:
What do women wear on their legs that is made of nylon?

Which of the following is the best response to the question?

Choices:
A. many products
B. stockings
C. clothing
D. drawer
E. rope

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What might a good person experience after killing someone?,killing,train-00000-of-00001,C,"Question:
What might a good person experience after killing someone?

Which of the following is the best response to the question?

Choices:
A. michigan
B. dies
C. feeling of guilt
D. being imprisoned
E. bloody mess

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where can you store candy to keep it from going stale?,candy,train-00000-of-00001,B,"Question:
Where can you store candy to keep it from going stale?

Which of the following is the best response to the question?

Choices:
A. trunk of car
B. jar
C. movies
D. disneyland
E. supermarket

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where would you need a ladder to eat?,ladder,train-00000-of-00001,C,"Question:
Where would you need a ladder to eat?

Which of the following is the best response to the question?

Choices:
A. garage
B. hardware store
C. apple orchard
D. couch
E. climbing to higher level

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What does a person often feel about someone judging them guilty?,judging,validation-00000-of-00001,C,"Question:
What does a person often feel about someone judging them guilty?

Which of the following is the best response to the question?

Choices:
A. controversy
B. responsibility
C. resentment
D. judge feelings
E. hurt feelings

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What is the legal consequence of killing likely to be?,killing,train-00000-of-00001,A,"Question:
What is the legal consequence of killing likely to be?

Which of the following is the best response to the question?

Choices:
A. being imprisoned
B. no longer live
C. dies
D. fine
E. feeling of guilt

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"I brought the mail in, where should I put it?",mail,train-00000-of-00001,D,"Question:
I brought the mail in, where should I put it?

Which of the following is the best response to the question?

Choices:
A. neighbor's house
B. post office
C. fridge
D. table
E. bathroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
How do you usually rest when you are laying down in a bed?,rest,train-00000-of-00001,B,"Question:
How do you usually rest when you are laying down in a bed?

Which of the following is the best response to the question?

Choices:
A. in motion
B. sleeping
C. using energy
D. action
E. rapidly

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What kind of cold storage would you use if you just bought some food?,cold storage,train-00000-of-00001,C,"Question:
What kind of cold storage would you use if you just bought some food?

Which of the following is the best response to the question?

Choices:
A. laboratory
B. restaurant
C. freezer
D. grocery store
E. laboratory

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What does a police officer in their sixities?,police officer,train-00000-of-00001,A,"Question:
What does a police officer in their sixities?

Which of the following is the best response to the question?

Choices:
A. retire
B. direct traffic
C. case
D. fine person for speeding
E. order to stop running

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Billy wanted to have rest because he needed to do what?,have rest,train-00000-of-00001,C,"Question:
Billy wanted to have rest because he needed to do what?

Which of the following is the best response to the question?

Choices:
A. go to bed
B. eat fish
C. relax
D. get tired
E. lie down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where can someone buy a fresh potato?,potato,train-00000-of-00001,A,"Question:
Where can someone buy a fresh potato?

Which of the following is the best response to the question?

Choices:
A. farmer's market
B. deep sea
C. bushel basket
D. ireland
E. grocery bag

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
where do you go to see most statues?,statue,train-00000-of-00001,E,"Question:
where do you go to see most statues?

Which of the following is the best response to the question?

Choices:
A. large city
B. church
C. amusement park
D. new york city
E. museum

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What do people watch television to become?,watch television,train-00000-of-00001,E,"Question:
What do people watch television to become?

Which of the following is the best response to the question?

Choices:
A. see favorite show
B. be quiet
C. get comfortable
D. you're bored
E. entertained

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
How can you tell whether people are rich?,people,train-00000-of-00001,B,"Question:
How can you tell whether people are rich?

Which of the following is the best response to the question?

Choices:
A. sleep together
B. own things
C. live long
D. believe in god
E. need each other

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What are cats that have found sunlight likely to do?,cats,train-00000-of-00001,C,"Question:
What are cats that have found sunlight likely to do?

Which of the following is the best response to the question?

Choices:
A. falling down
B. drink water
C. lie down
D. need food
E. eat meat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What proof is required to purchase beer?,buying beer,train-00000-of-00001,A,"Question:
What proof is required to purchase beer?

Which of the following is the best response to the question?

Choices:
A. i.d
B. coins
C. being over age 21
D. proper age
E. money

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where are you if your reading magazines while waiting for a vehicle on rails?,magazines,train-00000-of-00001,D,"Question:
Where are you if your reading magazines while waiting for a vehicle on rails?

Which of the following is the best response to the question?

Choices:
A. vegetables
B. market
C. doctor
D. train station
E. bookstore

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where should I not put these boxes if my house is likely to flood?,boxes,train-00000-of-00001,C,"Question:
Where should I not put these boxes if my house is likely to flood?

Which of the following is the best response to the question?

Choices:
A. garage
B. cellar
C. basement
D. kitchen
E. attic

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What does 	drinking alcohol lead to?,drinking alcohol,validation-00000-of-00001,B,"Question:
What does 	drinking alcohol lead to?

Which of the following is the best response to the question?

Choices:
A. have fun
B. intoxication
C. vomiting
D. drinking more alcohol
E. nausea

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
How can you distinguish garbage from other things?,garbage,train-00000-of-00001,E,"Question:
How can you distinguish garbage from other things?

Which of the following is the best response to the question?

Choices:
A. folkest
B. container
C. can smell nasty
D. composted
E. smells bad

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where do young people read about weasels?,weasel,train-00000-of-00001,C,"Question:
Where do young people read about weasels?

Which of the following is the best response to the question?

Choices:
A. songs
B. corn fields
C. children's story
D. animated film
E. forrest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Water is used as a mirror when designing a what?,water,train-00000-of-00001,B,"Question:
Water is used as a mirror when designing a what?

Which of the following is the best response to the question?

Choices:
A. pool
B. reflecting pool
C. fish tank
D. ocean
E. sewage treatment plant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"Some people really loved beer, they call it what gold?",beer,train-00000-of-00001,C,"Question:
Some people really loved beer, they call it what gold?

Which of the following is the best response to the question?

Choices:
A. alcohol in
B. intoxicating
C. liquid
D. hair of the dog
E. harmful

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Jogging can do what for your body?,jogging,train-00000-of-00001,B,"Question:
Jogging can do what for your body?

Which of the following is the best response to the question?

Choices:
A. sweating
B. improved health
C. increased heart rate
D. eat cake
E. being tired

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"The housewife needed dry storage, where should she put her things?",dry storage,train-00000-of-00001,E,"Question:
The housewife needed dry storage, where should she put her things?

Which of the following is the best response to the question?

Choices:
A. storage closet
B. building
C. inside
D. warehouse
E. pantry

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
If you fall when going for run you most likely did what?,going for run,train-00000-of-00001,A,"Question:
If you fall when going for run you most likely did what?

Which of the following is the best response to the question?

Choices:
A. trip
B. sweating
C. satisfaction
D. working out
E. better health

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What is the purpose of a box in a supermarket?,box,train-00000-of-00001,B,"Question:
What is the purpose of a box in a supermarket?

Which of the following is the best response to the question?

Choices:
A. hold stuff
B. store food
C. organize
D. hold things
E. store clothes

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
In order to wrestle better you lift weights to?,wrestle,train-00000-of-00001,A,"Question:
In order to wrestle better you lift weights to?

Which of the following is the best response to the question?

Choices:
A. have strength
B. strong
C. take lessons
D. fo brushing
E. get naked

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where is a good place to keep a wagon meant for work?,wagon,train-00000-of-00001,A,"Question:
Where is a good place to keep a wagon meant for work?

Which of the following is the best response to the question?

Choices:
A. garage
B. kitchen cabinet
C. backyard
D. field
E. toy store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where is a good place to have a fireplace in a house?,fireplace,validation-00000-of-00001,D,"Question:
Where is a good place to have a fireplace in a house?

Which of the following is the best response to the question?

Choices:
A. big house
B. train
C. cabin
D. living room
E. home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What would an adult woman do to get ready for work?,adult,train-00000-of-00001,E,"Question:
What would an adult woman do to get ready for work?

Which of the following is the best response to the question?

Choices:
A. drink beer
B. put on make up
C. dress himself
D. work
E. dress herself

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
The ceiling was soggy.  This suggested that the roof had what?,ceiling,train-00000-of-00001,A,"Question:
The ceiling was soggy.  This suggested that the roof had what?

Which of the following is the best response to the question?

Choices:
A. leak
B. building
C. field
D. metaphor
E. sag

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Why do people want to swim in the heat?,swim,train-00000-of-00001,D,"Question:
Why do people want to swim in the heat?

Which of the following is the best response to the question?

Choices:
A. wear bathing suit
B. fun
C. excercise
D. cool down
E. exercise

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where is a doormat likely to be in front of?,doormat,validation-00000-of-00001,B,"Question:
Where is a doormat likely to be in front of?

Which of the following is the best response to the question?

Choices:
A. facade
B. front door
C. doorway
D. entrance porch
E. hallway

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
When you stroke a dogs fur what have you done?,dog,validation-00000-of-00001,D,"Question:
When you stroke a dogs fur what have you done?

Which of the following is the best response to the question?

Choices:
A. start fighting
B. play
C. lots of attention
D. petted
E. bone

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where is the mailbox between my house and the next block?,mailbox,train-00000-of-00001,D,"Question:
Where is the mailbox between my house and the next block?

Which of the following is the best response to the question?

Choices:
A. front door
B. post office
C. apartment complex
D. street corner
E. fence

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"If I wanted to get some oxygen, what will I get it from?",oxygen,train-00000-of-00001,B,"Question:
If I wanted to get some oxygen, what will I get it from?

Which of the following is the best response to the question?

Choices:
A. the sky
B. air
C. earth
D. space shuttle
E. water

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Singers go to a studio to do what?,singers,train-00000-of-00001,D,"Question:
Singers go to a studio to do what?

Which of the following is the best response to the question?

Choices:
A. clear throats
B. sound beautiful
C. warm up
D. create music
E. make noise

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where could you go on top of a superhighway?,superhighway,train-00000-of-00001,E,"Question:
Where could you go on top of a superhighway?

Which of the following is the best response to the question?

Choices:
A. city
B. rural area
C. cyberspace
D. computer network
E. industrialized country

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Why is a period likely to be on a page?,period,train-00000-of-00001,B,"Question:
Why is a period likely to be on a page?

Which of the following is the best response to the question?

Choices:
A. history
B. end of line
C. tracking of music
D. school
E. finish sentence

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"He was trying to procreate with many individuals, this led to a what?",procreate,validation-00000-of-00001,D,"Question:
He was trying to procreate with many individuals, this led to a what?

Which of the following is the best response to the question?

Choices:
A. moaning
B. die
C. kiss
D. std
E. sanity

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What does someone do before they travel to work?,go to work,train-00000-of-00001,D,"Question:
What does someone do before they travel to work?

Which of the following is the best response to the question?

Choices:
A. wake up
B. have job
C. message the boss
D. get ready
E. take bus

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Why would you be unable to use a basketball?,basketball,train-00000-of-00001,B,"Question:
Why would you be unable to use a basketball?

Which of the following is the best response to the question?

Choices:
A. full of air
B. punctured
C. popular in america
D. round
E. not tall

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where is a shelf likely to be hidden behind a door?,shelf,validation-00000-of-00001,C,"Question:
Where is a shelf likely to be hidden behind a door?

Which of the following is the best response to the question?

Choices:
A. refrigerator
B. bookstore
C. cupboard
D. school building
E. wardrobe

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"The office needed new computers, but it would be quite what to upgrade?",computers,train-00000-of-00001,A,"Question:
The office needed new computers, but it would be quite what to upgrade?

Which of the following is the best response to the question?

Choices:
A. expensive
B. dumb
C. fun
D. fast
E. do work

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What do police do when getting ready to work?,police,train-00000-of-00001,A,"Question:
What do police do when getting ready to work?

Which of the following is the best response to the question?

Choices:
A. arm themselves
B. force law
C. pull someone over
D. help people
E. direct traffic

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What is the primary reason for visiting a shop?,shop,train-00000-of-00001,C,"Question:
What is the primary reason for visiting a shop?

Which of the following is the best response to the question?

Choices:
A. spending of money
B. spend too much
C. purchasing
D. sell items
E. compare prices

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What will happen if you inject water into yourself?,water,validation-00000-of-00001,B,"Question:
What will happen if you inject water into yourself?

Which of the following is the best response to the question?

Choices:
A. dilute
B. thin blood
C. take several forms
D. wet clothes
E. move mountains

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What does a person want to do the first day of school?,person,train-00000-of-00001,D,"Question:
What does a person want to do the first day of school?

Which of the following is the best response to the question?

Choices:
A. cross street
B. say words
C. die of cancer
D. meet friends
E. learn

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where is a good place to find a plate in the home?,plate,train-00000-of-00001,A,"Question:
Where is a good place to find a plate in the home?

Which of the following is the best response to the question?

Choices:
A. cabinet
B. table
C. dishwasher
D. fridge
E. restaurant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
In order to fight inflation you should be doing this?,fight inflation,train-00000-of-00001,B,"Question:
In order to fight inflation you should be doing this?

Which of the following is the best response to the question?

Choices:
A. dissatisfaction
B. saving money
C. not very much
D. invest
E. higher interest rates

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Knitting for a long time can lead to what condition?,knitting,train-00000-of-00001,D,"Question:
Knitting for a long time can lead to what condition?

Which of the following is the best response to the question?

Choices:
A. bleeding
B. have fun
C. relaxation
D. carpal tunnel syndrome
E. sore hands

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Why would someone be unable to be bringing suit?,bringing suit,train-00000-of-00001,E,"Question:
Why would someone be unable to be bringing suit?

Which of the following is the best response to the question?

Choices:
A. going to court
B. financially unable
C. aggravation
D. randomness
E. great expense

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where might I find pens with a company logo?,pens,train-00000-of-00001,A,"Question:
Where might I find pens with a company logo?

Which of the following is the best response to the question?

Choices:
A. office
B. on a pencil
C. write sentences on paper
D. school
E. backpack

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Why would a person go to school?,person,train-00000-of-00001,D,"Question:
Why would a person go to school?

Which of the following is the best response to the question?

Choices:
A. party
B. own house
C. more leisure time
D. successful in life
E. not feel pain

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where is a small dog likely to be well groomed?,small dog,train-00000-of-00001,D,"Question:
Where is a small dog likely to be well groomed?

Which of the following is the best response to the question?

Choices:
A. animal shelter
B. backyard
C. park
D. dog show
E. georgia

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What is it called when a group is radically changing society?,changing society,train-00000-of-00001,E,"Question:
What is it called when a group is radically changing society?

Which of the following is the best response to the question?

Choices:
A. vote
B. argue
C. social activism
D. dancers
E. social disruption

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What is a salesman responsible to do at work?,salesman,validation-00000-of-00001,D,"Question:
What is a salesman responsible to do at work?

Which of the following is the best response to the question?

Choices:
A. traveling to chicago
B. get fired
C. books
D. sell products
E. service account

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where could you put some olives to keep them fresh?,olives,train-00000-of-00001,E,"Question:
Where could you put some olives to keep them fresh?

Which of the following is the best response to the question?

Choices:
A. jar
B. pressed for thier oil
C. ice box
D. pizza
E. refrigerator

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"When a house has a normal location, where is it found?",house,train-00000-of-00001,E,"Question:
When a house has a normal location, where is it found?

Which of the following is the best response to the question?

Choices:
A. china
B. surface of earth
C. subdivision
D. newspaper
E. street

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
