question,question_concept,_split,answer,final_prompt,len_tk_mistral_7b_instruct
Where do you need to use a fan?,fan,train-00000-of-00001,A,"Question:
Where do you need to use a fan?

Which of the following is the best response to the question?

Choices:
A. hot room
B. sports stadium
C. appliance store
D. hockey game
E. sauna

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
When someone is physically competing what does their body do?,competing,validation-00000-of-00001,E,"Question:
When someone is physically competing what does their body do?

Which of the following is the best response to the question?

Choices:
A. tension
B. perform better
C. releases heat
D. winning or losing
E. sweat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What is the likelihood of drowning when getting wet?,getting wet,train-00000-of-00001,E,"Question:
What is the likelihood of drowning when getting wet?

Which of the following is the best response to the question?

Choices:
A. shrinking
B. feeling cold
C. become cold
D. cool off
E. could

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What might a person do on their birthday or Christmas,person,train-00000-of-00001,B,"Question:
What might a person do on their birthday or Christmas

Which of the following is the best response to the question?

Choices:
A. understand themselves
B. receive gifts
C. compliments
D. drink
E. acknowledgment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where is required to have a single fire extinguisher?,fire extinguisher,train-00000-of-00001,B,"Question:
Where is required to have a single fire extinguisher?

Which of the following is the best response to the question?

Choices:
A. house
B. boat
C. washroom
D. stairwell
E. hospital

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What can you do while resting that affects other people?,resting,train-00000-of-00001,D,"Question:
What can you do while resting that affects other people?

Which of the following is the best response to the question?

Choices:
A. lying down
B. fall asleep
C. time passes
D. snore
E. loud

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What kind of country has a government?,government,train-00000-of-00001,A,"Question:
What kind of country has a government?

Which of the following is the best response to the question?

Choices:
A. democracy
B. washington d.c
C. whitehouse
D. civilization
E. capitol building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where might someone find an abundance of cloth?,cloth,train-00000-of-00001,B,"Question:
Where might someone find an abundance of cloth?

Which of the following is the best response to the question?

Choices:
A. egyptian tombs
B. fabric store
C. kitchen
D. washing machine
E. bedroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where is a good place to set a cup of coffee while relaxing?,cup of coffee,validation-00000-of-00001,D,"Question:
Where is a good place to set a cup of coffee while relaxing?

Which of the following is the best response to the question?

Choices:
A. coffee shop
B. kitchen
C. hand
D. table
E. office

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What do tv studios use milk to mimic?,milk,train-00000-of-00001,B,"Question:
What do tv studios use milk to mimic?

Which of the following is the best response to the question?

Choices:
A. liquid
B. water
C. fridge
D. lactose
E. calcium

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What is an effect of playing football too carelessly?,playing,train-00000-of-00001,E,"Question:
What is an effect of playing football too carelessly?

Which of the following is the best response to the question?

Choices:
A. satisfaction
B. competitiveness
C. learning
D. making new friends
E. injuries

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What happens when humans are exposed to noises?,humans,train-00000-of-00001,B,"Question:
What happens when humans are exposed to noises?

Which of the following is the best response to the question?

Choices:
A. pet the dog
B. hear sounds
C. have sex
D. reproduce
E. drive cars

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
How might others describe someone who goes around killing people?,killing people,train-00000-of-00001,A,"Question:
How might others describe someone who goes around killing people?

Which of the following is the best response to the question?

Choices:
A. terrible
B. murder
C. going to jail
D. hunter
E. get arrested

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What do most people hope to achieve when playing sports?,playing sports,train-00000-of-00001,C,"Question:
What do most people hope to achieve when playing sports?

Which of the following is the best response to the question?

Choices:
A. an mbe
B. running
C. winning
D. have fun
E. cheat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What is the goal of driving to work?,driving to work,train-00000-of-00001,E,"Question:
What is the goal of driving to work?

Which of the following is the best response to the question?

Choices:
A. speeding ticket
B. use gas
C. go fast
D. anxiety
E. get to work

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where could you find millions of ficus?,ficus,train-00000-of-00001,B,"Question:
Where could you find millions of ficus?

Which of the following is the best response to the question?

Choices:
A. arboretum
B. california
C. teapot
D. apartment
E. ground

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Hitting what is likely to cause broken glass in a car?,broken glass,train-00000-of-00001,B,"Question:
Hitting what is likely to cause broken glass in a car?

Which of the following is the best response to the question?

Choices:
A. field
B. bridge
C. bottom of sea
D. street
E. wall

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What's another name for cargo?,cargo,train-00000-of-00001,E,"Question:
What's another name for cargo?

Which of the following is the best response to the question?

Choices:
A. aeroplane
B. boat
C. giftwrap
D. hiding in
E. ship's hold

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Why does a person find a routine odd when things go astray?,odd,train-00000-of-00001,B,"Question:
Why does a person find a routine odd when things go astray?

Which of the following is the best response to the question?

Choices:
A. unexpected
B. habitual
C. even
D. expected
E. common

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Blowfish require what specific thing to live?,blowfish,validation-00000-of-00001,A,"Question:
Blowfish require what specific thing to live?

Which of the following is the best response to the question?

Choices:
A. sea water
B. hatred
C. fish market
D. body of water
E. jungle

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Why does someone need to be doing housework themselves?,doing housework,train-00000-of-00001,C,"Question:
Why does someone need to be doing housework themselves?

Which of the following is the best response to the question?

Choices:
A. become tired
B. backache
C. low pay
D. fatigue
E. funny

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where are mice usually found in  house?,mouse,train-00000-of-00001,D,"Question:
Where are mice usually found in  house?

Which of the following is the best response to the question?

Choices:
A. on the couch
B. disneyland
C. garage
D. kitchen
E. cupboard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What is on the base of a stack of cubes?,base,train-00000-of-00001,D,"Question:
What is on the base of a stack of cubes?

Which of the following is the best response to the question?

Choices:
A. transistor
B. home plate
C. floor
D. box
E. vessel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
How do the bosses share knowledge in person at work?,knowledge,train-00000-of-00001,A,"Question:
How do the bosses share knowledge in person at work?

Which of the following is the best response to the question?

Choices:
A. meeting
B. dinner
C. encyclopedia
D. class
E. university

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where should I put a rug to keep my feet warm at night?,rug,train-00000-of-00001,B,"Question:
Where should I put a rug to keep my feet warm at night?

Which of the following is the best response to the question?

Choices:
A. place
B. bedroom
C. table
D. ceiling
E. persia

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Two adults do what before one gives birth to a child?,child,train-00000-of-00001,B,"Question:
Two adults do what before one gives birth to a child?

Which of the following is the best response to the question?

Choices:
A. loving couple
B. act of sex
C. birth
D. parents
E. consent

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
The fingers do this with the hand. What is it?,hands,train-00000-of-00001,C,"Question:
The fingers do this with the hand. What is it?

Which of the following is the best response to the question?

Choices:
A. sign language
B. scratch
C. articulate
D. cup water
E. soft

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where can you watch a performance like a symphony?,performance,train-00000-of-00001,E,"Question:
Where can you watch a performance like a symphony?

Which of the following is the best response to the question?

Choices:
A. movie
B. theatre
C. gymnasium
D. circus
E. concert hall

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
How can people acquire things they desire?,people,train-00000-of-00001,D,"Question:
How can people acquire things they desire?

Which of the following is the best response to the question?

Choices:
A. riots
B. wait in line
C. suffer pain
D. bank money
E. believe in god

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where might a student grow a ficus?,ficus,train-00000-of-00001,D,"Question:
Where might a student grow a ficus?

Which of the following is the best response to the question?

Choices:
A. flowerpot
B. farm
C. plant kingdom
D. science class
E. arboretum

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What will an athlete do to warm up their legs?,athlete,train-00000-of-00001,C,"Question:
What will an athlete do to warm up their legs?

Which of the following is the best response to the question?

Choices:
A. use heater
B. sprint
C. jog
D. run fast
E. compete

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What type of corn structure would contain many passageways?,passageway,train-00000-of-00001,C,"Question:
What type of corn structure would contain many passageways?

Which of the following is the best response to the question?

Choices:
A. jungle
B. house
C. maze
D. labyrinth
E. hotel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
The American Civil war was fought to free people from what?,free,train-00000-of-00001,E,"Question:
The American Civil war was fought to free people from what?

Which of the following is the best response to the question?

Choices:
A. prisoner
B. independence
C. caged in
D. topfree
E. slavery

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What do you need energy to do in gym class?,energy,validation-00000-of-00001,D,"Question:
What do you need energy to do in gym class?

Which of the following is the best response to the question?

Choices:
A. work
B. tacos
C. mass
D. play sports
E. wrestle

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where might someone fall on ice?,ice,train-00000-of-00001,D,"Question:
Where might someone fall on ice?

Which of the following is the best response to the question?

Choices:
A. mixed drinks
B. refrigerator
C. antarctica
D. hockey game
E. water cooler

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What country is arkansas in?,arkansas,train-00000-of-00001,D,"Question:
What country is arkansas in?

Which of the following is the best response to the question?

Choices:
A. colorado
B. mexico
C. arkansas
D. united states
E. oklahoma

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
John wanted to get grapes so he went where?,grape,train-00000-of-00001,A,"Question:
John wanted to get grapes so he went where?

Which of the following is the best response to the question?

Choices:
A. kitchen
B. fruit basket
C. bowl of fruit
D. field
E. farmers market

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What kind of place could have thousands of statue?,statue,train-00000-of-00001,C,"Question:
What kind of place could have thousands of statue?

Which of the following is the best response to the question?

Choices:
A. church
B. theatre
C. large city
D. water fountain
E. central park

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where were there recently a lot of closing sales?,sale,train-00000-of-00001,D,"Question:
Where were there recently a lot of closing sales?

Which of the following is the best response to the question?

Choices:
A. grocery store
B. furniture store
C. department store
D. k mart
E. clothing store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where is a snake likely to startle a farmer?,snake,train-00000-of-00001,E,"Question:
Where is a snake likely to startle a farmer?

Which of the following is the best response to the question?

Choices:
A. tropical forest
B. tree
C. pet shops
D. book store
E. feild

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where is a control room needed to prevent wide spread disaster?,control room,validation-00000-of-00001,D,"Question:
Where is a control room needed to prevent wide spread disaster?

Which of the following is the best response to the question?

Choices:
A. airbase
B. prison
C. mill
D. nuclear plant
E. recording studio

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where might students have to attend more than one period?,period,train-00000-of-00001,D,"Question:
Where might students have to attend more than one period?

Which of the following is the best response to the question?

Choices:
A. end of line
B. math
C. end of sentence
D. school
E. history

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What does running after balls lead to?,running after ball,train-00000-of-00001,B,"Question:
What does running after balls lead to?

Which of the following is the best response to the question?

Choices:
A. sweating
B. physical exertion
C. fitness
D. catching up with
E. sprinting

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
If song were to touch your heart it would do it through what?,touch,train-00000-of-00001,B,"Question:
If song were to touch your heart it would do it through what?

Which of the following is the best response to the question?

Choices:
A. smelling
B. hearing
C. seeing
D. sight
E. sniff

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What's black and white and contains many a story?,story,train-00000-of-00001,D,"Question:
What's black and white and contains many a story?

Which of the following is the best response to the question?

Choices:
A. past
B. book or magazine
C. novel
D. newspaper
E. story book

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Every living person has what on top of their neck?,person,train-00000-of-00001,D,"Question:
Every living person has what on top of their neck?

Which of the following is the best response to the question?

Choices:
A. immune system
B. belly button
C. two eyes
D. one head
E. name

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What might someone get from learning about science?,learning about science,train-00000-of-00001,C,"Question:
What might someone get from learning about science?

Which of the following is the best response to the question?

Choices:
A. headache
B. see things differently
C. increased knowledge
D. accidents
E. appreciation of nature

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
A lot of people who wrestle are very?,wrestle,train-00000-of-00001,D,"Question:
A lot of people who wrestle are very?

Which of the following is the best response to the question?

Choices:
A. train yourself
B. have strength
C. choke hold
D. strong
E. take lessons

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What type of structure has doorways that are connected to vehicles?,doorway,train-00000-of-00001,A,"Question:
What type of structure has doorways that are connected to vehicles?

Which of the following is the best response to the question?

Choices:
A. airport
B. castle
C. library
D. every building
E. zoo

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where can I go to take classes on playing an upright piano?,upright piano,train-00000-of-00001,A,"Question:
Where can I go to take classes on playing an upright piano?

Which of the following is the best response to the question?

Choices:
A. college
B. living room
C. house
D. band
E. music room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where do you buy ketchup?,ketchup,train-00000-of-00001,D,"Question:
Where do you buy ketchup?

Which of the following is the best response to the question?

Choices:
A. refrigerator
B. kitchen
C. fast food restaurant
D. grocery store
E. refridgerator

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What do airplanes do?,airplanes,train-00000-of-00001,A,"Question:
What do airplanes do?

Which of the following is the best response to the question?

Choices:
A. carry freight
B. catch on fire
C. stall
D. in the clouds
E. accelerate

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What could happen when beginning work after it is too late?,beginning work,train-00000-of-00001,A,"Question:
What could happen when beginning work after it is too late?

Which of the following is the best response to the question?

Choices:
A. panic
B. deadlines
C. accomplishing
D. momentum
E. sitting down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What do you want to do to fat when you release energy?,release energy,train-00000-of-00001,A,"Question:
What do you want to do to fat when you release energy?

Which of the following is the best response to the question?

Choices:
A. work off
B. burn
C. think
D. exercise
E. go running

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"The king needed to feel safe, where did he go?",king,train-00000-of-00001,A,"Question:
The king needed to feel safe, where did he go?

Which of the following is the best response to the question?

Choices:
A. castle
B. throne room
C. deck of cards
D. fort
E. court

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
How might a automobile get off a freeway?,automobile,validation-00000-of-00001,A,"Question:
How might a automobile get off a freeway?

Which of the following is the best response to the question?

Choices:
A. exit ramp
B. garage
C. driveway
D. repair shop
E. stop light

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where could a pilot go after he or she is finished working?,pilot,train-00000-of-00001,C,"Question:
Where could a pilot go after he or she is finished working?

Which of the following is the best response to the question?

Choices:
A. cockpit
B. airplane
C. shower
D. airport
E. home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
After performing many physical tasks what will you likely experience?,performing,train-00000-of-00001,B,"Question:
After performing many physical tasks what will you likely experience?

Which of the following is the best response to the question?

Choices:
A. injury
B. tiredness
C. do best
D. friend
E. accolades

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
One reason to keep going to work is what?,going to work,train-00000-of-00001,A,"Question:
One reason to keep going to work is what?

Which of the following is the best response to the question?

Choices:
A. promotions
B. stress
C. bad mood
D. for a party
E. exhaustion

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What do customers do in a store?,customers,train-00000-of-00001,D,"Question:
What do customers do in a store?

Which of the following is the best response to the question?

Choices:
A. hunt
B. pay merchants with money
C. mail orders
D. spend money
E. demand satisfaction

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
You often keep tools in a box in your?,tools,train-00000-of-00001,A,"Question:
You often keep tools in a box in your?

Which of the following is the best response to the question?

Choices:
A. garage
B. repair shop
C. drawer
D. neighbor's house
E. dentist

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where is  a state highway likely to be crowded?,state highway,train-00000-of-00001,E,"Question:
Where is  a state highway likely to be crowded?

Which of the following is the best response to the question?

Choices:
A. of states
B. united states
C. american state
D. traffic
E. california

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What do you need the most to be living life?,living life,train-00000-of-00001,A,"Question:
What do you need the most to be living life?

Which of the following is the best response to the question?

Choices:
A. breathe
B. learning
C. sorrow
D. wear a mullet
E. marriage

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where does a marmoset roam free?,marmoset,train-00000-of-00001,C,"Question:
Where does a marmoset roam free?

Which of the following is the best response to the question?

Choices:
A. rainforest
B. kitchen
C. wilderness
D. dictionary
E. burrow

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where would you need to use a writing instrument?,writing instrument,train-00000-of-00001,C,"Question:
Where would you need to use a writing instrument?

Which of the following is the best response to the question?

Choices:
A. pocket
B. purse
C. classroom
D. writer's hand
E. stationary

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Why do people ready gossip magazines?,read,train-00000-of-00001,E,"Question:
Why do people ready gossip magazines?

Which of the following is the best response to the question?

Choices:
A. for a course
B. get information
C. improove know how
D. learn
E. entertained

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What is a child likely to do while going to play?,going to play,train-00000-of-00001,A,"Question:
What is a child likely to do while going to play?

Which of the following is the best response to the question?

Choices:
A. laugh
B. sit
C. happiness
D. being entertained
E. walk slowly

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where could you find an organ that cannot be played?,organ,train-00000-of-00001,B,"Question:
Where could you find an organ that cannot be played?

Which of the following is the best response to the question?

Choices:
A. system
B. human body
C. cathedral
D. music store
E. band hall

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What can planning vacation lead to between a couple when they disagree?,planning vacation,train-00000-of-00001,C,"Question:
What can planning vacation lead to between a couple when they disagree?

Which of the following is the best response to the question?

Choices:
A. relaxation
B. enjoying
C. arguments
D. going abroad
E. spending money

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
If someone laughs after surprising them they have a good sense of what?,surprising,validation-00000-of-00001,D,"Question:
If someone laughs after surprising them they have a good sense of what?

Which of the following is the best response to the question?

Choices:
A. joy
B. fight
C. frightened
D. humor
E. laughter

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
You can do what do share your memories of visiting a museum?,visiting museum,train-00000-of-00001,B,"Question:
You can do what do share your memories of visiting a museum?

Which of the following is the best response to the question?

Choices:
A. cry
B. take pictures
C. talk loudly
D. whisper
E. entertainment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where is a good place for a small dog to sleep?,small dog,train-00000-of-00001,D,"Question:
Where is a good place for a small dog to sleep?

Which of the following is the best response to the question?

Choices:
A. animal shelter
B. backyard
C. own home
D. basket
E. garage

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where would you likely go to buy an armoire?,armoire,train-00000-of-00001,B,"Question:
Where would you likely go to buy an armoire?

Which of the following is the best response to the question?

Choices:
A. living room
B. furniture store
C. butcher shop
D. house
E. bedroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What could prevent someone from buying chistmas presents?,buying christmas presents,train-00000-of-00001,B,"Question:
What could prevent someone from buying chistmas presents?

Which of the following is the best response to the question?

Choices:
A. happiness
B. lack of money
C. stress
D. relief
E. exhiliration

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where does the water run-off overflow end up?,overflow,train-00000-of-00001,A,"Question:
Where does the water run-off overflow end up?

Which of the following is the best response to the question?

Choices:
A. sewer
B. bathroom
C. glass
D. drain
E. behind the curtain

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
A great singers voice is going to be?,voice,train-00000-of-00001,B,"Question:
A great singers voice is going to be?

Which of the following is the best response to the question?

Choices:
A. loud
B. beautiful
C. sound
D. george michael
E. commmunicating

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What contains a ball to help it work efficiently?,ball,train-00000-of-00001,B,"Question:
What contains a ball to help it work efficiently?

Which of the following is the best response to the question?

Choices:
A. football field
B. bearing
C. gymnasium
D. playground
E. pool table

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What are the problems of eating and not exercising?,eating,train-00000-of-00001,B,"Question:
What are the problems of eating and not exercising?

Which of the following is the best response to the question?

Choices:
A. satisfaction
B. gaining weight
C. fatness
D. full stomach
E. getting full

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Most people have what which they use to carry things?,most people,train-00000-of-00001,B,"Question:
Most people have what which they use to carry things?

Which of the following is the best response to the question?

Choices:
A. two eyes
B. two hands
C. two arms
D. carry bags
E. ears

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What do people take when they see a pretty sky?,sky,train-00000-of-00001,E,"Question:
What do people take when they see a pretty sky?

Which of the following is the best response to the question?

Choices:
A. outdoors
B. looking up
C. place on earth
D. atmosphere
E. photo

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where would a cat not belong?,cat,train-00000-of-00001,C,"Question:
Where would a cat not belong?

Which of the following is the best response to the question?

Choices:
A. back alley
B. swimming pool
C. milky way galaxy
D. compost pile
E. back yard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where would you find the closest items made from wood?,wood,train-00000-of-00001,A,"Question:
Where would you find the closest items made from wood?

Which of the following is the best response to the question?

Choices:
A. own home
B. lumberyard
C. electric store
D. carpet
E. boat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where did the kidnappers take the sloth from?,sloth,train-00000-of-00001,A,"Question:
Where did the kidnappers take the sloth from?

Which of the following is the best response to the question?

Choices:
A. wilderness
B. encyclopedia
C. school
D. dictionary
E. countryside

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where do you keep perishable food for a longer time?,food,train-00000-of-00001,D,"Question:
Where do you keep perishable food for a longer time?

Which of the following is the best response to the question?

Choices:
A. table
B. trash can
C. store
D. freezer
E. home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Why does someone make sure they are eating breakfast?,eating breakfast,train-00000-of-00001,B,"Question:
Why does someone make sure they are eating breakfast?

Which of the following is the best response to the question?

Choices:
A. fullness
B. have energy
C. better day
D. full stomach
E. indulge

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What might have a drop of flood on their fingertip?,drop of blood,train-00000-of-00001,B,"Question:
What might have a drop of flood on their fingertip?

Which of the following is the best response to the question?

Choices:
A. needle
B. person
C. clock
D. test tube
E. battlefield

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where do you put a cardboard box that is damaged beyond use?,cardboard box,train-00000-of-00001,E,"Question:
Where do you put a cardboard box that is damaged beyond use?

Which of the following is the best response to the question?

Choices:
A. warehouse
B. post office
C. food
D. garage
E. trash

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where is a snake not likely to go?,snake,train-00000-of-00001,D,"Question:
Where is a snake not likely to go?

Which of the following is the best response to the question?

Choices:
A. tropical forest
B. water
C. outdoors
D. creeks
E. underbrush

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What is an effect of jumping rope?,jumping rope,train-00000-of-00001,D,"Question:
What is an effect of jumping rope?

Which of the following is the best response to the question?

Choices:
A. look silly
B. ankle sprain
C. sweating
D. becoming tired
E. wining

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
If someone rules the universe of what are they in charge?,rule,validation-00000-of-00001,C,"Question:
If someone rules the universe of what are they in charge?

Which of the following is the best response to the question?

Choices:
A. classroom
B. football game
C. everything
D. text book
E. lawbook

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
How can you achieve happiness in a group?,happiness,train-00000-of-00001,C,"Question:
How can you achieve happiness in a group?

Which of the following is the best response to the question?

Choices:
A. sing
B. live life
C. play games
D. fiddle
E. jump up and down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Hurting someone else is not an acceptable way to express what?,hurting else,train-00000-of-00001,B,"Question:
Hurting someone else is not an acceptable way to express what?

Which of the following is the best response to the question?

Choices:
A. feel sad
B. anger
C. happiness
D. arrested
E. suffering

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where is the ideal location for a post office?,post office,validation-00000-of-00001,E,"Question:
Where is the ideal location for a post office?

Which of the following is the best response to the question?

Choices:
A. building
B. business district
C. above ground
D. most towns
E. center of town

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where can you buy guns for hunting?,guns,train-00000-of-00001,E,"Question:
Where can you buy guns for hunting?

Which of the following is the best response to the question?

Choices:
A. war
B. roadblock
C. make person sick
D. military base
E. sporting goods store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What is writing a form of?,writing,train-00000-of-00001,A,"Question:
What is writing a form of?

Which of the following is the best response to the question?

Choices:
A. communication
B. listening
C. carpal tunnel syndrome
D. revolutions
E. writer's cramp

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where is a good place to store a frying pan?,frying pan,train-00000-of-00001,C,"Question:
Where is a good place to store a frying pan?

Which of the following is the best response to the question?

Choices:
A. galley
B. department store
C. kitchen cabinet
D. closet
E. homes

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
You enter the parking lot of a grocery store from where?,grocery store,train-00000-of-00001,C,"Question:
You enter the parking lot of a grocery store from where?

Which of the following is the best response to the question?

Choices:
A. town
B. strip mall
C. street
D. neighborhood
E. sewer

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where is a personal washing machine likely to be found?,washing machine,train-00000-of-00001,E,"Question:
Where is a personal washing machine likely to be found?

Which of the following is the best response to the question?

Choices:
A. clean dishes
B. laundromat
C. streets
D. cellar
E. house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where can you find people trying to alleviate suffering?,people,train-00000-of-00001,A,"Question:
Where can you find people trying to alleviate suffering?

Which of the following is the best response to the question?

Choices:
A. hospital
B. hockey game
C. apartment
D. kitchen
E. water cooler

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Someone lacking immortality will one day be?,immortality,train-00000-of-00001,C,"Question:
Someone lacking immortality will one day be?

Which of the following is the best response to the question?

Choices:
A. kick the bucket
B. mortal
C. dead
D. can die
E. dying

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where would you keep a cardboard box full of car parts?,cardboard box,train-00000-of-00001,B,"Question:
Where would you keep a cardboard box full of car parts?

Which of the following is the best response to the question?

Choices:
A. post office
B. garage
C. trash
D. under bed
E. warehouse

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
After doing what he held his breathe?,breathe,train-00000-of-00001,B,"Question:
After doing what he held his breathe?

Which of the following is the best response to the question?

Choices:
A. inhale
B. inhaling
C. wheeze
D. take breath
E. meditate

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
where did many colonial kingdoms originate?,kingdom,train-00000-of-00001,B,"Question:
where did many colonial kingdoms originate?

Which of the following is the best response to the question?

Choices:
A. saudi arabia
B. europe
C. united states
D. book
E. monarchy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What is the definition of cogitating?,cogitating,train-00000-of-00001,B,"Question:
What is the definition of cogitating?

Which of the following is the best response to the question?

Choices:
A. sit comfortably
B. think about things
C. might understand
D. enjoy
E. brain work

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"The person began exercising, what is he seeking?",person,train-00000-of-00001,B,"Question:
The person began exercising, what is he seeking?

Which of the following is the best response to the question?

Choices:
A. good relationship
B. live well
C. financial security
D. own house
E. food

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where must a jellyfish live?,jellyfish,train-00000-of-00001,E,"Question:
Where must a jellyfish live?

Which of the following is the best response to the question?

Choices:
A. store
B. see
C. japanese restaurant
D. hawaii
E. salt water

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
