question,question_concept,_split,answer,final_prompt,len_tk_qwen2.5_7b_instruct
Why might someone decide to having a checkup for followup?,having checkup,train-00000-of-00001,A,"Question:
Why might someone decide to having a checkup for followup?

Which of the following is the best response to the question?

Choices:
A. uncertainty
B. anxiety
C. stress
D. anxious
E. pain

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Janet was watching the film because she liked what?,watching film,validation-00000-of-00001,C,"Question:
Janet was watching the film because she liked what?

Which of the following is the best response to the question?

Choices:
A. erection
B. laughter
C. being entertained
D. fear
E. bordem

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What does breathing do for living things?,breathing,train-00000-of-00001,C,"Question:
What does breathing do for living things?

Which of the following is the best response to the question?

Choices:
A. asthma attacks
B. satisfies hunger
C. sustaining life
D. warm air
E. giving life

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where is there a telephone book in almost every room?,telephone book,validation-00000-of-00001,A,"Question:
Where is there a telephone book in almost every room?

Which of the following is the best response to the question?

Choices:
A. at hotel
B. house
C. library
D. bedsit
E. closet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What North American country really likes watching matches on a soccer field?,soccer field,train-00000-of-00001,D,"Question:
What North American country really likes watching matches on a soccer field?

Which of the following is the best response to the question?

Choices:
A. playground
B. canada
C. outside
D. mexico
E. park

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where could you find an apple tree?,apple tree,train-00000-of-00001,C,"Question:
Where could you find an apple tree?

Which of the following is the best response to the question?

Choices:
A. bloom
B. washington state
C. new hampshire
D. around water
E. sunshine

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
There are usually four strings on what popular instrument?,string,train-00000-of-00001,D,"Question:
There are usually four strings on what popular instrument?

Which of the following is the best response to the question?

Choices:
A. trumpet
B. kite
C. quark
D. guitar
E. bird's nest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What kind of playing game could result in you winning?,playing game,train-00000-of-00001,B,"Question:
What kind of playing game could result in you winning?

Which of the following is the best response to the question?

Choices:
A. having fun
B. competition
C. entertain
D. checkers
E. injury

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where would you put a rubber stamp after using it?,rubber stamp,train-00000-of-00001,A,"Question:
Where would you put a rubber stamp after using it?

Which of the following is the best response to the question?

Choices:
A. desk
B. art class
C. office
D. table
E. indiana

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What is the goal of someone planning to kill?,kill,train-00000-of-00001,A,"Question:
What is the goal of someone planning to kill?

Which of the following is the best response to the question?

Choices:
A. take life
B. or dies
C. feel remorse
D. shoot
E. murder

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where is a likely place for an ivy plant?,plant,validation-00000-of-00001,D,"Question:
Where is a likely place for an ivy plant?

Which of the following is the best response to the question?

Choices:
A. flower pot
B. shelf
C. windowsill
D. outside
E. sill

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What might a person do on their birthday or Christmas,person,train-00000-of-00001,B,"Question:
What might a person do on their birthday or Christmas

Which of the following is the best response to the question?

Choices:
A. understand themselves
B. receive gifts
C. compliments
D. drink
E. acknowledgment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Some cars have racing lines on them called?,cars,train-00000-of-00001,D,"Question:
Some cars have racing lines on them called?

Which of the following is the best response to the question?

Choices:
A. seat belts
B. breaks to help stop
C. designs
D. stripes
E. radios

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What is a group of bungalows in a small area?,bungalow,train-00000-of-00001,D,"Question:
What is a group of bungalows in a small area?

Which of the following is the best response to the question?

Choices:
A. park
B. woods
C. bed
D. neighborhood
E. suburbs

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where can you purchase food and eat it at tables?,tables,train-00000-of-00001,B,"Question:
Where can you purchase food and eat it at tables?

Which of the following is the best response to the question?

Choices:
A. house
B. fast food restaurant
C. library
D. conference
E. paper

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where would you put a book after you buy it?,book,train-00000-of-00001,D,"Question:
Where would you put a book after you buy it?

Which of the following is the best response to the question?

Choices:
A. discount store
B. ground
C. university
D. house
E. antique store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where is required to have a single fire extinguisher?,fire extinguisher,train-00000-of-00001,B,"Question:
Where is required to have a single fire extinguisher?

Which of the following is the best response to the question?

Choices:
A. house
B. boat
C. washroom
D. stairwell
E. hospital

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What area with trees experiences heavy rain?,rain,train-00000-of-00001,E,"Question:
What area with trees experiences heavy rain?

Which of the following is the best response to the question?

Choices:
A. sahara
B. disneyland
C. seattle
D. street
E. forest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What do you want to do to conquer opponent?,conquer opponent,train-00000-of-00001,B,"Question:
What do you want to do to conquer opponent?

Which of the following is the best response to the question?

Choices:
A. make fun of
B. win
C. total domination
D. best
E. compete

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What could cause a driving car to stop?,driving car,train-00000-of-00001,E,"Question:
What could cause a driving car to stop?

Which of the following is the best response to the question?

Choices:
A. on time
B. pollution
C. death
D. sickness
E. run out of gas

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
"The machine was very intricate, it was quite an what?",machine,train-00000-of-00001,B,"Question:
The machine was very intricate, it was quite an what?

Which of the following is the best response to the question?

Choices:
A. box
B. apparatus
C. appliance
D. wash dishes
E. implement

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where can a person drink alcohol as they slice a steak?,alcohol,train-00000-of-00001,E,"Question:
Where can a person drink alcohol as they slice a steak?

Which of the following is the best response to the question?

Choices:
A. pub
B. chemistry lab
C. manual
D. supermarket
E. restaurants

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What could committing murder prevent someone from doing?,committing murder,validation-00000-of-00001,C,"Question:
What could committing murder prevent someone from doing?

Which of the following is the best response to the question?

Choices:
A. go to jail
B. cry
C. find god
D. guilty conscience
E. problems

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What do you need to run after ball?,run after ball,train-00000-of-00001,B,"Question:
What do you need to run after ball?

Which of the following is the best response to the question?

Choices:
A. get tired
B. have legs
C. skip
D. not fat
E. look first

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What happens to living beings when they are nervous?,living,train-00000-of-00001,D,"Question:
What happens to living beings when they are nervous?

Which of the following is the best response to the question?

Choices:
A. getting old
B. death
C. laughter
D. perspiration
E. palpitations

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Discovering truth normally occurs at what part of a research process?,discovering truth,train-00000-of-00001,B,"Question:
Discovering truth normally occurs at what part of a research process?

Which of the following is the best response to the question?

Choices:
A. enlightenment
B. conclusion
C. beginning
D. relief
E. happiness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where can a shirt be found in a hotel room?,shirt,train-00000-of-00001,E,"Question:
Where can a shirt be found in a hotel room?

Which of the following is the best response to the question?

Choices:
A. closet
B. drawer
C. garderobe
D. shelf
E. suitcase

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where are plants likely to be handled by a city employee?,plants,train-00000-of-00001,A,"Question:
Where are plants likely to be handled by a city employee?

Which of the following is the best response to the question?

Choices:
A. park
B. windowsill
C. ground
D. office
E. garden

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where would you not be able to hear a telephone?,telephone,train-00000-of-00001,C,"Question:
Where would you not be able to hear a telephone?

Which of the following is the best response to the question?

Choices:
A. house
B. friend's house
C. party
D. hospital
E. desktop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Which door with lock do you secure when running an errand?,door with lock,train-00000-of-00001,A,"Question:
Which door with lock do you secure when running an errand?

Which of the following is the best response to the question?

Choices:
A. house
B. garage
C. automobile
D. safe
E. trunk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What are most people trying to do when going on vacation?,going on vacation,train-00000-of-00001,C,"Question:
What are most people trying to do when going on vacation?

Which of the following is the best response to the question?

Choices:
A. panic
B. debate
C. having fun
D. debt
E. peace

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What kind of flight cannot be taken to s foreign country?,foreign,train-00000-of-00001,E,"Question:
What kind of flight cannot be taken to s foreign country?

Which of the following is the best response to the question?

Choices:
A. imaginary flight
B. american
C. native
D. indigenous
E. domestic

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What water feature has a pool at the bottom?,pool,train-00000-of-00001,A,"Question:
What water feature has a pool at the bottom?

Which of the following is the best response to the question?

Choices:
A. waterfall
B. hose
C. neighbor's house
D. backyard
E. at hotel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where is a stool likely to be found?,stool,train-00000-of-00001,D,"Question:
Where is a stool likely to be found?

Which of the following is the best response to the question?

Choices:
A. internet cafe
B. blacksmith's shop
C. office
D. bar
E. building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What caused my shirt to get soaked after going jogging?,going jogging,train-00000-of-00001,C,"Question:
What caused my shirt to get soaked after going jogging?

Which of the following is the best response to the question?

Choices:
A. arthritis
B. lose weight
C. sweating
D. exercise
E. feel better

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where would you put a dictionary while you're using it?,dictionary,train-00000-of-00001,C,"Question:
Where would you put a dictionary while you're using it?

Which of the following is the best response to the question?

Choices:
A. library
B. study area
C. table
D. classroom
E. shelf

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where would you find a pot that is being used by someone?,pot,train-00000-of-00001,E,"Question:
Where would you find a pot that is being used by someone?

Which of the following is the best response to the question?

Choices:
A. toilet
B. porch
C. greenhouse
D. cupboard
E. restaurant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where on land would you likely find a cannon?,cannon,train-00000-of-00001,A,"Question:
Where on land would you likely find a cannon?

Which of the following is the best response to the question?

Choices:
A. fort
B. pay debts
C. pirate ship
D. battle
E. war museum

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where would you put things in a paper bag?,paper,train-00000-of-00001,C,"Question:
Where would you put things in a paper bag?

Which of the following is the best response to the question?

Choices:
A. synagogue
B. classroom
C. grocery store
D. lunchbox
E. front porch

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
If you there is glass in this you could possibly see dishes.,glass,train-00000-of-00001,C,"Question:
If you there is glass in this you could possibly see dishes.

Which of the following is the best response to the question?

Choices:
A. dishwasher
B. window
C. cabinet
D. table
E. shelf

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
what do you extend to have a bigger back yard?,back yard,train-00000-of-00001,D,"Question:
what do you extend to have a bigger back yard?

Which of the following is the best response to the question?

Choices:
A. suburb
B. back of house
C. forest
D. property
E. neighborhood

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where is a man likely to keep his sunglasses?,sunglasses,train-00000-of-00001,B,"Question:
Where is a man likely to keep his sunglasses?

Which of the following is the best response to the question?

Choices:
A. drugstore
B. shirt pocket
C. purse
D. jeans pocket
E. bag

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where is the best place to keep a dish cloth?,cloth,train-00000-of-00001,B,"Question:
Where is the best place to keep a dish cloth?

Which of the following is the best response to the question?

Choices:
A. laundry
B. kitchen
C. linen closet
D. fabric store
E. bedroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where would you find an expensive lantern?,lantern,train-00000-of-00001,D,"Question:
Where would you find an expensive lantern?

Which of the following is the best response to the question?

Choices:
A. a collector's house
B. dark place
C. house
D. antique shop
E. street

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where might a child keep their towel for overnight?,towel,train-00000-of-00001,A,"Question:
Where might a child keep their towel for overnight?

Which of the following is the best response to the question?

Choices:
A. backpack
B. linen closet
C. swimming pool
D. at hotel
E. shelf

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What could have a knob but not a display?,knob,train-00000-of-00001,B,"Question:
What could have a knob but not a display?

Which of the following is the best response to the question?

Choices:
A. television
B. control panel
C. opening doors
D. hardware store
E. hardware

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where would stones not be arranged in a path?,stones,validation-00000-of-00001,B,"Question:
Where would stones not be arranged in a path?

Which of the following is the best response to the question?

Choices:
A. quarries
B. field
C. park
D. bridge
E. made from rocks

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
The lizard tried to warm itself by resting where?,lizard,train-00000-of-00001,E,"Question:
The lizard tried to warm itself by resting where?

Which of the following is the best response to the question?

Choices:
A. porch
B. rocky areas
C. garden
D. shady spot
E. sunny place

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
WHat does someone usually produce a lot of when getting divorce?,getting divorce,train-00000-of-00001,B,"Question:
WHat does someone usually produce a lot of when getting divorce?

Which of the following is the best response to the question?

Choices:
A. freedom
B. tears
C. richer
D. depression
E. tissues

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What kingdom is frequently associated with pubs?,pub,train-00000-of-00001,C,"Question:
What kingdom is frequently associated with pubs?

Which of the following is the best response to the question?

Choices:
A. bahrain
B. ireland
C. great britain
D. london
E. england

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What could happen if someone isn't playing basketball carefully?,playing basketball,train-00000-of-00001,B,"Question:
What could happen if someone isn't playing basketball carefully?

Which of the following is the best response to the question?

Choices:
A. lose
B. knee injury
C. having fun
D. sweating
E. pain

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where can you buy opera glasses that are old?,opera glasses,train-00000-of-00001,D,"Question:
Where can you buy opera glasses that are old?

Which of the following is the best response to the question?

Choices:
A. museum
B. woman's purse
C. supermarket
D. antique store
E. theater

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where would you get marble if you do not have any?,marble,train-00000-of-00001,D,"Question:
Where would you get marble if you do not have any?

Which of the following is the best response to the question?

Choices:
A. opaque
B. game
C. pawn shop
D. store
E. pouch

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
what is a characteristic of one who want to give assistance?,give assistance,train-00000-of-00001,B,"Question:
what is a characteristic of one who want to give assistance?

Which of the following is the best response to the question?

Choices:
A. help one
B. helpful
C. listen
D. prepared
E. humanity

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What is the way that couples like to have fun?,have fun,train-00000-of-00001,B,"Question:
What is the way that couples like to have fun?

Which of the following is the best response to the question?

Choices:
A. laughter
B. have sex
C. crying
D. spontaneous
E. enjoy yourself

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Human beings learn about current events from what print item?,human beings,validation-00000-of-00001,C,"Question:
Human beings learn about current events from what print item?

Which of the following is the best response to the question?

Choices:
A. question authority
B. melt
C. read newspapers
D. act
E. dictionary

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where are you likely to find an injured soldier?,soldier,train-00000-of-00001,B,"Question:
Where are you likely to find an injured soldier?

Which of the following is the best response to the question?

Choices:
A. helicopter
B. war zone
C. armored car
D. white house
E. battlefield

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What is often the function of ice?,ice,train-00000-of-00001,B,"Question:
What is often the function of ice?

Which of the following is the best response to the question?

Choices:
A. cool water
B. cool drink
C. harm humans
D. become water
E. form crystals

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where did the old ladies indoor only pet cat stay?,cat,train-00000-of-00001,D,"Question:
Where did the old ladies indoor only pet cat stay?

Which of the following is the best response to the question?

Choices:
A. front door
B. zoo
C. jail cell
D. residence
E. floor

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Who take stand in a trial to help a case?,take stand,train-00000-of-00001,A,"Question:
Who take stand in a trial to help a case?

Which of the following is the best response to the question?

Choices:
A. witness
B. testify
C. give testimony
D. judge
E. tell truth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where can you find a restaurant's phone number?,restaurant,validation-00000-of-00001,A,"Question:
Where can you find a restaurant's phone number?

Which of the following is the best response to the question?

Choices:
A. yellow pages
B. town
C. business sector
D. town
E. at hotel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
"You can buy gum, candy and popcorn before watching what?",gum,train-00000-of-00001,E,"Question:
You can buy gum, candy and popcorn before watching what?

Which of the following is the best response to the question?

Choices:
A. water fountain
B. store
C. sidewalk
D. hospital
E. movies

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Zeus was one of many men that were this in mythology?,men,train-00000-of-00001,E,"Question:
Zeus was one of many men that were this in mythology?

Which of the following is the best response to the question?

Choices:
A. boys
B. females
C. feminist
D. lady
E. gods

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where would you first look for your dog?,dog,train-00000-of-00001,B,"Question:
Where would you first look for your dog?

Which of the following is the best response to the question?

Choices:
A. road
B. back yard
C. neighbor's house
D. porch
E. farmyard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What kind of place could have thousands of statue?,statue,train-00000-of-00001,C,"Question:
What kind of place could have thousands of statue?

Which of the following is the best response to the question?

Choices:
A. church
B. theatre
C. large city
D. water fountain
E. central park

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where is a good place to find a plate in the home?,plate,train-00000-of-00001,A,"Question:
Where is a good place to find a plate in the home?

Which of the following is the best response to the question?

Choices:
A. cabinet
B. table
C. dishwasher
D. fridge
E. restaurant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What would be built on a foundation of rock?,rock,train-00000-of-00001,C,"Question:
What would be built on a foundation of rock?

Which of the following is the best response to the question?

Choices:
A. pillars
B. mountains
C. bridge
D. mountain range
E. surface of earth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
One indicator of a mouse in your house is what?,mouse,train-00000-of-00001,C,"Question:
One indicator of a mouse in your house is what?

Which of the following is the best response to the question?

Choices:
A. cheese
B. kitchen
C. small hole
D. department store
E. garden

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What do you need energy to do in gym class?,energy,validation-00000-of-00001,D,"Question:
What do you need energy to do in gym class?

Which of the following is the best response to the question?

Choices:
A. work
B. tacos
C. mass
D. play sports
E. wrestle

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What could snoring cause in rare cases?,snoring,train-00000-of-00001,E,"Question:
What could snoring cause in rare cases?

Which of the following is the best response to the question?

Choices:
A. complaining
B. an upset partner
C. disturbed sleep
D. loud noise
E. death

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
"When darkness came, what was she prompted to go to?",darkness,train-00000-of-00001,C,"Question:
When darkness came, what was she prompted to go to?

Which of the following is the best response to the question?

Choices:
A. moon
B. haunted house
C. bed
D. movies
E. cellar

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where is an inexpensive place to have a reception?,reception,train-00000-of-00001,D,"Question:
Where is an inexpensive place to have a reception?

Which of the following is the best response to the question?

Choices:
A. outside
B. wedding party
C. restaurant
D. church basement
E. country club

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where do people get beer after a bit of gambling?,beer,validation-00000-of-00001,C,"Question:
Where do people get beer after a bit of gambling?

Which of the following is the best response to the question?

Choices:
A. bottle
B. grocery store
C. casino
D. spaceship
E. hockey game

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
"The food was packaged for sale, where was it bound?",food,train-00000-of-00001,E,"Question:
The food was packaged for sale, where was it bound?

Which of the following is the best response to the question?

Choices:
A. bathroom
B. shelf
C. kitchen
D. refrigerators
E. shop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What causes someone to stop driving immediately?,driving,train-00000-of-00001,C,"Question:
What causes someone to stop driving immediately?

Which of the following is the best response to the question?

Choices:
A. traffic jams
B. wheels turning
C. lack of fuel
D. illness
E. tire wear

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Best friends are often good at?,friends,train-00000-of-00001,C,"Question:
Best friends are often good at?

Which of the following is the best response to the question?

Choices:
A. go shopping
B. borrow money
C. keep secrets
D. meet for lunch
E. hang out

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where is a good place for a window in a house?,window,train-00000-of-00001,C,"Question:
Where is a good place for a window in a house?

Which of the following is the best response to the question?

Choices:
A. restroom
B. building
C. wall
D. classroom
E. space shuttle

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where is aberdeen in the US located?,aberdeen,train-00000-of-00001,A,"Question:
Where is aberdeen in the US located?

Which of the following is the best response to the question?

Choices:
A. washington
B. europe
C. scotland
D. maryland
E. south dakota

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What do we call a garden that is found in public?,garden,train-00000-of-00001,E,"Question:
What do we call a garden that is found in public?

Which of the following is the best response to the question?

Choices:
A. fence
B. back yard
C. ground
D. pretty
E. park

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where would you put tin after you buy it?,tin,train-00000-of-00001,C,"Question:
Where would you put tin after you buy it?

Which of the following is the best response to the question?

Choices:
A. hardware store
B. antique store
C. shopping bag
D. shed
E. landfill

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where is one likely to find a mathematical rule?,rule,train-00000-of-00001,A,"Question:
Where is one likely to find a mathematical rule?

Which of the following is the best response to the question?

Choices:
A. text book
B. family situation
C. everything
D. bible
E. lawbook

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What can you do in your house during the winter?,winter,train-00000-of-00001,E,"Question:
What can you do in your house during the winter?

Which of the following is the best response to the question?

Choices:
A. ski
B. skate
C. play hockey
D. blaze it
E. knit

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
You'll find a landing at the top of what?,landing,validation-00000-of-00001,C,"Question:
You'll find a landing at the top of what?

Which of the following is the best response to the question?

Choices:
A. ocean
B. apartment building
C. stairwell
D. airport
E. room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where can you store you spare linens near your socks?,linen,validation-00000-of-00001,D,"Question:
Where can you store you spare linens near your socks?

Which of the following is the best response to the question?

Choices:
A. hospital
B. chest
C. home
D. dresser drawers
E. cabinet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What does running after balls lead to?,running after ball,train-00000-of-00001,B,"Question:
What does running after balls lead to?

Which of the following is the best response to the question?

Choices:
A. sweating
B. physical exertion
C. fitness
D. catching up with
E. sprinting

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
How do most companies communicate advertisements directly to consumers?,advertisement,train-00000-of-00001,D,"Question:
How do most companies communicate advertisements directly to consumers?

Which of the following is the best response to the question?

Choices:
A. bus
B. la ville
C. web page
D. email
E. carrier pigeon

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
The trim made a good line between the floor and the what?,floor,train-00000-of-00001,D,"Question:
The trim made a good line between the floor and the what?

Which of the following is the best response to the question?

Choices:
A. obesity
B. desk
C. sky
D. wall
E. ceiling

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
what happens when a train leaves the station?,trains,train-00000-of-00001,A,"Question:
what happens when a train leaves the station?

Which of the following is the best response to the question?

Choices:
A. accelerate
B. open doors
C. arrive late
D. decelerate
E. brake

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What is water rapids that are choppy considered?,water,train-00000-of-00001,B,"Question:
What is water rapids that are choppy considered?

Which of the following is the best response to the question?

Choices:
A. blue
B. dangerous
C. surface of earth
D. shaky
E. important

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What do you talk into the mouthpiece of?,mouthpiece,train-00000-of-00001,A,"Question:
What do you talk into the mouthpiece of?

Which of the following is the best response to the question?

Choices:
A. telephone
B. vacuum
C. respirator
D. wind instrument
E. cigarette holder

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where is a magnet used to make something vibrate?,magnet,train-00000-of-00001,D,"Question:
Where is a magnet used to make something vibrate?

Which of the following is the best response to the question?

Choices:
A. fridge
B. microwave
C. car
D. speaker
E. magnetricity

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
"If something is obtuse, what couldn't it be?",obtuse,train-00000-of-00001,D,"Question:
If something is obtuse, what couldn't it be?

Which of the following is the best response to the question?

Choices:
A. bright
B. pointed
C. correct
D. acute angled
E. clear

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Ballet dancing is a form of artistic what?,dancing,train-00000-of-00001,C,"Question:
Ballet dancing is a form of artistic what?

Which of the following is the best response to the question?

Choices:
A. swan lake
B. intercourse
C. expression
D. become tired
E. fatigue

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What could be used to write with a steel pen?,steel pen,train-00000-of-00001,C,"Question:
What could be used to write with a steel pen?

Which of the following is the best response to the question?

Choices:
A. warehouse
B. arm
C. hand
D. desk drawer
E. veterinary office

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Who do you give money to at a ticket booth?,ticket booth,train-00000-of-00001,E,"Question:
Who do you give money to at a ticket booth?

Which of the following is the best response to the question?

Choices:
A. venue
B. movie theater
C. museum
D. train station
E. clerk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where is gruber exacavation from?,excavation,train-00000-of-00001,E,"Question:
Where is gruber exacavation from?

Which of the following is the best response to the question?

Choices:
A. quarry
B. park
C. egypt
D. work area
E. montana

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where can I drink beer or any other alcoholic beverage?,beer,train-00000-of-00001,A,"Question:
Where can I drink beer or any other alcoholic beverage?

Which of the following is the best response to the question?

Choices:
A. bar
B. vending machine
C. bottle
D. refrigerator
E. hockey game

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Justin couldn't dance long because he experienced what?,dancing,train-00000-of-00001,C,"Question:
Justin couldn't dance long because he experienced what?

Which of the following is the best response to the question?

Choices:
A. meeting people
B. having fun
C. fatigue
D. manual
E. become tired

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where is a ferret unlikely to be?,ferret,validation-00000-of-00001,A,"Question:
Where is a ferret unlikely to be?

Which of the following is the best response to the question?

Choices:
A. classroom
B. outdoors
C. aquarium
D. north carolina
E. great britain

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
cats have how many apendages?,cats,train-00000-of-00001,E,"Question:
cats have how many apendages?

Which of the following is the best response to the question?

Choices:
A. tail
B. whiskers
C. two eyes
D. four paws
E. four legs

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Why might a person take a vacation?,person,train-00000-of-00001,A,"Question:
Why might a person take a vacation?

Which of the following is the best response to the question?

Choices:
A. relaxation
B. good things in life
C. admiration
D. own house
E. needs money

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where do you mix things on a counter?,counter,train-00000-of-00001,C,"Question:
Where do you mix things on a counter?

Which of the following is the best response to the question?

Choices:
A. mixer stand
B. candy store
C. kitchen
D. butcher shop
E. post office

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What pacific northwest place has many apple trees?,apple tree,train-00000-of-00001,D,"Question:
What pacific northwest place has many apple trees?

Which of the following is the best response to the question?

Choices:
A. michigan
B. valley
C. new york
D. washington state
E. fields

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
"After killing people, the murderer went to church after feeling what?",killing people,validation-00000-of-00001,B,"Question:
After killing people, the murderer went to church after feeling what?

Which of the following is the best response to the question?

Choices:
A. murder
B. remorse
C. religious
D. retaliation
E. anguish

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What is a wonderful place to get a cat?,cat,train-00000-of-00001,B,"Question:
What is a wonderful place to get a cat?

Which of the following is the best response to the question?

Choices:
A. comfortable chair
B. humane society
C. walmart
D. floor
E. window sill

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
The ability to remember things is a sign of what?,remembering,train-00000-of-00001,C,"Question:
The ability to remember things is a sign of what?

Which of the following is the best response to the question?

Choices:
A. neuronal network
B. memories
C. intelligence
D. recall
E. learning about

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
