question,question_concept,_split,answer,final_prompt,len_tk_phi3_mini_4k_instruct
Sally went out to look for a stepladder.  Where might she have gone?,stepladder,train-00000-of-00001,B,"Question:
Sally went out to look for a stepladder.  Where might she have gone?

Which of the following is the best response to the question?

Choices:
A. construction worker's vehicle
B. tool shed
C. hardware store
D. elevator
E. store room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
What can a lawyer do to be sure spectators anticipate future actions in the correct frame of reference?,lawyer,train-00000-of-00001,B,"Question:
What can a lawyer do to be sure spectators anticipate future actions in the correct frame of reference?

Which of the following is the best response to the question?

Choices:
A. present an arguement
B. state case
C. produce evidence
D. charge fee for service
E. come early

Reply with exactly one uppercase letter out of A, B, C, D or E.
",97
In a horror movie victims usually trip when the run in order to do what in regards to the killer?,run,validation-00000-of-00001,C,"Question:
In a horror movie victims usually trip when the run in order to do what in regards to the killer?

Which of the following is the best response to the question?

Choices:
A. frightened
B. run up stairs
C. get away from
D. go quickly
E. go faster

Reply with exactly one uppercase letter out of A, B, C, D or E.
",97
"The mother knew her children to be messy, so she always kept extra kleenex in her what?",kleenex,train-00000-of-00001,D,"Question:
The mother knew her children to be messy, so she always kept extra kleenex in her what?

Which of the following is the best response to the question?

Choices:
A. blow nose
B. box
C. wipe nose
D. purse
E. pocket

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
Where could you find some plumbing that would not be of use to you if you are thirsty?,plumbing,train-00000-of-00001,A,"Question:
Where could you find some plumbing that would not be of use to you if you are thirsty?

Which of the following is the best response to the question?

Choices:
A. oil refineries
B. wall
C. show
D. own home
E. water fountain

Reply with exactly one uppercase letter out of A, B, C, D or E.
",96
"The child asked what a mammoth was, so his grandpa got a volume of the what out to show the child?",mammoth,train-00000-of-00001,D,"Question:
The child asked what a mammoth was, so his grandpa got a volume of the what out to show the child?

Which of the following is the best response to the question?

Choices:
A. ancient times
B. excavations
C. south dakota
D. encyclopedia
E. backyard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",101
"If a phoneless person needs to make a call from a public phone, where might they find one?",phone,train-00000-of-00001,E,"Question:
If a phoneless person needs to make a call from a public phone, where might they find one?

Which of the following is the best response to the question?

Choices:
A. office
B. desktop
C. neighbor's house
D. movie theater
E. rest area

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
"If you are awaking multiple times throughout the night because a lot is on your mind, what is a likely cause?",awaking,validation-00000-of-00001,B,"Question:
If you are awaking multiple times throughout the night because a lot is on your mind, what is a likely cause?

Which of the following is the best response to the question?

Choices:
A. irritability
B. depression
C. getting out of bed
D. happiness
E. discomfort

Reply with exactly one uppercase letter out of A, B, C, D or E.
",98
Where can you learn about a ferret with special abilities far beyond normal ferrets?,ferret,train-00000-of-00001,A,"Question:
Where can you learn about a ferret with special abilities far beyond normal ferrets?

Which of the following is the best response to the question?

Choices:
A. comic book
B. out of doors
C. great britain
D. redwall
E. north carolina

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
"Living in a humid climate can be uncomfortable, it leads to a lot of what?",living,train-00000-of-00001,B,"Question:
Living in a humid climate can be uncomfortable, it leads to a lot of what?

Which of the following is the best response to the question?

Choices:
A. sometimes bad
B. perspiration
C. reproducing
D. palpitations
E. hunger

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
"It was a stunning sight to the explorer, the garden oasis in the middle of the what was the most beautiful thing he had seen?",garden,train-00000-of-00001,E,"Question:
It was a stunning sight to the explorer, the garden oasis in the middle of the what was the most beautiful thing he had seen?

Which of the following is the best response to the question?

Choices:
A. hop garden
B. wasteland
C. parking lot
D. sand dune
E. desert

Reply with exactly one uppercase letter out of A, B, C, D or E.
",103
"People are always talking for a multitude of reasons, the most basic is that  is a way of doing what with one another?",talking,train-00000-of-00001,D,"Question:
People are always talking for a multitude of reasons, the most basic is that  is a way of doing what with one another?

Which of the following is the best response to the question?

Choices:
A. obtaining information
B. exchange of ideas
C. nose
D. sharing information
E. dry mouth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",100
"The ranch house overlooked unobscured mountains and valleys, where was it located?",ranch house,train-00000-of-00001,C,"Question:
The ranch house overlooked unobscured mountains and valleys, where was it located?

Which of the following is the best response to the question?

Choices:
A. subdivision
B. montana
C. countryside
D. metropolis
E. desert

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
Sam intentionally lost his tickets.  He didn't want to listen to people singing all night. Where was Sam going?,tickets,train-00000-of-00001,A,"Question:
Sam intentionally lost his tickets.  He didn't want to listen to people singing all night. Where was Sam going?

Which of the following is the best response to the question?

Choices:
A. opera
B. movies
C. train station
D. race track
E. work

Reply with exactly one uppercase letter out of A, B, C, D or E.
",96
"It wasn't something he had had before, but he found the chicken and grape vinaigrette what to be delicious?",grape,train-00000-of-00001,B,"Question:
It wasn't something he had had before, but he found the chicken and grape vinaigrette what to be delicious?

Which of the following is the best response to the question?

Choices:
A. bowl of fruit
B. salad
C. table
D. food store
E. restaurant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",101
"Even though people in the team sometimes what, they argue constructively?",people,train-00000-of-00001,D,"Question:
Even though people in the team sometimes what, they argue constructively?

Which of the following is the best response to the question?

Choices:
A. are related
B. sign checks
C. like popcorn
D. disagree with each other
E. talk to each other

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
A card slot for casino member points adorns each of what one-appendage devices?,card slot,train-00000-of-00001,E,"Question:
A card slot for casino member points adorns each of what one-appendage devices?

Which of the following is the best response to the question?

Choices:
A. machine
B. automated teller
C. atm machine
D. telephone
E. slot machine

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
"They were making sauerkraut, the instructor explained the liquid should be above the cabbage in the what?",liquid,validation-00000-of-00001,A,"Question:
They were making sauerkraut, the instructor explained the liquid should be above the cabbage in the what?

Which of the following is the best response to the question?

Choices:
A. jar
B. drinking glass
C. pot
D. container
E. can

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"People are very much like the animals, but one thing has secured or dominance over the planet.  We're better at doing what?",people,validation-00000-of-00001,B,"Question:
People are very much like the animals, but one thing has secured or dominance over the planet.  We're better at doing what?

Which of the following is the best response to the question?

Choices:
A. eat eggs
B. make tools
C. eat dosa
D. talk to each other
E. smoke pot

Reply with exactly one uppercase letter out of A, B, C, D or E.
",104
"James slamed into someone playing football, and not for the first time.  He was concerned about the consequences of many what?",playing football,validation-00000-of-00001,C,"Question:
James slamed into someone playing football, and not for the first time.  He was concerned about the consequences of many what?

Which of the following is the best response to the question?

Choices:
A. exhilaration
B. interactions
C. head injuries
D. death
E. having fun

Reply with exactly one uppercase letter out of A, B, C, D or E.
",98
If you have free time and the electricity is out what can you do to entertain yourselves?,free time,train-00000-of-00001,E,"Question:
If you have free time and the electricity is out what can you do to entertain yourselves?

Which of the following is the best response to the question?

Choices:
A. watch film
B. see favorite show
C. play chess
D. surf net
E. play cards

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
"The attack took the player by surprise, he say the game was over and his opponent would win so he decided to just what?",attack,train-00000-of-00001,C,"Question:
The attack took the player by surprise, he say the game was over and his opponent would win so he decided to just what?

Which of the following is the best response to the question?

Choices:
A. work harder
B. cease fire
C. surrender
D. defend
E. defence

Reply with exactly one uppercase letter out of A, B, C, D or E.
",96
The audience sits enthralled watching a spectacular battle full of shooting and explosions.  Where is the audience most likely to be?,audience,train-00000-of-00001,C,"Question:
The audience sits enthralled watching a spectacular battle full of shooting and explosions.  Where is the audience most likely to be?

Which of the following is the best response to the question?

Choices:
A. church
B. hockey game
C. movie theater
D. new york stadium
E. stadium

Reply with exactly one uppercase letter out of A, B, C, D or E.
",104
After killing people in a rage what is someone likely to feel?,killing people,train-00000-of-00001,D,"Question:
After killing people in a rage what is someone likely to feel?

Which of the following is the best response to the question?

Choices:
A. stomach ache
B. retaliation
C. sadness
D. remorse
E. going to jail

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"The teacher played on the upright piano, she was explaining the song to all the students in the what?",upright piano,validation-00000-of-00001,A,"Question:
The teacher played on the upright piano, she was explaining the song to all the students in the what?

Which of the following is the best response to the question?

Choices:
A. music room
B. bathroom
C. house
D. living room
E. music store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
The helm is the steering control of what powered leisure vessel?,helm,train-00000-of-00001,A,"Question:
The helm is the steering control of what powered leisure vessel?

Which of the following is the best response to the question?

Choices:
A. motorboat
B. south tyrol
C. tugboat
D. brig
E. sailing vessel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"The rotor was very loud and moved a lot of air, but it was how the what was able to lift straight up?",rotor,train-00000-of-00001,E,"Question:
The rotor was very loud and moved a lot of air, but it was how the what was able to lift straight up?

Which of the following is the best response to the question?

Choices:
A. electric motor
B. jet engine
C. rotator
D. train
E. helicopter

Reply with exactly one uppercase letter out of A, B, C, D or E.
",97
"He planted an apple tree outside of Concord, what is the state it was planted in?",apple tree,train-00000-of-00001,C,"Question:
He planted an apple tree outside of Concord, what is the state it was planted in?

Which of the following is the best response to the question?

Choices:
A. grapes
B. washington state
C. new hampshire
D. rhode island
E. idaho

Reply with exactly one uppercase letter out of A, B, C, D or E.
",98
"The man  tried to break the glass in order to make his escape in time, but he could not.  The person in the cat, trying to kill him, did what?",break,validation-00000-of-00001,A,"Question:
The man  tried to break the glass in order to make his escape in time, but he could not.  The person in the cat, trying to kill him, did what?

Which of the following is the best response to the question?

Choices:
A. accelerate
B. putting together
C. working
D. construct
E. train

Reply with exactly one uppercase letter out of A, B, C, D or E.
",105
"While he had seen a koala in the zoo, he was looking forward to finding one in the what?",koala,train-00000-of-00001,A,"Question:
While he had seen a koala in the zoo, he was looking forward to finding one in the what?

Which of the following is the best response to the question?

Choices:
A. australian outback
B. bamboo grove
C. wilderness
D. island
E. child's book

Reply with exactly one uppercase letter out of A, B, C, D or E.
",102
The glass window was transparent and thin.   James leaned on ed on it and it cracked.  It was what?,glass,train-00000-of-00001,E,"Question:
The glass window was transparent and thin.   James leaned on ed on it and it cracked.  It was what?

Which of the following is the best response to the question?

Choices:
A. soft
B. clear
C. half empty
D. recyclable
E. very fragile

Reply with exactly one uppercase letter out of A, B, C, D or E.
",98
A happy person drinking a lemonade and also feeling nauseous or dizzy might be at what event?,lemonade,train-00000-of-00001,E,"Question:
A happy person drinking a lemonade and also feeling nauseous or dizzy might be at what event?

Which of the following is the best response to the question?

Choices:
A. fairgrounds
B. concert
C. go to doctor
D. refrigerator
E. carnival

Reply with exactly one uppercase letter out of A, B, C, D or E.
",100
Thrill seeking people who love competition might be found in one of these?,people,train-00000-of-00001,E,"Question:
Thrill seeking people who love competition might be found in one of these?

Which of the following is the best response to the question?

Choices:
A. learn from each other
B. fight each other
C. fear death
D. a taxi cab
E. race cars

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"Wanting to understand a subject more, he began reading, what happened as a result?",reading,train-00000-of-00001,D,"Question:
Wanting to understand a subject more, he began reading, what happened as a result?

Which of the following is the best response to the question?

Choices:
A. advance knowledge to understanding
B. free mind
C. subject knowledge
D. further knowledge
E. further education

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"The interior designer didn't like the office just yet, so she tried putting a colorful rug under the computer what?",rug,train-00000-of-00001,C,"Question:
The interior designer didn't like the office just yet, so she tried putting a colorful rug under the computer what?

Which of the following is the best response to the question?

Choices:
A. table
B. sofa
C. desk
D. bedroom
E. living room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
"Jim is applying for his first job.  He's really nervous, though, and isn't sure he is ready for what?",applying for job,train-00000-of-00001,A,"Question:
Jim is applying for his first job.  He's really nervous, though, and isn't sure he is ready for what?

Which of the following is the best response to the question?

Choices:
A. employment
B. sadness
C. less sleep
D. stress
E. rejection

Reply with exactly one uppercase letter out of A, B, C, D or E.
",100
"I'm watching tv because there is nothing else to do, what do I expect to get from this?",watching tv,train-00000-of-00001,B,"Question:
I'm watching tv because there is nothing else to do, what do I expect to get from this?

Which of the following is the best response to the question?

Choices:
A. erections
B. entertainment
C. boredom
D. get fat
E. sadness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
"The lady would eat and eat, and because of mental issues would then make herself what?",eat,validation-00000-of-00001,D,"Question:
The lady would eat and eat, and because of mental issues would then make herself what?

Which of the following is the best response to the question?

Choices:
A. wash dishes
B. throwing up
C. drinking
D. throw up
E. turn inside out

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
If you're removing dirt from a carpet while doing housework what do you need?,doing housework,train-00000-of-00001,C,"Question:
If you're removing dirt from a carpet while doing housework what do you need?

Which of the following is the best response to the question?

Choices:
A. broom
B. effort
C. vacuuming
D. boredom
E. mop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"If I want to maximize my number of potential customers, where should I build a new department store?",department store,train-00000-of-00001,C,"Question:
If I want to maximize my number of potential customers, where should I build a new department store?

Which of the following is the best response to the question?

Choices:
A. idaho
B. shopping mall
C. big city
D. in town
E. new york

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
"The human had lustful needs to fulfill, where did he go as a result?",human,train-00000-of-00001,C,"Question:
The human had lustful needs to fulfill, where did he go as a result?

Which of the following is the best response to the question?

Choices:
A. space shuttle
B. anywhere on earth
C. strip club
D. church
E. international space station

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
Where would you expect to see a coach in Europe or South America?,coach,train-00000-of-00001,D,"Question:
Where would you expect to see a coach in Europe or South America?

Which of the following is the best response to the question?

Choices:
A. play football
B. sporting event
C. at a laundry mat.
D. soccer game
E. hockey game

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
There is plenty of noise when you're at what celebration featuring food and games?,noise,train-00000-of-00001,E,"Question:
There is plenty of noise when you're at what celebration featuring food and games?

Which of the following is the best response to the question?

Choices:
A. factory
B. there will be no food allowed in the theatre.
C. transmission
D. big city
E. carnival

Reply with exactly one uppercase letter out of A, B, C, D or E.
",96
"A relationship that was once filled with the heat of passion but now has someone showing no emotion towards the other, the person has now demonstrated what towards the other?",heat,train-00000-of-00001,D,"Question:
A relationship that was once filled with the heat of passion but now has someone showing no emotion towards the other, the person has now demonstrated what towards the other?

Which of the following is the best response to the question?

Choices:
A. indifference
B. air conditioning
C. coolness
D. coldness
E. cooling

Reply with exactly one uppercase letter out of A, B, C, D or E.
",105
I have given up my goal of gaining more land.  Why did I give up?,gaining more land,train-00000-of-00001,C,"Question:
I have given up my goal of gaining more land.  Why did I give up?

Which of the following is the best response to the question?

Choices:
A. go to war
B. pride
C. higher taxes
D. more responsibility
E. not profitable

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"They say dogs are a man's best friend, this is because of dog's pack mentality and being what?",dogs,train-00000-of-00001,E,"Question:
They say dogs are a man's best friend, this is because of dog's pack mentality and being what?

Which of the following is the best response to the question?

Choices:
A. four legs
B. frightening
C. found outside
D. tail
E. faithful

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
"It was a long trip from the farm, so he stayed in a hotel when he arrived at the what?",hotel,validation-00000-of-00001,E,"Question:
It was a long trip from the farm, so he stayed in a hotel when he arrived at the what?

Which of the following is the best response to the question?

Choices:
A. bed away from home
B. wwii bunker
C. resort
D. las vegas
E. city

Reply with exactly one uppercase letter out of A, B, C, D or E.
",96
What can happen as a result of a business spending money and having to make a declaration?,spending money,train-00000-of-00001,B,"Question:
What can happen as a result of a business spending money and having to make a declaration?

Which of the following is the best response to the question?

Choices:
A. financial problems
B. bankruptcy
C. debt
D. losing your home
E. poverty

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"John threw the trash on the field, which annoyed everyone.  Where might John be?",trash,train-00000-of-00001,D,"Question:
John threw the trash on the field, which annoyed everyone.  Where might John be?

Which of the following is the best response to the question?

Choices:
A. wastepaper basket
B. garbage dump
C. park
D. soccer game
E. wastebasket

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
"Though a bald eagle is synonymous with the USA, they can be found in what two word province too?",bald eagle,train-00000-of-00001,E,"Question:
Though a bald eagle is synonymous with the USA, they can be found in what two word province too?

Which of the following is the best response to the question?

Choices:
A. utah
B. france
C. chemotherapy
D. rocky mountains
E. british columbia

Reply with exactly one uppercase letter out of A, B, C, D or E.
",100
"The young boy was scared to dance, he found a corner of the auditorium and spent the whole evening doing what?",dance,train-00000-of-00001,E,"Question:
The young boy was scared to dance, he found a corner of the auditorium and spent the whole evening doing what?

Which of the following is the best response to the question?

Choices:
A. am happy
B. celebrate
C. moving
D. partner
E. sitting still

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
"Sarah did much hard work, even though she was on vacation.  Her mother told her off and said what?",work,train-00000-of-00001,D,"Question:
Sarah did much hard work, even though she was on vacation.  Her mother told her off and said what?

Which of the following is the best response to the question?

Choices:
A. unemployment
B. say something
C. earn money
D. do nothing
E. relaxation

Reply with exactly one uppercase letter out of A, B, C, D or E.
",99
"Though he despised pie, it reminded him of his wife when he ate it, what did he do to the pie?",despise,train-00000-of-00001,B,"Question:
Though he despised pie, it reminded him of his wife when he ate it, what did he do to the pie?

Which of the following is the best response to the question?

Choices:
A. admire
B. cherish
C. marry
D. honor
E. love

Reply with exactly one uppercase letter out of A, B, C, D or E.
",98
What should my family and I look into getting if we don't want an egg from the supermarket?,egg,train-00000-of-00001,B,"Question:
What should my family and I look into getting if we don't want an egg from the supermarket?

Which of the following is the best response to the question?

Choices:
A. farm
B. henhouse
C. chicken coop
D. plate
E. bird's nest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
John didn't like celebrating with his friends.  He was awkward because he had a problem. What sort of problem did he have?,celebrating,train-00000-of-00001,A,"Question:
John didn't like celebrating with his friends.  He was awkward because he had a problem. What sort of problem did he have?

Which of the following is the best response to the question?

Choices:
A. drinking
B. enjoyment
C. advantage
D. intimacy
E. happiness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",100
Where would you put sunglasses if you do not have a shirt but want to bring the sunglasses with you?,sunglasses,train-00000-of-00001,B,"Question:
Where would you put sunglasses if you do not have a shirt but want to bring the sunglasses with you?

Which of the following is the best response to the question?

Choices:
A. in shoes
B. bag
C. shirt pocket
D. drugstore
E. glove compartment of car

Reply with exactly one uppercase letter out of A, B, C, D or E.
",104
What kind of service would you want if you do not want bad service or very good service?,bad,train-00000-of-00001,C,"Question:
What kind of service would you want if you do not want bad service or very good service?

Which of the following is the best response to the question?

Choices:
A. competent
B. first rate
C. adequate
D. sincere
E. fast paced

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
"If the captain of a crew was going to an arena, what type of crew would he be in?",captain,train-00000-of-00001,D,"Question:
If the captain of a crew was going to an arena, what type of crew would he be in?

Which of the following is the best response to the question?

Choices:
A. battleship
B. airplane cabin
C. military
D. basketball team
E. solider

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
"When she did occasionally arise to go to the club, what was she looking to do, euphemistically speaking?",arise,train-00000-of-00001,D,"Question:
When she did occasionally arise to go to the club, what was she looking to do, euphemistically speaking?

Which of the following is the best response to the question?

Choices:
A. lay down
B. sitting down
C. go down
D. get down
E. sit down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",96
Debbie noticed that there was a ficus decorating the room while she was getting a perm.  Where was this plant?,ficus,train-00000-of-00001,B,"Question:
Debbie noticed that there was a ficus decorating the room while she was getting a perm.  Where was this plant?

Which of the following is the best response to the question?

Choices:
A. arboretum
B. hair salon
C. family room
D. flower garden
E. in the sink

Reply with exactly one uppercase letter out of A, B, C, D or E.
",101
John was disgusted when he opened this and saw mold.  What is this?,mold,train-00000-of-00001,A,"Question:
John was disgusted when he opened this and saw mold.  What is this?

Which of the following is the best response to the question?

Choices:
A. refrigerator
B. breadbox
C. carpet
D. pizza box
E. cellar

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
Where would you get an apple that you already bought?,apple,train-00000-of-00001,D,"Question:
Where would you get an apple that you already bought?

Which of the following is the best response to the question?

Choices:
A. greengrocer
B. in your grocery bag
C. fridge
D. refrigerator
E. grocery store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
Josh was experiencing hunger so he took his keys and his wallet and did what?,hunger,train-00000-of-00001,C,"Question:
Josh was experiencing hunger so he took his keys and his wallet and did what?

Which of the following is the best response to the question?

Choices:
A. went to restaurant
B. bring home fish
C. go to market
D. make bread
E. cook dinner

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
Billy bought some silk clothing for his wife.  What might he have gotten?,silk,train-00000-of-00001,A,"Question:
Billy bought some silk clothing for his wife.  What might he have gotten?

Which of the following is the best response to the question?

Choices:
A. nightgown
B. expensive clothing
C. chinatown
D. garments
E. sexy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
"They enjoyed the stories their uncle told, he was the eldest and the closest living connection to the what?",uncle,train-00000-of-00001,E,"Question:
They enjoyed the stories their uncle told, he was the eldest and the closest living connection to the what?

Which of the following is the best response to the question?

Choices:
A. aunts house
B. aunt's house
C. books
D. most families
E. older generation

Reply with exactly one uppercase letter out of A, B, C, D or E.
",97
Billy shoplifted a cheap watch.  Where might he have grabbed it from?,watch,train-00000-of-00001,C,"Question:
Billy shoplifted a cheap watch.  Where might he have grabbed it from?

Which of the following is the best response to the question?

Choices:
A. jewellers
B. guard tower
C. department store
D. police station
E. bedroom drawer

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
"The receptionist lady loved to use a rubber stamp on her notes, she was the most pleasant person in the whole what?",rubber stamp,train-00000-of-00001,C,"Question:
The receptionist lady loved to use a rubber stamp on her notes, she was the most pleasant person in the whole what?

Which of the following is the best response to the question?

Choices:
A. art class
B. indiana
C. office
D. insane asylum
E. desk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",99
"Plants can't move, so what must they do to continue their lineage?",plants,train-00000-of-00001,D,"Question:
Plants can't move, so what must they do to continue their lineage?

Which of the following is the best response to the question?

Choices:
A. die
B. cause allergies
C. photosynthesis
D. reproduce asexually
E. grow tall

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
"Her dream was to own a house on the countryside, but instead she lived in a cramped apartment in the what?",house,train-00000-of-00001,E,"Question:
Her dream was to own a house on the countryside, but instead she lived in a cramped apartment in the what?

Which of the following is the best response to the question?

Choices:
A. street
B. ghetto
C. residential area
D. subdivision
E. city

Reply with exactly one uppercase letter out of A, B, C, D or E.
",100
"The blade would catch the air and turn, this powered the what engine to create power?",blade,train-00000-of-00001,C,"Question:
The blade would catch the air and turn, this powered the what engine to create power?

Which of the following is the best response to the question?

Choices:
A. machine
B. windmill
C. turbine
D. propeller
E. rollerblade

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
John rented a hotel room while on a business trip.  It was a a company sponsored event.  Where might it have been?,hotel room,train-00000-of-00001,D,"Question:
John rented a hotel room while on a business trip.  It was a a company sponsored event.  Where might it have been?

Which of the following is the best response to the question?

Choices:
A. convention center.
B. business interviews
C. michigan
D. resort
E. city

Reply with exactly one uppercase letter out of A, B, C, D or E.
",100
"The person was trapped on the freeway on the way to a movie audition, where was he?",freeway,train-00000-of-00001,C,"Question:
The person was trapped on the freeway on the way to a movie audition, where was he?

Which of the following is the best response to the question?

Choices:
A. florida
B. countryside
C. california
D. america
E. large city

Reply with exactly one uppercase letter out of A, B, C, D or E.
",97
"He came from old money and had a fortune, but he made new money making shrewd trades where?",fortune,validation-00000-of-00001,C,"Question:
He came from old money and had a fortune, but he made new money making shrewd trades where?

Which of the following is the best response to the question?

Choices:
A. eat cake
B. cookie
C. stock market
D. real estate
E. treasure chest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",96
"He always wanted to be a farmer, but he never moved to the country and was what his whole life?",farmer,train-00000-of-00001,D,"Question:
He always wanted to be a farmer, but he never moved to the country and was what his whole life?

Which of the following is the best response to the question?

Choices:
A. farm land
B. pod person
C. industrial
D. city dweller
E. business man

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
"Jeremy is mastering a music scale, where should he find books on the matter?",scale,train-00000-of-00001,B,"Question:
Jeremy is mastering a music scale, where should he find books on the matter?

Which of the following is the best response to the question?

Choices:
A. post office
B. music store
C. assay office
D. butcher shop
E. doctor's office

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
John wanted to take pictures of wild gazelle. Where might he go to find one?,gazelle,train-00000-of-00001,A,"Question:
John wanted to take pictures of wild gazelle. Where might he go to find one?

Which of the following is the best response to the question?

Choices:
A. kalahari desert
B. open plain
C. sheep pen.
D. trophy room
E. ball gown

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
"The crab was scuttling but strained when he moved, what was impeding him?",crab,train-00000-of-00001,B,"Question:
The crab was scuttling but strained when he moved, what was impeding him?

Which of the following is the best response to the question?

Choices:
A. tide pool
B. beach sand
C. tidepools
D. current
E. cooking pot

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
"The old man was retired and liked the simple things, he would do crossword puzzle every morning simply just to do what?",do crossword puzzle,train-00000-of-00001,B,"Question:
The old man was retired and liked the simple things, he would do crossword puzzle every morning simply just to do what?

Which of the following is the best response to the question?

Choices:
A. you're bored
B. pass time
C. relax
D. mentally challenged
E. win

Reply with exactly one uppercase letter out of A, B, C, D or E.
",100
"The catwalk was five stories up and exposed, everybody had to wear helmets and harnesses at the where?",catwalk,train-00000-of-00001,B,"Question:
The catwalk was five stories up and exposed, everybody had to wear helmets and harnesses at the where?

Which of the following is the best response to the question?

Choices:
A. mountain
B. construction site
C. theatre
D. fieldhouse
E. fashion show

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
"John tried his best to care for Kate, but Kate kept throwing herself into danger.  He couldn't stand her what for her own safety?",care,train-00000-of-00001,B,"Question:
John tried his best to care for Kate, but Kate kept throwing herself into danger.  He couldn't stand her what for her own safety?

Which of the following is the best response to the question?

Choices:
A. unfeeling
B. disregard
C. indifferent
D. neglect
E. apathetic

Reply with exactly one uppercase letter out of A, B, C, D or E.
",103
North america has winter to start the year because it is where?,north america,train-00000-of-00001,C,"Question:
North america has winter to start the year because it is where?

Which of the following is the best response to the question?

Choices:
A. america
B. western hemisphere
C. northern hemisphere
D. occident
E. north america is the world’s third-largest continent – 24

Reply with exactly one uppercase letter out of A, B, C, D or E.
",104
"The child was getting many gifts for his birthday, his father reminded him to do what after opening each one?",getting,validation-00000-of-00001,D,"Question:
The child was getting many gifts for his birthday, his father reminded him to do what after opening each one?

Which of the following is the best response to the question?

Choices:
A. show appreciation
B. asking for
C. exchanging
D. say thank
E. smile

Reply with exactly one uppercase letter out of A, B, C, D or E.
",98
Stanley had a dream that was very vivid and scary. He had trouble telling it from what?,dream,train-00000-of-00001,A,"Question:
Stanley had a dream that was very vivid and scary. He had trouble telling it from what?

Which of the following is the best response to the question?

Choices:
A. reality
B. imagination
C. dreamworker
D. nightmare
E. awake

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
If a person loses their balance while on roller skating and can't recover what happened to them?,skating,train-00000-of-00001,B,"Question:
If a person loses their balance while on roller skating and can't recover what happened to them?

Which of the following is the best response to the question?

Choices:
A. injury
B. falling down
C. injuries
D. hit people
E. move fast

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
"If there is something you have to accomplish in a short amount of time, how could you be successful?",something you,train-00000-of-00001,A,"Question:
If there is something you have to accomplish in a short amount of time, how could you be successful?

Which of the following is the best response to the question?

Choices:
A. make haste
B. make trouble
C. make lunch
D. make war
E. make progress

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
"I am at school and want a glass of milk, where do I look?",glass of milk,train-00000-of-00001,B,"Question:
I am at school and want a glass of milk, where do I look?

Which of the following is the best response to the question?

Choices:
A. home
B. cafeteria
C. under the cow.
D. menu
E. accompaniment to meal

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
