question,question_concept,_split,answer,final_prompt,len_tk_phi3_mini_4k_instruct
"She felt like she never had any support, people always seemed to what?",support,train-00000-of-00001,C,"Question:
She felt like she never had any support, people always seemed to what?

Which of the following is the best response to the question?

Choices:
A. marriage
B. ignore
C. let down
D. aid
E. neglect

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where are you unlikely to find a taxi?,taxi,train-00000-of-00001,C,"Question:
Where are you unlikely to find a taxi?

Which of the following is the best response to the question?

Choices:
A. airport
B. street
C. train station
D. downtown
E. taxiplane

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
How can you tell whether people are rich?,people,train-00000-of-00001,B,"Question:
How can you tell whether people are rich?

Which of the following is the best response to the question?

Choices:
A. sleep together
B. own things
C. live long
D. believe in god
E. need each other

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
The area of land next to the ocean is called what?,ocean,train-00000-of-00001,E,"Question:
The area of land next to the ocean is called what?

Which of the following is the best response to the question?

Choices:
A. underwater
B. surface of earth
C. waterfalls
D. delta
E. beach

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where would a person have a small bookshelf?,bookshelf,train-00000-of-00001,A,"Question:
Where would a person have a small bookshelf?

Which of the following is the best response to the question?

Choices:
A. bedroom
B. bathroom
C. book store
D. library
E. furniture store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What does a lead for a journalist lead to?,lead,train-00000-of-00001,E,"Question:
What does a lead for a journalist lead to?

Which of the following is the best response to the question?

Choices:
A. very heavy
B. lead pencil
C. store
D. card game
E. news article

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What do people take when they see a pretty sky?,sky,train-00000-of-00001,E,"Question:
What do people take when they see a pretty sky?

Which of the following is the best response to the question?

Choices:
A. outdoors
B. looking up
C. place on earth
D. atmosphere
E. photo

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
If someone rules the universe of what are they in charge?,rule,validation-00000-of-00001,C,"Question:
If someone rules the universe of what are they in charge?

Which of the following is the best response to the question?

Choices:
A. classroom
B. football game
C. everything
D. text book
E. lawbook

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What was the reaction when the children were given ice cream?,children,train-00000-of-00001,B,"Question:
What was the reaction when the children were given ice cream?

Which of the following is the best response to the question?

Choices:
A. awesome
B. enjoyed
C. play chess
D. skip
E. sadness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where would you kick a ball that has grass?,ball,train-00000-of-00001,C,"Question:
Where would you kick a ball that has grass?

Which of the following is the best response to the question?

Choices:
A. toy store
B. pool table
C. soccer field
D. golf course
E. street

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"A flask is a container can, it is made to hold what?",container can,train-00000-of-00001,E,"Question:
A flask is a container can, it is made to hold what?

Which of the following is the best response to the question?

Choices:
A. fire
B. store
C. contain food
D. garage
E. liquid

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What dry state can a lizard be found in?,lizard,train-00000-of-00001,C,"Question:
What dry state can a lizard be found in?

Which of the following is the best response to the question?

Choices:
A. books
B. tropics
C. new mexico
D. dessert
E. usa

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What happens when people touch a hot stove?,people,train-00000-of-00001,A,"Question:
What happens when people touch a hot stove?

Which of the following is the best response to the question?

Choices:
A. burn themselves
B. teach each other
C. believe in god
D. learn
E. cross themselves

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where is a student likely to have a ring binder?,ring binder,train-00000-of-00001,A,"Question:
Where is a student likely to have a ring binder?

Which of the following is the best response to the question?

Choices:
A. school
B. notebook
C. book store
D. office
E. office supply store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What kind of feeling can sex lead to?,having sex,train-00000-of-00001,A,"Question:
What kind of feeling can sex lead to?

Which of the following is the best response to the question?

Choices:
A. bliss
B. aids
C. getting pregnant
D. orgasm
E. educations

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
A super ball is a popular what that children enjoy?,ball,train-00000-of-00001,A,"Question:
A super ball is a popular what that children enjoy?

Which of the following is the best response to the question?

Choices:
A. toy
B. park
C. earball
D. play with
E. bounces

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"If something is obtuse, what couldn't it be?",obtuse,train-00000-of-00001,D,"Question:
If something is obtuse, what couldn't it be?

Which of the following is the best response to the question?

Choices:
A. bright
B. pointed
C. correct
D. acute angled
E. clear

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
what does someone getting in shape want to achieve?,getting in shape,train-00000-of-00001,D,"Question:
what does someone getting in shape want to achieve?

Which of the following is the best response to the question?

Choices:
A. exercise
B. loss of muscle
C. losing weight
D. good health
E. sweat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
The skeleton for this needs to be light so it can fly?,skeleton,train-00000-of-00001,B,"Question:
The skeleton for this needs to be light so it can fly?

Which of the following is the best response to the question?

Choices:
A. building
B. aircraft
C. ship
D. closet
E. closet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
If someone is a gentleman in a professional setting what would he wear?,gentleman,train-00000-of-00001,C,"Question:
If someone is a gentleman in a professional setting what would he wear?

Which of the following is the best response to the question?

Choices:
A. tshirt
B. europe
C. suit
D. club
E. church

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What place protects animals such as the bald eagle?,bald eagle,train-00000-of-00001,B,"Question:
What place protects animals such as the bald eagle?

Which of the following is the best response to the question?

Choices:
A. farm
B. nature preserve
C. soup
D. canada
E. mountainous area

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where is small knight likely to be found?,knight,train-00000-of-00001,D,"Question:
Where is small knight likely to be found?

Which of the following is the best response to the question?

Choices:
A. fairy tale
B. castle
C. middle ages
D. chess board
E. doll house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What is a person called who doesn't have immortality?,immortality,validation-00000-of-00001,E,"Question:
What is a person called who doesn't have immortality?

Which of the following is the best response to the question?

Choices:
A. mortal
B. dying
C. death
D. dead
E. mortal

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What to you cause by hurting someone else?,hurting else,train-00000-of-00001,D,"Question:
What to you cause by hurting someone else?

Which of the following is the best response to the question?

Choices:
A. punishment
B. happiness
C. legal problems
D. physical pain
E. public outcry

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
How is riding a bike getting it to move?,riding bike,validation-00000-of-00001,E,"Question:
How is riding a bike getting it to move?

Which of the following is the best response to the question?

Choices:
A. practice
B. sense of balance
C. driving
D. good balance
E. pedalling

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What is a book where you can find the meaning of a word?,word,train-00000-of-00001,C,"Question:
What is a book where you can find the meaning of a word?

Which of the following is the best response to the question?

Choices:
A. encyclopedia
B. sentence
C. dictionary
D. phrase
E. language

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
When you meet interesting people your contacts list is likely to do what?,meet interesting people,train-00000-of-00001,B,"Question:
When you meet interesting people your contacts list is likely to do what?

Which of the following is the best response to the question?

Choices:
A. remember names
B. grow
C. friendly
D. cordial
E. friendship

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Why might someone be going into a trance?,going into trance,train-00000-of-00001,B,"Question:
Why might someone be going into a trance?

Which of the following is the best response to the question?

Choices:
A. disorientation
B. loss of control
C. closed eyes
D. hallucination
E. confusion

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
where do you typically find a trash can in the city?,trash can,train-00000-of-00001,C,"Question:
where do you typically find a trash can in the city?

Which of the following is the best response to the question?

Choices:
A. park
B. motel
C. corner
D. bus stop
E. store front

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Driving is the most popular form of personal what?,driving,train-00000-of-00001,A,"Question:
Driving is the most popular form of personal what?

Which of the following is the best response to the question?

Choices:
A. transportation
B. traffic jams
C. moving
D. status
E. traffic accident

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
where do you keep a tourniquet?,tourniquet,train-00000-of-00001,D,"Question:
where do you keep a tourniquet?

Which of the following is the best response to the question?

Choices:
A. hospital
B. ambulance
C. pocket
D. emergency kit
E. applying even pressure

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What is someone who is bad unlikely to be called?,bad,train-00000-of-00001,E,"Question:
What is someone who is bad unlikely to be called?

Which of the following is the best response to the question?

Choices:
A. delinquent
B. exceptional
C. advantageous
D. sufficient
E. virtuous

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"If the weather means you what, so do your animals?",animals,train-00000-of-00001,B,"Question:
If the weather means you what, so do your animals?

Which of the following is the best response to the question?

Choices:
A. travel
B. get cold
C. feel pain
D. move
E. electrical circuit

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"Sometimes when animals meet, what happens?",animals,train-00000-of-00001,A,"Question:
Sometimes when animals meet, what happens?

Which of the following is the best response to the question?

Choices:
A. fight each other
B. procreate
C. sleep
D. live lives
E. listen to each other

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Animals do what from birth to death?,animals,train-00000-of-00001,D,"Question:
Animals do what from birth to death?

Which of the following is the best response to the question?

Choices:
A. fight each other
B. need to eat
C. drink water
D. live lives
E. feel pain

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where can a person buy a snake?,snake,train-00000-of-00001,E,"Question:
Where can a person buy a snake?

Which of the following is the best response to the question?

Choices:
A. tropical forest
B. walmart
C. north america
D. feild
E. pet shops

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where is a snake likely to reside?,snake,train-00000-of-00001,C,"Question:
Where is a snake likely to reside?

Which of the following is the best response to the question?

Choices:
A. tropics
B. nightmare
C. wyoming
D. bushes
E. feild

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What do a string of words with a proper noun and verb form?,word,train-00000-of-00001,D,"Question:
What do a string of words with a proper noun and verb form?

Which of the following is the best response to the question?

Choices:
A. english
B. dictionary
C. phrase
D. sentence
E. language

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What do you need to write a letter?,write,train-00000-of-00001,A,"Question:
What do you need to write a letter?

Which of the following is the best response to the question?

Choices:
A. have paper
B. literate
C. not give up
D. move fingers
E. to keep warm

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where is a ring binder likely to contain budgets?,ring binder,train-00000-of-00001,A,"Question:
Where is a ring binder likely to contain budgets?

Which of the following is the best response to the question?

Choices:
A. office
B. notebook
C. school
D. stationary shop
E. desk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
The roadway  led away from town and towards what?,roadway,train-00000-of-00001,E,"Question:
The roadway  led away from town and towards what?

Which of the following is the best response to the question?

Choices:
A. neighborhood
B. city
C. environment
D. metropolis
E. countryside

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where would a captain be on the sea?,captain,train-00000-of-00001,C,"Question:
Where would a captain be on the sea?

Which of the following is the best response to the question?

Choices:
A. military
B. bridge of ship
C. battleship
D. basketball team
E. cruise ship

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What will be made easier during good weather in the winter?,good weather,train-00000-of-00001,D,"Question:
What will be made easier during good weather in the winter?

Which of the following is the best response to the question?

Choices:
A. climb
B. travel
C. ride bike
D. travel
E. go somewhere

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
In a lot of Asian restaurants food is eaten in a?,food,train-00000-of-00001,D,"Question:
In a lot of Asian restaurants food is eaten in a?

Which of the following is the best response to the question?

Choices:
A. fork
B. zoo
C. spoon
D. bowl
E. kitchen

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where would you find a fox that is made up?,fox,validation-00000-of-00001,A,"Question:
Where would you find a fox that is made up?

Which of the following is the best response to the question?

Choices:
A. storybook
B. woods
C. hen house
D. natural habitat
E. back yard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What plastic item can you store dairy in?,milk,train-00000-of-00001,A,"Question:
What plastic item can you store dairy in?

Which of the following is the best response to the question?

Choices:
A. container
B. freezer
C. bucket
D. refrigerator
E. fridge

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"If the world is materials, what is it made out of?",material,train-00000-of-00001,C,"Question:
If the world is materials, what is it made out of?

Which of the following is the best response to the question?

Choices:
A. fabric store
B. ideas
C. anything
D. physical world
E. science lab

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What is a staple of the manufacturing industry?,industry,train-00000-of-00001,A,"Question:
What is a staple of the manufacturing industry?

Which of the following is the best response to the question?

Choices:
A. factory
B. civilization
C. money
D. machinery
E. big city

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What happens to the next appointment when a grooming takes longer than expected?,grooming,train-00000-of-00001,C,"Question:
What happens to the next appointment when a grooming takes longer than expected?

Which of the following is the best response to the question?

Choices:
A. injury
B. beauty
C. late
D. mistakes
E. annoyed

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What liquid contains naturally occurring salt?,salt,train-00000-of-00001,B,"Question:
What liquid contains naturally occurring salt?

Which of the following is the best response to the question?

Choices:
A. seashell
B. ocean water
C. table
D. fast food restaurant
E. neighbor's house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
The department to where vendors deliver goods for sale is called what?,deliver,validation-00000-of-00001,C,"Question:
The department to where vendors deliver goods for sale is called what?

Which of the following is the best response to the question?

Choices:
A. delivered
B. take away
C. receiving
D. pick up
E. keep

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What can someone do to end relaxing?,relaxing,train-00000-of-00001,B,"Question:
What can someone do to end relaxing?

Which of the following is the best response to the question?

Choices:
A. feeling better
B. invigorating
C. sleeping
D. stress
E. deep breathing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where would children go to see different animals?,children,train-00000-of-00001,B,"Question:
Where would children go to see different animals?

Which of the following is the best response to the question?

Choices:
A. school
B. zoo
C. soccer game
D. disneyland
E. cricket stadium

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What can happen with too much relaxing?,relaxing,train-00000-of-00001,D,"Question:
What can happen with too much relaxing?

Which of the following is the best response to the question?

Choices:
A. satisfaction
B. laziness
C. invigorating
D. sleeping
E. feeling better

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
The little girl smiled and pointed out the big what?,smile,train-00000-of-00001,B,"Question:
The little girl smiled and pointed out the big what?

Which of the following is the best response to the question?

Choices:
A. cry
B. rainbow
C. happy
D. make others happy too
E. frown

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
George ruined the surprise.  How did he do so?,surprise,train-00000-of-00001,D,"Question:
George ruined the surprise.  How did he do so?

Which of the following is the best response to the question?

Choices:
A. hiding
B. accidentally
C. expectation
D. knowingly
E. planned

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where could you be most likely to find containers with hydrogen?,hydrogen,train-00000-of-00001,B,"Question:
Where could you be most likely to find containers with hydrogen?

Which of the following is the best response to the question?

Choices:
A. air
B. chemistry lab
C. ocean
D. universe
E. barrel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where does a fox go most of the time?,fox,train-00000-of-00001,D,"Question:
Where does a fox go most of the time?

Which of the following is the best response to the question?

Choices:
A. back yard
B. hen house
C. storybook
D. natural habitat
E. bathroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where could you find a shark before it was caught?,shark,validation-00000-of-00001,B,"Question:
Where could you find a shark before it was caught?

Which of the following is the best response to the question?

Choices:
A. pool hall
B. tomales bay
C. marine museum
D. business
E. desert

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where do you need to use a fan?,fan,train-00000-of-00001,A,"Question:
Where do you need to use a fan?

Which of the following is the best response to the question?

Choices:
A. hot room
B. sports stadium
C. appliance store
D. hockey game
E. sauna

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where would you find guns and people in uniform?,guns,train-00000-of-00001,A,"Question:
Where would you find guns and people in uniform?

Which of the following is the best response to the question?

Choices:
A. military base
B. roadblock
C. stadium
D. sporting goods store
E. school

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Which region has the most famous temple?,temple,train-00000-of-00001,C,"Question:
Which region has the most famous temple?

Which of the following is the best response to the question?

Choices:
A. jerusalem
B. jewish community
C. middle east
D. city
E. mosque

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where could you find a library that people of any age can visit?,library,train-00000-of-00001,E,"Question:
Where could you find a library that people of any age can visit?

Which of the following is the best response to the question?

Choices:
A. house
B. school
C. college
D. inside
E. downtown

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What will someone do in court for someone they love?,love,train-00000-of-00001,B,"Question:
What will someone do in court for someone they love?

Which of the following is the best response to the question?

Choices:
A. reproduce
B. obstruct justice
C. tell the truth
D. forgive
E. get

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where would you find gazelle under a G?,gazelle,validation-00000-of-00001,E,"Question:
Where would you find gazelle under a G?

Which of the following is the best response to the question?

Choices:
A. open field
B. ivory coast
C. dictionary
D. steppe
E. encyclopedia

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What do athletes do?,athletes,train-00000-of-00001,A,"Question:
What do athletes do?

Which of the following is the best response to the question?

Choices:
A. play sports
B. need to rest
C. walk fast
D. take steroids
E. bicycle forever

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where do people usually feel the most comfortable?,person,train-00000-of-00001,D,"Question:
Where do people usually feel the most comfortable?

Which of the following is the best response to the question?

Choices:
A. dance floor
B. headache
C. good things in life
D. own house
E. compliments

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What would use a classical stringed instrument?,stringed instrument,train-00000-of-00001,C,"Question:
What would use a classical stringed instrument?

Which of the following is the best response to the question?

Choices:
A. concert
B. music store
C. string quartet
D. rock band
E. barbershop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where in a city would you find many box offices?,box office,train-00000-of-00001,D,"Question:
Where in a city would you find many box offices?

Which of the following is the best response to the question?

Choices:
A. opera
B. ballpark
C. theatre
D. theater district
E. movie theater

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What negative emotions or feelings can learning cause?,learning,train-00000-of-00001,C,"Question:
What negative emotions or feelings can learning cause?

Which of the following is the best response to the question?

Choices:
A. gaining knowledge
B. effectiveness
C. distress
D. dysfunction
E. happiness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What could happen if something surprising happens while you are driving?,surprising,train-00000-of-00001,B,"Question:
What could happen if something surprising happens while you are driving?

Which of the following is the best response to the question?

Choices:
A. faint
B. accidents
C. frightened
D. laughter
E. funny

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What might someone shout when he or she is frustrated?,god,train-00000-of-00001,E,"Question:
What might someone shout when he or she is frustrated?

Which of the following is the best response to the question?

Choices:
A. mortal
B. satan
C. heaven
D. angel
E. devil

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What has a surface with ripples?,surface,train-00000-of-00001,E,"Question:
What has a surface with ripples?

Which of the following is the best response to the question?

Choices:
A. mirror
B. object
C. cottage cheese
D. tetrahedron
E. lake

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What is a performance by actors on tv to promote buying a certain product?,performance,train-00000-of-00001,E,"Question:
What is a performance by actors on tv to promote buying a certain product?

Which of the following is the best response to the question?

Choices:
A. newspaper
B. show
C. theatre
D. movie
E. commercial

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
James went to the tennis court that was located in his home what?,tennis court,train-00000-of-00001,E,"Question:
James went to the tennis court that was located in his home what?

Which of the following is the best response to the question?

Choices:
A. country club
B. park
C. michigan
D. sports
E. town

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where can humans have a cup of coffee or a sandwich?,humans,train-00000-of-00001,D,"Question:
Where can humans have a cup of coffee or a sandwich?

Which of the following is the best response to the question?

Choices:
A. movies
B. idaho
C. university
D. cafe
E. universe

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"The man measured from each edge, he was trying to find the dead what?",edge,train-00000-of-00001,A,"Question:
The man measured from each edge, he was trying to find the dead what?

Which of the following is the best response to the question?

Choices:
A. center
B. middle
C. corner
D. middle
E. interior

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Playing piano and other creative activities need what?,playing piano,train-00000-of-00001,B,"Question:
Playing piano and other creative activities need what?

Which of the following is the best response to the question?

Choices:
A. make music
B. inspiration
C. musical sounds
D. making music
E. dancing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What must a train do before reaching the station?,train,train-00000-of-00001,E,"Question:
What must a train do before reaching the station?

Which of the following is the best response to the question?

Choices:
A. passing slowly
B. arrive early
C. arrive late
D. slow past stop
E. slow down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What is a psychological benefit of having fun?,having fun,train-00000-of-00001,B,"Question:
What is a psychological benefit of having fun?

Which of the following is the best response to the question?

Choices:
A. glee
B. stress relief
C. smiling
D. twinkle
E. may laugh

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
When running a business what is the opposite of debt?,debt,train-00000-of-00001,E,"Question:
When running a business what is the opposite of debt?

Which of the following is the best response to the question?

Choices:
A. misery
B. savings
C. surplus
D. lend
E. profit

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What must someone do before they shop?,shop,validation-00000-of-00001,A,"Question:
What must someone do before they shop?

Which of the following is the best response to the question?

Choices:
A. get money
B. have money
C. bring cash
D. go to market
E. bring cash

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
where do you go to see most statues?,statue,train-00000-of-00001,E,"Question:
where do you go to see most statues?

Which of the following is the best response to the question?

Choices:
A. large city
B. church
C. amusement park
D. new york city
E. museum

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
WHat is the most fun way to get in shape?,get in shape,train-00000-of-00001,C,"Question:
WHat is the most fun way to get in shape?

Which of the following is the best response to the question?

Choices:
A. feel good
B. sitting down
C. sex
D. overweight
E. disciplined

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
A small dog will do well in what competition?,small dog,train-00000-of-00001,B,"Question:
A small dog will do well in what competition?

Which of the following is the best response to the question?

Choices:
A. basket
B. dog show
C. triathalon
D. animal shelter
E. own home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where can you find people trying to alleviate suffering?,people,train-00000-of-00001,A,"Question:
Where can you find people trying to alleviate suffering?

Which of the following is the best response to the question?

Choices:
A. hospital
B. hockey game
C. apartment
D. kitchen
E. water cooler

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Who is likely yo have a caring heart?,heart,train-00000-of-00001,A,"Question:
Who is likely yo have a caring heart?

Which of the following is the best response to the question?

Choices:
A. person
B. species
C. artichoke
D. all mammals
E. live animal

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What happens to cats if they are near water?,cats,train-00000-of-00001,D,"Question:
What happens to cats if they are near water?

Which of the following is the best response to the question?

Choices:
A. eat meat
B. be excited
C. need food
D. annoy
E. open doors

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
where can you catch a ball?,ball,train-00000-of-00001,D,"Question:
where can you catch a ball?

Which of the following is the best response to the question?

Choices:
A. sporting goods store
B. shooting range
C. bowling alley
D. sporting event
E. street

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
His mind was far away even though his body was what?,away,train-00000-of-00001,E,"Question:
His mind was far away even though his body was what?

Which of the following is the best response to the question?

Choices:
A. there
B. being here
C. at home
D. home team
E. present

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What does someone want to do when they have greed?,greed,train-00000-of-00001,E,"Question:
What does someone want to do when they have greed?

Which of the following is the best response to the question?

Choices:
A. make friends
B. buy food
C. share the wealth
D. lie
E. get

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
How can you carry a pencil in your shirt?,pencil,train-00000-of-00001,D,"Question:
How can you carry a pencil in your shirt?

Which of the following is the best response to the question?

Choices:
A. cup
B. desk drawer
C. desktop
D. pocket
E. university

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What are canadian players known for?,players,train-00000-of-00001,C,"Question:
What are canadian players known for?

Which of the following is the best response to the question?

Choices:
A. sporting event
B. puck hitting
C. hockey game
D. soccer game
E. stadium

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"A loud machine is irritating, but many are expected where?",machine,validation-00000-of-00001,E,"Question:
A loud machine is irritating, but many are expected where?

Which of the following is the best response to the question?

Choices:
A. museum
B. house
C. laboratory
D. library
E. industrial area

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where would you go to argue about important bills?,bill,train-00000-of-00001,C,"Question:
Where would you go to argue about important bills?

Which of the following is the best response to the question?

Choices:
A. mail box
B. the post office
C. congress
D. restaurant
E. trash

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
when im competing in a competition what should i aim for,competing,train-00000-of-00001,B,"Question:
when im competing in a competition what should i aim for

Which of the following is the best response to the question?

Choices:
A. jealousy
B. wins
C. enemies
D. winning or losing
E. success

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where is one likely to hear a harpsichord?,harpsichord,train-00000-of-00001,D,"Question:
Where is one likely to hear a harpsichord?

Which of the following is the best response to the question?

Choices:
A. make noise
B. band
C. museum
D. concert hall
E. rubber band

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where would you find many computers in a group of work spaces?,computer,train-00000-of-00001,A,"Question:
Where would you find many computers in a group of work spaces?

Which of the following is the best response to the question?

Choices:
A. office building
B. canteen
C. backpack
D. house
E. box

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What would happen if you win after playing a game?,playing,train-00000-of-00001,D,"Question:
What would happen if you win after playing a game?

Which of the following is the best response to the question?

Choices:
A. injuries
B. disappointment
C. getting tired
D. satisfaction
E. competitiveness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
If you were looking for a lemur where would you find it?,lemur,train-00000-of-00001,D,"Question:
If you were looking for a lemur where would you find it?

Which of the following is the best response to the question?

Choices:
A. russia
B. at home
C. hole
D. field
E. heaven

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What will children do with dodge balls?,children,train-00000-of-00001,B,"Question:
What will children do with dodge balls?

Which of the following is the best response to the question?

Choices:
A. hear music
B. throw things
C. play with toys
D. watch tv
E. play sports

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What happens when someone is playing too aggressively?,playing,train-00000-of-00001,C,"Question:
What happens when someone is playing too aggressively?

Which of the following is the best response to the question?

Choices:
A. get hungry
B. laughter
C. injury
D. having fun
E. feeling happy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"The project needs paint, where to go to get some?",paint,train-00000-of-00001,D,"Question:
The project needs paint, where to go to get some?

Which of the following is the best response to the question?

Choices:
A. shelf
B. windowsill
C. shop
D. hardware store
E. workshop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
A lot of people who wrestle are very?,wrestle,train-00000-of-00001,D,"Question:
A lot of people who wrestle are very?

Which of the following is the best response to the question?

Choices:
A. train yourself
B. have strength
C. choke hold
D. strong
E. take lessons

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Bill needed new socks so he went where?,socks,train-00000-of-00001,E,"Question:
Bill needed new socks so he went where?

Which of the following is the best response to the question?

Choices:
A. paint
B. bed
C. bureau
D. suitcase
E. sporting goods store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
When you express  this emotion you can be hurting someone else?,hurting else,train-00000-of-00001,C,"Question:
When you express  this emotion you can be hurting someone else?

Which of the following is the best response to the question?

Choices:
A. happiness
B. punishment
C. anger
D. tears
E. suffering

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
