question,subject,split,answer,final_prompt,len_tk_gemma2_9b_it
"In defining the term 'historical materialism', which of the following statements best defines the term 'materialism'?",security_studies,test-00000-of-00001,A,"In defining the term 'historical materialism', which of the following statements best defines the term 'materialism'?

Choices:
A. Materialism refers to HM's focus on class and the productive basis of societies, as well as the ways in which social structures have the capacity to change and produce change.
B. Materialism refers to the roots of HM in the postmodern schools of thought.
C. The term materialism refers to the focus of HM on consumerism and the centrality of economic power in the approach.
D. In their rejection of class orientated political interaction, HM scholars refer to wealth instead as the accumulation or access to physical resources, coining the term materialism to describe this approach.

Reply with exactly one uppercase letter out of A, B, C, or D.
",163
"Plaintiff Construction Co. sued Defendant Development Co. for money owed on a costplus contract that required notice of proposed expenditures beyond original estimates. Defendant asserted that it never received the required notice. At trial Plaintiff calls its general manager, Witness, to testify that it is Plaintiff's routine practice to send cost overrun notices as required by the contract. Witness also offers a photocopy of the cost overrun notice letter to Defendant on which Plaintiff is relying, and which he has taken from Plaintiff's regular business files. On the issue of giving notice, the letter copy is ",,auxiliary_train-00000-of-00001,B,"Plaintiff Construction Co. sued Defendant Development Co. for money owed on a costplus contract that required notice of proposed expenditures beyond original estimates. Defendant asserted that it never received the required notice. At trial Plaintiff calls its general manager, Witness, to testify that it is Plaintiff's routine practice to send cost overrun notices as required by the contract. Witness also offers a photocopy of the cost overrun notice letter to Defendant on which Plaintiff is relying, and which he has taken from Plaintiff's regular business files. On the issue of giving notice, the letter copy is 

Choices:
A. admissible, though hearsay, under the business record exception. 
B. admissible, because of the routine practices of the company. 
C. inadmissible, because it is hearsay not within any exception. 
D. inadmissible, because it is not the best evidence of the notice.

Reply with exactly one uppercase letter out of A, B, C, or D.
",196
"In many English homes, people have four meals  a day: breakfast, lunch, afternoon tea  and dinner. People have breakfast from 7:00 to 9: 00 in the morning. They eat eggs or  bread. English people drink tea or milk for breakfast, too. Lunch comes at about 13:00. Afternoon tea is from 16:00 to 17:00, and dinner is about 19:30. They often have soup , and they have some chicken or fish with vegetables. Then they eat some bananas, apples or oranges. But not all English people have meals like that. Some of them don't have their dinners in the evening . ,. Usually, people in England have   _   for their dinner.",,auxiliary_train-00000-of-00001,C,"In many English homes, people have four meals  a day: breakfast, lunch, afternoon tea  and dinner. People have breakfast from 7:00 to 9: 00 in the morning. They eat eggs or  bread. English people drink tea or milk for breakfast, too. Lunch comes at about 13:00. Afternoon tea is from 16:00 to 17:00, and dinner is about 19:30. They often have soup , and they have some chicken or fish with vegetables. Then they eat some bananas, apples or oranges. But not all English people have meals like that. Some of them don't have their dinners in the evening . ,. Usually, people in England have   _   for their dinner.

Choices:
A. bananas, apples or eggs
B. soup, bananas or milk
C. soup, chicken or fish with vegetables
D. soup, milk and vegetables

Reply with exactly one uppercase letter out of A, B, C, or D.
",220
"A good way to pass an exam is to work hard every day in a year. You may fail in an exam if you are lazy for most of the year and then work hard only a few days before the exam.  If you want to be good at English, you have to read stories in English, and to speak English as much as possible. A few days before the exam you should go to bed early. Do not go to bed late at night studying. Before you start answering in the exam, read carefully over the question papers, and try to understand the meaning of each question. When you have finished your exam, read over your answers. Correct the mistakes if there are any and be sure that you don't miss anything out. A. B.C.D,. (5,2,10) It is important to   _   a few days before the exam.",,auxiliary_train-00000-of-00001,B,"A good way to pass an exam is to work hard every day in a year. You may fail in an exam if you are lazy for most of the year and then work hard only a few days before the exam.  If you want to be good at English, you have to read stories in English, and to speak English as much as possible. A few days before the exam you should go to bed early. Do not go to bed late at night studying. Before you start answering in the exam, read carefully over the question papers, and try to understand the meaning of each question. When you have finished your exam, read over your answers. Correct the mistakes if there are any and be sure that you don't miss anything out. A. B.C.D,. (5,2,10) It is important to   _   a few days before the exam.

Choices:
A. play too much
B. have a good sleep
C. read the question papers
D. have a good drink

Reply with exactly one uppercase letter out of A, B, C, or D.
",230
"These days, more and more young people wish to be more beautiful, So they turn to plastic surgery ( ) for help. They spend thousands of yuan on these painful surgeries to fix   their nose, to fix their eyes  or to be thinner. In fact, most people are not happy about the way they look. Even the most beautiful actresses often wish they could fix something about their looks.So we should believe that we are as beautiful as others. A smile is beautiful on any face, being kind is much more beautiful than a pretty look. So, let's feel happy that we all have beautiful and healthy bodies that do not need surgeries! Today, I wish you to make a small _ believe yourself! smile and be kind to others. If you do these, you will be happy, beautiful, and popular everywhere you go. _   are more and more interested in plastic surgeries.",,auxiliary_train-00000-of-00001,B,"These days, more and more young people wish to be more beautiful, So they turn to plastic surgery ( ) for help. They spend thousands of yuan on these painful surgeries to fix   their nose, to fix their eyes  or to be thinner. In fact, most people are not happy about the way they look. Even the most beautiful actresses often wish they could fix something about their looks.So we should believe that we are as beautiful as others. A smile is beautiful on any face, being kind is much more beautiful than a pretty look. So, let's feel happy that we all have beautiful and healthy bodies that do not need surgeries! Today, I wish you to make a small _ believe yourself! smile and be kind to others. If you do these, you will be happy, beautiful, and popular everywhere you go. _   are more and more interested in plastic surgeries.

Choices:
A. Old people
B. Young people
C. Men
D. Women

Reply with exactly one uppercase letter out of A, B, C, or D.
",221
"Hello! My name's Mary Brown. I'm a girl. I like red. I have a red schoolbag. What's this? It's my red pencil box. Is that my ruler? Yes, it is. It is a red ruler. What's that? It is a watch. Is it my watch? No, it isn't. It's Bob's watch. It's blue. What color is the watch? It's   _  .",,auxiliary_train-00000-of-00001,B,"Hello! My name's Mary Brown. I'm a girl. I like red. I have a red schoolbag. What's this? It's my red pencil box. Is that my ruler? Yes, it is. It is a red ruler. What's that? It is a watch. Is it my watch? No, it isn't. It's Bob's watch. It's blue. What color is the watch? It's   _  .

Choices:
A. red
B. blue
C. brown
D. yellow

Reply with exactly one uppercase letter out of A, B, C, or D.
",142
"Mr Black goes into his usual teashop one morning, and sits in one of the seats at the counter . Many other people also come in, but none of them stays long. About fifteen minutes later, a young man and a young woman come in. There are only two empty seats at the counter, one on Mr Black's left, and the other on his right. The woman sits on one seat, and the young man sits on the other, but Mr Black immediately  asks to change seats with the young man so that he and the young woman can be together. ""Oh, that isn't necessary,"" the young man says, but Mr Black insists . When the young man and the young woman are side by side, he says to her, ""Well, this old man is very kind. He wants us to sit together. May I introduce myself? My name is John. What's your name?"" Mr Black sits   _   of the teashop one morning.",,auxiliary_train-00000-of-00001,C,"Mr Black goes into his usual teashop one morning, and sits in one of the seats at the counter . Many other people also come in, but none of them stays long. About fifteen minutes later, a young man and a young woman come in. There are only two empty seats at the counter, one on Mr Black's left, and the other on his right. The woman sits on one seat, and the young man sits on the other, but Mr Black immediately  asks to change seats with the young man so that he and the young woman can be together. ""Oh, that isn't necessary,"" the young man says, but Mr Black insists . When the young man and the young woman are side by side, he says to her, ""Well, this old man is very kind. He wants us to sit together. May I introduce myself? My name is John. What's your name?"" Mr Black sits   _   of the teashop one morning.

Choices:
A. in the middle
B. in the centre
C. at the counter
D. in the front

Reply with exactly one uppercase letter out of A, B, C, or D.
",246
"Mr Li is an office worker. He likes to tell us about his weekends. He often gets up at half past six on Sundays. He has breakfast first. Then he goes to the park near his home. He runs for about half an hour in the park. Then he goes to the bookshop to have a look at new books. He likes reading books. In the afternoon, he cleans his car. But sometimes he visits his friends, and he often plays basketball with them. He cooks dinner at home. In the evening, he looks for things on the Internet for about an hour. He enjoys his weekends. Where does he go after breakfast?",,auxiliary_train-00000-of-00001,B,"Mr Li is an office worker. He likes to tell us about his weekends. He often gets up at half past six on Sundays. He has breakfast first. Then he goes to the park near his home. He runs for about half an hour in the park. Then he goes to the bookshop to have a look at new books. He likes reading books. In the afternoon, he cleans his car. But sometimes he visits his friends, and he often plays basketball with them. He cooks dinner at home. In the evening, he looks for things on the Internet for about an hour. He enjoys his weekends. Where does he go after breakfast?

Choices:
A. He goes to work.
B. He goes to the park.
C. He goes to the bookshop.
D. He goes to the playground.

Reply with exactly one uppercase letter out of A, B, C, or D.
",190
"Frank is my friend. His family is rich. His parents always give him lots of pocket money. But Frank thinks his parents work very hard and it's not easy for them, so he always tries his best to save money. He has some good ways to do it. Frank likes reading. He has lots of books. He tells me he often buys books online, because they're cheaper. And when he has free time, he often goes to bookstores or libraries to do some reading. Frank has a bike. He usually goes to school by bike instead of taking a bus. Sometimes when it rains or snows, he walks. These two ways help Frank keep healthy and save some money. Frank brings a bottle of water to school every day. When other students drink juice, he enjoys his water. He thinks water is the cheapest but the best drink. Some students think Frank is mean. But I don't think so. I think he is right. What do you think of him? What does Frank bring to school every day?",,auxiliary_train-00000-of-00001,A,"Frank is my friend. His family is rich. His parents always give him lots of pocket money. But Frank thinks his parents work very hard and it's not easy for them, so he always tries his best to save money. He has some good ways to do it. Frank likes reading. He has lots of books. He tells me he often buys books online, because they're cheaper. And when he has free time, he often goes to bookstores or libraries to do some reading. Frank has a bike. He usually goes to school by bike instead of taking a bus. Sometimes when it rains or snows, he walks. These two ways help Frank keep healthy and save some money. Frank brings a bottle of water to school every day. When other students drink juice, he enjoys his water. He thinks water is the cheapest but the best drink. Some students think Frank is mean. But I don't think so. I think he is right. What do you think of him? What does Frank bring to school every day?

Choices:
A. Water.
B. Juice.
C. Cola.
D. Orange.

Reply with exactly one uppercase letter out of A, B, C, or D.
",253
"What sport do you like best? Daniel: I like basketball best. I often watch NBA. I play basketball every day. I am short, but I am strong. I am a good basketball player in our school. Lucy: Ping-ping is my favourite sport. I am a Chinese and Chinese ping-pong players are the best in the world. I want to be a good ping-pong player too. I often play it every afternoon. Tom: I am tall and strong. I like football best. My father is a football player. I often watch my father play football. My father often teaches me to play football. I play with my father and others in the park every day. What sport does Daniel like?",,auxiliary_train-00000-of-00001,B,"What sport do you like best? Daniel: I like basketball best. I often watch NBA. I play basketball every day. I am short, but I am strong. I am a good basketball player in our school. Lucy: Ping-ping is my favourite sport. I am a Chinese and Chinese ping-pong players are the best in the world. I want to be a good ping-pong player too. I often play it every afternoon. Tom: I am tall and strong. I like football best. My father is a football player. I often watch my father play football. My father often teaches me to play football. I play with my father and others in the park every day. What sport does Daniel like?

Choices:
A. Football
B. Basketball
C. Ping-pong
D. Swimming

Reply with exactly one uppercase letter out of A, B, C, or D.
",187
"Miss Smith is only twenty. She is of medium build, and she has brown, curly hair. She likes children and her teaching work. From Monday to Friday she stays at school and teaches the children. She has a lot of work to do every day, but she often plays games with her students after school. The children like her a lot. On Sundays she usually drives her car to her parents' house and stays with her parents, but sometimes she goes to see her friends on Sunday. She drives back to school on Monday morning. She likes singing, dancing and swimming. She is a good teacher. Miss Smith goes to see her friends  _  .",,auxiliary_train-00000-of-00001,B,"Miss Smith is only twenty. She is of medium build, and she has brown, curly hair. She likes children and her teaching work. From Monday to Friday she stays at school and teaches the children. She has a lot of work to do every day, but she often plays games with her students after school. The children like her a lot. On Sundays she usually drives her car to her parents' house and stays with her parents, but sometimes she goes to see her friends on Sunday. She drives back to school on Monday morning. She likes singing, dancing and swimming. She is a good teacher. Miss Smith goes to see her friends  _  .

Choices:
A. every day
B. on Sunday
C. on Saturday
D. on Friday.

Reply with exactly one uppercase letter out of A, B, C, or D.
",177
"This question refers to the following information.
Literacy rates among the Russian-speaking population of late Imperial Russia and the Soviet Union, 1897–1955
Literacy Rate
1897  24%
1917  45%
1926  56%
1937  75%
1939  81.10%
1955  99.90%
Source: Census data and Soviet Ministry of Education
The information presented in the above chart is best understood in which of the following historical contexts?",high_school_world_history,test-00000-of-00001,B,"This question refers to the following information.
Literacy rates among the Russian-speaking population of late Imperial Russia and the Soviet Union, 1897–1955
Literacy Rate
1897  24%
1917  45%
1926  56%
1937  75%
1939  81.10%
1955  99.90%
Source: Census data and Soviet Ministry of Education
The information presented in the above chart is best understood in which of the following historical contexts?

Choices:
A. Educational reform in the modern era
B. Centralized and state-directed campaigns of modernization
C. Experimentation with syndicalist forms of socio-economic organization
D. Second-stage industrialization in the non-Western world

Reply with exactly one uppercase letter out of A, B, C, or D.
",200
"Dear Mr Han, I just turned 12 years old, but I am very thin and not as tall as my classmates. My brother is 20 and is very tall. My father is also very tall. I eat lots of vegetables every day. I like eating fruit, but I don't like eating meat. I sleep for eight hours a day. I want to be tall. I am taking medicine. I think that medicine can make me grow   tall. My head teacher tells me that you are a great Chinese doctor. Can I grow tall? Do I need to take the medicine? Yours, Jack Dear Jack, I think that you can grow tall, because your father and brother are both very tall. You are still growing. As for the medicine, you should stop taking it. It is not good for your health. You should eat more meat. I am happy that you like eating vegetables and fruit. A balanced diet is very important for your health --and it can make you grow tall. Yours, Mr Han ,. Mr Han is a   _  .",,auxiliary_train-00000-of-00001,B,"Dear Mr Han, I just turned 12 years old, but I am very thin and not as tall as my classmates. My brother is 20 and is very tall. My father is also very tall. I eat lots of vegetables every day. I like eating fruit, but I don't like eating meat. I sleep for eight hours a day. I want to be tall. I am taking medicine. I think that medicine can make me grow   tall. My head teacher tells me that you are a great Chinese doctor. Can I grow tall? Do I need to take the medicine? Yours, Jack Dear Jack, I think that you can grow tall, because your father and brother are both very tall. You are still growing. As for the medicine, you should stop taking it. It is not good for your health. You should eat more meat. I am happy that you like eating vegetables and fruit. A balanced diet is very important for your health --and it can make you grow tall. Yours, Mr Han ,. Mr Han is a   _  .

Choices:
A. teacher
B. doctor
C. student
D. reporter

Reply with exactly one uppercase letter out of A, B, C, or D.
",257
"A French woman goes to London to see her son. She knows a little English, but can not speak it very well. One day she goes to a shop. She wants to buy a hen for supper. But she can not remember the English word for ""hen"". Just then the shop waiter asks her, ""Can I help you?"" ""I want the egg's mother."" the woman answered. The shop waiter does not understand her and says, ""Sorry, we have not any bigger eggs."" Suddenly the woman remembers the word ""cock"". ""I want the cock's wife!"" she says. This time the shop waiter laughs. The shop waiter laughs because he   _  .",,auxiliary_train-00000-of-00001,A,"A French woman goes to London to see her son. She knows a little English, but can not speak it very well. One day she goes to a shop. She wants to buy a hen for supper. But she can not remember the English word for ""hen"". Just then the shop waiter asks her, ""Can I help you?"" ""I want the egg's mother."" the woman answered. The shop waiter does not understand her and says, ""Sorry, we have not any bigger eggs."" Suddenly the woman remembers the word ""cock"". ""I want the cock's wife!"" she says. This time the shop waiter laughs. The shop waiter laughs because he   _  .

Choices:
A. understands the woman at last
B. thinks it is interesting.
C. does not understand the woman
D. thinks that the woman isn't clever

Reply with exactly one uppercase letter out of A, B, C, or D.
",197
"Mrs. White likes shopping. Today is Sunday. She wants to buy a new dress for herself. Now she is in a clothes store and has a look at a red one. She asks the salesgirl , ""How much is it?"" ""It's thirty dollars."" the salesgirl answers. ""Can I _ , please?"" she asks. ""Yes, you can. The dressing room is over there. This way, please."" the salesgirl says. After Mrs White comes out of the dressing room, the salesgirl says to her, ""You look ten years younger  in this red dress."" Hearing  that, Mrs. White says, ""I will not take the dress, because I don't want to look ten years older  after I take off  the dress."" How much is the dress?",,auxiliary_train-00000-of-00001,D,"Mrs. White likes shopping. Today is Sunday. She wants to buy a new dress for herself. Now she is in a clothes store and has a look at a red one. She asks the salesgirl , ""How much is it?"" ""It's thirty dollars."" the salesgirl answers. ""Can I _ , please?"" she asks. ""Yes, you can. The dressing room is over there. This way, please."" the salesgirl says. After Mrs White comes out of the dressing room, the salesgirl says to her, ""You look ten years younger  in this red dress."" Hearing  that, Mrs. White says, ""I will not take the dress, because I don't want to look ten years older  after I take off  the dress."" How much is the dress?

Choices:
A. 40 dollars.
B. 15 dollars.
C. 50 dollars.
D. 30 dollars.

Reply with exactly one uppercase letter out of A, B, C, or D.
",220
"This is a teacher's family . The father's name is Lake Smith . He's forty - four . The mother's name is Kate Smith . She's forty - two . The Smiths have a son , Jim , and a daughter , Ann . Jim is fourteen , and Ann is twelve . The son looks like his father , and the daughter looks like her mother . They are all in No.4 Middle School here . But the Smiths are teachers ; the son and daughter are students . Ann's mother's name is   _   .",,auxiliary_train-00000-of-00001,B,"This is a teacher's family . The father's name is Lake Smith . He's forty - four . The mother's name is Kate Smith . She's forty - two . The Smiths have a son , Jim , and a daughter , Ann . Jim is fourteen , and Ann is twelve . The son looks like his father , and the daughter looks like her mother . They are all in No.4 Middle School here . But the Smiths are teachers ; the son and daughter are students . Ann's mother's name is   _   .

Choices:
A. Lake Smith
B. Kate Smith
C. Jim Smith
D. Ann Smith

Reply with exactly one uppercase letter out of A, B, C, or D.
",157
"I can still remember my first day at school. I was only 6 years old at that time. It was a very big room. I sat at the desk near the window, but I couldn't see anything because the windows were too high. There was a big map of the world on the wall. But I don't think I was worried or unhappy at that time. There was another little boy next to me. He sat there and kept quiet at first. Then he began to cry, because he didn't want to stay there. More and more students came in , but the boy didn't stop crying "" Mom, I want to go home. "" He cried again and again. Later , the teacher came in . She went to the little boy, and said something to him. I couldn't hear what she said. Soon the boy stopped crying and began to smile. To this day, I still don't know what the teacher said to the little boy. What did the little boy do at first ?",,auxiliary_train-00000-of-00001,A,"I can still remember my first day at school. I was only 6 years old at that time. It was a very big room. I sat at the desk near the window, but I couldn't see anything because the windows were too high. There was a big map of the world on the wall. But I don't think I was worried or unhappy at that time. There was another little boy next to me. He sat there and kept quiet at first. Then he began to cry, because he didn't want to stay there. More and more students came in , but the boy didn't stop crying "" Mom, I want to go home. "" He cried again and again. Later , the teacher came in . She went to the little boy, and said something to him. I couldn't hear what she said. Soon the boy stopped crying and began to smile. To this day, I still don't know what the teacher said to the little boy. What did the little boy do at first ?

Choices:
A. He was quiet.
B. He was happy.
C. He was crying.
D. He was shy.

Reply with exactly one uppercase letter out of A, B, C, or D.
",261
"Giving a gift can mean a lot. It can be a way to deepen   a friendship. Before you get a gift for someone, spend time really thinking about what makes him or her special. Think about their interests, hobbies, needs and happiest moments. For example, friends and families with children might love a special calendar that contains everyone's birthday and other special dates and events. For music fans, a CD filled   with their favourite music always makes a special gift. Spending time with loved ones is also a way to give them a gift. You might take that special person out for a birthday dinner at your favourite restaurant. Making a gift for someone using your own skills is very special. It is much more meaningful than a store-bought gift and shows how much you care! Writing your feelings in a greeting card can be a simple way to make a keepsake   that will be remembered for years. According to the passage,   _   gifts are the best.",,auxiliary_train-00000-of-00001,A,"Giving a gift can mean a lot. It can be a way to deepen   a friendship. Before you get a gift for someone, spend time really thinking about what makes him or her special. Think about their interests, hobbies, needs and happiest moments. For example, friends and families with children might love a special calendar that contains everyone's birthday and other special dates and events. For music fans, a CD filled   with their favourite music always makes a special gift. Spending time with loved ones is also a way to give them a gift. You might take that special person out for a birthday dinner at your favourite restaurant. Making a gift for someone using your own skills is very special. It is much more meaningful than a store-bought gift and shows how much you care! Writing your feelings in a greeting card can be a simple way to make a keepsake   that will be remembered for years. According to the passage,   _   gifts are the best.

Choices:
A. special
B. popular
C. expensive
D. store-bought

Reply with exactly one uppercase letter out of A, B, C, or D.
",235
"Dear Annie, Thank you for your letter. I'm glad you like your school. I go to school from Monday to Friday. We have four classes in the morning and two classes in the afternoon. We have many things to do after class. On Monday and Wednesday afternoon we do sports. On Tuesday afternoon some of us have a singing class and on Thursday afternoon some have a drawing class. On Friday afternoon, we practice speaking English. My Chinese friends like to talk with me in English. They think I am like an English teacher. Isn't it great? On Saturdays and Sundays I don't go to school. Very often I go to the parks and have a good time with my family there. Yours, Henry They have sports   _  .",,auxiliary_train-00000-of-00001,C,"Dear Annie, Thank you for your letter. I'm glad you like your school. I go to school from Monday to Friday. We have four classes in the morning and two classes in the afternoon. We have many things to do after class. On Monday and Wednesday afternoon we do sports. On Tuesday afternoon some of us have a singing class and on Thursday afternoon some have a drawing class. On Friday afternoon, we practice speaking English. My Chinese friends like to talk with me in English. They think I am like an English teacher. Isn't it great? On Saturdays and Sundays I don't go to school. Very often I go to the parks and have a good time with my family there. Yours, Henry They have sports   _  .

Choices:
A. on Tuesday and Friday afternoon
B. on Tuesday and Friday morning
C. on Monday and Wednesday afternoon
D. on Monday and Wednesday morning

Reply with exactly one uppercase letter out of A, B, C, or D.
",208
"A bumpkin   went to a big city for the first time. He went into an office building and saw a short and fat woman stepped into a small room. After her, the door closed and the light on the top flashed. After a while the door opened slowly, a young beautiful modern girl walked out of the small room. The bumpkin opened his eyes wide in surprise. He said to himself in a low voice, ""What a pity! I haven't brought my wife here!"" The room he saw was perhaps   _  .",,auxiliary_train-00000-of-00001,C,"A bumpkin   went to a big city for the first time. He went into an office building and saw a short and fat woman stepped into a small room. After her, the door closed and the light on the top flashed. After a while the door opened slowly, a young beautiful modern girl walked out of the small room. The bumpkin opened his eyes wide in surprise. He said to himself in a low voice, ""What a pity! I haven't brought my wife here!"" The room he saw was perhaps   _  .

Choices:
A. an office
B. a toilet
C. a lift
D. a helicopter

Reply with exactly one uppercase letter out of A, B, C, or D.
",153
"Post your problems on the blog and get other bloggers' advice! My problem is my parents. They never stop going on about how I should keep my room tidy, keep my hair tidy and wear smart clothes. They even make me do the washing-up after dinner every night! None of my friends have got such tenable parents.  What should I do? Helen, USA Hi, Helen. I think you should do what your parents ask. They're much older than you and you should respect them. It's their house you live in and their money you spend. Emily, Australia Helen, why should your parents do all the housework? You should help around the house. -it's only fair. I don't think you should change your appearance though. Teenagers should look like teenagers. Simon, England In Emily's opinion, Helen should  _  .",,auxiliary_train-00000-of-00001,A,"Post your problems on the blog and get other bloggers' advice! My problem is my parents. They never stop going on about how I should keep my room tidy, keep my hair tidy and wear smart clothes. They even make me do the washing-up after dinner every night! None of my friends have got such tenable parents.  What should I do? Helen, USA Hi, Helen. I think you should do what your parents ask. They're much older than you and you should respect them. It's their house you live in and their money you spend. Emily, Australia Helen, why should your parents do all the housework? You should help around the house. -it's only fair. I don't think you should change your appearance though. Teenagers should look like teenagers. Simon, England In Emily's opinion, Helen should  _  .

Choices:
A. respect her parents
B. give her parents money
C. leave her parents
D. change her appearance

Reply with exactly one uppercase letter out of A, B, C, or D.
",227
"Reading is a good hobby for all kinds of reasons. First, reading is fun. You can always keep yourself happy if you like reading. You will never feel bored or tired. Next, you can read a book anywhere-- in a car, on a plane, or even in the bathroom. All you need is a book! Another good reason for reading is that it is useful. If you read as a hobby, you will get better and better at it. And you will read faster and find it easier to understand what you read. As you reading skills improve, you will probably find your schoolwork becomes much better. Some people say that reading is out of date . This is not true. You can read on computers, and the better you read, the better your computer skills will be. Good readers may become writers, too. They always have more things to write about. Reading is a wonderful hobby. Why not start reading right now? It is   _   that reading is out of date.",,auxiliary_train-00000-of-00001,B,"Reading is a good hobby for all kinds of reasons. First, reading is fun. You can always keep yourself happy if you like reading. You will never feel bored or tired. Next, you can read a book anywhere-- in a car, on a plane, or even in the bathroom. All you need is a book! Another good reason for reading is that it is useful. If you read as a hobby, you will get better and better at it. And you will read faster and find it easier to understand what you read. As you reading skills improve, you will probably find your schoolwork becomes much better. Some people say that reading is out of date . This is not true. You can read on computers, and the better you read, the better your computer skills will be. Good readers may become writers, too. They always have more things to write about. Reading is a wonderful hobby. Why not start reading right now? It is   _   that reading is out of date.

Choices:
A. true
B. not true
C. sure
D. possible

Reply with exactly one uppercase letter out of A, B, C, or D.
",242
"Do you know Xishuangbana? It's a very beautiful place. It lies in Yunnan. The Dai people live there. Their homes are wonderful. The houses are very big and have long legs to hold   them up. Sometimes those legs are over two metres tall. It can be very hot in Yunnan. But the Dai people do not need air conditioners   to keep cool. Their houses usually have two floors. One half of the second floor is the living room. The living room has a balcony. The other half of the second floor is their bedroom. There is a long corridor   between the living room and the bedroom. You must always take off your shoes before you go into a Dai family's house. They like to keep their houses clean. The bed is made of bamboo  . The family's tables, chairs and cupboards are all made of bamboo too. It often rains in Yunnan. Pigs and chickens live on the first floor, because it is a good place to stay _ . Where do the Dai people live?",,auxiliary_train-00000-of-00001,C,"Do you know Xishuangbana? It's a very beautiful place. It lies in Yunnan. The Dai people live there. Their homes are wonderful. The houses are very big and have long legs to hold   them up. Sometimes those legs are over two metres tall. It can be very hot in Yunnan. But the Dai people do not need air conditioners   to keep cool. Their houses usually have two floors. One half of the second floor is the living room. The living room has a balcony. The other half of the second floor is their bedroom. There is a long corridor   between the living room and the bedroom. You must always take off your shoes before you go into a Dai family's house. They like to keep their houses clean. The bed is made of bamboo  . The family's tables, chairs and cupboards are all made of bamboo too. It often rains in Yunnan. Pigs and chickens live on the first floor, because it is a good place to stay _ . Where do the Dai people live?

Choices:
A. In big flats.
B. In small flats.
C. In big houses.
D. In small houses.

Reply with exactly one uppercase letter out of A, B, C, or D.
",261
"One day, I had a bad toothache. I couldn't eat anything. So I went to see the dentist. "" What's wrong with your teeth? "" asked the dentist. "" I have a toothache. "" I told him. "" Let me see your teeth ...... Um, there's a hole in one of the teeth. Do you eat a lot of sweet food? "" The dentist asked me. "" Yes, I do. I often eat ice cream, biscuits, chocolate and I often drink cola and milk with sugar, "" I told him. "" All these are bad for your teeth. You must eat less sweet food and brush your teeth at least twice every day. Now let me fill your bad tooth. "" Which of the following is true ?",,auxiliary_train-00000-of-00001,D,"One day, I had a bad toothache. I couldn't eat anything. So I went to see the dentist. "" What's wrong with your teeth? "" asked the dentist. "" I have a toothache. "" I told him. "" Let me see your teeth ...... Um, there's a hole in one of the teeth. Do you eat a lot of sweet food? "" The dentist asked me. "" Yes, I do. I often eat ice cream, biscuits, chocolate and I often drink cola and milk with sugar, "" I told him. "" All these are bad for your teeth. You must eat less sweet food and brush your teeth at least twice every day. Now let me fill your bad tooth. "" Which of the following is true ?

Choices:
A. The dentist filled all the writer's bad teeth.
B. The dentist didn't fill the writer's bad teeth.
C. The dentist pulled the writer's bad tooth out.
D. The dentist filled the writer's bad tooth.

Reply with exactly one uppercase letter out of A, B, C, or D.
",237
"What does little birdie say, In her nest at peep of day? Let me fly, says little birdie, Mother, let me fly away, Birdie, rest a little longer, Till the little wings are stronger. So she rests a little longer, Then she flies away. What does little baby say, In her bed at peep of day? Baby says, like little birdie, Let me rise and fly away. Baby, sleep a little longer, Till the little limbs  are stronger. If she sleeps a little longer, Baby too shall fly away. In the poem, where does the bird rest?",,auxiliary_train-00000-of-00001,B,"What does little birdie say, In her nest at peep of day? Let me fly, says little birdie, Mother, let me fly away, Birdie, rest a little longer, Till the little wings are stronger. So she rests a little longer, Then she flies away. What does little baby say, In her bed at peep of day? Baby says, like little birdie, Let me rise and fly away. Baby, sleep a little longer, Till the little limbs  are stronger. If she sleeps a little longer, Baby too shall fly away. In the poem, where does the bird rest?

Choices:
A. In her bed.
B. In her nest
C. At peep of the day.
D. In the sky.

Reply with exactly one uppercase letter out of A, B, C, or D.
",174
"This question refers to the following information.
O ye who believe! Strong drink and games of chance and idols… are only an infamy of Satan's handiwork. Leave it aside in order that ye may succeed.
the Qur'an, Sura 5: 89
When once you hear the roses are in bloom,
Then is the time, my love, to pour the wine.
the Rubáiyát of Omar Khayyám
The tone of the first verse best reflects which of the following modes of religious discourse?",high_school_world_history,test-00000-of-00001,A,"This question refers to the following information.
O ye who believe! Strong drink and games of chance and idols… are only an infamy of Satan's handiwork. Leave it aside in order that ye may succeed.
the Qur'an, Sura 5: 89
When once you hear the roses are in bloom,
Then is the time, my love, to pour the wine.
the Rubáiyát of Omar Khayyám
The tone of the first verse best reflects which of the following modes of religious discourse?

Choices:
A. A puritanical injunction to adhere to a strict code of conduct
B. An ecumenical call for religious tolerance
C. A sermon about respecting political authority
D. A spirited attempt to convert non-believers

Reply with exactly one uppercase letter out of A, B, C, or D.
",182
