question,question_concept,_split,answer,final_prompt,len_tk_glm4_9b_base
You loose water in your body while playing sport because of what?,playing sports,train-00000-of-00001,D,"Question:
You loose water in your body while playing sport because of what?

Which of the following is the best response to the question?

Choices:
A. good health
B. pain
C. fatigue
D. sweating
E. injuries

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What is best for a rosebush?,rosebush,train-00000-of-00001,A,"Question:
What is best for a rosebush?

Which of the following is the best response to the question?

Choices:
A. temperate climate
B. botanical gardens
C. flower garden
D. front lawn
E. hedgerow

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
Lighting a match in a dark tunnel is most likely for what?,lighting match,train-00000-of-00001,B,"Question:
Lighting a match in a dark tunnel is most likely for what?

Which of the following is the best response to the question?

Choices:
A. starting fire
B. illumination
C. heat
D. make fire
E. frustration

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
"The situation was a perfect series of disasters, it was just what?",perfect,train-00000-of-00001,A,"Question:
The situation was a perfect series of disasters, it was just what?

Which of the following is the best response to the question?

Choices:
A. terrible
B. mistake
C. defective
D. train
E. flaws

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where in a meadow would a snake hide?,snake,train-00000-of-00001,E,"Question:
Where in a meadow would a snake hide?

Which of the following is the best response to the question?

Choices:
A. underwater
B. tropical forest
C. amazon river
D. western texas
E. high grass

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What would I be doing while going to work and walking?,going to work,validation-00000-of-00001,A,"Question:
What would I be doing while going to work and walking?

Which of the following is the best response to the question?

Choices:
A. listen to radio
B. solve problems
C. driving
D. walk
E. being late

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
what period did mammoth's live in?,mammoth,train-00000-of-00001,D,"Question:
what period did mammoth's live in?

Which of the following is the best response to the question?

Choices:
A. ancient times
B. marwell comics
C. forest
D. prehistory
E. museum of natural history

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
In what country are the most fast food restaurants?,fast food restaurant,validation-00000-of-00001,D,"Question:
In what country are the most fast food restaurants?

Which of the following is the best response to the question?

Choices:
A. new york
B. blocks of flats
C. center of town
D. america
E. big cities

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
Where would you put nails to stop them from damaging other things nearby?,nails,train-00000-of-00001,E,"Question:
Where would you put nails to stop them from damaging other things nearby?

Which of the following is the best response to the question?

Choices:
A. store
B. build doghouse
C. cabinet
D. hammer
E. container

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
When someone falls from a mountain it will lead them to?,fall,train-00000-of-00001,C,"Question:
When someone falls from a mountain it will lead them to?

Which of the following is the best response to the question?

Choices:
A. too much
B. act dead
C. die
D. rush
E. explode

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What do you take out of the fish before service a filet??,fish,train-00000-of-00001,B,"Question:
What do you take out of the fish before service a filet??

Which of the following is the best response to the question?

Choices:
A. no legs
B. bones
C. organs
D. gills
E. scales

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
With enough helium a balloon can rise and rise high into the what?,helium,train-00000-of-00001,C,"Question:
With enough helium a balloon can rise and rise high into the what?

Which of the following is the best response to the question?

Choices:
A. aeroplane
B. moon
C. atmosphere
D. laboratory
E. chemistry lab

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What do people who are having fun in a big way experience?,having fun,train-00000-of-00001,B,"Question:
What do people who are having fun in a big way experience?

Which of the following is the best response to the question?

Choices:
A. stress relief
B. glee
C. injuries
D. hunger
E. may laugh

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
"If you're late getting to work, what is something you experience?",going to work,train-00000-of-00001,E,"Question:
If you're late getting to work, what is something you experience?

Which of the following is the best response to the question?

Choices:
A. promotions
B. malaise
C. bad mood
D. upset
E. stress

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
How does a person know how to make the right decision?,person,train-00000-of-00001,C,"Question:
How does a person know how to make the right decision?

Which of the following is the best response to the question?

Choices:
A. new experiences
B. good looking
C. trust himself
D. questioning
E. acknowledgment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What does an actor do when they are bored of their roles?,actor,validation-00000-of-00001,B,"Question:
What does an actor do when they are bored of their roles?

Which of the following is the best response to the question?

Choices:
A. mask
B. branch out
C. wear costume
D. pretend
E. sing songs

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What does exercising lead to when you are out of shape?,exercising,train-00000-of-00001,B,"Question:
What does exercising lead to when you are out of shape?

Which of the following is the best response to the question?

Choices:
A. exhaustion
B. breathlessness
C. tiredness
D. lost weight
E. physical fitness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
An attempt to confirm an applicant's reference would fail if the reference does what?,confirm,train-00000-of-00001,C,"Question:
An attempt to confirm an applicant's reference would fail if the reference does what?

Which of the following is the best response to the question?

Choices:
A. question
B. dispute
C. deny
D. contradict
E. refuse

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What do dogs get that make them itch?,dogs,train-00000-of-00001,B,"Question:
What do dogs get that make them itch?

Which of the following is the best response to the question?

Choices:
A. bones
B. fleas
C. bad breath
D. wagging tails
E. four legs

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What happens to cats if they are near water?,cats,train-00000-of-00001,D,"Question:
What happens to cats if they are near water?

Which of the following is the best response to the question?

Choices:
A. eat meat
B. be excited
C. need food
D. annoy
E. open doors

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"She was always helping at the senior center, it brought her what?",helping,validation-00000-of-00001,E,"Question:
She was always helping at the senior center, it brought her what?

Which of the following is the best response to the question?

Choices:
A. satisfaction
B. heart
C. feel better
D. pay
E. happiness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where do young people have to follow the rules during the day?,rule,train-00000-of-00001,C,"Question:
Where do young people have to follow the rules during the day?

Which of the following is the best response to the question?

Choices:
A. football game
B. everything
C. classroom
D. family situation
E. schoolbus

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
Where are people likely to kick a ball?,ball,train-00000-of-00001,A,"Question:
Where are people likely to kick a ball?

Which of the following is the best response to the question?

Choices:
A. soccer game
B. child's hand
C. soccer field
D. arena
E. toy store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"If I go outside and look down, what will I find outside?",find outside,train-00000-of-00001,A,"Question:
If I go outside and look down, what will I find outside?

Which of the following is the best response to the question?

Choices:
A. ground
B. sun
C. nature
D. sky
E. street

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where might someone in  a waiting room for lost luggage be?,waiting room,train-00000-of-00001,C,"Question:
Where might someone in  a waiting room for lost luggage be?

Which of the following is the best response to the question?

Choices:
A. clinic
B. hospitals
C. airport
D. mailroom
E. doctor's office

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What kind of store does a merchant have if they sell produce?,merchant,train-00000-of-00001,B,"Question:
What kind of store does a merchant have if they sell produce?

Which of the following is the best response to the question?

Choices:
A. the sun
B. market
C. business
D. mall
E. shopping center

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where on the U.S. coast would you find Hollywood?,coast,train-00000-of-00001,A,"Question:
Where on the U.S. coast would you find Hollywood?

Which of the following is the best response to the question?

Choices:
A. california
B. denmark
C. boulevard
D. country
E. united states

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
"After getting high his memory seemed shot, he felt practically what?",memory,train-00000-of-00001,C,"Question:
After getting high his memory seemed shot, he felt practically what?

Which of the following is the best response to the question?

Choices:
A. dead
B. forgotten
C. brainless
D. forgetting
E. forgetfulness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What do you do to learn new things for a test?,learn new,train-00000-of-00001,B,"Question:
What do you do to learn new things for a test?

Which of the following is the best response to the question?

Choices:
A. television
B. study
C. go to school
D. ask questions
E. fun

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What is person probably feeling that plans on stopping being married to their spouse?,stopping being married to,train-00000-of-00001,A,"Question:
What is person probably feeling that plans on stopping being married to their spouse?

Which of the following is the best response to the question?

Choices:
A. detachment
B. bankruptcy
C. sad
D. fights
E. wrong

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
which half of the earth do marmots live in?,marmot,train-00000-of-00001,B,"Question:
which half of the earth do marmots live in?

Which of the following is the best response to the question?

Choices:
A. south
B. northern hemisphere
C. north america
D. vancouver island
E. jungle

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
Where is the world's most famous horse race?,horse,train-00000-of-00001,A,"Question:
Where is the world's most famous horse race?

Which of the following is the best response to the question?

Choices:
A. in kentucky
B. central park
C. philippines
D. state fair
E. western movie

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
Sally bought bubblegum. Where might she have gotten it?,bubblegum,train-00000-of-00001,A,"Question:
Sally bought bubblegum. Where might she have gotten it?

Which of the following is the best response to the question?

Choices:
A. supermarket
B. theater
C. street
D. pocket
E. church

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"People were talking on the corner, who were they talking with?",socialize,train-00000-of-00001,C,"Question:
People were talking on the corner, who were they talking with?

Which of the following is the best response to the question?

Choices:
A. god
B. mix
C. with people
D. have friends
E. see people

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What is the result of having a lunch that is sizable?,having lunch,train-00000-of-00001,E,"Question:
What is the result of having a lunch that is sizable?

Which of the following is the best response to the question?

Choices:
A. give up
B. obesity
C. feeling satisfied
D. get sleepy
E. feel full

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What happens while chatting with friends about current events?,chatting with friends,train-00000-of-00001,B,"Question:
What happens while chatting with friends about current events?

Which of the following is the best response to the question?

Choices:
A. laughter
B. exchanging information
C. hope
D. feel close to
E. social approval

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where would you borrow furniture if you do not have any?,furniture,validation-00000-of-00001,B,"Question:
Where would you borrow furniture if you do not have any?

Which of the following is the best response to the question?

Choices:
A. sewer
B. neighbor's house
C. apartment
D. room
E. floor

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where is a snake unlikely to be welcome?,snake,train-00000-of-00001,C,"Question:
Where is a snake unlikely to be welcome?

Which of the following is the best response to the question?

Choices:
A. hollow log
B. arid climate
C. petting zoo
D. ocean
E. tropical forest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What is a social benefit of going to party?,going to party,train-00000-of-00001,E,"Question:
What is a social benefit of going to party?

Which of the following is the best response to the question?

Choices:
A. getting drunk
B. food
C. plan
D. having fun
E. meeting new people

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What to living things do to continue their species?,living,train-00000-of-00001,B,"Question:
What to living things do to continue their species?

Which of the following is the best response to the question?

Choices:
A. communing
B. reproducing
C. palpitations
D. perspiration
E. respiration

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
"After recovering from the disease, what did the doctor call the patient?",disease,validation-00000-of-00001,A,"Question:
After recovering from the disease, what did the doctor call the patient?

Which of the following is the best response to the question?

Choices:
A. healthy
B. passing around
C. cure
D. wellness
E. healthy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where would you go to look for your human ancestors?,human,train-00000-of-00001,B,"Question:
Where would you go to look for your human ancestors?

Which of the following is the best response to the question?

Choices:
A. memorial site
B. gravesite
C. school
D. temperate climate
E. interesting place

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
Where to put the rope before we start the hike?,rope,train-00000-of-00001,D,"Question:
Where to put the rope before we start the hike?

Which of the following is the best response to the question?

Choices:
A. swimming pool
B. lower person
C. boat
D. backpack
E. lay down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where might a person go if they need urgent care for a wound?,wound,train-00000-of-00001,D,"Question:
Where might a person go if they need urgent care for a wound?

Which of the following is the best response to the question?

Choices:
A. body
B. injury
C. patient
D. emergency room
E. hospital

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where will more than a drop of blood be spilt?,drop of blood,train-00000-of-00001,D,"Question:
Where will more than a drop of blood be spilt?

Which of the following is the best response to the question?

Choices:
A. during a fight
B. needle
C. person
D. battlefield
E. test tube

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
How can you find a jellyfish without coming near it?,jellyfish,train-00000-of-00001,C,"Question:
How can you find a jellyfish without coming near it?

Which of the following is the best response to the question?

Choices:
A. hand
B. store
C. see
D. mediterranean sea
E. zoo

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
How would a human verbally great another?,human,train-00000-of-00001,D,"Question:
How would a human verbally great another?

Which of the following is the best response to the question?

Choices:
A. drink tea
B. have to sleep
C. eat food
D. say hello
E. need money

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What usually happens to people who are models?,people,train-00000-of-00001,B,"Question:
What usually happens to people who are models?

Which of the following is the best response to the question?

Choices:
A. very ugly
B. appear beautiful
C. free slaves
D. pay bills
E. suffering pain

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What traditional shop would one find a razor in?,razor,train-00000-of-00001,B,"Question:
What traditional shop would one find a razor in?

Which of the following is the best response to the question?

Choices:
A. medicine cabinet
B. barber shop
C. bath room
D. grocery store
E. suitcase

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What has many head which breath air which is not fresh?,head,train-00000-of-00001,D,"Question:
What has many head which breath air which is not fresh?

Which of the following is the best response to the question?

Choices:
A. morgue
B. hat shop
C. human body
D. submarine
E. california

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
Why would people go into a ship?,ship,train-00000-of-00001,A,"Question:
Why would people go into a ship?

Which of the following is the best response to the question?

Choices:
A. heading east
B. run aground
C. near shore
D. list to port
E. party

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
How can an artist commemorate a horse forever.,horse,train-00000-of-00001,D,"Question:
How can an artist commemorate a horse forever.

Which of the following is the best response to the question?

Choices:
A. hoof
B. kentucky derby
C. race track
D. painting
E. triple crown

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
A hurricane can create what when it plows through a city?,hurricane,train-00000-of-00001,A,"Question:
A hurricane can create what when it plows through a city?

Which of the following is the best response to the question?

Choices:
A. disaster
B. bring destruction
C. rain
D. horrendous
E. tornadoes

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What happens when not paying attention when bathing?,bathing,train-00000-of-00001,E,"Question:
What happens when not paying attention when bathing?

Which of the following is the best response to the question?

Choices:
A. dry skin
B. using soap
C. reading newspaper
D. shampoo
E. slip and fall

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Why might someone be going into a trance?,going into trance,train-00000-of-00001,B,"Question:
Why might someone be going into a trance?

Which of the following is the best response to the question?

Choices:
A. disorientation
B. loss of control
C. closed eyes
D. hallucination
E. confusion

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"If you needed a lamp to do your work, where would you put it?",lamp,train-00000-of-00001,A,"Question:
If you needed a lamp to do your work, where would you put it?

Which of the following is the best response to the question?

Choices:
A. office
B. desk
C. bedroom
D. desktop
E. corner

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
Where might students have to attend more than one period?,period,train-00000-of-00001,D,"Question:
Where might students have to attend more than one period?

Which of the following is the best response to the question?

Choices:
A. end of line
B. math
C. end of sentence
D. school
E. history

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What is helping likely to make someone have?,helping,train-00000-of-00001,C,"Question:
What is helping likely to make someone have?

Which of the following is the best response to the question?

Choices:
A. enjoyment
B. better world
C. good feelings
D. contentment
E. feel good about yourself

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
The child was taken against its will and what the parents?,against,train-00000-of-00001,B,"Question:
The child was taken against its will and what the parents?

Which of the following is the best response to the question?

Choices:
A. for or
B. away from
C. being for
D. because
E. for someone

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
Where can you find  a pretty flower in the ground?,flower,train-00000-of-00001,C,"Question:
Where can you find  a pretty flower in the ground?

Which of the following is the best response to the question?

Choices:
A. shelf
B. windowsill
C. park
D. in the snow
E. vase

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where is a great place to buy fresh fruit?,fruit,validation-00000-of-00001,E,"Question:
Where is a great place to buy fresh fruit?

Which of the following is the best response to the question?

Choices:
A. san francisco
B. refrigerator
C. big box retailer
D. tree
E. market

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"If I want to open a steakhouse, what should I get first?",steakhouse,validation-00000-of-00001,E,"Question:
If I want to open a steakhouse, what should I get first?

Which of the following is the best response to the question?

Choices:
A. michigan
B. florida
C. wine
D. texas
E. building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
After getting a divorce what does your relationship status change to?,getting divorce,train-00000-of-00001,B,"Question:
After getting a divorce what does your relationship status change to?

Which of the following is the best response to the question?

Choices:
A. children suffer
B. being single
C. freedom
D. default setting
E. no spouse

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
"The person put on lotion, what did they want?",person,train-00000-of-00001,C,"Question:
The person put on lotion, what did they want?

Which of the following is the best response to the question?

Choices:
A. fresh smell
B. good credit
C. smooth skin
D. fresh produce
E. headache

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
"The eloquent performance was stunning, it left everybody what?",eloquent,train-00000-of-00001,C,"Question:
The eloquent performance was stunning, it left everybody what?

Which of the following is the best response to the question?

Choices:
A. stuttering
B. stumbling
C. speechless
D. muttering
E. astounded

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What could a machine help you with if you need some food?,machine,train-00000-of-00001,B,"Question:
What could a machine help you with if you need some food?

Which of the following is the best response to the question?

Choices:
A. construct
B. dispense
C. vend
D. wash dishes
E. deliver

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
The little girl smiled and pointed out the big what?,smile,train-00000-of-00001,B,"Question:
The little girl smiled and pointed out the big what?

Which of the following is the best response to the question?

Choices:
A. cry
B. rainbow
C. happy
D. make others happy too
E. frown

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
A cemetery surrounded by many houses and businesses is located in what area?,cemetery,train-00000-of-00001,A,"Question:
A cemetery surrounded by many houses and businesses is located in what area?

Which of the following is the best response to the question?

Choices:
A. city
B. churchyard
C. most cities
D. ocean
E. field

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What could cause you to not be sleeping well?,sleeping,train-00000-of-00001,E,"Question:
What could cause you to not be sleeping well?

Which of the following is the best response to the question?

Choices:
A. being at a party
B. relaxation
C. have fun
D. death
E. nightmares

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
James had trouble learning the French language because he never had any what to it?,learning,train-00000-of-00001,B,"Question:
James had trouble learning the French language because he never had any what to it?

Which of the following is the best response to the question?

Choices:
A. attempt
B. exposure
C. study
D. effort
E. thought

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
"The workers passed through the lobby, what building were they in?",lobby,train-00000-of-00001,B,"Question:
The workers passed through the lobby, what building were they in?

Which of the following is the best response to the question?

Choices:
A. opera
B. office building
C. receptionist
D. hotel
E. business plan

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
"She complained about the radio, what was it doing?",radio,train-00000-of-00001,D,"Question:
She complained about the radio, what was it doing?

Which of the following is the best response to the question?

Choices:
A. radiotracking
B. turn on
C. train
D. blaring
E. play music

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
Susan threw the highly elastic ball at the wall.  The ball did what?,elastic,train-00000-of-00001,C,"Question:
Susan threw the highly elastic ball at the wall.  The ball did what?

Which of the following is the best response to the question?

Choices:
A. bounce
B. recoil
C. rebound
D. underwear
E. stretch

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What does 	drinking alcohol lead to?,drinking alcohol,validation-00000-of-00001,B,"Question:
What does 	drinking alcohol lead to?

Which of the following is the best response to the question?

Choices:
A. have fun
B. intoxication
C. vomiting
D. drinking more alcohol
E. nausea

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where are you normally when you take a bath?,bath,train-00000-of-00001,D,"Question:
Where are you normally when you take a bath?

Which of the following is the best response to the question?

Choices:
A. greece
B. hotel room
C. clothing store
D. own home
E. house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"Most animals get tired, and when they do they what?",animals,train-00000-of-00001,E,"Question:
Most animals get tired, and when they do they what?

Which of the following is the best response to the question?

Choices:
A. bite
B. groom
C. procreate
D. keep alive
E. lie down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where does someone not happy to take their car?,car,train-00000-of-00001,C,"Question:
Where does someone not happy to take their car?

Which of the following is the best response to the question?

Choices:
A. down a river
B. city
C. repair shop
D. parking lot
E. neighbor's house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What could someone get into if he or she is becoming inebriated?,becoming inebriated,train-00000-of-00001,A,"Question:
What could someone get into if he or she is becoming inebriated?

Which of the following is the best response to the question?

Choices:
A. fights
B. addiction
C. arrest
D. staggering
E. paralysis

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What is the thing that is agitated in your head when kissing?,kissing,validation-00000-of-00001,E,"Question:
What is the thing that is agitated in your head when kissing?

Which of the following is the best response to the question?

Choices:
A. sexual stimulation
B. herpes
C. headache
D. catch cold
E. happiness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
Where would you find several businesses in the same location?,business,train-00000-of-00001,E,"Question:
Where would you find several businesses in the same location?

Which of the following is the best response to the question?

Choices:
A. park
B. skyscraper
C. art
D. big city
E. office building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
People using a machine gun are a part of what?,machine gun,train-00000-of-00001,E,"Question:
People using a machine gun are a part of what?

Which of the following is the best response to the question?

Choices:
A. quake 2
B. arsenal
C. in a
D. armory
E. military service

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
Where do people sit outside on bleachers?,bleachers,train-00000-of-00001,B,"Question:
Where do people sit outside on bleachers?

Which of the following is the best response to the question?

Choices:
A. gymnasium
B. sporting event
C. seat with view
D. pharmacy
E. picnic

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
She would only buy things on sale as to what?,buy,train-00000-of-00001,C,"Question:
She would only buy things on sale as to what?

Which of the following is the best response to the question?

Choices:
A. selling
B. get money
C. save money
D. steal
E. spend money

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
The music was festive but why are the horses dancing in circles,music,validation-00000-of-00001,A,"Question:
The music was festive but why are the horses dancing in circles

Which of the following is the best response to the question?

Choices:
A. carnival
B. night club
C. theatre
D. opera
E. ringmaster

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Which location has spots where people can take their kids to play on playgrounds?,people,train-00000-of-00001,B,"Question:
Which location has spots where people can take their kids to play on playgrounds?

Which of the following is the best response to the question?

Choices:
A. conference
B. town
C. apartment
D. wedding
E. theater

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What do the feathers look like on birds found in the rainforest?,birds,validation-00000-of-00001,D,"Question:
What do the feathers look like on birds found in the rainforest?

Which of the following is the best response to the question?

Choices:
A. pretty smart
B. singing
C. dark
D. very colorful
E. light

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What is a person considered a bully known for?,person,validation-00000-of-00001,C,"Question:
What is a person considered a bully known for?

Which of the following is the best response to the question?

Choices:
A. ridiculous
B. false information
C. made fun of
D. brain tumor
E. bull rider

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
"When the US is at war, where will it likely drop bombs?",bomb,train-00000-of-00001,B,"Question:
When the US is at war, where will it likely drop bombs?

Which of the following is the best response to the question?

Choices:
A. canada
B. afghanistan
C. aircraft
D. arsenal
E. suitcase

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
Why is religion so hard to understand?,religion,validation-00000-of-00001,E,"Question:
Why is religion so hard to understand?

Which of the following is the best response to the question?

Choices:
A. both positive and negative
B. unknowable
C. important to people
D. ocean
E. confusing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where would you find many tables of silverware rolled into nice displayed napkins?,silverware,train-00000-of-00001,E,"Question:
Where would you find many tables of silverware rolled into nice displayed napkins?

Which of the following is the best response to the question?

Choices:
A. silver
B. park
C. table
D. cupboard
E. restaurant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
"James was a stranger to them, but to me he was what?",stranger,train-00000-of-00001,A,"Question:
James was a stranger to them, but to me he was what?

Which of the following is the best response to the question?

Choices:
A. friend
B. family
C. park
D. known person
E. yellow

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
"If a person saw wings on a helmet, where would they be?",wings,train-00000-of-00001,C,"Question:
If a person saw wings on a helmet, where would they be?

Which of the following is the best response to the question?

Choices:
A. airport
B. heaven
C. detroit
D. flight school
E. airplane

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
The child dreaded fall and having to what?,child,train-00000-of-00001,B,"Question:
The child dreaded fall and having to what?

Which of the following is the best response to the question?

Choices:
A. eat vegetables
B. go to school
C. have sex
D. eat vegetables
E. clean room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What did I do that has made me on the ground?,losing consciousness,train-00000-of-00001,A,"Question:
What did I do that has made me on the ground?

Which of the following is the best response to the question?

Choices:
A. falling down
B. peace
C. forgetfulness
D. death
E. injury

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where do you keep musical instrument so it doesn't get scratched?,musical instrument,validation-00000-of-00001,C,"Question:
Where do you keep musical instrument so it doesn't get scratched?

Which of the following is the best response to the question?

Choices:
A. bank
B. orchestra
C. case
D. music room
E. movie

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where would walk through a central passage to catch an elevator?,central passage,validation-00000-of-00001,D,"Question:
Where would walk through a central passage to catch an elevator?

Which of the following is the best response to the question?

Choices:
A. tomb
B. arena
C. access rooms
D. public building
E. house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"He wanted a saxophone, so he went where?",saxophone,train-00000-of-00001,E,"Question:
He wanted a saxophone, so he went where?

Which of the following is the best response to the question?

Choices:
A. grocery store
B. case
C. marching band
D. orchestra
E. music store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What is a place with pictures that a small dog is not allowed into?,small dog,train-00000-of-00001,A,"Question:
What is a place with pictures that a small dog is not allowed into?

Which of the following is the best response to the question?

Choices:
A. movies
B. photograph
C. laboratory
D. basket
E. museum

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where could a printer be used by thousands of people?,printer,train-00000-of-00001,A,"Question:
Where could a printer be used by thousands of people?

Which of the following is the best response to the question?

Choices:
A. school
B. home office
C. people store
D. print shop
E. newspaper office

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What happens to a dog before someone puts up posters of them?,dogs,validation-00000-of-00001,A,"Question:
What happens to a dog before someone puts up posters of them?

Which of the following is the best response to the question?

Choices:
A. get lost
B. require water
C. trained
D. bark
E. roll over

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
Where would there be many people sitting in chair and listening to religious speech?,chair,train-00000-of-00001,C,"Question:
Where would there be many people sitting in chair and listening to religious speech?

Which of the following is the best response to the question?

Choices:
A. auditorium
B. office
C. synagogue
D. confession
E. church

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
"She wanted to make a quilt of velvet, where should she look?",velvet,train-00000-of-00001,E,"Question:
She wanted to make a quilt of velvet, where should she look?

Which of the following is the best response to the question?

Choices:
A. grandma
B. clothing
C. jewelry store
D. clothes
E. fabric store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
Is has been speculated that a aliens could be communicating by doing this?,communicating,train-00000-of-00001,C,"Question:
Is has been speculated that a aliens could be communicating by doing this?

Which of the following is the best response to the question?

Choices:
A. effort
B. farting
C. thinking
D. laugh
E. medium

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
