question,subject,split,answer,final_prompt,len_tk_glm4_9b_base
"Tamara walked through the night to the little house where her </PGN0103.TXT/PGN>old nurse lived. The old woman gave her a meal. Then Tamara went out to get a car. She had enough money with her to pay for the use of a car for a few days. She wanted to go into town and see a friend, a teacher of science. She had to sit through the second part of a class before she was able to speak to him. But then he took her to his office and listened to her. She told him that she wanted to build houses on some land her husband had owned. But first she must clear it of unwanted plants. She wanted something that would kill them. Her friend wrote down  a name on a piece of paper and told her to take it to a shop he knew. ""You will need lots of it."" he said. ""Put it in water and spread it over the plants."" Tamara's friend   _  .",,auxiliary_train-00000-of-00001,A,"Tamara walked through the night to the little house where her </PGN0103.TXT/PGN>old nurse lived. The old woman gave her a meal. Then Tamara went out to get a car. She had enough money with her to pay for the use of a car for a few days. She wanted to go into town and see a friend, a teacher of science. She had to sit through the second part of a class before she was able to speak to him. But then he took her to his office and listened to her. She told him that she wanted to build houses on some land her husband had owned. But first she must clear it of unwanted plants. She wanted something that would kill them. Her friend wrote down  a name on a piece of paper and told her to take it to a shop he knew. ""You will need lots of it."" he said. ""Put it in water and spread it over the plants."" Tamara's friend   _  .

Choices:
A. advised her about what to buy
B. wrote down the name of some shops</PGN0104.TXT/PGN>
C. gave her some poison
D. took her to a shop he knew

Reply with exactly one uppercase letter out of A, B, C, or D.
",268
"Have you ever been ill? When you are ill,you must be unhappy because your body becomes hot,and there are pains all over your body. You don't want to work,you stay in bed,feeling very sad. What makes us ill? It is germs . Germs are everywhere. They are very small and you can't find them with your eyes,but you can see them with a microscope. They are very small and there could be hundreds of them on a very small thing. Germs are always found in dirty water. When we look at dirty water under the microscope,we shall see them in it. So your father and mother will not let you drink dirty water. Germs aren't found only in water. They are found in air and dust. If you cut your finger,if some of the dust from the floor goes into the cut ,some of the germs would go into your finger. Your finger would become big and red,and you will have much pain in it. Sometimes the germs would go into all of your body,and you would have pain everywhere. What's the main idea of the passage?",,auxiliary_train-00000-of-00001,A,"Have you ever been ill? When you are ill,you must be unhappy because your body becomes hot,and there are pains all over your body. You don't want to work,you stay in bed,feeling very sad. What makes us ill? It is germs . Germs are everywhere. They are very small and you can't find them with your eyes,but you can see them with a microscope. They are very small and there could be hundreds of them on a very small thing. Germs are always found in dirty water. When we look at dirty water under the microscope,we shall see them in it. So your father and mother will not let you drink dirty water. Germs aren't found only in water. They are found in air and dust. If you cut your finger,if some of the dust from the floor goes into the cut ,some of the germs would go into your finger. Your finger would become big and red,and you will have much pain in it. Sometimes the germs would go into all of your body,and you would have pain everywhere. What's the main idea of the passage?

Choices:
A. Germs may make us ill.
B. Germs are in dirty water.
C. Don't drink dirty water.
D. Take care of your fingers.

Reply with exactly one uppercase letter out of A, B, C, or D.
",284
"My house is made of wood, glass and stone. It is also made of software. If you come to visit, you'll probably be surprised when you come in: Someone will give you an electronic PIN to wear. The PIN tells the house who you are and where you are. The house uses this information to give you what you need. When it's dark outside, the PIN turns on the lights near you, and then turns them off as you walk away from them. Music moves with you, too. If the house knows your favorite music, it plays it for you. The music seems to be everywhere, but in fact other people in the house hear different music or no music. If you get a telephone call, only the nearest telephone rings. Of course, you are also able to want something. There is a home control console   which is a small machine that turns things on and off around you. The PIN and the console are new ideas, but they are in fact like many things we have today. If you want to go to a movie, you need a ticket. If I give you the key to my car, you can use my car. The car works for you because you have the key. My house works for you because you wear the PIN or hold the console. I believe that in ten years from now, most new houses will have the systems that I've put in my house. The systems will probably be even bigger and better than the ones I've got. I like to try new ideas. I know that some of my ideas will work better than others'. But I hope that one day I will stop thinking of these systems as new, and ask myself instead, ""How did I live without them?"" The writer's new house is different from ordinary ones mainly because  _  .",,auxiliary_train-00000-of-00001,D,"My house is made of wood, glass and stone. It is also made of software. If you come to visit, you'll probably be surprised when you come in: Someone will give you an electronic PIN to wear. The PIN tells the house who you are and where you are. The house uses this information to give you what you need. When it's dark outside, the PIN turns on the lights near you, and then turns them off as you walk away from them. Music moves with you, too. If the house knows your favorite music, it plays it for you. The music seems to be everywhere, but in fact other people in the house hear different music or no music. If you get a telephone call, only the nearest telephone rings. Of course, you are also able to want something. There is a home control console   which is a small machine that turns things on and off around you. The PIN and the console are new ideas, but they are in fact like many things we have today. If you want to go to a movie, you need a ticket. If I give you the key to my car, you can use my car. The car works for you because you have the key. My house works for you because you wear the PIN or hold the console. I believe that in ten years from now, most new houses will have the systems that I've put in my house. The systems will probably be even bigger and better than the ones I've got. I like to try new ideas. I know that some of my ideas will work better than others'. But I hope that one day I will stop thinking of these systems as new, and ask myself instead, ""How did I live without them?"" The writer's new house is different from ordinary ones mainly because  _  .

Choices:
A. it has your favorite music following you
B. you can make a telephone call anywhere
C. the writer is able to change his new idea into practice
D. it is controlled by computers

Reply with exactly one uppercase letter out of A, B, C, or D.
",429
"Peter Owen has been making wigs   since the 1980s. He has made wigs for the stars of more than seventy movies, including Tom Hanks inPhiladelphia, Johnny Depp in Sleepy Hollow, and Nicole Kidman in The Others. One of his biggest jobs so far has been designing the hair and make-up  for the three Lord of the Rings movies. He had just six weeks to design and make more than a hundred wigs, each one a different style, colour, shape and length. The hair and make-up in a movie are just as important as the costumes  or the sets. Over the years, Peter has made actors look older, younger, healthy and sick. For one movie he even made a female actor look like a man!""What people don't realize about wigs is that we are not always making people more beautiful,"" he says. ""Often we are covering up beauty and making them look ordinary."" All Peter's wigs are hand-made using human hair, so they look as real as possible. This also makes them very expensive--between US$4,500 and US$12,500 each! He knows he's done a good job when people don't realize the star of the movie is wearing a wig. So he was pleased when one newspaper said that Nicole Kidman had dyed  her hair dark brown for a movie. ""It was a wig and no one knew that,"" he says. What is Peter Owen's job?",,auxiliary_train-00000-of-00001,C,"Peter Owen has been making wigs   since the 1980s. He has made wigs for the stars of more than seventy movies, including Tom Hanks inPhiladelphia, Johnny Depp in Sleepy Hollow, and Nicole Kidman in The Others. One of his biggest jobs so far has been designing the hair and make-up  for the three Lord of the Rings movies. He had just six weeks to design and make more than a hundred wigs, each one a different style, colour, shape and length. The hair and make-up in a movie are just as important as the costumes  or the sets. Over the years, Peter has made actors look older, younger, healthy and sick. For one movie he even made a female actor look like a man!""What people don't realize about wigs is that we are not always making people more beautiful,"" he says. ""Often we are covering up beauty and making them look ordinary."" All Peter's wigs are hand-made using human hair, so they look as real as possible. This also makes them very expensive--between US$4,500 and US$12,500 each! He knows he's done a good job when people don't realize the star of the movie is wearing a wig. So he was pleased when one newspaper said that Nicole Kidman had dyed  her hair dark brown for a movie. ""It was a wig and no one knew that,"" he says. What is Peter Owen's job?

Choices:
A. An actor
B. A director
C. A wig maker
D. A manager

Reply with exactly one uppercase letter out of A, B, C, or D.
",342
"Transportation and communication networks bring people together. Yet sometimes people themselves create barriers to transportation and communication. In some countries, laws stop people from moving freely from place to place. Over the centuries, many groups of people have been denied the freedom to travel because of their race, religion, or nationality. In the Middle Ages, for example, Jews were often forbidden to move about freely within certain cities. South Africa's government used to require black Africans to carry passes when they travel within the country. Some governments require all citizens to carry identification papers and to report to government officials whenever they move. Countries set up Customs posts at their borders. Foreign travellers must go through a Customs inspection before they are allowed to travel in the country. Usually travellers have to carry special papers such as passports and visas . Some countries even limit the number of visitors to their country each year.  Others allow tourists to visit only certain areas of the country, or they may require that travellers be with an official guide at all times during their stay. Many of those barriers to travel also act as barriers to communication. When two governments disagree with each other on important matters, they usually do not want their citizens to exchange news or ideas freely. Countries often try to keep military or industrial information secret. Today, people have the ability to travel, to communicate, and to transport goods more quickly and easily than ever before. Natural barriers that were difficult or dangerous to cross a hundred years ago can now be crossed easily. The barriers that people themselves make are not so easy to overcome. But in spite of all the different kinds of barriers, people continue to enjoy travel and the exchange of goods and ideas. Which of the following can serve as the best title of the passage?",,auxiliary_train-00000-of-00001,B,"Transportation and communication networks bring people together. Yet sometimes people themselves create barriers to transportation and communication. In some countries, laws stop people from moving freely from place to place. Over the centuries, many groups of people have been denied the freedom to travel because of their race, religion, or nationality. In the Middle Ages, for example, Jews were often forbidden to move about freely within certain cities. South Africa's government used to require black Africans to carry passes when they travel within the country. Some governments require all citizens to carry identification papers and to report to government officials whenever they move. Countries set up Customs posts at their borders. Foreign travellers must go through a Customs inspection before they are allowed to travel in the country. Usually travellers have to carry special papers such as passports and visas . Some countries even limit the number of visitors to their country each year.  Others allow tourists to visit only certain areas of the country, or they may require that travellers be with an official guide at all times during their stay. Many of those barriers to travel also act as barriers to communication. When two governments disagree with each other on important matters, they usually do not want their citizens to exchange news or ideas freely. Countries often try to keep military or industrial information secret. Today, people have the ability to travel, to communicate, and to transport goods more quickly and easily than ever before. Natural barriers that were difficult or dangerous to cross a hundred years ago can now be crossed easily. The barriers that people themselves make are not so easy to overcome. But in spite of all the different kinds of barriers, people continue to enjoy travel and the exchange of goods and ideas. Which of the following can serve as the best title of the passage?

Choices:
A. Functions of Communication
B. Barriers Made by People
C. Restrictions on Transportation
D. Progress of Human Society

Reply with exactly one uppercase letter out of A, B, C, or D.
",394
"When you travel in other countries, you'll have to get yourself well prepared to ensure your safety and handle emergencies. Before you leave, you'd better: 1. Take out medical insurance policy and learn what the plan covers and whether departure or return to the hometown is covered. Figure out payment choices, such as whether you have to speak directly with the insurance company, before or after treatment, whether you have to pay first and get compensation later. 2. Keep up to date on all required vaccinations   . 3. Learn about the city or area where you are going to travel. Know how to say street names and landmarks in the local language. Figure out unique climate issues such as altitude, seasonal changes, potentially risky animals and insects. 4. Visit some local hospitals and write down addresses in the local language along with emergency entrance locations; do the same for dental/pediatric   services. Get first aid equipment with necessary medications. Take enough prescribed medication from the home country. 5. Carry a card or note written in both English and the local language listing your emergency contact numbers, name, basic medical information such as blood type and allergies   . 6. Ensure a reliable means of communication is available and carry an extra phone battery and a charger. Ensure that housemaids, drivers, office assistants, those who work or travel know how to call for medical assistance since they may be the only ones available in an emergency. 7. Make sure to bring all documents and visas along with you. Plan your journey carefully and carry copies of documents (ID, insurance policy records, medical records) and keep in a place where someone else could access them in an emergency. According to the passage, the following are true EXCEPT that   _  .",,auxiliary_train-00000-of-00001,C,"When you travel in other countries, you'll have to get yourself well prepared to ensure your safety and handle emergencies. Before you leave, you'd better: 1. Take out medical insurance policy and learn what the plan covers and whether departure or return to the hometown is covered. Figure out payment choices, such as whether you have to speak directly with the insurance company, before or after treatment, whether you have to pay first and get compensation later. 2. Keep up to date on all required vaccinations   . 3. Learn about the city or area where you are going to travel. Know how to say street names and landmarks in the local language. Figure out unique climate issues such as altitude, seasonal changes, potentially risky animals and insects. 4. Visit some local hospitals and write down addresses in the local language along with emergency entrance locations; do the same for dental/pediatric   services. Get first aid equipment with necessary medications. Take enough prescribed medication from the home country. 5. Carry a card or note written in both English and the local language listing your emergency contact numbers, name, basic medical information such as blood type and allergies   . 6. Ensure a reliable means of communication is available and carry an extra phone battery and a charger. Ensure that housemaids, drivers, office assistants, those who work or travel know how to call for medical assistance since they may be the only ones available in an emergency. 7. Make sure to bring all documents and visas along with you. Plan your journey carefully and carry copies of documents (ID, insurance policy records, medical records) and keep in a place where someone else could access them in an emergency. According to the passage, the following are true EXCEPT that   _  .

Choices:
A. you should try to make a good study of medical insurance policy
B. you'd make sure someone will be able to help you in emergencies
C. you'd hide your copies of documents for safety in a place that no one can find
D. you should try to get familiar with the city or area that you will visit

Reply with exactly one uppercase letter out of A, B, C, or D.
",444
"Film cameras and digital cameras work in a similar way. Film cameras After all, a film camera is basically a light - proof   box. It has a lens   system to focus light onto the film at the back of the camera. Let's suppose that we are outside on a beautiful summer day trying to take a picture of the family dog. We are using a film camera. We finally get the dog to lie still. You point the camera at him. What happens? Light goes into the camera lens and hits the shutter. In other words, nothing happens yet. Now let's say that the dog looks really cute and you decide to snap a picture. What happens? When you press the button, the shutter opens for a very short period of time. A small amount of light passes through and hits the film at the back of the camera. This creates an upside-down and reversed  image on the film. When you finish the roll of the film, you can take it to the photo shop to develop it and you will have a great picture of your dog! Cameras come with different lens lengths. Why does it matter? Many small cameras have shorter focal lengths, which means that there is a small distance between the lens and the place where the light focuses at the back of the camera. This gives you a large view of the area you are taking a picture of. Lenses with a long focal length show a smaller area but allow you to focus on distant objects and make them bigger. They are often called telephoto lenses. A good example of a long focus lens is one that is used by sports photographers to get photos of football players as if they were standing right beside them. Digital cameras In digital cameras, the light falls not on film but onto a sensor   called a CCD (Charge Coupled Device). This digitally converts  light and color into a digital information or pixels  . The CCD is the heart of any digital camera and usually the most expensive part ---- depending on how good it is. In the ""Film cameras"" part, you fail to take the picture of the dog because    _   .",,auxiliary_train-00000-of-00001,C,"Film cameras and digital cameras work in a similar way. Film cameras After all, a film camera is basically a light - proof   box. It has a lens   system to focus light onto the film at the back of the camera. Let's suppose that we are outside on a beautiful summer day trying to take a picture of the family dog. We are using a film camera. We finally get the dog to lie still. You point the camera at him. What happens? Light goes into the camera lens and hits the shutter. In other words, nothing happens yet. Now let's say that the dog looks really cute and you decide to snap a picture. What happens? When you press the button, the shutter opens for a very short period of time. A small amount of light passes through and hits the film at the back of the camera. This creates an upside-down and reversed  image on the film. When you finish the roll of the film, you can take it to the photo shop to develop it and you will have a great picture of your dog! Cameras come with different lens lengths. Why does it matter? Many small cameras have shorter focal lengths, which means that there is a small distance between the lens and the place where the light focuses at the back of the camera. This gives you a large view of the area you are taking a picture of. Lenses with a long focal length show a smaller area but allow you to focus on distant objects and make them bigger. They are often called telephoto lenses. A good example of a long focus lens is one that is used by sports photographers to get photos of football players as if they were standing right beside them. Digital cameras In digital cameras, the light falls not on film but onto a sensor   called a CCD (Charge Coupled Device). This digitally converts  light and color into a digital information or pixels  . The CCD is the heart of any digital camera and usually the most expensive part ---- depending on how good it is. In the ""Film cameras"" part, you fail to take the picture of the dog because    _   .

Choices:
A. light goes into the camera lens and hits the shutter
B. you haven't aimed the camera at the dog
C. the image of the dog is not created
D. the sensor fails to convert light and color into a digital information

Reply with exactly one uppercase letter out of A, B, C, or D.
",496
"Last year, a report by a committee of education experts said that a lot of American students cannot write well. The report noted the concerns of business leaders and teachers. The experts said that more students should have to pass a writing test before they can finish high school. They pointed out that major college entrance tests are changing now to include a writing part. Educators know that teaching students to write well is not easy. One problem is the amount of time needed to read through large amounts of work. So some companies have developed computer programs. These can grade student writing much more quickly than a person can. Writing tests can also cost less to carry out by computer than paper-and-pencil. These computer systems are known as e-readers. They use artificial   intelligence to think in a way like teachers. In the state of Indiana, computer grading of a statewide writing test began with a test of the system itself. For two years, both a computer and humans graded the student writing. Officials say there was almost no difference between the computer grades and those given by the human readers. The entrance test commonly used by business schools, the GMAT, already uses e-readers. The GRE and TOEFL tests might start; officials are deciding. The GRE is the Graduate Record Examination. TOEFL is the Test of English as a Foreign Language. Systems are also being used to grade writing in college classes. The computers read a few hundred examples of student writing already graded by humans. Then the systems compare new writings against those already examined. How do teachers feel all about this? Many say machines can never do the job as well as people can. A computer can find spelling and grammar mistakes. But these teachers say it can never really understand what a writer is trying to say. Critics say a program cannot follow a thought or judge humor or understand a beautifully expressed idea. But inventors of the programs say computer grading guarantees that each piece of writing is graded in the same way. They also say the systems are meant to judge knowledge more than creativity. Which of the following is NOT the advantage of e-readers?",,auxiliary_train-00000-of-00001,D,"Last year, a report by a committee of education experts said that a lot of American students cannot write well. The report noted the concerns of business leaders and teachers. The experts said that more students should have to pass a writing test before they can finish high school. They pointed out that major college entrance tests are changing now to include a writing part. Educators know that teaching students to write well is not easy. One problem is the amount of time needed to read through large amounts of work. So some companies have developed computer programs. These can grade student writing much more quickly than a person can. Writing tests can also cost less to carry out by computer than paper-and-pencil. These computer systems are known as e-readers. They use artificial   intelligence to think in a way like teachers. In the state of Indiana, computer grading of a statewide writing test began with a test of the system itself. For two years, both a computer and humans graded the student writing. Officials say there was almost no difference between the computer grades and those given by the human readers. The entrance test commonly used by business schools, the GMAT, already uses e-readers. The GRE and TOEFL tests might start; officials are deciding. The GRE is the Graduate Record Examination. TOEFL is the Test of English as a Foreign Language. Systems are also being used to grade writing in college classes. The computers read a few hundred examples of student writing already graded by humans. Then the systems compare new writings against those already examined. How do teachers feel all about this? Many say machines can never do the job as well as people can. A computer can find spelling and grammar mistakes. But these teachers say it can never really understand what a writer is trying to say. Critics say a program cannot follow a thought or judge humor or understand a beautifully expressed idea. But inventors of the programs say computer grading guarantees that each piece of writing is graded in the same way. They also say the systems are meant to judge knowledge more than creativity. Which of the following is NOT the advantage of e-readers?

Choices:
A. Saving much of teachers' time.
B. Saving a lot of money.
C. Being fair and objective.
D. Appreciating humor and beauty

Reply with exactly one uppercase letter out of A, B, C, or D.
",474
"Most people have heard the sound of bees among flowers. Bees live almost everywhere in the world except in the Arctic areas. Many kinds of agriculture depend on these small, social insects. Without bees, fruit and nut growers as well as many other farmers would not have a crop. There are more than 20,000 kinds of bees. But only honey bees make enough honey for people to use. Honeybees are highly-organized social insects. They work together in a group, called a colony . Each colony lives in a hive . It contains one queen bee -- she lays all the eggs from which the members of the colony come. Each colony has only a few hundred males, called drones. The majority of all bees in a colony are workers, which are all females. Bees even have a special stomach, called a honey stomach,  which is used to store sweet fluid that the bees gather from flowers. Bees also have long hairs on their body and legs. These hairs capture pollen  as bees go from flower to flower. Some of the pollen is taken back to the hive. Some, however, is passed to the next flower. This is how many plants are fertilized. Pollen is the reproductive material of plants. Many important agricultural crops depend on bees for fertilization. Inside their hives, bees store sweet liquid from flowers and pollen as well. They may even gather sweet liquid from some other kinds of insects. These kinds of sweet liquid are also stored in the hive. Bees make honey through a process. They add liquid from their own mouths to sweet liquid into simple sugar. As the honey is stored, it dries. It becomes thicker and darker. Although bees are often thought of as honey makers, they provide a surprising number of products. Also, their greatest economic value is in fertilizing crops-not in making honey. The most valuable thing honeybees do for people is in  _  .",,auxiliary_train-00000-of-00001,B,"Most people have heard the sound of bees among flowers. Bees live almost everywhere in the world except in the Arctic areas. Many kinds of agriculture depend on these small, social insects. Without bees, fruit and nut growers as well as many other farmers would not have a crop. There are more than 20,000 kinds of bees. But only honey bees make enough honey for people to use. Honeybees are highly-organized social insects. They work together in a group, called a colony . Each colony lives in a hive . It contains one queen bee -- she lays all the eggs from which the members of the colony come. Each colony has only a few hundred males, called drones. The majority of all bees in a colony are workers, which are all females. Bees even have a special stomach, called a honey stomach,  which is used to store sweet fluid that the bees gather from flowers. Bees also have long hairs on their body and legs. These hairs capture pollen  as bees go from flower to flower. Some of the pollen is taken back to the hive. Some, however, is passed to the next flower. This is how many plants are fertilized. Pollen is the reproductive material of plants. Many important agricultural crops depend on bees for fertilization. Inside their hives, bees store sweet liquid from flowers and pollen as well. They may even gather sweet liquid from some other kinds of insects. These kinds of sweet liquid are also stored in the hive. Bees make honey through a process. They add liquid from their own mouths to sweet liquid into simple sugar. As the honey is stored, it dries. It becomes thicker and darker. Although bees are often thought of as honey makers, they provide a surprising number of products. Also, their greatest economic value is in fertilizing crops-not in making honey. The most valuable thing honeybees do for people is in  _  .

Choices:
A. making honey
B. fertilizing crops
C. making flowers grow better
D. producing pollen

Reply with exactly one uppercase letter out of A, B, C, or D.
",433
"Bananas are one of the world' s most important food crops. They are also one of the most valuable exports. Bananas do not grow from seeds. Instead, they grow from existing plants. Bananas are threatened by disease because all the plants on a farm are copies of each other. They all share the same genetic weaknesses. For example, the Cavendish banana is most popular in North American and European markets. However,some kinds of fungus organisms easily infect the Cavendish. Black Sigatoka disease affects the leaves of Cavendish banana plants. The disease is controlled on large farms by putting chemicals on the plant' s leaves. Farmers put anti-fungal chemicals on their crops up to once a week. Another fungal disease is more serious. Panama disease attacks the roots of the banana plant. There is no chemical treatment for this disease. Infected plants must be destroyed. Panama disease has affected crops in Southeast Asia, Australia and South Africa. There is concern that it may spread to bananas grown in the Americas. This could threaten an important export product for Central and South America. The International Network for the Improvement of Banana and Plantain supports research on bananas. The group has headquarters in France and other offices in the major banana-growing areas of the world. The group says that more research must be done to develop improved kinds of bananas. The group says that fungal diseases mainly affect only one kind of banana. In fact, there are five hundred different kinds of bananas. Food and Agriculture Organization of the United Nations has said that the Cavendish banana represents only 10% of world production. The U.N. agency says farmers should grow different kinds of bananas. This protects against diseases that affect only one kind. Experts warn that disease may cause the Cavendish banana to disappear. This happened earlier to another popular banana because of its genetic weakness against disease. Bananas are threatened by disease because   _  .",,auxiliary_train-00000-of-00001,D,"Bananas are one of the world' s most important food crops. They are also one of the most valuable exports. Bananas do not grow from seeds. Instead, they grow from existing plants. Bananas are threatened by disease because all the plants on a farm are copies of each other. They all share the same genetic weaknesses. For example, the Cavendish banana is most popular in North American and European markets. However,some kinds of fungus organisms easily infect the Cavendish. Black Sigatoka disease affects the leaves of Cavendish banana plants. The disease is controlled on large farms by putting chemicals on the plant' s leaves. Farmers put anti-fungal chemicals on their crops up to once a week. Another fungal disease is more serious. Panama disease attacks the roots of the banana plant. There is no chemical treatment for this disease. Infected plants must be destroyed. Panama disease has affected crops in Southeast Asia, Australia and South Africa. There is concern that it may spread to bananas grown in the Americas. This could threaten an important export product for Central and South America. The International Network for the Improvement of Banana and Plantain supports research on bananas. The group has headquarters in France and other offices in the major banana-growing areas of the world. The group says that more research must be done to develop improved kinds of bananas. The group says that fungal diseases mainly affect only one kind of banana. In fact, there are five hundred different kinds of bananas. Food and Agriculture Organization of the United Nations has said that the Cavendish banana represents only 10% of world production. The U.N. agency says farmers should grow different kinds of bananas. This protects against diseases that affect only one kind. Experts warn that disease may cause the Cavendish banana to disappear. This happened earlier to another popular banana because of its genetic weakness against disease. Bananas are threatened by disease because   _  .

Choices:
A. they grow from seeds
B. they are one of the most valuable exports
C. the only way to prevent it is to put chemicals on their leaves
D. they have genetic weaknesses against disease

Reply with exactly one uppercase letter out of A, B, C, or D.
",450
"It was the end-of-year party. I had asked my mother to make us cookies. Mom's chocolate chips were the best. But two o'clock passed, and there was no sign of her. Most of the other mothers had come and gone, dropping off their cakes and chips. The party went on, but I wouldn't leave the window. The three o'clock bell soon took me away from my thoughts . I took my bag and walked out for home. The house was empty when I arrived. My heart was filled with anger . For the first time in my life, my mother had _ . I was lying on my bed when I heard her coming. ""Robbie,"" she called out. ""Where are you?"" She was looking for me from room to room, but I kept silent. When she came into my room, I didn't move, ""I'm so sorry,"" she said. ""I got busy and forgot."" She began to laugh. I couldn't believe it. I turned over and found that she wasn't laughing but crying. ""I'm so sorry. I let my boy down."" she cried like a little girl. I had never seen my mother cry. ""It's OK, Mom,"" I said, ""We didn't need those cookies. There was plenty of food to eat. Don't cry. It's all right."" We held each other in a long hug . Why did my mother cry and say that she was sorry?",,auxiliary_train-00000-of-00001,A,"It was the end-of-year party. I had asked my mother to make us cookies. Mom's chocolate chips were the best. But two o'clock passed, and there was no sign of her. Most of the other mothers had come and gone, dropping off their cakes and chips. The party went on, but I wouldn't leave the window. The three o'clock bell soon took me away from my thoughts . I took my bag and walked out for home. The house was empty when I arrived. My heart was filled with anger . For the first time in my life, my mother had _ . I was lying on my bed when I heard her coming. ""Robbie,"" she called out. ""Where are you?"" She was looking for me from room to room, but I kept silent. When she came into my room, I didn't move, ""I'm so sorry,"" she said. ""I got busy and forgot."" She began to laugh. I couldn't believe it. I turned over and found that she wasn't laughing but crying. ""I'm so sorry. I let my boy down."" she cried like a little girl. I had never seen my mother cry. ""It's OK, Mom,"" I said, ""We didn't need those cookies. There was plenty of food to eat. Don't cry. It's all right."" We held each other in a long hug . Why did my mother cry and say that she was sorry?

Choices:
A. Because she was too busy.
B. Because she couldn't find me.
C. Because she didn't support me.
D. Because she needed those cookies.

Reply with exactly one uppercase letter out of A, B, C, or D.
",351
"Most people think the first pies were made by early Romans. They may have learned about pie making from the Greeks. These pies were sometimes made in""reeds  "", which were used for the purpose of holding the filling ( ), and were not eaten. The Romans spread the word about pies around Europe and the word""pie""became a popular word in the 14th century. The first pie recipe   was also published by the Romans. Pies first appeared in England as early as the twelfth century. The early pies were mostly meat pies. There was actually more crust than filling. Often these pies were made from fowl ( ) and the fowl's legs were left to hang over the side of the dish and used as handles. Fruit pies were probably first made in the 1500s. It is said that Queen Elizabeth I made the first cherry pie. Pie came to America with the first English settlers. The early settlers cooked their pies in long narrow pans. As in the Roman times, the early American pie crusts were often not eaten, but simply used to hold the filling during baking(@&*). Over the years, pie has become what it is today --- ""the most traditional American dessert"". Pie has become so much a part of American culture that we now often use the phrase ""as American as apple pie"". The best title of this passage is ""  _  "".",,auxiliary_train-00000-of-00001,A,"Most people think the first pies were made by early Romans. They may have learned about pie making from the Greeks. These pies were sometimes made in""reeds  "", which were used for the purpose of holding the filling ( ), and were not eaten. The Romans spread the word about pies around Europe and the word""pie""became a popular word in the 14th century. The first pie recipe   was also published by the Romans. Pies first appeared in England as early as the twelfth century. The early pies were mostly meat pies. There was actually more crust than filling. Often these pies were made from fowl ( ) and the fowl's legs were left to hang over the side of the dish and used as handles. Fruit pies were probably first made in the 1500s. It is said that Queen Elizabeth I made the first cherry pie. Pie came to America with the first English settlers. The early settlers cooked their pies in long narrow pans. As in the Roman times, the early American pie crusts were often not eaten, but simply used to hold the filling during baking(@&*). Over the years, pie has become what it is today --- ""the most traditional American dessert"". Pie has become so much a part of American culture that we now often use the phrase ""as American as apple pie"". The best title of this passage is ""  _  "".

Choices:
A. The History of Pies
B. Pies, the Delicious Food
C. Pies, American Dessert
D. How to Make Pies

Reply with exactly one uppercase letter out of A, B, C, or D.
",339
"I was born and raised in Minnesota, the USA,but as an adult I have mostly lived in Europe and Africa. I teach cross-cultural management at the International Business School near Paris. For the last 15 years, I've studied how people in different parts of the world build trust,communicate, and make decisions especially in the workplace. While traveling in Tokyo recently with Japanese colleague,I gave a short talk to a group of 20 managers. At the end, I asked whether there were any questions or comments.No hands went up,so I went to sit down.My colleague whispered to me,""I think there actually were some comments, Erin.Do you mind if I try?"" I agreed, but I guessed it a waste of breath. He asked the group again, ""Any comments or questions?"" Still, no one raised a hand, but this time he looked very carefully at each person in the silent audience. Gesturing to one of them, he said, ""Do you have something to add?"" To my amazement,she responded ""Yes, thank you."" and asked me a very interesting question. My colleague repeated this several times,looking directly at the audience and asking for more questions or comments. After the session, I asked my colleague, ""how do you know that those people had questions?"" He hesitated, not sure how to explain it, and then said, ""It has to do with how bright their eyes are."" He continued, ""In Japan, we don't make as much direct eye contact as you do in the West. So when you asked if there were any comments, most people were not looking directly at you. But a few people in the group were looking right at you, and their eyes were bright. That indicates that they would be happy to have you call on them."" I thought to myself I would never have learned from my upbringing in Minnesota. Since then, I try to focus on understanding behavior in other cultures I encounter, and keep finding the bright eyes in the room. Where does the author's colleague probably come from?",,auxiliary_train-00000-of-00001,A,"I was born and raised in Minnesota, the USA,but as an adult I have mostly lived in Europe and Africa. I teach cross-cultural management at the International Business School near Paris. For the last 15 years, I've studied how people in different parts of the world build trust,communicate, and make decisions especially in the workplace. While traveling in Tokyo recently with Japanese colleague,I gave a short talk to a group of 20 managers. At the end, I asked whether there were any questions or comments.No hands went up,so I went to sit down.My colleague whispered to me,""I think there actually were some comments, Erin.Do you mind if I try?"" I agreed, but I guessed it a waste of breath. He asked the group again, ""Any comments or questions?"" Still, no one raised a hand, but this time he looked very carefully at each person in the silent audience. Gesturing to one of them, he said, ""Do you have something to add?"" To my amazement,she responded ""Yes, thank you."" and asked me a very interesting question. My colleague repeated this several times,looking directly at the audience and asking for more questions or comments. After the session, I asked my colleague, ""how do you know that those people had questions?"" He hesitated, not sure how to explain it, and then said, ""It has to do with how bright their eyes are."" He continued, ""In Japan, we don't make as much direct eye contact as you do in the West. So when you asked if there were any comments, most people were not looking directly at you. But a few people in the group were looking right at you, and their eyes were bright. That indicates that they would be happy to have you call on them."" I thought to myself I would never have learned from my upbringing in Minnesota. Since then, I try to focus on understanding behavior in other cultures I encounter, and keep finding the bright eyes in the room. Where does the author's colleague probably come from?

Choices:
A. Japan.
B. America.
C. Africa.
D. France

Reply with exactly one uppercase letter out of A, B, C, or D.
",452
