question,subject,split,answer,final_prompt,len_tk_qwen2.5_7b_instruct
"Order the numbers 6, −1, 8, −3, −4 from least to greatest.",elementary_mathematics,test-00000-of-00001,B,"Order the numbers 6, −1, 8, −3, −4 from least to greatest.

Choices:
A. 6, −1, 8, −3, −4
B. −4, −3, −1, 6, 8
C. −1, −3, −4, 6, 8
D. −3, −4, 6, −1, 8

Reply with exactly one uppercase letter out of A, B, C, or D.
",109
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I picked french fries off the floor and sold them to a customer. Scenario 2 | I told the customer I wanted to go to their country.",moral_scenarios,test-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I picked french fries off the floor and sold them to a customer. Scenario 2 | I told the customer I wanted to go to their country.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I completed my brother's homework in my bedroom. Scenario 2 | I felt like vomiting so I reached for my host's trash can.",moral_scenarios,test-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I completed my brother's homework in my bedroom. Scenario 2 | I felt like vomiting so I reached for my host's trash can.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",118
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I tried to run over the animal that ran into the road so I didn't swerve and miss it. Scenario 2 | I decided to dam the river upstream of a lot of farmland.",moral_scenarios,test-00000-of-00001,A,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I tried to run over the animal that ran into the road so I didn't swerve and miss it. Scenario 2 | I decided to dam the river upstream of a lot of farmland.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",130
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I plan on taking my best friends girlfriend, out to the movies to win her over. Scenario 2 | I gave the sick child two hundred advil for her fever",moral_scenarios,test-00000-of-00001,A,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I plan on taking my best friends girlfriend, out to the movies to win her over. Scenario 2 | I gave the sick child two hundred advil for her fever

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",125
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I am way too sleepy to drive safely, so I'll buckle up my twins first. Scenario 2 | I omitted peanuts in his meal because he's allergic to them.",moral_scenarios,test-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I am way too sleepy to drive safely, so I'll buckle up my twins first. Scenario 2 | I omitted peanuts in his meal because he's allergic to them.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",125
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I offered the babysitter extra money to stay late. Scenario 2 | I went skinny-dipping in the ocean, while no one was at the beach.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I offered the babysitter extra money to stay late. Scenario 2 | I went skinny-dipping in the ocean, while no one was at the beach.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I put my three year old daughter on time out for five minutes. Scenario 2 | I put face paint on the small child's face.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I put my three year old daughter on time out for five minutes. Scenario 2 | I put face paint on the small child's face.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
What is the role of non-governmental organisations (NGOs) in the global defence trade?,security_studies,test-00000-of-00001,C,"What is the role of non-governmental organisations (NGOs) in the global defence trade?

Choices:
A. Non-governmental organisations are the primary actors in modern arms control measures.
B. Non-governmental agencies are unable to access the resources and information needed to develop effective policy or action on arms control.
C. Non-governmental groups have played a significant and effective role in developing arms control measures in recent years.
D. There is a serious lack of involvement by non-governmental actors in controlling the global defence trade.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
Wind turbines are being used to generate electricity in many parts of the United States. One advantage of wind turbines is that no fossil fuels are burned. Which of the following is a disadvantage of wind turbines?,,auxiliary_train-00000-of-00001,D,"Wind turbines are being used to generate electricity in many parts of the United States. One advantage of wind turbines is that no fossil fuels are burned. Which of the following is a disadvantage of wind turbines?

Choices:
A. Wind turbines can emit dangerous radiation if damaged.
B. Wind turbine farms must be located near large bodies of water.
C. Wind turbines do not produce energy until many years after being built.
D. Wind turbine farms require a lot of area compared to how much energy they produce.

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | While camping, I gathered fallen logs to burn for a campfire. Scenario 2 | My dog begged me for a treat so I gave him some peanut butter.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | While camping, I gathered fallen logs to burn for a campfire. Scenario 2 | My dog begged me for a treat so I gave him some peanut butter.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
"Following the classical period, which ended around A.D. 800, Mayan civilization:",prehistory,test-00000-of-00001,C,"Following the classical period, which ended around A.D. 800, Mayan civilization:

Choices:
A. inexplicably disappeared, then began a slow development ending with Aztec civilization.
B. entered the second classical period, lost a great war with Teotihuacán, and faded away.
C. fell into decline, moved its center north, resurged, and fell into decline once again.
D. fell into a sudden decline; the population disappeared and never again built monumental structures.

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
Mark Green is my friend. He is English. He has a yellow bike. His bike number is 9075. His mother has a green car. The number is JA3566. His father has a black car. The number is JA3567. What is Green?,,auxiliary_train-00000-of-00001,B,"Mark Green is my friend. He is English. He has a yellow bike. His bike number is 9075. His mother has a green car. The number is JA3566. His father has a black car. The number is JA3567. What is Green?

Choices:
A. It's Maek's name.
B. It's Mark's last name.
C. It's Mark's first name.
D. It's Mark's middle name.

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
The distribution of weights of 16-ounce bags of a particular brand of potato chips is approximately normal with a standard deviation of 0.28 ounce. How does the weight of a bag at the 40th percentile compare with the mean weight?,high_school_statistics,validation-00000-of-00001,D,"The distribution of weights of 16-ounce bags of a particular brand of potato chips is approximately normal with a standard deviation of 0.28 ounce. How does the weight of a bag at the 40th percentile compare with the mean weight?

Choices:
A. 0.40 ounce above the mean
B. 0.25 ounce above the mean
C. 0.07 ounce above the mean
D. 0.07 ounce below the mean

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
"If a blood unit has been out of refrigeration for longer than the accepted time limit, you should:",clinical_knowledge,test-00000-of-00001,C,"If a blood unit has been out of refrigeration for longer than the accepted time limit, you should:

Choices:
A. transfuse it as soon as possible and annotate the patient's notes with the time of administration.
B. dispose of the contents in the sluice area, keeping the bag for record purposes.
C. return it to the blood bank and inform them of why you have done so.
D. refrigerate for a minimum of 12 hours and then administer it.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
"My name is Jane. I am from Shanghai, China. I want to have a pen pal in London. London is a big city. I am thirteen years old and my birthday is February 22nd. I like to listen to music and read books after school. My favourite subject in school is art. It's fun and interesting. I don't like math. It's too _ . What's her favourite subject?",,auxiliary_train-00000-of-00001,A,"My name is Jane. I am from Shanghai, China. I want to have a pen pal in London. London is a big city. I am thirteen years old and my birthday is February 22nd. I like to listen to music and read books after school. My favourite subject in school is art. It's fun and interesting. I don't like math. It's too _ . What's her favourite subject?

Choices:
A. Art
B. Chinese
C. Maths
D. English

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I started a debate at the neighbors house. Scenario 2 | I pawned my husband's prized guitar to pay for my lip injections.",moral_scenarios,test-00000-of-00001,C,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I started a debate at the neighbors house. Scenario 2 | I pawned my husband's prized guitar to pay for my lip injections.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",118
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I stole a kiss from my girlfriend Scenario 2 | I laughed when my friend appeared to be upset.",moral_scenarios,test-00000-of-00001,C,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I stole a kiss from my girlfriend Scenario 2 | I laughed when my friend appeared to be upset.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",111
"Hello! I'm Jane. I'm thirteen . I have a sister, but  I don't have a brother. I like games. I often   play soccer with her. I have 2 volleyballs. I like ping-pong, too. I play ping-pong with my friends after school. Do you like games ? Do you play sports every day ? Does Jane have a brother ?",,auxiliary_train-00000-of-00001,D,"Hello! I'm Jane. I'm thirteen . I have a sister, but  I don't have a brother. I like games. I often   play soccer with her. I have 2 volleyballs. I like ping-pong, too. I play ping-pong with my friends after school. Do you like games ? Do you play sports every day ? Does Jane have a brother ?

Choices:
A. Yes, she is.
B. No, she isn't.
C. Yes, she does.
D. No, she doesn't.

Reply with exactly one uppercase letter out of A, B, C, or D.
",129
Electrical stimulation of the brain for the treatment of chronic pain,professional_psychology,test-00000-of-00001,D,"Electrical stimulation of the brain for the treatment of chronic pain

Choices:
A. may produce its effects by promoting the release of endogenous opiates-dorphins)
B. may produce its effects by promoting the release of the neurotransmitter norepinephrine
C. is generally effective, but medically ill-advised because such stimulation has aversive properties
D. is of no practical significance, since stimulation-produced analgesia has been demonstrated only in rats

Reply with exactly one uppercase letter out of A, B, C, or D.
",111
"A student has recently completed a dissertation and is submitting a draft for publication. The student’s advisor contributed by assisting with data analysis and writing a major part of the first publication draft. If the manuscript is published, the student should receive",professional_psychology,test-00000-of-00001,A,"A student has recently completed a dissertation and is submitting a draft for publication. The student’s advisor contributed by assisting with data analysis and writing a major part of the first publication draft. If the manuscript is published, the student should receive

Choices:
A. first authorship with the advisor as second author
B. firs authorship with the advisor receiving no acknowledgment
C. first authorship with the advisor receiving acknowledgment in a footnote
D. second authorship with the advisor as first author

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
"Every time Mr. Hamm makes another pizza in his shop, he places $0.45 worth of sauce on top. For Mr. Hamm, the cost of pizza sauce is a component of which of the following? I. Total Fixed Costs II. Total Variable Costs III. Marginal Cost IV. Total Costs",high_school_microeconomics,test-00000-of-00001,D,"Every time Mr. Hamm makes another pizza in his shop, he places $0.45 worth of sauce on top. For Mr. Hamm, the cost of pizza sauce is a component of which of the following? I. Total Fixed Costs II. Total Variable Costs III. Marginal Cost IV. Total Costs

Choices:
A. I and IV only
B. II and III only
C. II and IV only
D. II, III, and IV only

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
"After discovering that she was in the early stages of an eating disorder, Maria's parents insisted Maria see a therapist. Although Maria attended the therapy sessions, she was late, uncooperative, and even hostile. After some time, her counselor began to explore Maria's feelings of hostility and found that they actually were feelings she held for her parents. Maria's uncooperativeness and hostility toward her counselor is an example of",high_school_psychology,test-00000-of-00001,C,"After discovering that she was in the early stages of an eating disorder, Maria's parents insisted Maria see a therapist. Although Maria attended the therapy sessions, she was late, uncooperative, and even hostile. After some time, her counselor began to explore Maria's feelings of hostility and found that they actually were feelings she held for her parents. Maria's uncooperativeness and hostility toward her counselor is an example of

Choices:
A. suppression
B. conflicting motives
C. transference
D. countertransference

Reply with exactly one uppercase letter out of A, B, C, or D.
",125
Which is NOT a criticism of Piaget’s theory of cognitive development?,professional_psychology,test-00000-of-00001,B,"Which is NOT a criticism of Piaget’s theory of cognitive development?

Choices:
A. Piaget may have underestimated young children’s competence and overestimated adolescents’ cognitive abilities
B. Piaget placed too much emphasis on the role of culture and social interactions in children’s cognitive development
C. Cognitive development is more gradual and continuous rather than abrupt and stagelike as Piaget thought
D. Children actually have certain cognitive capabilities at particular ages that Piaget did not observe because he designed experiments that were too difficult

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
"Two spaceships approach Earth with equal speeds, as measured by an observer on Earth, but from opposite directions. A meterstick on one spaceship is measured to be 60 cm long by an occupant of the other spaceship. What is the speed of each spaceship, as measured by the observer on Earth?",college_physics,test-00000-of-00001,B,"Two spaceships approach Earth with equal speeds, as measured by an observer on Earth, but from opposite directions. A meterstick on one spaceship is measured to be 60 cm long by an occupant of the other spaceship. What is the speed of each spaceship, as measured by the observer on Earth?

Choices:
A. 0.4c
B. 0.5c
C. 0.6c
D. 0.7c

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I laughed at the antics of the mental patients behind the bars. Scenario 2 | I wanted to shake hands with everybody, except the black guy.",moral_scenarios,test-00000-of-00001,A,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I laughed at the antics of the mental patients behind the bars. Scenario 2 | I wanted to shake hands with everybody, except the black guy.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
How can the structure of the international society be displayed?,international_law,test-00000-of-00001,B,"How can the structure of the international society be displayed?

Choices:
A. The structure of the international society follows the vertical model of the domestic legal orders
B. International society consists of a constellation of sovereign States and other international organizations, which are dispersed in a rather horizontal order of authority
C. International society is so anarchical that there is no order of authority, neither vertical nor horizontal
D. The structure of the international society resembles the structure of the most powerful nations in the world

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
A student gives a red toy car a push on a wooden floor. The student then pushes the same red toy car on a cement floor. Which question is the student most likely investigating?,,auxiliary_train-00000-of-00001,C,"A student gives a red toy car a push on a wooden floor. The student then pushes the same red toy car on a cement floor. Which question is the student most likely investigating?

Choices:
A. How fast does a toy car usually roll?
B. What is the best way to make a toy car roll?
C. Which surface allows a toy car to roll farther?
D. Does color have an effect on the distance a toy car rolls?

Reply with exactly one uppercase letter out of A, B, C, or D.
",108
"A sphere, a cube, and a cylinder, all of equal mass, are released from rest from the top of a short incline. The surface of the incline is extremely slick, so much so that the objects do not rotate when released, but rather slide with negligible friction. Which reaches the base of the incline first?",high_school_physics,test-00000-of-00001,D,"A sphere, a cube, and a cylinder, all of equal mass, are released from rest from the top of a short incline. The surface of the incline is extremely slick, so much so that the objects do not rotate when released, but rather slide with negligible friction. Which reaches the base of the incline first?

Choices:
A. the sphere
B. the cube
C. the cylinder
D. All reach the base at the same time.

Reply with exactly one uppercase letter out of A, B, C, or D.
",112
"Exits on a highway are numbered consecutively from 1 to 50. The distance from exit 41 to exit 50 is 100 km. If each exit is at least 6 km from the next exit, what is the longest possible distance, in kilometers, between exit 47 and exit 48?",high_school_mathematics,validation-00000-of-00001,A,"Exits on a highway are numbered consecutively from 1 to 50. The distance from exit 41 to exit 50 is 100 km. If each exit is at least 6 km from the next exit, what is the longest possible distance, in kilometers, between exit 47 and exit 48?

Choices:
A. 52
B. 51
C. 50
D. 49

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
"Let G = (V, E) be a finite directed acyclic graph with |E| > 0. Which of the following must be true?
I. G has a vertex with no incoming edge.
II. G has a vertex with no outgoing edge.
III. G has an isolated vertex, that is, one with neither an incoming edge nor an outgoing edge.",college_computer_science,test-00000-of-00001,D,"Let G = (V, E) be a finite directed acyclic graph with |E| > 0. Which of the following must be true?
I. G has a vertex with no incoming edge.
II. G has a vertex with no outgoing edge.
III. G has an isolated vertex, that is, one with neither an incoming edge nor an outgoing edge.

Choices:
A. I only
B. II only
C. III only
D. I and II only

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I ripped off my mattress' tag. Scenario 2 | I don't need to study for the test anymore because the answers are in my pocket where I can retrieve them.",moral_scenarios,test-00000-of-00001,C,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I ripped off my mattress' tag. Scenario 2 | I don't need to study for the test anymore because the answers are in my pocket where I can retrieve them.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",125
"A filling machine puts an average of four ounces of coffee in jars, with a standard deviation of 0.25 ounces. Forty jars filled by this machine are selected at random. What is the probability that the mean amount per jar filled in the sampled jars is less than 3.9 ounces?",high_school_statistics,test-00000-of-00001,A,"A filling machine puts an average of four ounces of coffee in jars, with a standard deviation of 0.25 ounces. Forty jars filled by this machine are selected at random. What is the probability that the mean amount per jar filled in the sampled jars is less than 3.9 ounces?

Choices:
A. 0.0057
B. 0.0225
C. 0.025
D. 0.05

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I picked the most rotten apples to donate to the food pantry. Scenario 2 | I sold exotic berries at the farmer's market.",moral_scenarios,test-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I picked the most rotten apples to donate to the food pantry. Scenario 2 | I sold exotic berries at the farmer's market.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
"To achieve an 0/1 loss estimate that is less than 1 percent of the true 0/1 loss (with probability 95%), according to Hoeffding's inequality the IID test set must have how many examples?",machine_learning,dev-00000-of-00001,D,"To achieve an 0/1 loss estimate that is less than 1 percent of the true 0/1 loss (with probability 95%), according to Hoeffding's inequality the IID test set must have how many examples?

Choices:
A. around 10 examples
B. around 100 examples
C. between 100 and 500 examples
D. more than 1000 examples

Reply with exactly one uppercase letter out of A, B, C, or D.
",109
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | As a mom, all I care about is that my daughter is pretty. Scenario 2 | I dug up the teacher's lost award and left it in her old classroom.",moral_scenarios,test-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | As a mom, all I care about is that my daughter is pretty. Scenario 2 | I dug up the teacher's lost award and left it in her old classroom.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",125
Which of the following is a true statement?,high_school_statistics,validation-00000-of-00001,D,"Which of the following is a true statement?

Choices:
A. While observational studies gather information on an already existing condition, they still often involve intentionally forcing some treatment to note the response.
B. In an experiment, researchers decide on the treatment but typically allow the subjects to self-select into the control group.
C. If properly designed, either observational studies or controlled experiments can easily be used to establish cause and effect.
D. Stratifying in sampling is the same idea as blocking for experiments.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
"Protons used in cancer therapy are typically accelerated to about 0.6c. How much work must be done on a particle of mass m in order for it to reach this speed, assuming it starts at rest?",college_physics,test-00000-of-00001,A,"Protons used in cancer therapy are typically accelerated to about 0.6c. How much work must be done on a particle of mass m in order for it to reach this speed, assuming it starts at rest?

Choices:
A. 0.25mc^2
B. 0.60mc^2
C. 0.67mc^2
D. 1.25mc^2

Reply with exactly one uppercase letter out of A, B, C, or D.
",107
"In a tropical rainforest, the difference between daytime and nighttime temperatures is relatively small. In the desert, the difference between daytime and nighttime temperatures is very large. Which factor contributes to the lower variation in rainforest temperatures?",,auxiliary_train-00000-of-00001,D,"In a tropical rainforest, the difference between daytime and nighttime temperatures is relatively small. In the desert, the difference between daytime and nighttime temperatures is very large. Which factor contributes to the lower variation in rainforest temperatures?

Choices:
A. Foliage in the rainforest reflects heat.
B. Organisms in the rainforest absorb moisture.
C. Solar radiation in the rainforest is less intense.
D. Cloud cover in the rainforest helps to retain heat.

Reply with exactly one uppercase letter out of A, B, C, or D.
",111
"When it comes to Controlling for Threats to Internal Validity, there is a certain difference between RANDOM ASSIGNMENT AND RANDOM SELECTION. From your knowledge about this topic, in what does it consist?",professional_psychology,test-00000-of-00001,C,"When it comes to Controlling for Threats to Internal Validity, there is a certain difference between RANDOM ASSIGNMENT AND RANDOM SELECTION. From your knowledge about this topic, in what does it consist?

Choices:
A. assignment is how you choose people for the study
B. selection is what group they go in
C. selection is how you choose people for the study and assignment is what group they go in
D. selection- adds additional experimental groups, while assignment identifying subjects who are similar on the EV and dividing between groups

Reply with exactly one uppercase letter out of A, B, C, or D.
",126
"The apple market is in equilibrium. Suppose we observe that apple growers are using more pesticides to increase apple production. At the same time, we hear that the price of pears, a substitute for apples, is rising. Which of the following is a reasonable prediction for the new price and quantity of apples?",high_school_microeconomics,test-00000-of-00001,C,"The apple market is in equilibrium. Suppose we observe that apple growers are using more pesticides to increase apple production. At the same time, we hear that the price of pears, a substitute for apples, is rising. Which of the following is a reasonable prediction for the new price and quantity of apples?

Choices:
A. Price rises, but quantity is ambiguous.
B. Price falls, but quantity is ambiguous.
C. Price is ambiguous, but quantity rises.
D. Price is ambiguous, but quantity falls.

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
"Jim and Tim are identical (monozygotic) twins that were reared together. Scott and Michael are fraternal (dizygotic) twins that were reared together. Given the results of heritability studies of intelligence, which of the following outcomes are most likely to emerge?",high_school_psychology,test-00000-of-00001,A,"Jim and Tim are identical (monozygotic) twins that were reared together. Scott and Michael are fraternal (dizygotic) twins that were reared together. Given the results of heritability studies of intelligence, which of the following outcomes are most likely to emerge?

Choices:
A. Jim and Tim will have very similar IQs.
B. Scott and Michael will have very similar IQs.
C. Both pairs will have very similar IQs.
D. Neither pair will have similar IQs.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I'm going to bring my chubby friend to the spa with me so she can feel better about herself afterward. Scenario 2 | I didn't get the office job because I bombed the interview.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I'm going to bring my chubby friend to the spa with me so she can feel better about herself afterward. Scenario 2 | I didn't get the office job because I bombed the interview.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",129
"Assume that any assignment statement can be executed in unit time. If as many identical processors as needed are used, what is the minimum number of time units needed to execute the assignments
A := B + C
B := A - B
C := A * E
D := A/F
E := B - C
F := A + B
with the same result as if the assignments were executed in the order shown?",college_computer_science,test-00000-of-00001,C,"Assume that any assignment statement can be executed in unit time. If as many identical processors as needed are used, what is the minimum number of time units needed to execute the assignments
A := B + C
B := A - B
C := A * E
D := A/F
E := B - C
F := A + B
with the same result as if the assignments were executed in the order shown?

Choices:
A. 1
B. 2
C. 3
D. 4

Reply with exactly one uppercase letter out of A, B, C, or D.
",126
Which of the following is most likely a violation of ethical guidelines?,professional_psychology,test-00000-of-00001,C,"Which of the following is most likely a violation of ethical guidelines?

Choices:
A. a brochure containing client testimonials mailed to potential attendees at a conference for adult children of alcoholics
B. an advertisement offering a free initial therapy session that is published in the campus newspaper just prior to final exams
C. uninvited in-person solicitations for therapy of hurricane victims that destroyed their homes
D. a display ad for psychotherapy services in the yellow pages of the local telephone directory

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
 What is the main reason why Arthur doesn't think that the poor have a right to aid from the affluent?,moral_disputes,test-00000-of-00001,D," What is the main reason why Arthur doesn't think that the poor have a right to aid from the affluent?

Choices:
A. Persons can never have a right to aid from anyone.
B. The right to aid is a negative right.
C. The consequences of helping the poor would be worse than the consequences of not helping them.
D. This kind of right would require a contract or agreement, and the affluent haven't entered into a contract or agreement with the poor.

Reply with exactly one uppercase letter out of A, B, C, or D.
",112
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I led the innocent man to the gallows. Scenario 2 | When I visited at my grandma's house, I replaced the batteries in her smoke alarms.",moral_scenarios,test-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I led the innocent man to the gallows. Scenario 2 | When I visited at my grandma's house, I replaced the batteries in her smoke alarms.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
"It's summer movie time again.And heroes are ready to try their strength and magic on the silver screen.Check out our list of four films that look most promising to young audience. According to the passage, if you want to see a film whose leading actor is Jackie Chan, you will see the film on    _   .",,auxiliary_train-00000-of-00001,B,"It's summer movie time again.And heroes are ready to try their strength and magic on the silver screen.Check out our list of four films that look most promising to young audience. According to the passage, if you want to see a film whose leading actor is Jackie Chan, you will see the film on    _   .

Choices:
A. June 4
B. June 16
C. June 30
D. July 7

Reply with exactly one uppercase letter out of A, B, C, or D.
",109
Keith is really anxious about a big presentation he has to give at work tomorrow. As a result tonight he is having trouble getting an erection. Which of the following BEST explains why Keith might be having this problem?,human_sexuality,test-00000-of-00001,A,"Keith is really anxious about a big presentation he has to give at work tomorrow. As a result tonight he is having trouble getting an erection. Which of the following BEST explains why Keith might be having this problem?

Choices:
A. relaxation is necessary for vasocongestion
B. anxiety inhibits the sympathetic system
C. anxiety causes retrograde ejaculation which inhibits arousal
D. anxiety decreases blood flow to the upper spinal cord inhibiting vasocongestion

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
