question,question_concept,_split,answer,final_prompt,len_tk_llama3.1_8b_base
What type of homes are likely to have an attic?,attic,train-00000-of-00001,C,"Question:
What type of homes are likely to have an attic?

Which of the following is the best response to the question?

Choices:
A. victorian house
B. own home
C. older houses
D. boxes
E. apartment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Why do I eat just enough when eating breakfast?,eating breakfast,train-00000-of-00001,C,"Question:
Why do I eat just enough when eating breakfast?

Which of the following is the best response to the question?

Choices:
A. gas
B. full stomach
C. feeling satisfied
D. have energy
E. bloated

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
When a computer stops working it's called a what?,computers,train-00000-of-00001,E,"Question:
When a computer stops working it's called a what?

Which of the following is the best response to the question?

Choices:
A. do work
B. help people
C. compute
D. networked
E. crash

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What could other people be doing if someone is snoring?,snoring,train-00000-of-00001,D,"Question:
What could other people be doing if someone is snoring?

Which of the following is the best response to the question?

Choices:
A. loud noise
B. leave room
C. sleep disorders
D. complaining
E. death

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where could you find a quite old clavichord?,clavichord,train-00000-of-00001,D,"Question:
Where could you find a quite old clavichord?

Which of the following is the best response to the question?

Choices:
A. parlor
B. music hall
C. make music
D. museum
E. music room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where is a cow likely to be happy at night?,cow,train-00000-of-00001,D,"Question:
Where is a cow likely to be happy at night?

Which of the following is the best response to the question?

Choices:
A. countryside
B. slaughter house
C. barnyard
D. stable
E. grocery store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where is a traffic artery likely to be clogged?,traffic artery,train-00000-of-00001,B,"Question:
Where is a traffic artery likely to be clogged?

Which of the following is the best response to the question?

Choices:
A. high traffic area
B. major city
C. town
D. traffic lights
E. highway

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where is one likely to find many lawns?,lawn,train-00000-of-00001,C,"Question:
Where is one likely to find many lawns?

Which of the following is the best response to the question?

Choices:
A. golf course
B. front yard
C. suburbia
D. neighborhood
E. michigan

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Why does someone engage in chatting with friends when they want to workout?,chatting with friends,train-00000-of-00001,E,"Question:
Why does someone engage in chatting with friends when they want to workout?

Which of the following is the best response to the question?

Choices:
A. fun
B. agreement
C. cell phone
D. answers
E. inspiration

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What do humans do when they want to reproduce?,humans,train-00000-of-00001,B,"Question:
What do humans do when they want to reproduce?

Which of the following is the best response to the question?

Choices:
A. eat ice cream
B. have sex
C. sit down
D. make mistakes
E. hear sounds

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Why would a person take drugs?,person,train-00000-of-00001,C,"Question:
Why would a person take drugs?

Which of the following is the best response to the question?

Choices:
A. compliments
B. more leisure time
C. not feel pain
D. make money
E. successful in life

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What is a computer user using Zillow have as a goal?,computer user,train-00000-of-00001,D,"Question:
What is a computer user using Zillow have as a goal?

Which of the following is the best response to the question?

Choices:
A. house
B. hell
C. office building
D. own home
E. car

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What will someone do in court for someone they love?,love,train-00000-of-00001,B,"Question:
What will someone do in court for someone they love?

Which of the following is the best response to the question?

Choices:
A. reproduce
B. obstruct justice
C. tell the truth
D. forgive
E. get

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"After answering questions from the press for hours, what did the police chief feel?",answering questions,train-00000-of-00001,A,"Question:
After answering questions from the press for hours, what did the police chief feel?

Which of the following is the best response to the question?

Choices:
A. irritation
B. sadness
C. polite
D. teaching
E. detective

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
How does a person know how to make the right decision?,person,train-00000-of-00001,C,"Question:
How does a person know how to make the right decision?

Which of the following is the best response to the question?

Choices:
A. new experiences
B. good looking
C. trust himself
D. questioning
E. acknowledgment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"After getting high his memory seemed shot, he felt practically what?",memory,train-00000-of-00001,C,"Question:
After getting high his memory seemed shot, he felt practically what?

Which of the following is the best response to the question?

Choices:
A. dead
B. forgotten
C. brainless
D. forgetting
E. forgetfulness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What is important for a couple to do?,couple,train-00000-of-00001,D,"Question:
What is important for a couple to do?

Which of the following is the best response to the question?

Choices:
A. live together
B. row about
C. plan to marry
D. communicate
E. marry each other

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"Everybody raised a drink and cheered, they were doing what?",drink,train-00000-of-00001,E,"Question:
Everybody raised a drink and cheered, they were doing what?

Which of the following is the best response to the question?

Choices:
A. were thirsty
B. toasting
C. getting drunk
D. refreshment
E. celebrating

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where might a jellyfish get cold?,jellyfish,train-00000-of-00001,A,"Question:
Where might a jellyfish get cold?

Which of the following is the best response to the question?

Choices:
A. atlantic ocean
B. salt water
C. pacific ocean
D. hypermarket
E. store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where can a talking bee be found?,bee,train-00000-of-00001,B,"Question:
Where can a talking bee be found?

Which of the following is the best response to the question?

Choices:
A. great outdoors
B. story book
C. flower shop
D. field of flowers
E. herb garden

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"If you have leftover cake, where would you put it?",cake,validation-00000-of-00001,B,"Question:
If you have leftover cake, where would you put it?

Which of the following is the best response to the question?

Choices:
A. quandry
B. refrigerator
C. oven
D. night stand
E. bakery

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where do young people have to follow the rules during the day?,rule,train-00000-of-00001,C,"Question:
Where do young people have to follow the rules during the day?

Which of the following is the best response to the question?

Choices:
A. football game
B. everything
C. classroom
D. family situation
E. schoolbus

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Two year college degrees are either an associates of science or an associates of what?,science,train-00000-of-00001,D,"Question:
Two year college degrees are either an associates of science or an associates of what?

Which of the following is the best response to the question?

Choices:
A. math
B. astronomy
C. bachelor
D. arts
E. faith

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
John slept on a mat along with other children. Where is john?,mat,train-00000-of-00001,B,"Question:
John slept on a mat along with other children. Where is john?

Which of the following is the best response to the question?

Choices:
A. bathroom
B. school
C. sleeping
D. living room
E. doorway

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"Since we aren't immortal, people should what?",people,train-00000-of-00001,A,"Question:
Since we aren't immortal, people should what?

Which of the following is the best response to the question?

Choices:
A. expect to die
B. pay bills
C. buy pets
D. stay in
E. eat corn

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
This can set in after going to work with to little sleep?,going to work,train-00000-of-00001,D,"Question:
This can set in after going to work with to little sleep?

Which of the following is the best response to the question?

Choices:
A. anger
B. bad mood
C. poor judgement
D. exhaustion
E. boredom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where is a great place to buy fresh fruit?,fruit,validation-00000-of-00001,E,"Question:
Where is a great place to buy fresh fruit?

Which of the following is the best response to the question?

Choices:
A. san francisco
B. refrigerator
C. big box retailer
D. tree
E. market

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
You'll see the plains and mountains when driving through where?,plain,train-00000-of-00001,B,"Question:
You'll see the plains and mountains when driving through where?

Which of the following is the best response to the question?

Choices:
A. middle america
B. countryside
C. beach
D. landscape
E. georgia

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"The fox was caught by animal control, where was it released?",fox,train-00000-of-00001,E,"Question:
The fox was caught by animal control, where was it released?

Which of the following is the best response to the question?

Choices:
A. english hunt
B. burrow
C. woods
D. mountains
E. rural area

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What is required for an organism to continue living?,living,train-00000-of-00001,C,"Question:
What is required for an organism to continue living?

Which of the following is the best response to the question?

Choices:
A. reproducing
B. eventually die
C. food consumed
D. growing older
E. money

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What does cleaning waht you eat lead to?,cleaning,train-00000-of-00001,A,"Question:
What does cleaning waht you eat lead to?

Which of the following is the best response to the question?

Choices:
A. healthy living
B. neatness
C. bad aftertaste
D. using water
E. allergies

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What's black and white and contains many a story?,story,train-00000-of-00001,D,"Question:
What's black and white and contains many a story?

Which of the following is the best response to the question?

Choices:
A. past
B. book or magazine
C. novel
D. newspaper
E. story book

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where would you find a trash can while enjoying the great outdoors?,trash can,train-00000-of-00001,C,"Question:
Where would you find a trash can while enjoying the great outdoors?

Which of the following is the best response to the question?

Choices:
A. water cooler
B. alley
C. park
D. food place
E. motel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where could you find multiple ruler that are owned by different people?,ruler,train-00000-of-00001,C,"Question:
Where could you find multiple ruler that are owned by different people?

Which of the following is the best response to the question?

Choices:
A. measure distance
B. england
C. office
D. drawer
E. desk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where would you expect to find popcorn in a public place?,popcorn,train-00000-of-00001,D,"Question:
Where would you expect to find popcorn in a public place?

Which of the following is the best response to the question?

Choices:
A. movies
B. show
C. see work
D. movie theater
E. soccer game

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What could you do while you are listening to music?,music,train-00000-of-00001,E,"Question:
What could you do while you are listening to music?

Which of the following is the best response to the question?

Choices:
A. fiddle
B. sing
C. play piano
D. run
E. have fun

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Someone charged with killing people is likely to reside where?,killing people,train-00000-of-00001,A,"Question:
Someone charged with killing people is likely to reside where?

Which of the following is the best response to the question?

Choices:
A. going to jail
B. terrible
C. murder
D. home
E. get arrested

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"The glass ceiling was a what, that wasn't enough to defeat her opponent?",ceiling,train-00000-of-00001,E,"Question:
The glass ceiling was a what, that wasn't enough to defeat her opponent?

Which of the following is the best response to the question?

Choices:
A. building
B. leak
C. loft
D. sag
E. metaphor

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
"The king strolled through his back courtyard, where was near?",back courtyard,train-00000-of-00001,A,"Question:
The king strolled through his back courtyard, where was near?

Which of the following is the best response to the question?

Choices:
A. palace
B. garden
C. country estate
D. large house
E. suburbs

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"Work can be a grind, it makes you appreciate times of what?",work,train-00000-of-00001,D,"Question:
Work can be a grind, it makes you appreciate times of what?

Which of the following is the best response to the question?

Choices:
A. unemployment
B. earn money
C. sleeping
D. relaxation
E. do nothing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What do you want someone to do when you illustrate point?,illustrate point,validation-00000-of-00001,E,"Question:
What do you want someone to do when you illustrate point?

Which of the following is the best response to the question?

Choices:
A. did not understand
B. accepting
C. make clear
D. understood
E. understanding

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
After washing clothes in what condition are they?,washing clothes,train-00000-of-00001,B,"Question:
After washing clothes in what condition are they?

Which of the following is the best response to the question?

Choices:
A. cold cloth
B. wet clothes
C. shrinkage
D. wear out
E. get wet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
How are people not likely to find those always holding  a remote?,remote,train-00000-of-00001,C,"Question:
How are people not likely to find those always holding  a remote?

Which of the following is the best response to the question?

Choices:
A. attached
B. lovable
C. companionable
D. close
E. likely

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
If a beautiful person sprays you with a hose what will you be?,beautiful,train-00000-of-00001,A,"Question:
If a beautiful person sprays you with a hose what will you be?

Which of the following is the best response to the question?

Choices:
A. wet
B. cold
C. dull
D. bad
E. rainy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where will more than a drop of blood be spilt?,drop of blood,train-00000-of-00001,D,"Question:
Where will more than a drop of blood be spilt?

Which of the following is the best response to the question?

Choices:
A. during a fight
B. needle
C. person
D. battlefield
E. test tube

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"If a human breaks the law, where could they be placed?",human,train-00000-of-00001,D,"Question:
If a human breaks the law, where could they be placed?

Which of the following is the best response to the question?

Choices:
A. school
B. church
C. love
D. jail
E. foster care

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"The sickness was beginning to fade after resting, he was what?",resting,train-00000-of-00001,C,"Question:
The sickness was beginning to fade after resting, he was what?

Which of the following is the best response to the question?

Choices:
A. relaxation
B. relaxation
C. feeling better
D. recuperation
E. doing nothing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Why would someone be wet after being full of fear?,fear,train-00000-of-00001,E,"Question:
Why would someone be wet after being full of fear?

Which of the following is the best response to the question?

Choices:
A. run
B. swimming
C. calculate things quickly
D. fight enemy
E. urinate

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
The department to where vendors deliver goods for sale is called what?,deliver,validation-00000-of-00001,C,"Question:
The department to where vendors deliver goods for sale is called what?

Which of the following is the best response to the question?

Choices:
A. delivered
B. take away
C. receiving
D. pick up
E. keep

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"I know the answer, but I do not do what to it?",know,train-00000-of-00001,E,"Question:
I know the answer, but I do not do what to it?

Which of the following is the best response to the question?

Choices:
A. ignorant
B. correct
C. ignorance
D. had learnt
E. understand

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What does a person get out of a pinata?,person,train-00000-of-00001,C,"Question:
What does a person get out of a pinata?

Which of the following is the best response to the question?

Choices:
A. contraceptives
B. well fed
C. candies
D. own house
E. fairness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"If they were celebrating the occasion, how could the occasion be described?",celebrating,train-00000-of-00001,D,"Question:
If they were celebrating the occasion, how could the occasion be described?

Which of the following is the best response to the question?

Choices:
A. drinking
B. intimacy
C. dancing
D. happiness
E. enjoyment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"The condominium has public recreational areas, what was the purpose of these?",condominium,train-00000-of-00001,E,"Question:
The condominium has public recreational areas, what was the purpose of these?

Which of the following is the best response to the question?

Choices:
A. park cars
B. complex
C. florida
D. washington
E. community

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where would a marmot feel most confined?,marmot,train-00000-of-00001,B,"Question:
Where would a marmot feel most confined?

Which of the following is the best response to the question?

Choices:
A. wood pile
B. petting zoo
C. wilderness
D. northern hemisphere
E. mountainous area

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where would you kick a ball that has grass?,ball,train-00000-of-00001,C,"Question:
Where would you kick a ball that has grass?

Which of the following is the best response to the question?

Choices:
A. toy store
B. pool table
C. soccer field
D. golf course
E. street

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What do you do to get ready to compete in body building?,compete,train-00000-of-00001,C,"Question:
What do you do to get ready to compete in body building?

Which of the following is the best response to the question?

Choices:
A. smart
B. sign up
C. train
D. good at
E. start

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
If you spend time doing what you will need a rest?,rest,train-00000-of-00001,D,"Question:
If you spend time doing what you will need a rest?

Which of the following is the best response to the question?

Choices:
A. pay debts
B. wakefulness
C. resthold
D. active
E. in motion

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What do you add to you dough when making bread to make it rise?,making bread,train-00000-of-00001,A,"Question:
What do you add to you dough when making bread to make it rise?

Which of the following is the best response to the question?

Choices:
A. yeast
B. oven
C. mess
D. flour
E. biscuit

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Hurting someone else is not an acceptable way to express what?,hurting else,train-00000-of-00001,B,"Question:
Hurting someone else is not an acceptable way to express what?

Which of the following is the best response to the question?

Choices:
A. feel sad
B. anger
C. happiness
D. arrested
E. suffering

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Why do people primarily partake in surfing?,surfing,train-00000-of-00001,D,"Question:
Why do people primarily partake in surfing?

Which of the following is the best response to the question?

Choices:
A. getting in shape
B. to get wet
C. getting wet
D. enjoyment
E. shark attacks

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What article of apparel or accessory is typically made of felt?,felt,train-00000-of-00001,E,"Question:
What article of apparel or accessory is typically made of felt?

Which of the following is the best response to the question?

Choices:
A. shoes
B. table
C. hat shop
D. clothes
E. man's hat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What could describe accidents but not weddings?,accidents,train-00000-of-00001,E,"Question:
What could describe accidents but not weddings?

Which of the following is the best response to the question?

Choices:
A. happen to people
B. happen suddenly
C. happen anytime
D. happen anywhere
E. hurt people

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
After getting a divorce what does your relationship status change to?,getting divorce,train-00000-of-00001,B,"Question:
After getting a divorce what does your relationship status change to?

Which of the following is the best response to the question?

Choices:
A. children suffer
B. being single
C. freedom
D. default setting
E. no spouse

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
"The person put on lotion, what did they want?",person,train-00000-of-00001,C,"Question:
The person put on lotion, what did they want?

Which of the following is the best response to the question?

Choices:
A. fresh smell
B. good credit
C. smooth skin
D. fresh produce
E. headache

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What do you have to do to learn to play violin?,play violin,train-00000-of-00001,E,"Question:
What do you have to do to learn to play violin?

Which of the following is the best response to the question?

Choices:
A. tune
B. practise
C. relaxing
D. ask questions
E. take lessons

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Why might some graduates choose not to be attending school later in life?,attending school,train-00000-of-00001,E,"Question:
Why might some graduates choose not to be attending school later in life?

Which of the following is the best response to the question?

Choices:
A. detention
B. stupidity
C. overwhelmed
D. dropping out
E. much work

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
There is a landing at the top of what that you walk up?,landing,train-00000-of-00001,A,"Question:
There is a landing at the top of what that you walk up?

Which of the following is the best response to the question?

Choices:
A. stairwell
B. ocean
C. airport
D. ladder
E. apartment building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What is an uncommon side effect of drinking alcohol?,drinking alcohol,train-00000-of-00001,A,"Question:
What is an uncommon side effect of drinking alcohol?

Which of the following is the best response to the question?

Choices:
A. death
B. become drunk
C. frequent urination
D. hangover
E. getting drunk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What item has parts such as rods and pistons?,rod,train-00000-of-00001,B,"Question:
What item has parts such as rods and pistons?

Which of the following is the best response to the question?

Choices:
A. sporting goods store
B. engine
C. cool
D. eyeball
E. fishing camp

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where might  jellyfish stay warm?,jellyfish,train-00000-of-00001,E,"Question:
Where might  jellyfish stay warm?

Which of the following is the best response to the question?

Choices:
A. atlantic ocean
B. bikini bottom
C. japanese restaurant
D. store
E. pacific ocean

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"The workers passed through the lobby, what building were they in?",lobby,train-00000-of-00001,B,"Question:
The workers passed through the lobby, what building were they in?

Which of the following is the best response to the question?

Choices:
A. opera
B. office building
C. receptionist
D. hotel
E. business plan

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where is a small dog likely to be well groomed?,small dog,train-00000-of-00001,D,"Question:
Where is a small dog likely to be well groomed?

Which of the following is the best response to the question?

Choices:
A. animal shelter
B. backyard
C. park
D. dog show
E. georgia

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Why would a person be happy about an accident?,person,train-00000-of-00001,C,"Question:
Why would a person be happy about an accident?

Which of the following is the best response to the question?

Choices:
A. found a penny
B. hurt people
C. not harmed
D. harm others
E. make mistakes

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What does 	drinking alcohol lead to?,drinking alcohol,validation-00000-of-00001,B,"Question:
What does 	drinking alcohol lead to?

Which of the following is the best response to the question?

Choices:
A. have fun
B. intoxication
C. vomiting
D. drinking more alcohol
E. nausea

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Why does someone make sure they are eating breakfast?,eating breakfast,train-00000-of-00001,B,"Question:
Why does someone make sure they are eating breakfast?

Which of the following is the best response to the question?

Choices:
A. fullness
B. have energy
C. better day
D. full stomach
E. indulge

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What is the goal of driving to work?,driving to work,train-00000-of-00001,E,"Question:
What is the goal of driving to work?

Which of the following is the best response to the question?

Choices:
A. speeding ticket
B. use gas
C. go fast
D. anxiety
E. get to work

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What could you find at a bus station that can help you?,bus station,train-00000-of-00001,C,"Question:
What could you find at a bus station that can help you?

Which of the following is the best response to the question?

Choices:
A. city centre
B. lottery ticket
C. maps
D. street
E. busy city

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What is it called when a group is radically changing society?,changing society,train-00000-of-00001,E,"Question:
What is it called when a group is radically changing society?

Which of the following is the best response to the question?

Choices:
A. vote
B. argue
C. social activism
D. dancers
E. social disruption

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where is the control room that controls a PWR located?,control room,validation-00000-of-00001,E,"Question:
Where is the control room that controls a PWR located?

Which of the following is the best response to the question?

Choices:
A. building
B. factory
C. window
D. prison
E. nuclear power plant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
It is a well known adage that you should not mix business with what?,business,train-00000-of-00001,D,"Question:
It is a well known adage that you should not mix business with what?

Which of the following is the best response to the question?

Choices:
A. fun
B. nonprofit
C. art
D. pleasure
E. personal

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
A person might wear his yarmulke when going to where?,person,train-00000-of-00001,E,"Question:
A person might wear his yarmulke when going to where?

Which of the following is the best response to the question?

Choices:
A. demonstration
B. concert
C. garage
D. bus stop
E. synagogue

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
When people in trance are trying to calm themselves what do they do?,going into trance,train-00000-of-00001,C,"Question:
When people in trance are trying to calm themselves what do they do?

Which of the following is the best response to the question?

Choices:
A. run
B. confusion
C. meditate
D. epilepsy
E. hallucination

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where can you find a rubber shark as a villain?,shark,train-00000-of-00001,C,"Question:
Where can you find a rubber shark as a villain?

Which of the following is the best response to the question?

Choices:
A. museum
B. outside
C. bad movie
D. sea world
E. marine museum

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
The music was festive but why are the horses dancing in circles,music,validation-00000-of-00001,A,"Question:
The music was festive but why are the horses dancing in circles

Which of the following is the best response to the question?

Choices:
A. carnival
B. night club
C. theatre
D. opera
E. ringmaster

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What would an adult do at a party?,adult,train-00000-of-00001,E,"Question:
What would an adult do at a party?

Which of the following is the best response to the question?

Choices:
A. dress himself
B. drive train
C. grumble
D. dress herself
E. drink beer

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where would you find a loose feather in your pet's home?,feather,train-00000-of-00001,B,"Question:
Where would you find a loose feather in your pet's home?

Which of the following is the best response to the question?

Choices:
A. birds nest
B. bird cage
C. pillow
D. floor
E. cap

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where is someone likely to watch a show from a balcony?,balcony,train-00000-of-00001,A,"Question:
Where is someone likely to watch a show from a balcony?

Which of the following is the best response to the question?

Choices:
A. theatre
B. hotel
C. movie house
D. new orleans
E. courtyard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Which horseman of the apocalypse is often depicted next to death?,death,train-00000-of-00001,D,"Question:
Which horseman of the apocalypse is often depicted next to death?

Which of the following is the best response to the question?

Choices:
A. battlefield
B. the healer.
C. funeral
D. war
E. hospital

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"He was her uncle, and she was his what?",uncle,train-00000-of-00001,B,"Question:
He was her uncle, and she was his what?

Which of the following is the best response to the question?

Choices:
A. aunty
B. niece
C. boy
D. older generation
E. aunts house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Why does a person move to the suburbs?,person,train-00000-of-00001,E,"Question:
Why does a person move to the suburbs?

Which of the following is the best response to the question?

Choices:
A. make others happy
B. good lover
C. acknowledgment
D. for fun
E. low crime

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"If you want the comfort of the familiar, where might you go?",comfort,train-00000-of-00001,D,"Question:
If you want the comfort of the familiar, where might you go?

Which of the following is the best response to the question?

Choices:
A. uneasy
B. distress
C. bed
D. home
E. friend's house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What did I do that has made me on the ground?,losing consciousness,train-00000-of-00001,A,"Question:
What did I do that has made me on the ground?

Which of the following is the best response to the question?

Choices:
A. falling down
B. peace
C. forgetfulness
D. death
E. injury

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
WHat is the most fun way to get in shape?,get in shape,train-00000-of-00001,C,"Question:
WHat is the most fun way to get in shape?

Which of the following is the best response to the question?

Choices:
A. feel good
B. sitting down
C. sex
D. overweight
E. disciplined

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where is not likely to use a card catalog for organizing?,card catalog,train-00000-of-00001,E,"Question:
Where is not likely to use a card catalog for organizing?

Which of the following is the best response to the question?

Choices:
A. book store
B. library
C. find information resources
D. store
E. kitchen

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What rubber toy filled with helium will make a child happy?,child,validation-00000-of-00001,D,"Question:
What rubber toy filled with helium will make a child happy?

Which of the following is the best response to the question?

Choices:
A. loved
B. learn
C. eat cake
D. balloon
E. become adult

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
When someone is learning about science what happens to them?,learning about science,train-00000-of-00001,E,"Question:
When someone is learning about science what happens to them?

Which of the following is the best response to the question?

Choices:
A. loss of interest
B. excitement
C. accidents
D. experiment
E. become educated

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where is the world's most famous horse race?,horse,train-00000-of-00001,A,"Question:
Where is the world's most famous horse race?

Which of the following is the best response to the question?

Choices:
A. in kentucky
B. central park
C. philippines
D. state fair
E. western movie

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where is a pack horse likely to work?,horse,train-00000-of-00001,D,"Question:
Where is a pack horse likely to work?

Which of the following is the best response to the question?

Choices:
A. women's literature
B. race track
C. belmont park
D. dude ranch
E. a movie

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where could a printer be used by thousands of people?,printer,train-00000-of-00001,A,"Question:
Where could a printer be used by thousands of people?

Which of the following is the best response to the question?

Choices:
A. school
B. home office
C. people store
D. print shop
E. newspaper office

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What does hearing someone play violin beautifully make you?,play violin,train-00000-of-00001,B,"Question:
What does hearing someone play violin beautifully make you?

Which of the following is the best response to the question?

Choices:
A. buy earplugs
B. inspiring
C. guitar
D. make music
E. like music

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where would there be many people sitting in chair and listening to religious speech?,chair,train-00000-of-00001,C,"Question:
Where would there be many people sitting in chair and listening to religious speech?

Which of the following is the best response to the question?

Choices:
A. auditorium
B. office
C. synagogue
D. confession
E. church

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
What is a place that someone can go buy a teddy bear?,teddy bear,train-00000-of-00001,E,"Question:
What is a place that someone can go buy a teddy bear?

Which of the following is the best response to the question?

Choices:
A. thrift store
B. bed
C. shelf
D. home
E. toy store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
It's rude to make loud noise and commentary while watching something where?,noise,train-00000-of-00001,E,"Question:
It's rude to make loud noise and commentary while watching something where?

Which of the following is the best response to the question?

Choices:
A. fair
B. carnival
C. classroom
D. bowling alley
E. movie theatre

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
