question,question_concept,_split,answer,final_prompt,len_tk_mistral_7b_base
Rumors of roving bands of monsters killing people could lead to what?,killing people,train-00000-of-00001,C,"Question:
Rumors of roving bands of monsters killing people could lead to what?

Which of the following is the best response to the question?

Choices:
A. panic
B. getting in trouble
C. mass hysteria
D. go to prison
E. murder

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
What is a place that sells suntan lotion but not food or medicine?,suntan lotion,train-00000-of-00001,B,"Question:
What is a place that sells suntan lotion but not food or medicine?

Which of the following is the best response to the question?

Choices:
A. mini mall
B. shop
C. grocery store
D. pharmacy
E. drugstore

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"Driving to work late is never pleasant, but you still shouldn't what?",driving to work,train-00000-of-00001,C,"Question:
Driving to work late is never pleasant, but you still shouldn't what?

Which of the following is the best response to the question?

Choices:
A. listen to radio
B. sing
C. speed
D. anger
E. statue

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Why does someone want to get warm when they are cold?,get warm,train-00000-of-00001,B,"Question:
Why does someone want to get warm when they are cold?

Which of the following is the best response to the question?

Choices:
A. to do somersaults
B. feel comfortable
C. you're cold
D. were cold
E. more comfortable

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"The dog seemed antsy and restless, it turned out it had what?",dog,train-00000-of-00001,D,"Question:
The dog seemed antsy and restless, it turned out it had what?

Which of the following is the best response to the question?

Choices:
A. treats
B. guard house
C. punishment
D. fleas
E. abandoned

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Which larger group contains snare drum players and is usually done at a sports game?,snare drum,train-00000-of-00001,C,"Question:
Which larger group contains snare drum players and is usually done at a sports game?

Which of the following is the best response to the question?

Choices:
A. high school band
B. drum kit
C. marching band
D. musical band
E. orchestra

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
If you have rotten food when eating breakfast in bed what will you be doing?,eating breakfast in bed,train-00000-of-00001,C,"Question:
If you have rotten food when eating breakfast in bed what will you be doing?

Which of the following is the best response to the question?

Choices:
A. mess
B. joy
C. vomiting
D. contentment
E. pleasure

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"The jury deliberated for hours, the choice of passing sentence required them to make a what?",passing sentence,train-00000-of-00001,E,"Question:
The jury deliberated for hours, the choice of passing sentence required them to make a what?

Which of the following is the best response to the question?

Choices:
A. court house
B. go to jail
C. death
D. appeals
E. judgement

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"All the children were having fun, the game of tag was a great choice of what?",having fun,train-00000-of-00001,E,"Question:
All the children were having fun, the game of tag was a great choice of what?

Which of the following is the best response to the question?

Choices:
A. effort
B. exercise
C. relaxing
D. playing around
E. activity

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Where would you get maps if you do not have them and want to keep them?,maps,train-00000-of-00001,C,"Question:
Where would you get maps if you do not have them and want to keep them?

Which of the following is the best response to the question?

Choices:
A. guide drivers
B. library
C. bookstore
D. cabinet
E. drawer

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
If someone has a delicious lunch what are they likely to claim?,having lunch,train-00000-of-00001,E,"Question:
If someone has a delicious lunch what are they likely to claim?

Which of the following is the best response to the question?

Choices:
A. become tired
B. get sleepy
C. feel full
D. getting fear
E. feeling satisfied

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
What can cause someone to want to go somewhere else because it's so smelly?,go somewhere,train-00000-of-00001,E,"Question:
What can cause someone to want to go somewhere else because it's so smelly?

Which of the following is the best response to the question?

Choices:
A. rose bush
B. go back
C. die
D. arrive there
E. fart

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
The writer wasn't known for them but he loved to what about nature?,writer,train-00000-of-00001,A,"Question:
The writer wasn't known for them but he loved to what about nature?

Which of the following is the best response to the question?

Choices:
A. write poems
B. advertising company
C. see work
D. write letter
E. write novels

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
John was an idealist.  He gave away internet ready computers because he wanted to do what?,computers,train-00000-of-00001,A,"Question:
John was an idealist.  He gave away internet ready computers because he wanted to do what?

Which of the following is the best response to the question?

Choices:
A. help people
B. working
C. networked
D. cost money
E. crash

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"The people wanted to take the scenic route, they chose the highway that cut through the what?",highway,train-00000-of-00001,A,"Question:
The people wanted to take the scenic route, they chose the highway that cut through the what?

Which of the following is the best response to the question?

Choices:
A. countryside
B. united states
C. beach
D. atlas
E. developed land

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
When drinking booze what can you do to stay busy?,booze,validation-00000-of-00001,D,"Question:
When drinking booze what can you do to stay busy?

Which of the following is the best response to the question?

Choices:
A. reach tentative agreement
B. stay in bed
C. stop bicycle
D. examine thing
E. suicide

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"Art, playing music, and other hobbies are great ways of expressing yourself that can be great what?",expressing yourself,train-00000-of-00001,C,"Question:
Art, playing music, and other hobbies are great ways of expressing yourself that can be great what?

Which of the following is the best response to the question?

Choices:
A. fight
B. communication
C. fun
D. understood
E. suffering

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"A person had run all day and felt tired, what did they need?",person,train-00000-of-00001,B,"Question:
A person had run all day and felt tired, what did they need?

Which of the following is the best response to the question?

Choices:
A. water
B. time to rest
C. intellectual stimulation
D. look beautiful
E. compliments

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
If you have plenty to eat when you have lunch you'll do what?,have lunch,train-00000-of-00001,D,"Question:
If you have plenty to eat when you have lunch you'll do what?

Which of the following is the best response to the question?

Choices:
A. eath
B. pouring coffee
C. feel empty
D. get full
E. getting in line

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
If someone is sharp and they highly qualify for a job some might say their qualifications are what?,sharp,train-00000-of-00001,B,"Question:
If someone is sharp and they highly qualify for a job some might say their qualifications are what?

Which of the following is the best response to the question?

Choices:
A. very blunt
B. above board
C. dull
D. dim
E. complimentary

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"If a lizard is fed by people every day, what has happened to it?",lizard,validation-00000-of-00001,E,"Question:
If a lizard is fed by people every day, what has happened to it?

Which of the following is the best response to the question?

Choices:
A. documentary
B. costa rica
C. garden
D. encouragement
E. captivity

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"The people danced to the music, what was the music like for them?",music,train-00000-of-00001,E,"Question:
The people danced to the music, what was the music like for them?

Which of the following is the best response to the question?

Choices:
A. soothing
B. vocal or instrumental
C. loud
D. universal
E. enjoyable

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"The jelly needed to be preserved, where should we put it?",jelly,train-00000-of-00001,A,"Question:
The jelly needed to be preserved, where should we put it?

Which of the following is the best response to the question?

Choices:
A. jar
B. donuts
C. sugar
D. peanut butter
E. refrigerator

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Where would you find an armoire when you retire at the end of the day?,armoire,train-00000-of-00001,A,"Question:
Where would you find an armoire when you retire at the end of the day?

Which of the following is the best response to the question?

Choices:
A. bedroom
B. clothes
C. living room
D. furniture store
E. bathroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"The graveyard was zoned by the pastor, where was it located?",graveyard,train-00000-of-00001,A,"Question:
The graveyard was zoned by the pastor, where was it located?

Which of the following is the best response to the question?

Choices:
A. church property
B. every town
C. church grounds
D. cattle yard.
E. arlington

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
Where would someone visit a monument to a deceased loved one?,monument,train-00000-of-00001,D,"Question:
Where would someone visit a monument to a deceased loved one?

Which of the following is the best response to the question?

Choices:
A. sit chat
B. municipal park
C. public gardens
D. cemetary
E. state park

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"Even though they were never told or forced to obey, the people still fashionably claimed they what?",obey,train-00000-of-00001,A,"Question:
Even though they were never told or forced to obey, the people still fashionably claimed they what?

Which of the following is the best response to the question?

Choices:
A. resist
B. respect
C. violate
D. defy
E. rebel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
We live in a small town and when we want to have a nice meal out we go where?,eating place,train-00000-of-00001,D,"Question:
We live in a small town and when we want to have a nice meal out we go where?

Which of the following is the best response to the question?

Choices:
A. restaurant
B. dining room
C. mars
D. big city
E. shopping area

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
Older stars collect in groups called what on the outer regions of a galaxy?,star,train-00000-of-00001,C,"Question:
Older stars collect in groups called what on the outer regions of a galaxy?

Which of the following is the best response to the question?

Choices:
A. night sky
B. black hole
C. globular cluster
D. press conference
E. heavens

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"Jill walks to the second floor and sits in her cubicle, where is she?",second floor,train-00000-of-00001,A,"Question:
Jill walks to the second floor and sits in her cubicle, where is she?

Which of the following is the best response to the question?

Choices:
A. office building
B. house
C. hotel
D. school
E. a chair

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
What device with a lens would be used to see distant stars and planets?,lens,train-00000-of-00001,E,"Question:
What device with a lens would be used to see distant stars and planets?

Which of the following is the best response to the question?

Choices:
A. camera
B. glasses
C. microscope
D. kaleidoscope
E. telescope

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"After the magic show they returned to their hotel, there was lots to see where?",hotel,train-00000-of-00001,C,"Question:
After the magic show they returned to their hotel, there was lots to see where?

Which of the following is the best response to the question?

Choices:
A. touristic area
B. different country
C. las vegas
D. resort
E. city

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"The diamonds were difficult for the prospectors to find, but why is that?",diamonds,train-00000-of-00001,B,"Question:
The diamonds were difficult for the prospectors to find, but why is that?

Which of the following is the best response to the question?

Choices:
A. more expensive than sand
B. rare
C. pretty
D. clear
E. dessert

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
Why would someone be unable to talk to other people after getting drunk?,getting drunk,train-00000-of-00001,A,"Question:
Why would someone be unable to talk to other people after getting drunk?

Which of the following is the best response to the question?

Choices:
A. pass out
B. slurred speach
C. forgetfulness
D. death
E. stumbling

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
A person with mental illness who stops their medication may have symptoms do what?,mental illness,train-00000-of-00001,E,"Question:
A person with mental illness who stops their medication may have symptoms do what?

Which of the following is the best response to the question?

Choices:
A. effectively treated
B. cause hallucination
C. managed
D. ameliorated
E. recur

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
A projector displayed people on the huge screen while the audience laughed.  What might they be watching?,projector,train-00000-of-00001,A,"Question:
A projector displayed people on the huge screen while the audience laughed.  What might they be watching?

Which of the following is the best response to the question?

Choices:
A. movies
B. theatre
C. cabaret
D. conference
E. meeting

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
What is a prisoner sentenced to do?,prisoner,validation-00000-of-00001,E,"Question:
What is a prisoner sentenced to do?

Which of the following is the best response to the question?

Choices:
A. scape jail
B. dream of freedom
C. become a hairdresser
D. attempt to escape
E. do time

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"The student didn't have a dictionary at the dorm, so the student went where?",dictionary,train-00000-of-00001,A,"Question:
The student didn't have a dictionary at the dorm, so the student went where?

Which of the following is the best response to the question?

Choices:
A. library
B. classroom
C. shelf
D. table
E. encyclopedia

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"If a person want a changing society, what is a likely motive?",changing society,train-00000-of-00001,D,"Question:
If a person want a changing society, what is a likely motive?

Which of the following is the best response to the question?

Choices:
A. new laws
B. confusion and chaos
C. cultural revolution
D. happiness for
E. train

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"The squirrel was rather plump, it had found a home that leaves out what?",squirrel,train-00000-of-00001,D,"Question:
The squirrel was rather plump, it had found a home that leaves out what?

Which of the following is the best response to the question?

Choices:
A. food
B. chipmunk
C. rodent
D. nuts
E. rabbit

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
What is the most common but not long lasting side effect of having a bath?,having bath,train-00000-of-00001,D,"Question:
What is the most common but not long lasting side effect of having a bath?

Which of the following is the best response to the question?

Choices:
A. use of water
B. drowning
C. rash
D. wet skin
E. dry skin

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
Where would you find a metal rod in most people's preferred method of transportation?,metal rod,train-00000-of-00001,D,"Question:
Where would you find a metal rod in most people's preferred method of transportation?

Which of the following is the best response to the question?

Choices:
A. airplane
B. construction site
C. shops
D. engine
E. broken bone

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"The guy was going to bed instead of going to work, what does he suffer from?",going to bed,train-00000-of-00001,C,"Question:
The guy was going to bed instead of going to work, what does he suffer from?

Which of the following is the best response to the question?

Choices:
A. money
B. making love
C. laziness
D. dreaming of
E. falling asleep

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"Climbing is quite a talent, it requires the use of very particular whats?",climbing,train-00000-of-00001,E,"Question:
Climbing is quite a talent, it requires the use of very particular whats?

Which of the following is the best response to the question?

Choices:
A. strength
B. skill
C. experience
D. dexterity
E. muscles

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"The piece of paper was worth a lot of money, it was an old Apple Inc what?",paper,validation-00000-of-00001,C,"Question:
The piece of paper was worth a lot of money, it was an old Apple Inc what?

Which of the following is the best response to the question?

Choices:
A. notebook
B. copy machine
C. stock certificate
D. ream
E. thumb drive

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
Where might one find a bench of people sitting before they are taken away?,bench,train-00000-of-00001,B,"Question:
Where might one find a bench of people sitting before they are taken away?

Which of the following is the best response to the question?

Choices:
A. car stand
B. bus stop
C. state park
D. bus depot
E. rest area

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"If I wanted to work a crossword puzzle, where might I find one?",puzzle,train-00000-of-00001,B,"Question:
If I wanted to work a crossword puzzle, where might I find one?

Which of the following is the best response to the question?

Choices:
A. playground
B. newspaper
C. kindergarten class
D. toy store
E. toy shop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
In the modern days we give what kind of classification to buildings to protect them from being town down?,modern,train-00000-of-00001,D,"Question:
In the modern days we give what kind of classification to buildings to protect them from being town down?

Which of the following is the best response to the question?

Choices:
A. classical
B. old fashioned
C. vintage
D. historical
E. antique

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
If you're afraid of spiders what should you avoid owning?,spiders,train-00000-of-00001,E,"Question:
If you're afraid of spiders what should you avoid owning?

Which of the following is the best response to the question?

Choices:
A. meadow
B. cupboard
C. shed
D. mail box
E. cellar

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
What do people do at a night club on the floor?,people,train-00000-of-00001,B,"Question:
What do people do at a night club on the floor?

Which of the following is the best response to the question?

Choices:
A. own cars
B. dance together
C. talk to each other
D. speak words
E. kissing one another

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"If there is a bird at my window, what is it likely sitting on?",bird,train-00000-of-00001,D,"Question:
If there is a bird at my window, what is it likely sitting on?

Which of the following is the best response to the question?

Choices:
A. cage
B. forest
C. a ledge
D. windowsill
E. countryside

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"The girl who was often ignored had a boy flirting with her, what did she feel?",flirting,train-00000-of-00001,D,"Question:
The girl who was often ignored had a boy flirting with her, what did she feel?

Which of the following is the best response to the question?

Choices:
A. faint
B. problems
C. anger
D. happiness
E. jealousy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"If a person celebrates by drinking too much, what is a likely consequence?",celebrating,train-00000-of-00001,C,"Question:
If a person celebrates by drinking too much, what is a likely consequence?

Which of the following is the best response to the question?

Choices:
A. drinking
B. becoming tired
C. hangovers
D. big head
E. being happy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
Where you have finished a conversation with a person what do you say?,person,train-00000-of-00001,C,"Question:
Where you have finished a conversation with a person what do you say?

Which of the following is the best response to the question?

Choices:
A. open letter
B. thank god
C. say goodbye
D. bless you
E. listen to radio

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
Where could there be people making noise if no one is supervising the people?,noise,train-00000-of-00001,C,"Question:
Where could there be people making noise if no one is supervising the people?

Which of the following is the best response to the question?

Choices:
A. big city
B. transmission
C. classroom
D. bowling alley
E. in the front yard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"If want to drink something politely, what vessel should I use?",drink,train-00000-of-00001,A,"Question:
If want to drink something politely, what vessel should I use?

Which of the following is the best response to the question?

Choices:
A. use glass
B. open mouth
C. eat first
D. buy alcohol
E. coffee mug

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
Where would you get a bag after someone fills it with clothes?,bag,train-00000-of-00001,C,"Question:
Where would you get a bag after someone fills it with clothes?

Which of the following is the best response to the question?

Choices:
A. shopping cart
B. cashier
C. shopping mall
D. supermarket
E. bookstore

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"Though she made the cut years ago, its figurative scars would never what?",cut,train-00000-of-00001,D,"Question:
Though she made the cut years ago, its figurative scars would never what?

Which of the following is the best response to the question?

Choices:
A. joining
B. put together
C. stitch
D. heal
E. paste

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
Bill suffered from boredom. He'd stare off and do what?,boredom,train-00000-of-00001,E,"Question:
Bill suffered from boredom. He'd stare off and do what?

Which of the following is the best response to the question?

Choices:
A. work
B. see visions.
C. fiddle
D. play games
E. dream

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
What can be the consequence of having many drinks when celebrating?,celebrating,train-00000-of-00001,B,"Question:
What can be the consequence of having many drinks when celebrating?

Which of the following is the best response to the question?

Choices:
A. eating food
B. getting drunk
C. having sex
D. drink too much
E. eat cake

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
In what sort of container should you keep your ficus?,ficus,train-00000-of-00001,C,"Question:
In what sort of container should you keep your ficus?

Which of the following is the best response to the question?

Choices:
A. refigerator
B. screened porch
C. clay pot
D. shady places
E. arboretum

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"If one is drinking with the intention of getting drunk, what might your body experience?",drinking,train-00000-of-00001,E,"Question:
If one is drinking with the intention of getting drunk, what might your body experience?

Which of the following is the best response to the question?

Choices:
A. hangover
B. getting drunk
C. swallow
D. euphoria
E. loss of control

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"If I am creating art and have completed it to satisfaction, what is my feeling?",creating art,train-00000-of-00001,A,"Question:
If I am creating art and have completed it to satisfaction, what is my feeling?

Which of the following is the best response to the question?

Choices:
A. enlightenment
B. tired
C. frustration
D. relax
E. controversy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"He needed to provide, so he was always working, what did he want to accomplish?",working,train-00000-of-00001,E,"Question:
He needed to provide, so he was always working, what did he want to accomplish?

Which of the following is the best response to the question?

Choices:
A. frustration
B. prosperity
C. creation
D. opening a bank account
E. earning money

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"The beaver swam through the country he symbolized, where was he likely to be?",beaver,train-00000-of-00001,B,"Question:
The beaver swam through the country he symbolized, where was he likely to be?

Which of the following is the best response to the question?

Choices:
A. japan
B. ontario
C. washington
D. woodlands
E. books

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
Knitting with a group of friends is a great way to do what?,knitting,train-00000-of-00001,D,"Question:
Knitting with a group of friends is a great way to do what?

Which of the following is the best response to the question?

Choices:
A. relaxation
B. carpal tunnel syndrome
C. talk
D. have fun
E. bleeding

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
What is likely to happen to someone who hurts someone else without regret?,hurting else,train-00000-of-00001,E,"Question:
What is likely to happen to someone who hurts someone else without regret?

Which of the following is the best response to the question?

Choices:
A. feel happy
B. feel remorse
C. will resent
D. punishment
E. bad karma

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"A marmoset can be found many places, but they are usually found where?",marmoset,train-00000-of-00001,B,"Question:
A marmoset can be found many places, but they are usually found where?

Which of the following is the best response to the question?

Choices:
A. rainforest
B. in wild
C. national park
D. zoo
E. american west

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
One way to please parents is to be able to do this to a house?,please parents,train-00000-of-00001,A,"Question:
One way to please parents is to be able to do this to a house?

Which of the following is the best response to the question?

Choices:
A. buy
B. graffiti it
C. liked by
D. respect
E. success

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"All the artist had to do was paint the lips, what would his end result be on the canvas?",lips,train-00000-of-00001,A,"Question:
All the artist had to do was paint the lips, what would his end result be on the canvas?

Which of the following is the best response to the question?

Choices:
A. human face
B. motion
C. faces
D. body
E. clown

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
Where might astronauts who miss a landing end up?,astronauts,train-00000-of-00001,E,"Question:
Where might astronauts who miss a landing end up?

Which of the following is the best response to the question?

Choices:
A. spaceship
B. suface of moon
C. space shuttle
D. at the
E. orbit

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
What preposition do you use if you want to combine two words?,preposition,train-00000-of-00001,D,"Question:
What preposition do you use if you want to combine two words?

Which of the following is the best response to the question?

Choices:
A. article
B. adjective
C. interjection
D. conjunction
E. pronoun

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Why would someone not know where he or she left something after getting drunk?,getting drunk,train-00000-of-00001,E,"Question:
Why would someone not know where he or she left something after getting drunk?

Which of the following is the best response to the question?

Choices:
A. stumbling
B. hangover
C. confusion
D. pass out
E. forgetfulness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
What does a person sometimes do after they finish secondary education?,person,train-00000-of-00001,A,"Question:
What does a person sometimes do after they finish secondary education?

Which of the following is the best response to the question?

Choices:
A. enter college
B. feel lonely
C. cross street
D. pass exams
E. graduate from high school

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
Chatting with friends can be bad for your health if you join them outside while they what?,chatting with friends,train-00000-of-00001,B,"Question:
Chatting with friends can be bad for your health if you join them outside while they what?

Which of the following is the best response to the question?

Choices:
A. laughing
B. smoke
C. laugh loud
D. tell story
E. lie

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"He looked at the field of pumps, all slowing churning oil out of the what?",oil,validation-00000-of-00001,D,"Question:
He looked at the field of pumps, all slowing churning oil out of the what?

Which of the following is the best response to the question?

Choices:
A. manual
B. street
C. restaurant
D. ground
E. service station

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
Where are you when you put your birth control pill to the test?,birth control pill,train-00000-of-00001,B,"Question:
Where are you when you put your birth control pill to the test?

Which of the following is the best response to the question?

Choices:
A. drug store
B. bedroom
C. chemist's shop
D. medicine cabinet
E. womans purse

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
What is likely to be the feeling of someone who hurts someone else?,hurting else,train-00000-of-00001,A,"Question:
What is likely to be the feeling of someone who hurts someone else?

Which of the following is the best response to the question?

Choices:
A. feel remorse
B. will resent
C. anger
D. sadness
E. bad karma

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
What can you see when you use television but is not needed to use television?,use television,train-00000-of-00001,B,"Question:
What can you see when you use television but is not needed to use television?

Which of the following is the best response to the question?

Choices:
A. plug in
B. kill
C. find remote control
D. remote
E. open eyes

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
There is often a final exam at the end of each quarter of what?,quarter,train-00000-of-00001,C,"Question:
There is often a final exam at the end of each quarter of what?

Which of the following is the best response to the question?

Choices:
A. quarterlight
B. hour
C. school year
D. semester
E. hundredweight

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"While he wanted to believe, what mindset prevented him from accepting it?",believe,train-00000-of-00001,B,"Question:
While he wanted to believe, what mindset prevented him from accepting it?

Which of the following is the best response to the question?

Choices:
A. deny
B. skepticism
C. doubt
D. disbelief
E. paranoid

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"Everybody raised a drink and cheered, they were doing what?",drink,train-00000-of-00001,E,"Question:
Everybody raised a drink and cheered, they were doing what?

Which of the following is the best response to the question?

Choices:
A. were thirsty
B. toasting
C. getting drunk
D. refreshment
E. celebrating

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"The people were confused by the words being spoken, why would this be?",words,train-00000-of-00001,B,"Question:
The people were confused by the words being spoken, why would this be?

Which of the following is the best response to the question?

Choices:
A. hurt people
B. mean many things
C. hurtful
D. hurt feelings
E. unclear

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"A person writes a check to a clerk, where does the clerk put them?",check,train-00000-of-00001,A,"Question:
A person writes a check to a clerk, where does the clerk put them?

Which of the following is the best response to the question?

Choices:
A. cash register
B. desk drawer
C. pay envelope
D. throw away
E. box

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"I took my seat, the curtains drew back and I enjoyed the what?",seat,validation-00000-of-00001,E,"Question:
I took my seat, the curtains drew back and I enjoyed the what?

Which of the following is the best response to the question?

Choices:
A. airplane
B. movie
C. auditorium
D. theatre
E. show

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
If he did not pass course this semester he would have to what?,pass course,train-00000-of-00001,D,"Question:
If he did not pass course this semester he would have to what?

Which of the following is the best response to the question?

Choices:
A. learn
B. fail
C. get certificate
D. go back to
E. feel proud

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
The kids didn't clean up after they had done what?,kids,validation-00000-of-00001,D,"Question:
The kids didn't clean up after they had done what?

Which of the following is the best response to the question?

Choices:
A. learn things
B. play games
C. disneyland
D. play with toys
E. talking

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"He picked up his pace to a run, he wanted to do what?",run,validation-00000-of-00001,E,"Question:
He picked up his pace to a run, he wanted to do what?

Which of the following is the best response to the question?

Choices:
A. learn to walk
B. frightened
C. get away from
D. exercise
E. go faster

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"The artificial intelligence was constantly analysing the data, it was programmed to always be what?",analysing,train-00000-of-00001,A,"Question:
The artificial intelligence was constantly analysing the data, it was programmed to always be what?

Which of the following is the best response to the question?

Choices:
A. learning more about
B. healing
C. better knowledge
D. enlightened
E. change

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"When young people are bored and want to recreate, what do they do?",people,train-00000-of-00001,D,"Question:
When young people are bored and want to recreate, what do they do?

Which of the following is the best response to the question?

Choices:
A. play ball
B. choose life
C. talk to each other
D. play outside
E. write programs

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"Sarah drank from a water fountain, like many before her.  Where might she be?",fountain,train-00000-of-00001,C,"Question:
Sarah drank from a water fountain, like many before her.  Where might she be?

Which of the following is the best response to the question?

Choices:
A. city
B. garden
C. public place
D. home
E. rome

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"A frigid family wanted to buy a heater, so where did they have it installed?",heater,train-00000-of-00001,C,"Question:
A frigid family wanted to buy a heater, so where did they have it installed?

Which of the following is the best response to the question?

Choices:
A. automobile
B. city hall
C. house
D. public building
E. office

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"The mother was punishing her children, she raised her voice to do what to them?",punishing,train-00000-of-00001,E,"Question:
The mother was punishing her children, she raised her voice to do what to them?

Which of the following is the best response to the question?

Choices:
A. court system
B. authoritarian
C. ignore
D. avoid
E. yell at

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
WHere do you typically buy prescription suntan lotion?,suntan lotion,train-00000-of-00001,C,"Question:
WHere do you typically buy prescription suntan lotion?

Which of the following is the best response to the question?

Choices:
A. beach bag
B. grocery store
C. pharmacy
D. shop
E. tanning salon

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
How can you see an extreme closeup of a potato?,potato,train-00000-of-00001,B,"Question:
How can you see an extreme closeup of a potato?

Which of the following is the best response to the question?

Choices:
A. grocery store
B. optical device
C. pantry
D. garden patch
E. vegetable stew

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
