question,subject,split,answer,final_prompt,len_tk_phi3_mini_4k_instruct
"I'm a Chinese girl. At school I have two good friends. Their names are Lucy and Lily. They are Americans. They are twins. They're eleven. They are good girls. Miss Gao is our English teacher. She is a good teacher. We like her very much. She likes us very much, too. We go to school at seven in the morning. At four o'clock we play games. At four thirty in the afternoon we go home. We are very happy. They   _   very happy.",,auxiliary_train-00000-of-00001,D,"I'm a Chinese girl. At school I have two good friends. Their names are Lucy and Lily. They are Americans. They are twins. They're eleven. They are good girls. Miss Gao is our English teacher. She is a good teacher. We like her very much. She likes us very much, too. We go to school at seven in the morning. At four o'clock we play games. At four thirty in the afternoon we go home. We are very happy. They   _   very happy.

Choices:
A. is
B. am
C. aren't
D. are

Reply with exactly one uppercase letter out of A, B, C, or D.
",157
"Good evening, everyone! Let's talk about some of the new and the old everyday shows. The news is on Channel  Six from 6:00 to 7:00 every evening. Johnson has been reading the news for many years. He and his group always do their job well. The same channel is also good for late night watching. At 11:30 every night, Ted talks with famous people on this 90-minute show Night Time. He always has interesting people on. This week, three movie stars are going to talk about their new movies. In the afternoon, Channel Eleven has a good children's show The Children's Room at 3:30. This show has interesting cartoons. They keep children happy and entertained  for hours. Channel Three has the best game shows. They ask some interesting questions and give away  a lot of money and gifts. It's really a good way to learn about the world in the game shows. The name of the Children's program is  _  .",,auxiliary_train-00000-of-00001,C,"Good evening, everyone! Let's talk about some of the new and the old everyday shows. The news is on Channel  Six from 6:00 to 7:00 every evening. Johnson has been reading the news for many years. He and his group always do their job well. The same channel is also good for late night watching. At 11:30 every night, Ted talks with famous people on this 90-minute show Night Time. He always has interesting people on. This week, three movie stars are going to talk about their new movies. In the afternoon, Channel Eleven has a good children's show The Children's Room at 3:30. This show has interesting cartoons. They keep children happy and entertained  for hours. Channel Three has the best game shows. They ask some interesting questions and give away  a lot of money and gifts. It's really a good way to learn about the world in the game shows. The name of the Children's program is  _  .

Choices:
A. Channel Eleven.
B. Children's show
C. Children's Room
D. Children's cartoon

Reply with exactly one uppercase letter out of A, B, C, or D.
",282
"Hello, I'm Jack. Please look at the picture of my classroom. On the front wall, there is a blackboard.It's very big. In front of the blackboard, there is a yellow desk. It's for our teachers. There is a computer on it. On the right wall there is a map of China. On the black (  ) wall of our classroom is a blackboard. We can write and draw on it. There are forty students in my class. Everyone has a desk and a chair. In my classroom, my desk is next to Li Fang's desk. She is on my left . And Tim is on my right. In front of me is John . Who is behind me ? It's a girl, Amy. They are my good friends. How many blackboards are there in the classroom ?",,auxiliary_train-00000-of-00001,B,"Hello, I'm Jack. Please look at the picture of my classroom. On the front wall, there is a blackboard.It's very big. In front of the blackboard, there is a yellow desk. It's for our teachers. There is a computer on it. On the right wall there is a map of China. On the black (  ) wall of our classroom is a blackboard. We can write and draw on it. There are forty students in my class. Everyone has a desk and a chair. In my classroom, my desk is next to Li Fang's desk. She is on my left . And Tim is on my right. In front of me is John . Who is behind me ? It's a girl, Amy. They are my good friends. How many blackboards are there in the classroom ?

Choices:
A. One
B. Two
C. Three
D. Four

Reply with exactly one uppercase letter out of A, B, C, or D.
",227
"The Blacks are English . Now they are in Beijing . This is their first visit to China. They are going to stay in China for three weeks . They want to learn some Chinese ,too. He likes driving in Beijing very much .Mrs Blacks is a teacher .She often visits a middle school in Beijing ,and she likes to speak with students. They take a lot of photos in China .When they are back to English ,They're going to show the photos to their friends. They want the English People to know more about China. Mr Black is a  _  He like driving in Beijing.",,auxiliary_train-00000-of-00001,A,"The Blacks are English . Now they are in Beijing . This is their first visit to China. They are going to stay in China for three weeks . They want to learn some Chinese ,too. He likes driving in Beijing very much .Mrs Blacks is a teacher .She often visits a middle school in Beijing ,and she likes to speak with students. They take a lot of photos in China .When they are back to English ,They're going to show the photos to their friends. They want the English People to know more about China. Mr Black is a  _  He like driving in Beijing.

Choices:
A. Driver
B. farmer
C. worker
D. teacher.

Reply with exactly one uppercase letter out of A, B, C, or D.
",182
"How do most students spend their weekends? Do they have time to do the things they like? Let's see what some students do during their weekends. Ben is eleven. He has a sister, Kate. Both of them like going to the cinema. Every Sunday morning, they go to the town by train and then they go to the cinema because they live in a village   and there is no cinema there. They get to the town at noon. They usually have a big lunch in their favourite restaurant first, and then they buy some food in the supermarket before they go to their favourite cinema called Star Cinema. They like it because the seats there are _ and the films in the cinema are always the newest. They always have a good time on Sundays. But when the weather is bad or they are busy with their homework or someone visits them, they can't go to the cinema. They go to the town to see a film because   _  .",,auxiliary_train-00000-of-00001,B,"How do most students spend their weekends? Do they have time to do the things they like? Let's see what some students do during their weekends. Ben is eleven. He has a sister, Kate. Both of them like going to the cinema. Every Sunday morning, they go to the town by train and then they go to the cinema because they live in a village   and there is no cinema there. They get to the town at noon. They usually have a big lunch in their favourite restaurant first, and then they buy some food in the supermarket before they go to their favourite cinema called Star Cinema. They like it because the seats there are _ and the films in the cinema are always the newest. They always have a good time on Sundays. But when the weather is bad or they are busy with their homework or someone visits them, they can't go to the cinema. They go to the town to see a film because   _  .

Choices:
A. they like the cinema there
B. there is no cinema in the village
C. they don't know other cinemas
D. they want to go shopping in the town

Reply with exactly one uppercase letter out of A, B, C, or D.
",272
"Mr. Black and Mr. White were two very famous artists in the city. Their drawings were also very popular in the city. But they tried to see who could draw the best picture. One day they asked an old man to be the judge. Mr. Black drew an apple tree. He put his picture in the field. Soon the birds came and tried to eat the apples. The old man saw it and said, ""You have certainly won. Mr. White cannot draw so good a picture as yours. But we will go to see his picture."" They went to Mr. White's house. There were nothing but red beautiful curtains on the wall. The old man asked, ""Where is your picture, Mr. White?"" He said, ""Lift the curtains, and you will find my picture."" The old man tried to lift the curtains but found that they were drawn there. They were Mr. White's picture. The old man said, ""Birds thought the apples were real. Men thought the curtains were real. So Mr. White won. His picture is the best one."" Mr. Black drew_.",,auxiliary_train-00000-of-00001,A,"Mr. Black and Mr. White were two very famous artists in the city. Their drawings were also very popular in the city. But they tried to see who could draw the best picture. One day they asked an old man to be the judge. Mr. Black drew an apple tree. He put his picture in the field. Soon the birds came and tried to eat the apples. The old man saw it and said, ""You have certainly won. Mr. White cannot draw so good a picture as yours. But we will go to see his picture."" They went to Mr. White's house. There were nothing but red beautiful curtains on the wall. The old man asked, ""Where is your picture, Mr. White?"" He said, ""Lift the curtains, and you will find my picture."" The old man tried to lift the curtains but found that they were drawn there. They were Mr. White's picture. The old man said, ""Birds thought the apples were real. Men thought the curtains were real. So Mr. White won. His picture is the best one."" Mr. Black drew_.

Choices:
A. an apple tree
B. the best picture
C. curtains
D. birds

Reply with exactly one uppercase letter out of A, B, C, or D.
",290
"Dr. A. Praise is hired to perform a court-ordered evaluation of a defendant in a criminal case. She discusses the purpose of the evaluation with the defendant who then says he does not want to cooperate. According to the Specialty Guidelines for Forensic Psychology, Dr. Praise should:",professional_psychology,test-00000-of-00001,D,"Dr. A. Praise is hired to perform a court-ordered evaluation of a defendant in a criminal case. She discusses the purpose of the evaluation with the defendant who then says he does not want to cooperate. According to the Specialty Guidelines for Forensic Psychology, Dr. Praise should:

Choices:
A. remind the defendant that he has no choice since the evaluation is court-ordered.
B. refuse to conduct the evaluation unless she obtains a signed consent from the defendant.
C. refuse to conduct the evaluation unless she obtains a signed consent from the defendants attorney.
D. postpone the evaluation and advise the defendant to contact his attorney.

Reply with exactly one uppercase letter out of A, B, C, or D.
",179
"Information is received into our brain by attention, and its quality determines   how well _ will be processed, saved and used afterwards. All information we receive is chosen by our attention. Factors   affecting   our attention are personal interest, experience, ability, feelings, knowledge, environment, timing, and so on. The same information may attract different forms and levels of attention from different people. Some people can get and save the information easily; some may have great difficulty; while others may just turn a blind eye to it. To the same information, one may even pay different levels of attention at different times. But if the facts work together, the quality of attention may be better. Therefore, it is not surprising to see that somebody with average intelligence   can have excellent performances in some fields. The good news is that a person's attention can be shaped, trained and made stronger by effective exercise. With this in mind, we should keep improving the quality of our attention. Which is not the factor that affects our attention according to the passage?",,auxiliary_train-00000-of-00001,D,"Information is received into our brain by attention, and its quality determines   how well _ will be processed, saved and used afterwards. All information we receive is chosen by our attention. Factors   affecting   our attention are personal interest, experience, ability, feelings, knowledge, environment, timing, and so on. The same information may attract different forms and levels of attention from different people. Some people can get and save the information easily; some may have great difficulty; while others may just turn a blind eye to it. To the same information, one may even pay different levels of attention at different times. But if the facts work together, the quality of attention may be better. Therefore, it is not surprising to see that somebody with average intelligence   can have excellent performances in some fields. The good news is that a person's attention can be shaped, trained and made stronger by effective exercise. With this in mind, we should keep improving the quality of our attention. Which is not the factor that affects our attention according to the passage?

Choices:
A. Interest and experience.
B. Experience and knowledge.
C. Ability and feelings.
D. Food and drinks.

Reply with exactly one uppercase letter out of A, B, C, or D.
",273
"When you are in trouble,whom will you tell the problems to and ask for help? Someone has made a survey in a middle school.500 students were asked to choose one answer among friends or classmates,parents,head teacher and teachers.Here is the result.Please read the chart and try to get some information. According to the fact that only 9%of the students wanted to communicate with their head teacher or teachers,what is the best suggestion?",,auxiliary_train-00000-of-00001,D,"When you are in trouble,whom will you tell the problems to and ask for help? Someone has made a survey in a middle school.500 students were asked to choose one answer among friends or classmates,parents,head teacher and teachers.Here is the result.Please read the chart and try to get some information. According to the fact that only 9%of the students wanted to communicate with their head teacher or teachers,what is the best suggestion?

Choices:
A. The students should work harder.
B. The students should listen to the teachers more carefully.
C. The teachers should be more strict with the students.
D. The teachers should pay more attention to the students' feelings.

Reply with exactly one uppercase letter out of A, B, C, or D.
",176
"My name is Jane. I'm now living in a small house with my parents. Life for us is difficult but happy. I must study hard to buy a big new house someday. I call it a dream  house. My dream house is near the sea. It has three floors with five bedrooms, three bathrooms, two big dining rooms and two living rooms. When my friends come to visit me, I will have enough  bedrooms for them. We have a swimming pool behind the house and a garden in front of the house. In the morning, my parents can _ in the garden to keep them healthy. The air will be very good and nice. When it's hot, we can have a swim in the swimming pool. Life will be easy for us. Where is Jane's dream house?",,auxiliary_train-00000-of-00001,B,"My name is Jane. I'm now living in a small house with my parents. Life for us is difficult but happy. I must study hard to buy a big new house someday. I call it a dream  house. My dream house is near the sea. It has three floors with five bedrooms, three bathrooms, two big dining rooms and two living rooms. When my friends come to visit me, I will have enough  bedrooms for them. We have a swimming pool behind the house and a garden in front of the house. In the morning, my parents can _ in the garden to keep them healthy. The air will be very good and nice. When it's hot, we can have a swim in the swimming pool. Life will be easy for us. Where is Jane's dream house?

Choices:
A. It's in a big city.
B. It's in the town.
C. It's near the sea.
D. It's near the mountain

Reply with exactly one uppercase letter out of A, B, C, or D.
",242
"Mrs. Black wants to visit her son. Her son works in a post office in the city ,but she doesn't know where it is , She begins to look for it , but she can't find it. She asks an old man, ""Excuse me , how can I get to the post office?"" ""We have about forty post offices in the city,"" says the old man. ""Which one do you want to go to ?"" She gives her son's letter to him and the old man says , Walk along this street to the first crossroads and then turn left. You will see it on your left,"" She thanks the old man and soon finds her son . They are very happy. _  tells her the way to the post office.",,auxiliary_train-00000-of-00001,D,"Mrs. Black wants to visit her son. Her son works in a post office in the city ,but she doesn't know where it is , She begins to look for it , but she can't find it. She asks an old man, ""Excuse me , how can I get to the post office?"" ""We have about forty post offices in the city,"" says the old man. ""Which one do you want to go to ?"" She gives her son's letter to him and the old man says , Walk along this street to the first crossroads and then turn left. You will see it on your left,"" She thanks the old man and soon finds her son . They are very happy. _  tells her the way to the post office.

Choices:
A. A girl
B. A boy
C. A man.
D. An old man.

Reply with exactly one uppercase letter out of A, B, C, or D.
",209
"A famous comedian was acting as guest host of a popular late-night television talk show. Also appearing on the show was a professional football player. During the course of the television show, the comedian continually referred to the player as a ""bench warmer. "" Angered by the comedian's insults, the player told him on the telecast, ""Listen, I am a starter, not a bench warmer. ""The football player sued the comedian for slander. At trial, the football player calls a witness who saw the show in question to describe what he had heard on the broadcast. The comedian's attorney objects, claiming that the witness's testimony would be hearsay. The trial judge should",professional_law,test-00000-of-00001,C,"A famous comedian was acting as guest host of a popular late-night television talk show. Also appearing on the show was a professional football player. During the course of the television show, the comedian continually referred to the player as a ""bench warmer. "" Angered by the comedian's insults, the player told him on the telecast, ""Listen, I am a starter, not a bench warmer. ""The football player sued the comedian for slander. At trial, the football player calls a witness who saw the show in question to describe what he had heard on the broadcast. The comedian's attorney objects, claiming that the witness's testimony would be hearsay. The trial judge should

Choices:
A. sustain the objection, because the witness's testimony is not the best evidence.
B. sustain the objection, because the witness does not have firsthand knowledge whether the comedian was reading from a script.
C. overrule the objection, because defamatory statements aren't hearsay.
D. overrule the objection, because the witness is qualified to render a lay opinion as to what he heard.

Reply with exactly one uppercase letter out of A, B, C, or D.
",291
"Mr. and Mrs. Smith come from London, England. They work in China now. They teach English in a middle school. They like their work very much. They have two children, Sam and Sue.  They are both in Shanghai with their parents. Mr. Smith can't speak Chinese, but his wife can speak it very well. Mr. Smith likes swimming and reading, and Mrs. Smith likes swimming and reading, too. They often go swimming in the afternoon and read in the evening. Sam and Sue like playing games with Chinese boys and girls. Sam's uncle works on a farm near London. He likes swimming, too. He wants to work in Shanghai, but he can' t speak Chinese. So he is still  there and goes to Chinese classes every day. What sport does Mrs. Smith like?",,auxiliary_train-00000-of-00001,A,"Mr. and Mrs. Smith come from London, England. They work in China now. They teach English in a middle school. They like their work very much. They have two children, Sam and Sue.  They are both in Shanghai with their parents. Mr. Smith can't speak Chinese, but his wife can speak it very well. Mr. Smith likes swimming and reading, and Mrs. Smith likes swimming and reading, too. They often go swimming in the afternoon and read in the evening. Sam and Sue like playing games with Chinese boys and girls. Sam's uncle works on a farm near London. He likes swimming, too. He wants to work in Shanghai, but he can' t speak Chinese. So he is still  there and goes to Chinese classes every day. What sport does Mrs. Smith like?

Choices:
A. Swimming
B. Running
C. Playing basketball
D. Walking

Reply with exactly one uppercase letter out of A, B, C, or D.
",224
"We have three meals a day. In the morning,we have breakfast. It is at about 6 or 7 o'clock. Breakfast should be good. We can have milk,egg,and other things. Some students often have no breakfast. It is very bad for their heath. In china,lunch is the main meal of the day. It is at about 12 o'clock. It is a big meal. There are often three or four dishes. We should be full after lunch. We usually have supper at about 6 or 7 o'clock in the evening. We should have a small supper. But in England,people call the main meal dinner. It often means supper. Please find the best title for the passage .",,auxiliary_train-00000-of-00001,A,"We have three meals a day. In the morning,we have breakfast. It is at about 6 or 7 o'clock. Breakfast should be good. We can have milk,egg,and other things. Some students often have no breakfast. It is very bad for their heath. In china,lunch is the main meal of the day. It is at about 12 o'clock. It is a big meal. There are often three or four dishes. We should be full after lunch. We usually have supper at about 6 or 7 o'clock in the evening. We should have a small supper. But in England,people call the main meal dinner. It often means supper. Please find the best title for the passage .

Choices:
A. Meals.
B. Main Meal
C. Dinner
D. Supper.

Reply with exactly one uppercase letter out of A, B, C, or D.
",217
The president of an online music streaming service whose customers pay a fee wants to gather additional information about customers who have joined in the past 12 months. The company plans to send out an e-mail survey to a sample of current customers with a link that gives participants a month of streaming service for free once the survey has been completed. They know that musical tastes vary by geographical region. Which of the following sample plans would produce the most representative sample of its customers?,high_school_statistics,test-00000-of-00001,D,"The president of an online music streaming service whose customers pay a fee wants to gather additional information about customers who have joined in the past 12 months. The company plans to send out an e-mail survey to a sample of current customers with a link that gives participants a month of streaming service for free once the survey has been completed. They know that musical tastes vary by geographical region. Which of the following sample plans would produce the most representative sample of its customers?

Choices:
A. Choose all of the customers who joined in the last month.
B. Make a list of all the customers who joined in the last 12 months and choose a random sample of customers on this list.
C. From the list of all customers who joined in the last 12 months, classify customers by the state in which they live, then choose 10 customers from each state.
D. From the list of all customers who joined in the last 12 months, classify customers by the state in which they live, then choose 3% of the customers from each state.

Reply with exactly one uppercase letter out of A, B, C, or D.
",252
"Mary is an American girl. Her parents, Mr. and Mrs. Smith find work in China. So Mary is living in China now with her parents. Mr. Smith works in a big shop. Mrs. Smith teaches English in a middle school. Mary goes to school from Monday to Friday. On Saturdays she goes to the library with her mother. She likes reading magazines there very much. Then she eats dinner at a restaurant with her parents. On Sundays, Mary often helps her mother do the housework. That makes her mother very happy. But last week Mary had a busy Sunday. On Sunday morning, she stayed at home and studied for an exam. On Sunday afternoon she went to the park and played tennis with her friend, Lee. Where does Mary eat dinner on Saturdays?",,auxiliary_train-00000-of-00001,C,"Mary is an American girl. Her parents, Mr. and Mrs. Smith find work in China. So Mary is living in China now with her parents. Mr. Smith works in a big shop. Mrs. Smith teaches English in a middle school. Mary goes to school from Monday to Friday. On Saturdays she goes to the library with her mother. She likes reading magazines there very much. Then she eats dinner at a restaurant with her parents. On Sundays, Mary often helps her mother do the housework. That makes her mother very happy. But last week Mary had a busy Sunday. On Sunday morning, she stayed at home and studied for an exam. On Sunday afternoon she went to the park and played tennis with her friend, Lee. Where does Mary eat dinner on Saturdays?

Choices:
A. At home.
B. At school.
C. At a restaurant.
D. In a library.

Reply with exactly one uppercase letter out of A, B, C, or D.
",220
"Do you get enough sleep? With so much homework it's often difficult to get the rest you need. But you need to try, because sleep keeps you healthy and it stops you getting fat. Recently, a group of US scientists did a study   of kids aged between 8 and 13. The study found that if kids sleep for just one extra   hour each day, the chance of their getting fat is cut by about 30 percent . Why? When people don't get enough sleep, they become tired. When they are tired, they don't exercise enough. Also, kids like snacks: If they are awake   an extra hour or two each day,they have more time to eat snacks or other unhealthy foods. So, how much sleep should you get? Scientists suggest 10 to 11 hours a night for kids aged 5 to 12. For older kids, _ . How many reasons are given why people might get fat without enough sleep?",,auxiliary_train-00000-of-00001,B,"Do you get enough sleep? With so much homework it's often difficult to get the rest you need. But you need to try, because sleep keeps you healthy and it stops you getting fat. Recently, a group of US scientists did a study   of kids aged between 8 and 13. The study found that if kids sleep for just one extra   hour each day, the chance of their getting fat is cut by about 30 percent . Why? When people don't get enough sleep, they become tired. When they are tired, they don't exercise enough. Also, kids like snacks: If they are awake   an extra hour or two each day,they have more time to eat snacks or other unhealthy foods. So, how much sleep should you get? Scientists suggest 10 to 11 hours a night for kids aged 5 to 12. For older kids, _ . How many reasons are given why people might get fat without enough sleep?

Choices:
A. 3.
B. 2.
C. 1
D. None.

Reply with exactly one uppercase letter out of A, B, C, or D.
",268
A community bank consists of four branch offices with approximately 60 employees each. The general management would like to institute 2 health risk-reduction program by encouraging weight loss and smoking cessation among the employees. Which of the following programs would be most effective,professional_psychology,test-00000-of-00001,A,"A community bank consists of four branch offices with approximately 60 employees each. The general management would like to institute 2 health risk-reduction program by encouraging weight loss and smoking cessation among the employees. Which of the following programs would be most effective

Choices:
A. Employee reimbursement for costs and fees associated with professional help for weight loss and smoking cessation
B. Development of, and participation in, local community group sessions focusing on weight loss and smoking cessation
C. A competition among the four branches focusing on stepwise reductions in weight and smoking
D. Distribution of health information and self-help materials related to weight loss and smoking cessation

Reply with exactly one uppercase letter out of A, B, C, or D.
",177
"On the basis of oxidation-reduction potential, which of the following is most likely to occur?",college_chemistry,test-00000-of-00001,B,"On the basis of oxidation-reduction potential, which of the following is most likely to occur?

Choices:
A. Al(s) + 3 NaNO3(aq) 3 Na(s) + Al(NO3)3(aq)
B. Zn(s) + 2 Ag(NO3)(aq) → 2 Ag(s) + Zn(NO3)2(aq)
C. Pb(s) + Ca(NO3)2(aq) → Ca(s) + Pb(NO3)2(aq)
D. Pb(s) + 2 LiNO3(aq) → 2 Li(s) + Pb(NO3)2(aq)

Reply with exactly one uppercase letter out of A, B, C, or D.
",194
"Hello, my dear friends, today here's a funny cartoon for you! It is a Chinese cartoon. Its name is Happy Sheep and Big Big Wolf. In this cartoon, there are some sheep and three wolves. Happy Sheep is the leading role. He likes playing football and running. He runs faster than the other sheep. Pretty Sheep likes making clothes and growing flowers. She is very beautiful. Lazy Sheep is clever. But he doesn't like doing sports. He likes sleeping best. Force Sheep is stronger than the other sheep. Warm Sheep is the class monitor at school. Slow Sheep is 68 years old. He is old. He is the village head. Every sheep has a lovely pet. Big Big Wolf wants to eat sheep. Red Wolf is Big Big Wolf's wife. She is very bad. Banana Wolf is nice. He is the friend of the sheep. He likes eating bananas very much. Pretty Sheep likes   _  .",,auxiliary_train-00000-of-00001,C,"Hello, my dear friends, today here's a funny cartoon for you! It is a Chinese cartoon. Its name is Happy Sheep and Big Big Wolf. In this cartoon, there are some sheep and three wolves. Happy Sheep is the leading role. He likes playing football and running. He runs faster than the other sheep. Pretty Sheep likes making clothes and growing flowers. She is very beautiful. Lazy Sheep is clever. But he doesn't like doing sports. He likes sleeping best. Force Sheep is stronger than the other sheep. Warm Sheep is the class monitor at school. Slow Sheep is 68 years old. He is old. He is the village head. Every sheep has a lovely pet. Big Big Wolf wants to eat sheep. Red Wolf is Big Big Wolf's wife. She is very bad. Banana Wolf is nice. He is the friend of the sheep. He likes eating bananas very much. Pretty Sheep likes   _  .

Choices:
A. playing football
B. sleeping
C. making clothes
D. eating bananas

Reply with exactly one uppercase letter out of A, B, C, or D.
",270
"Look at these two photos. They are John and Ann. They're my good friends. All of us like music and we often sing together  . John lives near my house and we are in the same class. John is 15 years old and 1.68 metres tall. He has blond hair and blue eyes. John's English is very good and sometimes he helps me with my homework. He often wears a T-shirt and shorts. But in the photo, he is wearing a yellow shirt and black pants. Ann is in another school. She is short with brown hair and brown eyes. She looks very pretty. She has dance classes every Saturday afternoon and Ann can dance very well. Her favourite clothes are blouses and skirts. In the photo, she is wearing a dress and a hat. How tall is John?",,auxiliary_train-00000-of-00001,C,"Look at these two photos. They are John and Ann. They're my good friends. All of us like music and we often sing together  . John lives near my house and we are in the same class. John is 15 years old and 1.68 metres tall. He has blond hair and blue eyes. John's English is very good and sometimes he helps me with my homework. He often wears a T-shirt and shorts. But in the photo, he is wearing a yellow shirt and black pants. Ann is in another school. She is short with brown hair and brown eyes. She looks very pretty. She has dance classes every Saturday afternoon and Ann can dance very well. Her favourite clothes are blouses and skirts. In the photo, she is wearing a dress and a hat. How tall is John?

Choices:
A. 1.50 metres tall.
B. 1.60 metres tall.
C. 1.68 metres tall.
D. 1.74 metres tall.

Reply with exactly one uppercase letter out of A, B, C, or D.
",254
"This is a teacher's family.The father's name is Tom Smith. He is forty--four.The mother''s name is Kate Smith.She's forty-two.They have a son,Jim,and a daughter, Ann.Jim is fourteen, and Ann is twelve .The son looks like his father ,and the daughter looks like her mother .They are all in No. 4 Middle school.But the Smiths are teachers ,the son and the daughter are students. Ann's mother's  name is   _",,auxiliary_train-00000-of-00001,C,"This is a teacher's family.The father's name is Tom Smith. He is forty--four.The mother''s name is Kate Smith.She's forty-two.They have a son,Jim,and a daughter, Ann.Jim is fourteen, and Ann is twelve .The son looks like his father ,and the daughter looks like her mother .They are all in No. 4 Middle school.But the Smiths are teachers ,the son and the daughter are students. Ann's mother's  name is   _

Choices:
A. Jim Smith
B. Lake Smith
C. Kate Smith
D. Ann Smith

Reply with exactly one uppercase letter out of A, B, C, or D.
",163
"It's Sunday morning. My family are all at home. My father is sitting near the window. He's reading newspapers. He wants to know what h appens all over the world. My mother is watering the flowers in the small garden. My brother is a worker. He's watching TV. He's a basketball fanAnd he is good at p laying basketball.  Now he is watching NBA on TV.  Where are my twin sisters? Oh, look! Lily is listening to music. She likes popular music very much. Lucy is surfing the Internet in her room. She often writes emails to her friends. What am I doing? I am doing my homework . ,A, B, C, D What is the father doing?",,auxiliary_train-00000-of-00001,D,"It's Sunday morning. My family are all at home. My father is sitting near the window. He's reading newspapers. He wants to know what h appens all over the world. My mother is watering the flowers in the small garden. My brother is a worker. He's watching TV. He's a basketball fanAnd he is good at p laying basketball.  Now he is watching NBA on TV.  Where are my twin sisters? Oh, look! Lily is listening to music. She likes popular music very much. Lucy is surfing the Internet in her room. She often writes emails to her friends. What am I doing? I am doing my homework . ,A, B, C, D What is the father doing?

Choices:
A. He'splayingbasketball.
B. He'slisteningtomusic.
C. He'ssurfingtheInternet.
D. He'sreadingnewspapers.

Reply with exactly one uppercase letter out of A, B, C, or D.
",236
Plaintiff sued Defendant for breach of a commercial contract in which Defendant had agreed to sell Plaintiff all of Plaintiff's requirements for widgets. Plaintiff called Expert Witness to testify as to damages. Defendant seeks to show that Expert Witness had provided false testimony as a witness in his own divorce proceedings. This evidence should be,,auxiliary_train-00000-of-00001,A,"Plaintiff sued Defendant for breach of a commercial contract in which Defendant had agreed to sell Plaintiff all of Plaintiff's requirements for widgets. Plaintiff called Expert Witness to testify as to damages. Defendant seeks to show that Expert Witness had provided false testimony as a witness in his own divorce proceedings. This evidence should be

Choices:
A. admitted only if elicited from Expert Witness on cross-examination.
B. admitted only if the false testimony is established by clear and convincing extrinsic evidence.
C. excluded, because it is impeachment on a collateral issue. 
D. excluded, because it is improper character evidence. 

Reply with exactly one uppercase letter out of A, B, C, or D.
",188
"Mr. King goes to a dinner party. He is wearing old clothes. He comes into the room. But people in the room do not look at him. They don't ask him to sit at the table. Mr. King goes home and puts on his good clothes. He goes back to the party. Everyone in the room stands up and smiles  at him. They give him the very good food to eat. Mr. King takes off his coat, and puts it in the food and says, ""Eat, coat!""                                 The other people ask, ""What are you doing?"" He answers, ""I'm asking my coat to eat the food. I am wearing my old clothes. You do not look at me. You do not ask me to sit down. Now, I am in these clothes. And you give me very good food. Now I see, you give the food for my clothes not for me!"" Mr. king takes off his coat, and  _  .",,auxiliary_train-00000-of-00001,B,"Mr. King goes to a dinner party. He is wearing old clothes. He comes into the room. But people in the room do not look at him. They don't ask him to sit at the table. Mr. King goes home and puts on his good clothes. He goes back to the party. Everyone in the room stands up and smiles  at him. They give him the very good food to eat. Mr. King takes off his coat, and puts it in the food and says, ""Eat, coat!""                                 The other people ask, ""What are you doing?"" He answers, ""I'm asking my coat to eat the food. I am wearing my old clothes. You do not look at me. You do not ask me to sit down. Now, I am in these clothes. And you give me very good food. Now I see, you give the food for my clothes not for me!"" Mr. king takes off his coat, and  _  .

Choices:
A. eats the good food
B. asks it to eat the good food
C. asks the other to eat the food
D. asks the old clothes to eat the good food

Reply with exactly one uppercase letter out of A, B, C, or D.
",274
"If, during a postexamination discussion with parents, a psychologist establishes that a child’s new pediatrician is apparently unaware of the child's history of brain damage. which is very important in understanding the problem situation, the psychologist should",professional_psychology,test-00000-of-00001,B,"If, during a postexamination discussion with parents, a psychologist establishes that a child’s new pediatrician is apparently unaware of the child's history of brain damage. which is very important in understanding the problem situation, the psychologist should

Choices:
A. tell the parents that he/she will inform the pediatrician
B. urge the parents to grant him/her permission to inform the pediatrician
C. cell the parents char be/she is legally obligated to inform the pediatrician
D. cell the parents that it is their responsibility to inform the pediatrician

Reply with exactly one uppercase letter out of A, B, C, or D.
",159
Mr. and Mrs White have a son and two daughters.  They have a cat and a big house. In front of the house there are some trees and two cars. On weekends they go to the beach . Mr. White works from Tuesday to Friday. Mrs. White works from Tuesday to Saturday. They are teachers. Their students like them very much. There is a gym  near their house. They often go there to watch soccer games because their son's favorite sport is football. Mr. White's favorite sport is table tennis. Their daughters don't like sports. They like to see movies. Their family are very happy. What is in front of their house?,,auxiliary_train-00000-of-00001,A,"Mr. and Mrs White have a son and two daughters.  They have a cat and a big house. In front of the house there are some trees and two cars. On weekends they go to the beach . Mr. White works from Tuesday to Friday. Mrs. White works from Tuesday to Saturday. They are teachers. Their students like them very much. There is a gym  near their house. They often go there to watch soccer games because their son's favorite sport is football. Mr. White's favorite sport is table tennis. Their daughters don't like sports. They like to see movies. Their family are very happy. What is in front of their house?

Choices:
A. Some trees and two cars.
B. A gym.
C. Two cars.
D. Some trees, two cars and a gym.

Reply with exactly one uppercase letter out of A, B, C, or D.
",208
