question,subject,split,answer,final_prompt,len_tk_qwen2.5_7b_base
"Good morning! I'm Mike Brown. I am an English boy. My telephone number is five-four-five-zero-six-seven-eight. This is my room  . The quilt is blue. In the room, there are books  , a computer   and a pencil box  . Mike is  _  .",,auxiliary_train-00000-of-00001,B,"Good morning! I'm Mike Brown. I am an English boy. My telephone number is five-four-five-zero-six-seven-eight. This is my room  . The quilt is blue. In the room, there are books  , a computer   and a pencil box  . Mike is  _  .

Choices:
A. a Chinese boy
B. an English boy
C. an English girl
D. a Chinese girl

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
" Construct a complete truth table for the following pairs of propositions. Then, using the truth tables, determine whether the statements are logically equivalent or contradictory. If neither, determine whether they are consistent or inconsistent. Justify your answers.
~O ⊃ P and O ∨ P",formal_logic,test-00000-of-00001,A," Construct a complete truth table for the following pairs of propositions. Then, using the truth tables, determine whether the statements are logically equivalent or contradictory. If neither, determine whether they are consistent or inconsistent. Justify your answers.
~O ⊃ P and O ∨ P

Choices:
A. Logically equivalent
B. Contradictory
C. Neither logically equivalent nor contradictory, but consistent
D. Inconsistent

Reply with exactly one uppercase letter out of A, B, C, or D.
",103
An American firm moves a manufacturing plant from the United States to Brazil. How will this affect gross domestic product (GDP) in the United States and in Brazil?,high_school_macroeconomics,test-00000-of-00001,D,"An American firm moves a manufacturing plant from the United States to Brazil. How will this affect gross domestic product (GDP) in the United States and in Brazil?

Choices:
A. U.S. GDP falls and Brazil's GDP falls.
B. U.S. GDP rises and Brazil's GDP falls.
C. U.S. GDP falls and Brazil's GDP remains constant.
D. U.S. GDP falls and Brazil's GDP rises.

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
"The path of a satellite is given by the parametric equations x = 4 cos(t) + cos(12t), y = 4 sin(t) + sin(12t). The upward velocity at t = 1 equals",high_school_mathematics,test-00000-of-00001,D,"The path of a satellite is given by the parametric equations x = 4 cos(t) + cos(12t), y = 4 sin(t) + sin(12t). The upward velocity at t = 1 equals

Choices:
A. 2.829
B. 3.005
C. 3.999
D. 12.287

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
"Students want to plant a lemon tree at their school, but the cold winter temperatures in Massachusetts would kill the tree. Which of the following is the best solution to this problem?",,auxiliary_train-00000-of-00001,B,"Students want to plant a lemon tree at their school, but the cold winter temperatures in Massachusetts would kill the tree. Which of the following is the best solution to this problem?

Choices:
A. planting several lemon trees together in a row
B. building a greenhouse to shelter the lemon tree
C. giving the lemon tree extra fertilizer in the winter
D. tying a stake to the lemon tree for support during the winter

Reply with exactly one uppercase letter out of A, B, C, or D.
",103
Which of the following is NOT a way in which the powers of the executive branch are balanced by the legislative branch?,high_school_government_and_politics,test-00000-of-00001,A,"Which of the following is NOT a way in which the powers of the executive branch are balanced by the legislative branch?

Choices:
A. The Senate may use the filibuster to block an executive order.
B. Congress may impeach and convict a president for ""high crime and misdemeanors.""
C. The Senate can decline to ratify a treaty.
D. The Senate can decline to approve a president's nominee for the Supreme Court.

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
"An arrow is aimed horizontally, directly at the center of a target 20 m away. The arrow hits 0.050 m below the center of the target. Neglecting air resistance, what was the initial speed of the arrow?",high_school_physics,validation-00000-of-00001,D,"An arrow is aimed horizontally, directly at the center of a target 20 m away. The arrow hits 0.050 m below the center of the target. Neglecting air resistance, what was the initial speed of the arrow?

Choices:
A. 20 m/s
B. 40 m/s
C. 100 m/s
D. 200 m/s

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
Which of the following interventions is most effective at facilitating the education of gifted students?,high_school_psychology,test-00000-of-00001,D,"Which of the following interventions is most effective at facilitating the education of gifted students?

Choices:
A. Using heterogeneous grouping to allow gifted students to strengthen social skills and grow academically
B. Assigning independent research projects within the framework of the curriculum
C. Implementing cooperative learning to encourage gifted students to work up to their ability
D. Providing acceleration for gifted students, especially within the areas of their interests and skills

Reply with exactly one uppercase letter out of A, B, C, or D.
",103
"In general, how do conservatives and liberals differ when it comes to defense spending?",us_foreign_policy,test-00000-of-00001,C,"In general, how do conservatives and liberals differ when it comes to defense spending?

Choices:
A. Conservatives are skeptical of increases in defense spending; liberals advocate increases in defense spending.
B. Conservatives favor social spending over defense spending; liberals favor defense spending over social spending.
C. Conservatives advocate increases in defense spending; liberals are generally skeptical of increases in defense spending.
D. Conservatives emphasize strong economies; liberals emphasize strong military readiness.

Reply with exactly one uppercase letter out of A, B, C, or D.
",103
Which BEST explains why green marine algae are most often restricted to the top 100 meters of the ocean?,,auxiliary_train-00000-of-00001,B,"Which BEST explains why green marine algae are most often restricted to the top 100 meters of the ocean?

Choices:
A. They have no roots to anchor them to the ocean floor.
B. They can live only where there is light.
C. The pressure is too great for them to survive below 100 meters.
D. If the algae lived below 100 meters they would be eaten by animals.

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
In what way would a person diagnosed with schizophrenia most likely differ from a person diagnosed with a dissociative disorder?,high_school_psychology,validation-00000-of-00001,C,"In what way would a person diagnosed with schizophrenia most likely differ from a person diagnosed with a dissociative disorder?

Choices:
A. A person with schizophrenia is likely to have more than one personality.
B. A person diagnosed with a dissociative disorder is likely to have delusions.
C. A person diagnosed with schizophrenia is likely to experience hallucinations.
D. A person diagnosed with a dissociative disorder may have difficulty keeping a job.

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
Use the equation below to answer the question. 14 × 3 = 42 Which statement correctly interprets the expression?,elementary_mathematics,test-00000-of-00001,D,"Use the equation below to answer the question. 14 × 3 = 42 Which statement correctly interprets the expression?

Choices:
A. 14 is 3 more than 42.
B. 42 is 14 more than 3.
C. 14 is 3 times as many as 42.
D. 42 is 3 times as many as 14.

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
"After observing several dogs running, students ask the following question: Do dogs with long hair run faster than dogs with short hair? How can the students best answer their question?",,auxiliary_train-00000-of-00001,B,"After observing several dogs running, students ask the following question: Do dogs with long hair run faster than dogs with short hair? How can the students best answer their question?

Choices:
A. record the weights and heights of many dogs
B. measure the speeds and hair lengths of many dogs
C. research to find the type of dog with the longest hair
D. race one long-haired dog against one short-haired dog

Reply with exactly one uppercase letter out of A, B, C, or D.
",103
Which of the following best summarizes a view of classical behaviorism?,high_school_psychology,test-00000-of-00001,A,"Which of the following best summarizes a view of classical behaviorism?

Choices:
A. Behavior is under the control of external stimuli that either reinforce or punish actions, thereby affecting the likelihood of the occurrence of these behaviors.
B. Behavior can be controlled by introspection.
C. Behavior is the result of competing motives that result from mental events that occur outside of one's awareness.
D. Behavior is influenced by internal drives and motivation.

Reply with exactly one uppercase letter out of A, B, C, or D.
",103
Use the information below to answer the question. Each organism on Earth is a part of a complex relationship with other organisms. This relationship is called a food web. The following organisms are part of a food web typically located in and around a reservoir. algae fish rabbit eagle pine tree grass field mouse Which member of the food web is a carnivore?,,auxiliary_train-00000-of-00001,B,"Use the information below to answer the question. Each organism on Earth is a part of a complex relationship with other organisms. This relationship is called a food web. The following organisms are part of a food web typically located in and around a reservoir. algae fish rabbit eagle pine tree grass field mouse Which member of the food web is a carnivore?

Choices:
A. field mouse
B. eagle
C. rabbit
D. algae

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
Water used in a factory is heated to 75 degrees Celsius. It is discharged into a nearby river that has a normal temperature of 20 degrees Celsius. Which should most likely be done to minimize damage to the river?,,auxiliary_train-00000-of-00001,A,"Water used in a factory is heated to 75 degrees Celsius. It is discharged into a nearby river that has a normal temperature of 20 degrees Celsius. Which should most likely be done to minimize damage to the river?

Choices:
A. decrease the temperature of the factory water
B. increase the temperature of the river water
C. remove the vegetation from the river
D. add more fish to the river

Reply with exactly one uppercase letter out of A, B, C, or D.
",103
A factory in Japan had been dumping mercury into Minamata Bay. Certain microorganisms in the water were able to change the mercury into a form that the plankton could use. Which most likely happened next?,,auxiliary_train-00000-of-00001,B,"A factory in Japan had been dumping mercury into Minamata Bay. Certain microorganisms in the water were able to change the mercury into a form that the plankton could use. Which most likely happened next?

Choices:
A. The organisms built up a resistance to the mercury.
B. The mercury passed through the food chain.
C. The plankton made the mercury safe.
D. The fish would not eat the plankton.

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
What is required for a general rule of customary law to be formed?,international_law,validation-00000-of-00001,D,"What is required for a general rule of customary law to be formed?

Choices:
A. Only general, widespread and consistent practice on the part of States is required
B. The consistent practice of few States is sufficient
C. The legal conviction that a certain practice of a State is in accordance with international law is the most significant requirement
D. Both the elements of widespread and consistent State practice and of the opinio juris are required

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
Which of the following statements most detracts from the claim that the human appendix is a completely vestigial organ?,high_school_biology,test-00000-of-00001,C,"Which of the following statements most detracts from the claim that the human appendix is a completely vestigial organ?

Choices:
A. The appendix can be surgically removed with no immediate ill effects.
B. The appendix might have been larger in fossil hominids.
C. The appendix has a substantial amount of defensive lymphatic tissue.
D. Individuals with a larger-than-average appendix leave fewer offspring than those with a below-average-sized appendix.

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
You are pushing a truck along a road. Would it be easier to accelerate this truck on Mars? Why? (Assume there is no friction),astronomy,dev-00000-of-00001,D,"You are pushing a truck along a road. Would it be easier to accelerate this truck on Mars? Why? (Assume there is no friction)

Choices:
A. It would be harder since the truck is heavier on Mars.
B. It would be easier since the truck is lighter on Mars.
C. It would be harder since the truck is lighter on Mars.
D. It would be the same no matter where you are.

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
Which of the following is a strategy that the National Association of School Psychologists (NASP) recommends as a best practice for improving school safety?,high_school_psychology,test-00000-of-00001,D,"Which of the following is a strategy that the National Association of School Psychologists (NASP) recommends as a best practice for improving school safety?

Choices:
A. Expelling a student immediately after a minor disciplinary infraction
B. Implementing a strict student code of conduct, such as a zero-tolerance policy
C. Communicating to parents that the school environment is safe
D. Creating a school safety and response team

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
" Although the benefit and contribution of civil society in encouraging sustainability, lobbying on important issues and helping the needy are taken for granted in many places, in many other countries, such as _____ and ______ civil society is far less developed than in, for instance, _______.",business_ethics,test-00000-of-00001,A," Although the benefit and contribution of civil society in encouraging sustainability, lobbying on important issues and helping the needy are taken for granted in many places, in many other countries, such as _____ and ______ civil society is far less developed than in, for instance, _______.

Choices:
A. Russia, China, Britain
B. Norway, China, Russia
C. Britain, United States, Australia
D. Canada, Russia, United States

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
"If an estimator is said to be consistent, it is implied that",econometrics,test-00000-of-00001,C,"If an estimator is said to be consistent, it is implied that

Choices:
A. On average, the estimated coefficient values will equal the true values
B. The OLS estimator is unbiased and no other unbiased estimator has a smaller variance
C. The estimates will converge upon the true values as the sample size increases
D. The coefficient estimates will be as close to their true values as possible for small and large samples.

Reply with exactly one uppercase letter out of A, B, C, or D.
",103
The speed of light inside of a nonmagnetic dielectric material with a dielectric constant of 4.0 is,college_physics,test-00000-of-00001,C,"The speed of light inside of a nonmagnetic dielectric material with a dielectric constant of 4.0 is

Choices:
A. 1.2 x 10^9 m/s
B. 3.0 x 10^8 m/s
C. 1.5 x 10^8 m/s
D. 1.0 x 10^8 m/s

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
"Suppose the correlation between two variables is r = 0.19. What is the new correlation if 0.23 is added to all values of the x-variable, every value of the y-variable is doubled, and the two variables are interchanged?",high_school_statistics,test-00000-of-00001,A,"Suppose the correlation between two variables is r = 0.19. What is the new correlation if 0.23 is added to all values of the x-variable, every value of the y-variable is doubled, and the two variables are interchanged?

Choices:
A. 0.19
B. 0.42
C. 0.84
D. -0.19

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
A researcher observes that an organism placed in a glass container filled with water moves away when a penlight is focused on the container. The researcher concludes that the organism is light sensitive. Which other explanation for the organism's response to the light is most possible?,,auxiliary_train-00000-of-00001,D,"A researcher observes that an organism placed in a glass container filled with water moves away when a penlight is focused on the container. The researcher concludes that the organism is light sensitive. Which other explanation for the organism's response to the light is most possible?

Choices:
A. The organism avoids radio waves.
B. The organism avoids gamma rays.
C. The organism moves away from vibrations.
D. The organism moves away from heat sources.

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
"Which of the following statements about circuits is (are) true?
I. Combinational circuits may have feedback; sequential circuits do not.
II. Combinational circuits have a ""memoryless"" property; sequential circuits do not.
III. Both sequential and combinational circuits must be controlled by an external clock.",college_computer_science,test-00000-of-00001,B,"Which of the following statements about circuits is (are) true?
I. Combinational circuits may have feedback; sequential circuits do not.
II. Combinational circuits have a ""memoryless"" property; sequential circuits do not.
III. Both sequential and combinational circuits must be controlled by an external clock.

Choices:
A. I only
B. II only
C. I and II only
D. II and III only

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
Which of the following was one social effect of the Second World War on the United States home front during the war years?,miscellaneous,validation-00000-of-00001,A,"Which of the following was one social effect of the Second World War on the United States home front during the war years?

Choices:
A. The proportion of women in the workforce increased substantially.
B. Social segregation between African Americans and Whites in the southern United States rapidly diminished.
C. The baby boom caused rapid population growth during the war.
D. The generation gap grew more pronounced because many young people were alienated from the war effort.

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
Which of the following statements about voting populations is most accurate?,high_school_government_and_politics,test-00000-of-00001,C,"Which of the following statements about voting populations is most accurate?

Choices:
A. Individuals are less likely to vote in a closely contested race.
B. Voters are more likely to vote at age 18 than they are at age 65.
C. An individual with a graduate degree is more likely to vote than an individual who has only a high school diploma.
D. Affluent individuals are less likely to vote than impoverished individuals.

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
The principles of xeriscaping are best exemplified by a homeowner who,miscellaneous,test-00000-of-00001,D,"The principles of xeriscaping are best exemplified by a homeowner who

Choices:
A. installs an in-ground sprinkler system that operates on a timer
B. lowers the cutting height on the lawn mower to reduce the surface area in contact with the cutting blade
C. increases the use of fertilizer on the turfgrass to promote growth
D. replaces nonnative ornamentals with native shrubs that do not require irrigation

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
Juan rolls a fair regular octahedral die marked with the numbers 1 through 8. Then Amal rolls a fair six-sided die. What is the probability that the product of the two rolls is a multiple of 3?,high_school_mathematics,test-00000-of-00001,A,"Juan rolls a fair regular octahedral die marked with the numbers 1 through 8. Then Amal rolls a fair six-sided die. What is the probability that the product of the two rolls is a multiple of 3?

Choices:
A. \frac{1}{2}
B. \frac{1}{4}
C. \frac{1}{144}
D. \frac{1}{288}

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
20000 years from now ...,astronomy,test-00000-of-00001,C,"20000 years from now ...

Choices:
A. The Moon will be closer to the Earth and the Earth’s day will be longer.
B. The Moon will be closer to the Earth and the Earth’s day will be shorter.
C. The Moon will be further from the Earth and the Earth’s day will be longer.
D. The Moon will be further from the Earth and the Earth’s day will be shorter.

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
A sound is heard when you pluck a string on a guitar. What will happen to the sound if the same string is plucked harder?,,auxiliary_train-00000-of-00001,B,"A sound is heard when you pluck a string on a guitar. What will happen to the sound if the same string is plucked harder?

Choices:
A. The volume will stay the same, and the pitch will be higher.
B. The pitch will stay the same, and the volume will be higher.
C. Both the pitch and the volume will be higher.
D. Both the pitch and the volume will stay the same.

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
Most rocks on the Moon's surface are older than those on the Earth's surface. The best evidence for this is:,astronomy,test-00000-of-00001,B,"Most rocks on the Moon's surface are older than those on the Earth's surface. The best evidence for this is:

Choices:
A. Lunar rocks are composed of fragments pulverized by many impacts.
B. Radioactive dating of lunar samples shows that they are older.
C. The Moon's surface is more heavily eroded than the Earth's surface.
D. The Moon's surface has more impact craters than the Earth's surface.

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
"A student is asked to make soil using the following substances: water, ore, humus, crystal, weathered rock, and metamorphic rock. Which combination of these substances should the student choose?",,auxiliary_train-00000-of-00001,B,"A student is asked to make soil using the following substances: water, ore, humus, crystal, weathered rock, and metamorphic rock. Which combination of these substances should the student choose?

Choices:
A. humus, crystal, and ore
B. water, weathered rock, and humus
C. water, metamorphic rock, and crystal
D. metamorphic rock, ore, and weathered rock

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
Incumbent members of the House of Representatives win reelection more often than incumbent senators for all of the following reasons EXCEPT,high_school_government_and_politics,test-00000-of-00001,C,"Incumbent members of the House of Representatives win reelection more often than incumbent senators for all of the following reasons EXCEPT

Choices:
A. representatives' constituents more often belong largely to the representative's party
B. senators have more political power than representatives, and Senate races are accordingly contested more aggressively
C. representatives may use federal funds to publicize their achievements via direct mail to constituents
D. representatives more often run uncontested

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
Cells in the body use oxygen (O2) for cellular respiration. Which is the result of cellular respiration?,,auxiliary_train-00000-of-00001,A,"Cells in the body use oxygen (O2) for cellular respiration. Which is the result of cellular respiration?

Choices:
A. ATP is produced and carbon dioxide (CO2) is released.
B. ATP is consumed and carbon dioxide (CO2) is released.
C. ATP is produced and carbon dioxide (CO2) is absorbed.
D. ATP is consumed and carbon dioxide (CO2) is absorbed.

Reply with exactly one uppercase letter out of A, B, C, or D.
",103
"Transformed scores increase the interpretability of raw scores and allow comparison to the rest of the distribution. From your knowledge about Transformed Scores, which statement is not about the Z SCOREs?",professional_psychology,test-00000-of-00001,D,"Transformed scores increase the interpretability of raw scores and allow comparison to the rest of the distribution. From your knowledge about Transformed Scores, which statement is not about the Z SCOREs?

Choices:
A. raw scores stated in SD terms
B. score minus the mean divided by the SD
C. permits comparisons across different measures and tests
D. tells you how many SDs away from the mean a score is

Reply with exactly one uppercase letter out of A, B, C, or D.
",103
What types of force does Article 2(4) of the UN Charter prohibit?,international_law,dev-00000-of-00001,A,"What types of force does Article 2(4) of the UN Charter prohibit?

Choices:
A. Article 2(4) encompasses only armed force
B. Article 2(4) encompasses all types of force, including sanctions
C. Article 2(4) encompasses all interference in the domestic affairs of States
D. Article 2(4) encompasses force directed only against a State's territorial integrity

Reply with exactly one uppercase letter out of A, B, C, or D.
",103
Scientists dig in a dry area at the bottom of a mountain range. Fossilized shells of freshwater mussels are found in the area. Which is a likely conclusion that scientists will draw based on this evidence?,,auxiliary_train-00000-of-00001,A,"Scientists dig in a dry area at the bottom of a mountain range. Fossilized shells of freshwater mussels are found in the area. Which is a likely conclusion that scientists will draw based on this evidence?

Choices:
A. Rivers once flowed through the area.
B. Volcanoes were once active in the area.
C. The ocean shoreline once reached this area.
D. Floods were a common occurrence in this area.

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
"In clear weather, a bright light can be seen for a long distance. In conditions of heavy fog, the visibility is greatly reduced. Which of the following explains the reduced visibility?",,auxiliary_train-00000-of-00001,B,"In clear weather, a bright light can be seen for a long distance. In conditions of heavy fog, the visibility is greatly reduced. Which of the following explains the reduced visibility?

Choices:
A. Light is refracted by water vapor in the air.
B. Light is scattered by water droplets in the air.
C. Light is absorbed by water vapor near the ground.
D. Light is reflected by water droplets on the ground.

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
"On the same test, Mary and Pam scored at the 64th and 56th percentiles, respectively. Which of the following is a true statement?",high_school_statistics,test-00000-of-00001,C,"On the same test, Mary and Pam scored at the 64th and 56th percentiles, respectively. Which of the following is a true statement?

Choices:
A. Mary scored eight more points than Pam.
B. Mary's score is 8% higher than Pam's.
C. Eight percent of those who took the test scored between Pam and Mary.
D. Thirty-six people scored higher than both Mary and Pam.

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
Which of the following is typically not a result of recognizing the importance of ethnic groups by marketers?,marketing,test-00000-of-00001,A,"Which of the following is typically not a result of recognizing the importance of ethnic groups by marketers?

Choices:
A. Use of an undifferentiated one-size-fits-all marketing strategy.
B. Adaptation of the advertising, particularly the use of foreign languages, to the target ethnic market.
C. Variations in product offerings to suit the wants of a particular group.
D. Study of ethnic buying habits to isolate market segments.

Reply with exactly one uppercase letter out of A, B, C, or D.
",103
"A teacher buys the folders listed below.
* 5 boxes of red folders with 36 folders in each box
* 6 boxes of blue folders with 32 folders in each box
Which number is closest to the total number of red and blue folders that the teacher buys?",elementary_mathematics,test-00000-of-00001,B,"A teacher buys the folders listed below.
* 5 boxes of red folders with 36 folders in each box
* 6 boxes of blue folders with 32 folders in each box
Which number is closest to the total number of red and blue folders that the teacher buys?

Choices:
A. 275
B. 380
C. 440
D. 550

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
"As a result of substance abuse throughout adolescence, a young adult suffers from a number of psychological symptoms reflecting diminished executive functioning. Which of the following are likely true of this patient?
I. Pathological changes to the prefrontal cortex.
II. Increased susceptibility to auditory hallucinations.
III. Reduced behavioral impulse control.",college_medicine,test-00000-of-00001,C,"As a result of substance abuse throughout adolescence, a young adult suffers from a number of psychological symptoms reflecting diminished executive functioning. Which of the following are likely true of this patient?
I. Pathological changes to the prefrontal cortex.
II. Increased susceptibility to auditory hallucinations.
III. Reduced behavioral impulse control.

Choices:
A. I only
B. III only
C. I and III only
D. II and III only

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
What will happen to the equilibrium price level and the equilibrium quantity of output if the aggregate demand curve shifts to the right? Assume an upward sloping aggregate supply curve.,high_school_macroeconomics,validation-00000-of-00001,C,"What will happen to the equilibrium price level and the equilibrium quantity of output if the aggregate demand curve shifts to the right? Assume an upward sloping aggregate supply curve.

Choices:
A. The equilibrium price level increases while the equilibrium quantity of output decreases.
B. The equilibrium price level decreases while the equilibrium quantity of output increases.
C. The equilibrium price level and quantity of output increase.
D. The equilibrium price level and quantity of output decrease.

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
"Since the 1996 World Food Summit, how has the number of food insecure people in the world changed?
",nutrition,test-00000-of-00001,B,"Since the 1996 World Food Summit, how has the number of food insecure people in the world changed?


Choices:
A. The Summit's goal of cutting the number of hungry people in half by 2015 was achieved.
B. The number decreased, but not by nearly enough to meet the Summit's goal.
C. The number increased slightly.
D. Because of rising food prices, the number increased dramatically.

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
The weekly milk order for the Tranquility Inn includes 40 gallons of low-fat milk and 15 gallons of chocolate milk. What is the ratio of the number of low-fat gallons to chocolate gallons in the Tranquility Inn’s weekly milk order?,elementary_mathematics,test-00000-of-00001,D,"The weekly milk order for the Tranquility Inn includes 40 gallons of low-fat milk and 15 gallons of chocolate milk. What is the ratio of the number of low-fat gallons to chocolate gallons in the Tranquility Inn’s weekly milk order?

Choices:
A. 3:01
B. 5:01
C. 5:03
D. 8:03

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
 Which of the following best characterizes de Marneffe's view?,moral_disputes,test-00000-of-00001,D," Which of the following best characterizes de Marneffe's view?

Choices:
A. The use, sale, and manufacturing of drugs should be legal.
B. The use, sale, and manufacturing of drugs should be illegal.
C. The use of drugs should be legal, but the sale and manufacturing of them should be illegal.
D. The use of drugs should be illegal, but the sale and manufacturing of them should be legal.

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
"Expectancy theory predicts that worker motivation depends on several factors including “valence,” which refers to:",professional_psychology,test-00000-of-00001,A,"Expectancy theory predicts that worker motivation depends on several factors including “valence,” which refers to:

Choices:
A. the employee’s beliefs about the value of rewards provided for successful performance.
B. the employee’s beliefs about the inherent (intrinsic) value of the work itself.
C. the strength of the worker's motivation and organizational commitment.
D. the strength of the effort (versus ability) component of the worker’s motivation.

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
"Which single statement below, about the stomach, is actually correct?
",nutrition,test-00000-of-00001,D,"Which single statement below, about the stomach, is actually correct?


Choices:
A. Acid secretion occurs in response to secretion of the hormone, carbonic anhydrase
B. Glands called Peyer's patches are responsible for acid secretion
C. The vagus nerve inhibits acid secretion after a meal has been consumed
D. Pepsinogen and gastric lipase are two enzymes secreted into the lumen of the stomach

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
"According to the theory of planned behavior, the three components of a person's behavioral intention are:",professional_psychology,test-00000-of-00001,A,"According to the theory of planned behavior, the three components of a person's behavioral intention are:

Choices:
A. attitude toward the behavior, subjective norms, and perceived behavioral control.
B. degree of Liking or attraction, beliefs, and action tendencies.
C. level of ability, degree of motivation, and extent of behavioral control.
D. attitudinal strength, social desirability, and perceived self-efficacy.

Reply with exactly one uppercase letter out of A, B, C, or D.
",103
" According to Hardin, the ""ratchet effect"" refers to the fact that",moral_disputes,test-00000-of-00001,D," According to Hardin, the ""ratchet effect"" refers to the fact that

Choices:
A. overpopulation does not affect the number of people who are poor.
B. overpopulation leads to creation of food banks that help curb poverty rates.
C. world hunger and poverty leads to recognition of rights not to be hungry.
D. the use of a world food bank to feed the hungry leads to an escalating series of emergency situations.

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
The state of Georgia has 159 counties and covers 58056 square miles. What is the average number of square miles per county? Round your answer to the nearest whole number.,elementary_mathematics,test-00000-of-00001,D,"The state of Georgia has 159 counties and covers 58056 square miles. What is the average number of square miles per county? Round your answer to the nearest whole number.

Choices:
A. 274 square miles per county
B. 159 square miles per county
C. 318 square miles per county
D. 365 square miles per county

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
"The probability that a point (x, y) in R^2 is chosen follows a uniform random distribution within the region described by the inequality 0 < |x| + |y| < 1 . What is the probability that 2(x + y) > 1?",college_mathematics,test-00000-of-00001,B,"The probability that a point (x, y) in R^2 is chosen follows a uniform random distribution within the region described by the inequality 0 < |x| + |y| < 1 . What is the probability that 2(x + y) > 1?

Choices:
A. 0
B. 1/4
C. sqrt(2)/4
D. 1/sqrt(2)

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
"Let f(x, y) = x^3 + y^3 + 3xy for all real x and y. Then there exist distinct points P and Q such that f has a",college_mathematics,test-00000-of-00001,C,"Let f(x, y) = x^3 + y^3 + 3xy for all real x and y. Then there exist distinct points P and Q such that f has a

Choices:
A. local maximum at P and at Q
B. saddle point at P and at Q
C. local maximum at P and a saddle point at Q
D. local minimum at P and a saddle point at Q

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
A person in a dark room looking through a window can clearly see a person outside in the daylight. But a person outside cannot see the person inside. Why does this happen?,,auxiliary_train-00000-of-00001,A,"A person in a dark room looking through a window can clearly see a person outside in the daylight. But a person outside cannot see the person inside. Why does this happen?

Choices:
A. There is not enough light being reflected off the person in the room.
B. Light rays cannot pass through a window twice.
C. Outside light does not pass through windows.
D. Sunlight is not as intense as other sources of light.

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
"On January 1, an employee is hired to work for an employer for one year at a weekly salary of $500. After six months the employee is fired. In determining what rights the employee has against the employer, the agreement between the employer and the employee may best be interpreted as",professional_law,test-00000-of-00001,B,"On January 1, an employee is hired to work for an employer for one year at a weekly salary of $500. After six months the employee is fired. In determining what rights the employee has against the employer, the agreement between the employer and the employee may best be interpreted as

Choices:
A. an entire contract.
B. a divisible contract.
C. an installment contract.
D. neither divisible nor entire.

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
Which of the following regular expressions is equivalent to (describes the same set of strings as) (a* + b)*(c + d)?,college_computer_science,dev-00000-of-00001,D,"Which of the following regular expressions is equivalent to (describes the same set of strings as) (a* + b)*(c + d)?

Choices:
A. a*(c + d)+ b(c + d)
B. a*(c + d)* + b(c + d)*
C. a*(c + d)+ b*(c + d)
D. (a + b)*c +(a + b)*d

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
The false sign fallacy is,logical_fallacies,test-00000-of-00001,D,"The false sign fallacy is

Choices:
A. arguing that what is true of part of an object is necessarily true of the entire object
B. arguing that two things are similar enough that what is true of one is true of the other
C. arguing that since something is inexpensive it is necessarily of low quality
D. reasoning by sign when there is really not a direct relationship between the alleged sign and the subject of the argument

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
