question,subject,split,answer,final_prompt,len_tk_llama3.1_8b_instruct
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I know what Carla's dealing with at home with her father, so I'm going to overlook her bad attitude. Scenario 2 | I decided to start a fire in the furnace.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I know what Carla's dealing with at home with her father, so I'm going to overlook her bad attitude. Scenario 2 | I decided to start a fire in the furnace.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",126
Acid rain caused by industrial pollution greatly reduces the number of trees in a forested region that is home to a particular species of bird. How might this decrease in the number of trees most likely affect this bird population?,,auxiliary_train-00000-of-00001,B,"Acid rain caused by industrial pollution greatly reduces the number of trees in a forested region that is home to a particular species of bird. How might this decrease in the number of trees most likely affect this bird population?

Choices:
A. The population will adapt to ground dwelling.
B. The population will decrease due to lack of resources.
C. The population will stabilize when it moves to another region.
D. The population will increase as predators move out of the region.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
"A one-sided test of a hypothesis about a population mean, based on a sample of size 14, yields a P-value of 0.075. Which of the following best describes the range of tvalues that would have given this P-value?",high_school_statistics,test-00000-of-00001,D,"A one-sided test of a hypothesis about a population mean, based on a sample of size 14, yields a P-value of 0.075. Which of the following best describes the range of tvalues that would have given this P-value?

Choices:
A. 1.345 < t< 1.761
B. 1.356 < t< 1.782
C. 1.771 < t< 2.160
D. 1.350 < t< 1.771

Reply with exactly one uppercase letter out of A, B, C, or D.
",126
" Use the following key to translate the given formula of PL to natural, English sentences.
A: Marina reads a Percy Jackson book.
B: Izzy plays Minecraft.
C: Emily stops working.
D: Russell makes dinner.
E: Ashleigh stops by.
~C ∨ D",formal_logic,test-00000-of-00001,D," Use the following key to translate the given formula of PL to natural, English sentences.
A: Marina reads a Percy Jackson book.
B: Izzy plays Minecraft.
C: Emily stops working.
D: Russell makes dinner.
E: Ashleigh stops by.
~C ∨ D

Choices:
A. If Emily doesn't stop working then Russell makes dinner.
B. Emily stops working unless Russell makes dinner.
C. Emily stops working unless Russell doesn't make dinner.
D. Emily doesn't stop working unless Russell makes dinner.

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
"My father has a great sports collection .he love sports very much. And he loves all balls.  he likes playing basketball and volleyball. And he likes playing baseball and tennis. he also likes watching ball games. how many balls does he have? He has 15 basketballs,12 baseballs ,10 tennis bats.8 volleyballs and 14 baseball bats. and many other balls. He has  _  tennis bats.",,auxiliary_train-00000-of-00001,C,"My father has a great sports collection .he love sports very much. And he loves all balls.  he likes playing basketball and volleyball. And he likes playing baseball and tennis. he also likes watching ball games. how many balls does he have? He has 15 basketballs,12 baseballs ,10 tennis bats.8 volleyballs and 14 baseball bats. and many other balls. He has  _  tennis bats.

Choices:
A. 15
B. 12
C. 10
D. 8

Reply with exactly one uppercase letter out of A, B, C, or D.
",127
"Hello! I'm an English girl.My first name is Lucy.My last name is White.I'm in No.3 Middle School.My father and mother are in No.3 Middle School, too.They are English teachers.My brother is in Nanchang University .His name is Tony.I have a Chinese teacher.Her name is Wang Yan.She can speak   English well.She is a good teacher. My name is   _  .",,auxiliary_train-00000-of-00001,B,"Hello! I'm an English girl.My first name is Lucy.My last name is White.I'm in No.3 Middle School.My father and mother are in No.3 Middle School, too.They are English teachers.My brother is in Nanchang University .His name is Tony.I have a Chinese teacher.Her name is Wang Yan.She can speak   English well.She is a good teacher. My name is   _  .

Choices:
A. White Lucy
B. Lucy White
C. Wang Yan
D. Tony White

Reply with exactly one uppercase letter out of A, B, C, or D.
",125
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I called in sick to work because I wanted to go to the beach. Scenario 2 | I threw the baby to my friend, and she didn't catch it.",moral_scenarios,test-00000-of-00001,A,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I called in sick to work because I wanted to go to the beach. Scenario 2 | I threw the baby to my friend, and she didn't catch it.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
"One of the many reasons that the eukaryotic cell can possess so much information in its DNA is the ability to condense coding regions when they are not being expressed. When acting on DNA, which of the following processes will usually lead to a decrease in gene expression?",college_medicine,test-00000-of-00001,C,"One of the many reasons that the eukaryotic cell can possess so much information in its DNA is the ability to condense coding regions when they are not being expressed. When acting on DNA, which of the following processes will usually lead to a decrease in gene expression?

Choices:
A. Increased histone acetyltransferase activity
B. Decrease in histone deacetyltransferase activity
C. Increase in methylation activity
D. Increase in heterochromatin:euchromatin ratio

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I picked up a purse in the parking lot today and kept it. Scenario 2 | When the neighbor complained of noise, I turned my music up.",moral_scenarios,test-00000-of-00001,A,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I picked up a purse in the parking lot today and kept it. Scenario 2 | When the neighbor complained of noise, I turned my music up.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
"Suppose the graph of $y=f(x)$ includes the points $(1,5),$ $(2,3),$ and $(3,1)$. Based only on this information, there are two points that must be on the graph of $y=f(f(x))$. If we call those points $(a,b)$ and $(c,d),$ what is $ab+cd$?",high_school_mathematics,test-00000-of-00001,D,"Suppose the graph of $y=f(x)$ includes the points $(1,5),$ $(2,3),$ and $(3,1)$. Based only on this information, there are two points that must be on the graph of $y=f(f(x))$. If we call those points $(a,b)$ and $(c,d),$ what is $ab+cd$?

Choices:
A. 15
B. 5
C. 9
D. 17

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
Miss Liu is an English teacher. She is very young. She works very well and the students all like her. There are twenty-six boys and twenty-four girls in her class. Now some of them are playing on the playground. Jim and Bill are jumping. Sam and Mike are running. Lucy and Simon are singing. The other girls are playing games with their teacher. They're happy. There are   _   students in Miss Liu's class.,,auxiliary_train-00000-of-00001,D,"Miss Liu is an English teacher. She is very young. She works very well and the students all like her. There are twenty-six boys and twenty-four girls in her class. Now some of them are playing on the playground. Jim and Bill are jumping. Sam and Mike are running. Lucy and Simon are singing. The other girls are playing games with their teacher. They're happy. There are   _   students in Miss Liu's class.

Choices:
A. 26
B. 40
C. 24
D. 50

Reply with exactly one uppercase letter out of A, B, C, or D.
",130
"In the 1960s, comprehensive schools did not eradicate class inequalities in education because:",sociology,test-00000-of-00001,B,"In the 1960s, comprehensive schools did not eradicate class inequalities in education because:

Choices:
A. they tended to recruit pupils from the inner cities and traditionally working class areas
B. selective schools could still 'cream off' the most able pupils, while the comprehensives put children into ability streams
C. teachers in comprehensive schools used the restricted code in the classroom, whereas working class pupils used elaborated codes of speech
D. national testing and league tables made the new schools highly competitive and selective

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I built a snowman inside the beautiful home. Scenario 2 | I popped the balloon and gave it back to the child.",moral_scenarios,test-00000-of-00001,A,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I built a snowman inside the beautiful home. Scenario 2 | I popped the balloon and gave it back to the child.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
The shift from 'civil religion' to 'common religion' means that:,sociology,dev-00000-of-00001,B,"The shift from 'civil religion' to 'common religion' means that:

Choices:
A. the increasing bureaucracy of the state has made religion only a marginal part of our lives
B. despite the weakening of traditional authority, our everyday lives and 'common sense' remain shaped by religious beliefs and values
C. religious participation in collective worship may have declined, but people still practise their faiths in private
D. people are much more likely to discuss their religious beliefs in public, informal settings

Reply with exactly one uppercase letter out of A, B, C, or D.
",118
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I showed up to a beach party with board shorts on. Scenario 2 | I set up a feast for the homeless in front of the rich.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I showed up to a beach party with board shorts on. Scenario 2 | I set up a feast for the homeless in front of the rich.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
"Mara planted six pots of lettuce seeds. She placed three pots in a sunny area and three pots in a shaded area. She watered each pot the same and measured the growth of the lettuce. After Mara analyzes her data, what conclusion will it help her to make?",,auxiliary_train-00000-of-00001,B,"Mara planted six pots of lettuce seeds. She placed three pots in a sunny area and three pots in a shaded area. She watered each pot the same and measured the growth of the lettuce. After Mara analyzes her data, what conclusion will it help her to make?

Choices:
A. When to plant her lettuce
B. Where to plant her lettuce
C. How much water to give lettuce
D. How many lettuce plants to grow

Reply with exactly one uppercase letter out of A, B, C, or D.
",109
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I went to the seven eleven and placed my items on the counter. Scenario 2 | At the theater, I took out my phone before the movie started to text a friend.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I went to the seven eleven and placed my items on the counter. Scenario 2 | At the theater, I took out my phone before the movie started to text a friend.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",125
Which of the following best describes ethical guidelines for the use of deception in research?,professional_psychology,validation-00000-of-00001,C,"Which of the following best describes ethical guidelines for the use of deception in research?

Choices:
A. Deception is prohibited in all circumstances.
B. Deception is prohibited except when the purpose and design of the study require the use of unobtrusive measures.
C. Deception is prohibited whenever it involves deceiving potential participants about aspects of the study that would affect their willingness to participate.
D. Deception is acceptable only when participants have given “limited consent” after being told about the general nature of the study.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
"Hello, I'm Linda. This is a photo of my friend's family. Her name is Jane. These are her parents, Jeff Brown and Emily Brown. Those are her brothers, Harry and Dick. Is that her grandfather? Yes, it is. His name is Henry. . Is Dick Henry's son?",,auxiliary_train-00000-of-00001,B,"Hello, I'm Linda. This is a photo of my friend's family. Her name is Jane. These are her parents, Jeff Brown and Emily Brown. Those are her brothers, Harry and Dick. Is that her grandfather? Yes, it is. His name is Henry. . Is Dick Henry's son?

Choices:
A. Yes, he is.
B. No, he isn't.
C. I don't know.
D. Yes, it is.

Reply with exactly one uppercase letter out of A, B, C, or D.
",112
"This is a photo of Mr. Black's family. The man with glasses  is Mr. Black, the father. The woman is the mother. They have a son and a daughter. The son is behind(....) Jack and Kate are in the same  school, but they are in different grades. Jack is in Grade Three and Kate is in Grade One. They are good students. Jack and Kate are  _  .",,auxiliary_train-00000-of-00001,B,"This is a photo of Mr. Black's family. The man with glasses  is Mr. Black, the father. The woman is the mother. They have a son and a daughter. The son is behind(....) Jack and Kate are in the same  school, but they are in different grades. Jack is in Grade Three and Kate is in Grade One. They are good students. Jack and Kate are  _  .

Choices:
A. not good children
B. good students
C. in different school
D. in China

Reply with exactly one uppercase letter out of A, B, C, or D.
",129
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I killed the kitten in my bed. Scenario 2 | I laughed at the juggling clown.",moral_scenarios,test-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I killed the kitten in my bed. Scenario 2 | I laughed at the juggling clown.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",109
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | The excitement of the car crash made me cheer. Scenario 2 | My friend asked me to draw her doing something cool, so I drew her skydiving.",moral_scenarios,test-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | The excitement of the car crash made me cheer. Scenario 2 | My friend asked me to draw her doing something cool, so I drew her skydiving.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | Everyday I gave her 2 multivitamins before school. Scenario 2 | I let my children try to catch bear cubs.",moral_scenarios,test-00000-of-00001,C,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | Everyday I gave her 2 multivitamins before school. Scenario 2 | I let my children try to catch bear cubs.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
Parametric Tests are used when data is interval or ration. When is it used the ONE-WAY ANOVA?,professional_psychology,test-00000-of-00001,A,"Parametric Tests are used when data is interval or ration. When is it used the ONE-WAY ANOVA?

Choices:
A. used when there is 1 IV and means of more than 2 groups
B. used when there is 2 IV and means of more than 4 groups
C. used when there is 3 IV and means of more than 5 groups
D. used when there is 4 IV and means of more than 6 groups

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
Which of the following is the symplastic pathway for the movement of sucrose from the site of photosynthesis in mesophyll cells into the phloem?,college_biology,test-00000-of-00001,D,"Which of the following is the symplastic pathway for the movement of sucrose from the site of photosynthesis in mesophyll cells into the phloem?

Choices:
A. Fibers, phloem parenchyma, companion cell, sieve tube
B. Phloem parenchyma, fibers, bundle sheath, tracheids
C. Companion cells, phloem parenchyma, fibers, sieve tube
D. Bundle sheath, phloem parenchyma, companion cell, sieve tube

Reply with exactly one uppercase letter out of A, B, C, or D.
",130
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I dialed 9-1-1 to report that the pizza was late. Scenario 2 | I walked into church wearing my birthday suit.",moral_scenarios,test-00000-of-00001,A,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I dialed 9-1-1 to report that the pizza was late. Scenario 2 | I walked into church wearing my birthday suit.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
"If a pentagon P with vertices at (– 2, – 4), (– 4, 1), (–1, 4), (2, 4), and (3, 0) is reflected across the line y = x to get a new pentagon, P’, then one of the vertices of P’ is",high_school_mathematics,test-00000-of-00001,D,"If a pentagon P with vertices at (– 2, – 4), (– 4, 1), (–1, 4), (2, 4), and (3, 0) is reflected across the line y = x to get a new pentagon, P’, then one of the vertices of P’ is

Choices:
A. (0, – 3)
B. (4, 1)
C. (2, 2)
D. (– 4, –2)

Reply with exactly one uppercase letter out of A, B, C, or D.
",127
"The suspension cable of a 1,000 kg elevator snaps, sending the elevator moving downward through its shaft. The emergency brakes of the elevator stop the elevator shortly before it reaches the bottom of the shaft. If the elevator fell a distance of 100 m starting from rest, the heat that the brakes must dissipate to bring the elevator safely to rest is",college_physics,test-00000-of-00001,C,"The suspension cable of a 1,000 kg elevator snaps, sending the elevator moving downward through its shaft. The emergency brakes of the elevator stop the elevator shortly before it reaches the bottom of the shaft. If the elevator fell a distance of 100 m starting from rest, the heat that the brakes must dissipate to bring the elevator safely to rest is

Choices:
A. 10,000 J
B. 100,000 J
C. 1,000,000 J
D. 10,000,000 J

Reply with exactly one uppercase letter out of A, B, C, or D.
",128
"A body moving in the positive x direction passes the origin at time t = 0. Between t = 0 and t = 1 second, the body has a constant speed of 24 meters per second. At t = 1 second, the body is given a constant acceleration of 6 meters per second squared in the negative x direction. The position x of the body at t = 11 seconds is",high_school_physics,test-00000-of-00001,C,"A body moving in the positive x direction passes the origin at time t = 0. Between t = 0 and t = 1 second, the body has a constant speed of 24 meters per second. At t = 1 second, the body is given a constant acceleration of 6 meters per second squared in the negative x direction. The position x of the body at t = 11 seconds is

Choices:
A. 99m
B. 36m
C. -36m
D. -99m

Reply with exactly one uppercase letter out of A, B, C, or D.
",128
"Today Susan took a pill for her allergy that raised her blood pressure, caused her heart to beat faster, and raised her body temperature. Now caught in traffic, she feels angry. Yesterday, when she took the pill, she was with her husband. When her blood pressure rose, her heart speeded up, she got hotter, and she felt amorous. This description exemplifies",high_school_psychology,test-00000-of-00001,B,"Today Susan took a pill for her allergy that raised her blood pressure, caused her heart to beat faster, and raised her body temperature. Now caught in traffic, she feels angry. Yesterday, when she took the pill, she was with her husband. When her blood pressure rose, her heart speeded up, she got hotter, and she felt amorous. This description exemplifies

Choices:
A. the adaptation-level phenomenon
B. two-factor theory
C. James-Lange theory
D. Cannon-Bard theory

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
Mark Green is my friend. He is English. He has a yellow bike. His bike number is 9075. His mother has a green car. The number is JA3566. His father has a black car. The number is JA3567. What is Green?,,auxiliary_train-00000-of-00001,B,"Mark Green is my friend. He is English. He has a yellow bike. His bike number is 9075. His mother has a green car. The number is JA3566. His father has a black car. The number is JA3567. What is Green?

Choices:
A. It's Maek's name.
B. It's Mark's last name.
C. It's Mark's first name.
D. It's Mark's middle name.

Reply with exactly one uppercase letter out of A, B, C, or D.
",112
"This is a mini bookstore. There are ten books about sports. They are on Shelf A. There are nine books about History. They are on Shelf B. There are eleven books about games. They are on Shelf C. There are fifteen books about English. They are on Shelf D. How many books are there on Shelf A,B,C and D? Do you know? ,. 1-4,5. How many books are there in all ?",,auxiliary_train-00000-of-00001,C,"This is a mini bookstore. There are ten books about sports. They are on Shelf A. There are nine books about History. They are on Shelf B. There are eleven books about games. They are on Shelf C. There are fifteen books about English. They are on Shelf D. How many books are there on Shelf A,B,C and D? Do you know? ,. 1-4,5. How many books are there in all ?

Choices:
A. forty
B. thirty-five
C. forty-five
D. forty-one

Reply with exactly one uppercase letter out of A, B, C, or D.
",130
Which of the following statements is the most significant characteristic in determining the classification of an enterprise fund?,professional_accounting,test-00000-of-00001,B,"Which of the following statements is the most significant characteristic in determining the classification of an enterprise fund?

Choices:
A. The predominant customer is the primary government.
B. The pricing policies of the activity establish fees and charges designed to recover its cost.
C. The activity is financed by debt that is secured partially by a pledge of the net revenues from fees and charges of the activity.
D. Laws or regulations require that the activity’s costs of providing services including capital costs be recovered with taxes or similar revenues.

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
Which of the following is a true statement about program documentation?,high_school_computer_science,test-00000-of-00001,D,"Which of the following is a true statement about program documentation?

Choices:
A. Program documentation should not be changed after it is first written.
B. Program documentation is only needed for programs in development; it is not needed after a program is completed.
C. Program documentation is useful when programmers collaborate but not when a programmer works individually on a project.
D. Program documentation is useful during initial program development and also when modifications are made to existing programs.

Reply with exactly one uppercase letter out of A, B, C, or D.
",108
Kate Green is a girl. She is my good friend  . She is English. Kate is her first name.Green is her family name. Mr Green is her father .His first name is John. Mrs Green is her mother  . Her first name is Helen. Kate is eleven years old. Her home telephone number is 865---64108. (10) _  is the girl's first name.,,auxiliary_train-00000-of-00001,A,"Kate Green is a girl. She is my good friend  . She is English. Kate is her first name.Green is her family name. Mr Green is her father .His first name is John. Mrs Green is her mother  . Her first name is Helen. Kate is eleven years old. Her home telephone number is 865---64108. (10) _  is the girl's first name.

Choices:
A. Kate
B. Ann
C. Mary
D. Helen

Reply with exactly one uppercase letter out of A, B, C, or D.
",118
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | Since my friend is afraid of spiders, I kill them for her. Scenario 2 | I bought a pack of cigarettes for my husband.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | Since my friend is afraid of spiders, I kill them for her. Scenario 2 | I bought a pack of cigarettes for my husband.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I put the pie in the oven for 35 minutes. Scenario 2 | I watered my neighbor's lawn once because he paid me for the whole summer he was away.",moral_scenarios,test-00000-of-00001,C,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I put the pie in the oven for 35 minutes. Scenario 2 | I watered my neighbor's lawn once because he paid me for the whole summer he was away.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",125
"Lisa was hiking in a rocky area and in a rock, she saw what looked like footprints made by a bird. But weirdly, they were in a rock. Where did they come from?",,auxiliary_train-00000-of-00001,A,"Lisa was hiking in a rocky area and in a rock, she saw what looked like footprints made by a bird. But weirdly, they were in a rock. Where did they come from?

Choices:
A. The footprints were originally in mud or peat, but after a lot of time, the substance had been changed into rock
B. The rock was actually an asteroid
C. a very heavy bird made imprints in the rock.
D. a spaceship used a laser to make the etches in the rock

Reply with exactly one uppercase letter out of A, B, C, or D.
",126
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I turned the water heater's temperature up after it scorched my child. Scenario 2 | I bought my son new glasses to help him at school.",moral_scenarios,test-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I turned the water heater's temperature up after it scorched my child. Scenario 2 | I bought my son new glasses to help him at school.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When I paid the bill, I put a 2-cent stamp on it to make sure it was returned to my house. Scenario 2 | At the grocery store, I coughed into the food.",moral_scenarios,test-00000-of-00001,A,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When I paid the bill, I put a 2-cent stamp on it to make sure it was returned to my house. Scenario 2 | At the grocery store, I coughed into the food.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",130
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I planted cucumbers in my neighbor's garden. Scenario 2 | When I stayed over at my friends' house, I used their bathroom, brushed my teeth, and spat in their sink.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I planted cucumbers in my neighbor's garden. Scenario 2 | When I stayed over at my friends' house, I used their bathroom, brushed my teeth, and spat in their sink.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",129
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I left from the prison without checking out. Scenario 2 | I consider model building to be a serious hobby.",moral_scenarios,test-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I left from the prison without checking out. Scenario 2 | I consider model building to be a serious hobby.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",112
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I went fishing for trout last weekend. Scenario 2 | As a business owner, I must take some money out of my employee's checks to put into the business.",moral_scenarios,test-00000-of-00001,C,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I went fishing for trout last weekend. Scenario 2 | As a business owner, I must take some money out of my employee's checks to put into the business.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
Studies into the etiology of Schizophrenia indicated a genetic predisposition to the condition but other factors are involved. From your knowledge of the subject identify which of the following statements is incorrect.,professional_psychology,test-00000-of-00001,D,"Studies into the etiology of Schizophrenia indicated a genetic predisposition to the condition but other factors are involved. From your knowledge of the subject identify which of the following statements is incorrect.

Choices:
A. Excess dopamine or sensitivity to dopamine could be a contributory factor.
B. White patients are more symptomatic.
C. Remission from the condition in the Third World is 65%.
D. A lower rate of Schizophrenia diagnosed among Africa Americans.

Reply with exactly one uppercase letter out of A, B, C, or D.
",112
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I threw the newspapers into to the forest wild fire. Scenario 2 | I asked my children to set the table for dinner.",moral_scenarios,test-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I threw the newspapers into to the forest wild fire. Scenario 2 | I asked my children to set the table for dinner.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
"In one of the steps of the carbon cycle, a person exhales a molecule of carbon dioxide (CO2) into the atmosphere. Which of the following is most likely to happen next to the atom of carbon in this molecule?",,auxiliary_train-00000-of-00001,A,"In one of the steps of the carbon cycle, a person exhales a molecule of carbon dioxide (CO2) into the atmosphere. Which of the following is most likely to happen next to the atom of carbon in this molecule?

Choices:
A. It may be used as part of a sugar in a plant.
B. It may become part of a protein in an animal.
C. It may be consumed as a fossil fuel is burned.
D. It may be decomposed into carbon and oxygen by a bacterium.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
Iron(III) hydroxide has Ksp = 1.6 × 10^-39. What is the molar solubility of this compound?,high_school_chemistry,test-00000-of-00001,A,"Iron(III) hydroxide has Ksp = 1.6 × 10^-39. What is the molar solubility of this compound?

Choices:
A. 8.8 × 10^-11 M
B. 2.0 × 10^-10 M
C. 7.4 × 10^-14 mol/L
D. 9.4 × 10^-6 mol/L

Reply with exactly one uppercase letter out of A, B, C, or D.
",107
