question,subject,split,answer,final_prompt,len_tk_llama3.1_8b_base
"My name is Lucy. I come from America. I am now in China.  I study in Hangzhou Shulan Middle School. There are many clubs in our school. They are an English club, an art club, a music club, a ball game club, a swimming club, a chess club and a computer club. There is a ""Show Yourselves !"" Festival in our school every year. On that day, students from different clubs show their talents in different ways. They can sing English songs, draw and paint beautiful pictures. They can play the guitar, the violin, the piano, and the trumpets. They can also play chess and show us their swimming skills. They like the festival very much.  I join the art club, and I paint the ads  for them . Giving  help makes me happy. _   makes Lucy happy.",,auxiliary_train-00000-of-00001,C,"My name is Lucy. I come from America. I am now in China.  I study in Hangzhou Shulan Middle School. There are many clubs in our school. They are an English club, an art club, a music club, a ball game club, a swimming club, a chess club and a computer club. There is a ""Show Yourselves !"" Festival in our school every year. On that day, students from different clubs show their talents in different ways. They can sing English songs, draw and paint beautiful pictures. They can play the guitar, the violin, the piano, and the trumpets. They can also play chess and show us their swimming skills. They like the festival very much.  I join the art club, and I paint the ads  for them . Giving  help makes me happy. _   makes Lucy happy.

Choices:
A. Joining the club.
B. Showing her skills
C. Painting for the Festival
D. Studying in a good school

Reply with exactly one uppercase letter out of A, B, C, or D.
",222
It is a Sunday morning. There are many children in the beautiful park. They are having a good time. Some are playing games under a big tree. Some are singing and dancing. Some boys and girls are running up the small hill. Others are boating on the lake. Where is Dick ? He is sitting by the lake. What's he doing? He is drawing. Look ! What is Jane doing? She is on the grass. She is running after a nice butterfly. She wants to get it. Where  is Jane?  _  .,,auxiliary_train-00000-of-00001,B,"It is a Sunday morning. There are many children in the beautiful park. They are having a good time. Some are playing games under a big tree. Some are singing and dancing. Some boys and girls are running up the small hill. Others are boating on the lake. Where is Dick ? He is sitting by the lake. What's he doing? He is drawing. Look ! What is Jane doing? She is on the grass. She is running after a nice butterfly. She wants to get it. Where  is Jane?  _  .

Choices:
A. She's in the boat
B. She's on the grass
C. She's by the lake
D. She's on the hill

Reply with exactly one uppercase letter out of A, B, C, or D.
",164
"School Open Day   Dear students, We have some interesting and fun things for you this term. On September 9th 2014, we have a School Open Day. It begins at 9:00 a.m. and finishes at 4:00 p.m. All parents can come to our school, have a cup of coffee, and meet our teachers and other parents. Your parents can go to your children's classrooms, have a talk with the principal  , have a look at the clubs and ask any questions. From 11:30 a.m. to 12:30 a.m, the parents can go to Room 106 for lunch. If you have any questions about the School Open Day, you can call John Smith --- the principal. The telephone number is 021-4899688. Welcome to our school and join us. School: Apple Tree Middle School When is the School Open Day?",,auxiliary_train-00000-of-00001,B,"School Open Day   Dear students, We have some interesting and fun things for you this term. On September 9th 2014, we have a School Open Day. It begins at 9:00 a.m. and finishes at 4:00 p.m. All parents can come to our school, have a cup of coffee, and meet our teachers and other parents. Your parents can go to your children's classrooms, have a talk with the principal  , have a look at the clubs and ask any questions. From 11:30 a.m. to 12:30 a.m, the parents can go to Room 106 for lunch. If you have any questions about the School Open Day, you can call John Smith --- the principal. The telephone number is 021-4899688. Welcome to our school and join us. School: Apple Tree Middle School When is the School Open Day?

Choices:
A. In 2014 .
B. On September 9 th, 2014.
C. In September.
D. From 9:00 a.m. to 3:00 p.m.

Reply with exactly one uppercase letter out of A, B, C, or D.
",247
"A common heart defect in humans is a ventricular septal defect, in which there is a hole in the septum between the right and left ventricles. If a patient were to have this defect, which of the following statements is correct?",college_medicine,test-00000-of-00001,D,"A common heart defect in humans is a ventricular septal defect, in which there is a hole in the septum between the right and left ventricles. If a patient were to have this defect, which of the following statements is correct?

Choices:
A. The percentage of oxygen in the left atrium would be lower.
B. The percentage of CO2 in the right ventricle would be higher.
C. The percentage of oxygen in the right atrium would be lower.
D. The percentage of oxygen in the right ventricle would be higher.

Reply with exactly one uppercase letter out of A, B, C, or D.
",133
"Many people love going on a trip by plane , but an airport is usually far from the city . You have to arrive there and wait for hours for the plane to take off and it is often late . You can't open the window .You can't choose the food .Planes are fast ,but it takes hours to get out of the airport and into the city . I like travelling by train .I think trains are safe . Train stations are usually in cities . when you are late for a train , you can catch another one . You can walk around in the train and open the windows . You can see many interesing things on your way . I know it takes a little more time . I also like cars . You can start your trip when you want to . and you don't need to get to a station . You can carry many things with you too . But sometimes there are many cars on the road . If you want to take many things with you , you would like to take   _",,auxiliary_train-00000-of-00001,D,"Many people love going on a trip by plane , but an airport is usually far from the city . You have to arrive there and wait for hours for the plane to take off and it is often late . You can't open the window .You can't choose the food .Planes are fast ,but it takes hours to get out of the airport and into the city . I like travelling by train .I think trains are safe . Train stations are usually in cities . when you are late for a train , you can catch another one . You can walk around in the train and open the windows . You can see many interesing things on your way . I know it takes a little more time . I also like cars . You can start your trip when you want to . and you don't need to get to a station . You can carry many things with you too . But sometimes there are many cars on the road . If you want to take many things with you , you would like to take   _

Choices:
A. a bus
B. a train
C. a plane
D. a car

Reply with exactly one uppercase letter out of A, B, C, or D.
",242
"A Gold Cup for an Orange There is a poor man. He has an orange tree. On the tree, there are many fine oranges. One of them is very, very big. It is as big as a football. Nobody sees so big an orange. The poor man is very happy. He takes it to the king . The King is so pleased that he gives the man a lot of money for it. When a rich man hears of it, he says to himself, ""It's only an orange. Why does the king give so much money for it? I'll take my gold cup to the king. He'll give me more money"". The next day when the king receives   the gold cup, he says to the rich man, ""what a beautiful cup! I'll show you something wonderful, please take this great orange away. The orange is  _",,auxiliary_train-00000-of-00001,C,"A Gold Cup for an Orange There is a poor man. He has an orange tree. On the tree, there are many fine oranges. One of them is very, very big. It is as big as a football. Nobody sees so big an orange. The poor man is very happy. He takes it to the king . The King is so pleased that he gives the man a lot of money for it. When a rich man hears of it, he says to himself, ""It's only an orange. Why does the king give so much money for it? I'll take my gold cup to the king. He'll give me more money"". The next day when the king receives   the gold cup, he says to the rich man, ""what a beautiful cup! I'll show you something wonderful, please take this great orange away. The orange is  _

Choices:
A. a football
B. like a gold cup
C. like a football
D. like an egg

Reply with exactly one uppercase letter out of A, B, C, or D.
",219
"Animals are our friends. We can find different kinds of animals on Earth. Some animals are living in big forests. And some animals are living with man. Animals are very important to man. For example, people can train the elephants to do some heavy work. And they can also train the dogs to look after the house. A police dog is clever. It can help people in danger. And it can also help the policeman to catch the thieves or murderers. The children like dogs very much. Everyone knows sheep and pigs very well. Man eats their meat almost every day. People can make coasts and shoes with their skins. From cows, we can get milk. It's good for our health. And horses can take us to other places. In some places, horses and camels are instead of car and buses. It's clear that man can't live comfortably without these animals. We can get milk from  _  .",,auxiliary_train-00000-of-00001,D,"Animals are our friends. We can find different kinds of animals on Earth. Some animals are living in big forests. And some animals are living with man. Animals are very important to man. For example, people can train the elephants to do some heavy work. And they can also train the dogs to look after the house. A police dog is clever. It can help people in danger. And it can also help the policeman to catch the thieves or murderers. The children like dogs very much. Everyone knows sheep and pigs very well. Man eats their meat almost every day. People can make coasts and shoes with their skins. From cows, we can get milk. It's good for our health. And horses can take us to other places. In some places, horses and camels are instead of car and buses. It's clear that man can't live comfortably without these animals. We can get milk from  _  .

Choices:
A. dogs
B. pigs
C. hens
D. cows

Reply with exactly one uppercase letter out of A, B, C, or D.
",225
"Wei Hua had a busy day yesterday. She got up before 7 o'clock in the morning, and quickly washed her hands and face. She got to school early. She had a little rest after lunch, but worked hard in class all day. She played basketball after school, and then she walked home. Wei Hua's pen was broken, so she needed a new one. On her way home she bought a new pen at a shop. When she reached home, she had a short rest and a glass of water. After that she helped her parents. She quickly cooked the supper, and cleaned the house. She watched TV for half an hour after supper. Then she started her homework. She finished it at half past nine. She went to bed before a quarter to ten. What did she buy on her way home?",,auxiliary_train-00000-of-00001,D,"Wei Hua had a busy day yesterday. She got up before 7 o'clock in the morning, and quickly washed her hands and face. She got to school early. She had a little rest after lunch, but worked hard in class all day. She played basketball after school, and then she walked home. Wei Hua's pen was broken, so she needed a new one. On her way home she bought a new pen at a shop. When she reached home, she had a short rest and a glass of water. After that she helped her parents. She quickly cooked the supper, and cleaned the house. She watched TV for half an hour after supper. Then she started her homework. She finished it at half past nine. She went to bed before a quarter to ten. What did she buy on her way home?

Choices:
A. A book.
B. Some food.
C. Some drinks.
D. A pen

Reply with exactly one uppercase letter out of A, B, C, or D.
",208
"A shopkeeper is the owner of a vacant lot in fee simple absolute (the record title is also in the shopkeeper). In 1960, the shopkeeper conveyed the property by general warranty deed as follows: ""The grantor hereby conveys the vacant lot to my friend, but if the property shall ever be used for church purposes, then to the children of my sister who reach the age of 25. "" At the time of the conveyance, the sister was single. Thereafter, the sister married and had two sons. Subsequently, one son died in an automobile accident. Three years after that son's death, the sister had a daughter. In an appropriate action to determine the ownership rights to the vacant lot with all minors represented, title is in",professional_law,test-00000-of-00001,A,"A shopkeeper is the owner of a vacant lot in fee simple absolute (the record title is also in the shopkeeper). In 1960, the shopkeeper conveyed the property by general warranty deed as follows: ""The grantor hereby conveys the vacant lot to my friend, but if the property shall ever be used for church purposes, then to the children of my sister who reach the age of 25. "" At the time of the conveyance, the sister was single. Thereafter, the sister married and had two sons. Subsequently, one son died in an automobile accident. Three years after that son's death, the sister had a daughter. In an appropriate action to determine the ownership rights to the vacant lot with all minors represented, title is in

Choices:
A. the friend only.
B. the friend, the son, and the daughter.
C. the friend, the son, the daughter, and any additional children of the sister born during her lifetime.
D. the friend, the son, the daughter, and any additional children of the sister born within 21 years after the death of the deceased son.

Reply with exactly one uppercase letter out of A, B, C, or D.
",248
In which of the following situations is the defendant most likely to be found guilty of manslaughter rather than murder?,professional_law,test-00000-of-00001,D,"In which of the following situations is the defendant most likely to be found guilty of manslaughter rather than murder?

Choices:
A. Not intending to kill, a defendant hits a person over the head with a pipe. As a result, the person dies from head injuries.
B. Not intending to kill, a defendant throws a large chunk of ice off an overpass onto a busy freeway below. The chunk of ice crashes through a windshield, killing a driver.
C. Not intending to kill, a defendant kidnaps a victim and takes her to a remote area of the desert. The defendant then drives off, leaving victim alone in the sweltering heat after the ransom is not paid. The next day, the victim dies from exposure because she is unable to reach the nearest town eight miles away.
D. Not intending to kill, a defendant punches a victim in the face, causing the victim to fall backwards and strike his head on a curb, killing him.

Reply with exactly one uppercase letter out of A, B, C, or D.
",210
"Mr. King works very long hours every day. He usually gets up at 5:30. He brushes his teeth quickly and goes to his workplace  . Then he runs with some kids. After that he takes a shower. He eats his breakfast at 7:00. His work starts at 8:10. He is good at math and many boys and girls learn math from him. All the kids like him very much. He often talks or plays games with the kids. He usually goes to bed after 22:00. He is often very tired but he likes his job and loves the kids. He doesn't work on weekends. Mr. King likes reading at home on weekends. Sometimes some kids' parents come to his home to talk about their kids. When Monday comes, Mr. King gets busy again. Mr. King is good at   _  .",,auxiliary_train-00000-of-00001,D,"Mr. King works very long hours every day. He usually gets up at 5:30. He brushes his teeth quickly and goes to his workplace  . Then he runs with some kids. After that he takes a shower. He eats his breakfast at 7:00. His work starts at 8:10. He is good at math and many boys and girls learn math from him. All the kids like him very much. He often talks or plays games with the kids. He usually goes to bed after 22:00. He is often very tired but he likes his job and loves the kids. He doesn't work on weekends. Mr. King likes reading at home on weekends. Sometimes some kids' parents come to his home to talk about their kids. When Monday comes, Mr. King gets busy again. Mr. King is good at   _  .

Choices:
A. English
B. science
C. history
D. math

Reply with exactly one uppercase letter out of A, B, C, or D.
",213
"""Eat your breakfast. It's the most important meal of the day!"" Why are parents always saying that? Well, a person is like a car. After a long night of sleeping, there is no fuel in your fuel tank . Breakfast is like the fuel. It makes you work or walk on the road. What should you eat? Any breakfast is better than no breakfast, but try not to have hamburgers or dessert  all the time. They don't have the necessary nutrients . And if you have a hamburger for breakfast, you won't feel full for long. Try to eat all kinds of foods like grains, fruit, vegetables and drink some milk. Oh, try to eat more apples because an apple a day can help to keep the doctor away. The writer thinks breakfast is like the   _",,auxiliary_train-00000-of-00001,A,"""Eat your breakfast. It's the most important meal of the day!"" Why are parents always saying that? Well, a person is like a car. After a long night of sleeping, there is no fuel in your fuel tank . Breakfast is like the fuel. It makes you work or walk on the road. What should you eat? Any breakfast is better than no breakfast, but try not to have hamburgers or dessert  all the time. They don't have the necessary nutrients . And if you have a hamburger for breakfast, you won't feel full for long. Try to eat all kinds of foods like grains, fruit, vegetables and drink some milk. Oh, try to eat more apples because an apple a day can help to keep the doctor away. The writer thinks breakfast is like the   _

Choices:
A. fuel
B. car
C. friend
D. teacher

Reply with exactly one uppercase letter out of A, B, C, or D.
",198
"Tomorrow is Saturday. I'm not going to work, and my brother isn't going to school. We are going to play table tennis. We are going to have lunch in a restaurant. We're coming home at five. My parents are going to visit my grandparents. They are going to get home at half past five. We are going to help my mother cook the dinner. After supper, I am going to dance with my friends, and my brother is going to watch TV with my parents. What day is it today?",,auxiliary_train-00000-of-00001,C,"Tomorrow is Saturday. I'm not going to work, and my brother isn't going to school. We are going to play table tennis. We are going to have lunch in a restaurant. We're coming home at five. My parents are going to visit my grandparents. They are going to get home at half past five. We are going to help my mother cook the dinner. After supper, I am going to dance with my friends, and my brother is going to watch TV with my parents. What day is it today?

Choices:
A. Saturday.
B. Sunday.
C. Friday.
D. Monday

Reply with exactly one uppercase letter out of A, B, C, or D.
",142
"I am Tom. My good friends are John and Ann. John's house is next to my house, and we are in the same class. He's thirteen years old and he's tall. He has blond hair and blue eyes. He is very polite . His English is very good and he often helps me. He likes white. He likes wearing  a T-shirt, but in the photo he is in a blue shirt. My friend Ann doesn't go to school. She is young. She is only seven. She has long brown hair and brown eyes. She likes yellow, and she likes bananas very much. She often buys bananas for her mother. Her mother likes her very much. John likes  _  and Ann likes  _  .",,auxiliary_train-00000-of-00001,C,"I am Tom. My good friends are John and Ann. John's house is next to my house, and we are in the same class. He's thirteen years old and he's tall. He has blond hair and blue eyes. He is very polite . His English is very good and he often helps me. He likes white. He likes wearing  a T-shirt, but in the photo he is in a blue shirt. My friend Ann doesn't go to school. She is young. She is only seven. She has long brown hair and brown eyes. She likes yellow, and she likes bananas very much. She often buys bananas for her mother. Her mother likes her very much. John likes  _  and Ann likes  _  .

Choices:
A. brown; blue
B. blue; brown
C. white; yellow
D. shirts; bananas

Reply with exactly one uppercase letter out of A, B, C, or D.
",195
"A good way to pass the exam is to work hard every day. You may not pass an exam if you word hard all the time before the exam. If you are getting ready for an English exam, do not only learn grammar rulers .  Try to read stories in Enlish and speak English _ you can. Before you start the exam, read the questions carefully. Try to understand the exact meaning of each question before you pick up your pen to write. When you finish you exam, read you answers once more, correct the mistake  if there are any and make sure that you don't miss anything out. Before you start the  exam  _",,auxiliary_train-00000-of-00001,D,"A good way to pass the exam is to work hard every day. You may not pass an exam if you word hard all the time before the exam. If you are getting ready for an English exam, do not only learn grammar rulers .  Try to read stories in Enlish and speak English _ you can. Before you start the exam, read the questions carefully. Try to understand the exact meaning of each question before you pick up your pen to write. When you finish you exam, read you answers once more, correct the mistake  if there are any and make sure that you don't miss anything out. Before you start the  exam  _

Choices:
A. read the answers
B. correct the mistake
C. write the meaning of each question
D. read the questions carefully

Reply with exactly one uppercase letter out of A, B, C, or D.
",179
Jack is having a great and relaxing summer.He is visiting his grandmother in Florida .The weather is hot and sunny.He is staying at his grandmother's home.It's very nice and near the beach.He goes to the beach with friends every day.They play volleyball there a lot.He watches TV or reads books in the evening.He is reading an interesting story-book now.The stories are really scary.His grandmother is making dinner now.She wants Jack to help her. What do they often do on the beach?,,auxiliary_train-00000-of-00001,C,"Jack is having a great and relaxing summer.He is visiting his grandmother in Florida .The weather is hot and sunny.He is staying at his grandmother's home.It's very nice and near the beach.He goes to the beach with friends every day.They play volleyball there a lot.He watches TV or reads books in the evening.He is reading an interesting story-book now.The stories are really scary.His grandmother is making dinner now.She wants Jack to help her. What do they often do on the beach?

Choices:
A. They often play football.
B. They often play chess.
C. They often play volleyball on the beach.
D. They often sleep on the beach.

Reply with exactly one uppercase letter out of A, B, C, or D.
",151
"The best way of learning a language is using it. The best way of learning English is talking in English as much as possible. Sometimes you'll get your words mixed up  and people will not understand you. Sometimes people will say things too quickly and you can't understand them. But if you keep your sense of humor , you can always have a good laugh at your mistakes you make. Don't be unhappy if people seem to be laughing at your mistakes. It's better for people to laugh at your mistakes than to be angry with you, because they don't understand what you are saying. The most important things for learning English is: ""Don't be afraid of making mistakes because everyone makes mistakes ."" What should you do in learning English?",,auxiliary_train-00000-of-00001,C,"The best way of learning a language is using it. The best way of learning English is talking in English as much as possible. Sometimes you'll get your words mixed up  and people will not understand you. Sometimes people will say things too quickly and you can't understand them. But if you keep your sense of humor , you can always have a good laugh at your mistakes you make. Don't be unhappy if people seem to be laughing at your mistakes. It's better for people to laugh at your mistakes than to be angry with you, because they don't understand what you are saying. The most important things for learning English is: ""Don't be afraid of making mistakes because everyone makes mistakes ."" What should you do in learning English?

Choices:
A. We should be careful not to make any mistakes.
B. We should write as quickly as we can.
C. We should speak English as much as we can.
D. we should laugh more often.

Reply with exactly one uppercase letter out of A, B, C, or D.
",212
"Today is Saturday. It's sunny and warm. Many children from No. 1 Middle School are at the Old People's Home. Now, they're helping the old people. Look! Li Min and Zhan Ran are cleaning the windows. Ma Lan and Liu Qian are washing clothes. What's Li Na doing over there? Many old people are clapping their hands for her. Oh,  she's singing for them. Her song is really beautiful. And where's the American boy, Tom? He likes helping others and he often comes here. Listen! Who's speaking English? It's Tom. He's teaching two old people to speak English. All the children and the old people are very happy. ""We are happy when we help others, "" says Tom. How many children in the passage?",,auxiliary_train-00000-of-00001,D,"Today is Saturday. It's sunny and warm. Many children from No. 1 Middle School are at the Old People's Home. Now, they're helping the old people. Look! Li Min and Zhan Ran are cleaning the windows. Ma Lan and Liu Qian are washing clothes. What's Li Na doing over there? Many old people are clapping their hands for her. Oh,  she's singing for them. Her song is really beautiful. And where's the American boy, Tom? He likes helping others and he often comes here. Listen! Who's speaking English? It's Tom. He's teaching two old people to speak English. All the children and the old people are very happy. ""We are happy when we help others, "" says Tom. How many children in the passage?

Choices:
A. Three.
B. Four.
C. Five.
D. Six.

Reply with exactly one uppercase letter out of A, B, C, or D.
",200
"Once a great boxer  , Tom Brown, went to a restaurant for dinner. He put his bag near the door, but he was afraid that someone would take it. So he got out a pen and a piece of paper and wrote on it: ""The great boxer, Tom Brown, left his bag here. He'll come back in a few minutes. "" He put the paper on his bag and went to have his dinner. When he came back, his bag wasn't there. But he found a piece of paper on the ground. It said: ""A great runner took away your bag, and he will not come back. "" Tom Brown went to the restaurant   _  .",,auxiliary_train-00000-of-00001,C,"Once a great boxer  , Tom Brown, went to a restaurant for dinner. He put his bag near the door, but he was afraid that someone would take it. So he got out a pen and a piece of paper and wrote on it: ""The great boxer, Tom Brown, left his bag here. He'll come back in a few minutes. "" He put the paper on his bag and went to have his dinner. When he came back, his bag wasn't there. But he found a piece of paper on the ground. It said: ""A great runner took away your bag, and he will not come back. "" Tom Brown went to the restaurant   _  .

Choices:
A. for his bag
B. to see the runner
C. to have his meal
D. for his pen

Reply with exactly one uppercase letter out of A, B, C, or D.
",185
"Four friends live in a small town. Their names are Cook, Miller, Smith, and Carter. They have different jobs. One is a policeman, one is a carpenter , one is a farmer, and one is a doctor. One day Cook's son broke  his right leg, and Cook took him to the doctor. The doctor's sister is Smith's wife. The farmer isn't married . He has a lot of good hens. Miller always buys eggs from the farmer. The policeman sees Smith every day because they are neighbors . If you need, you can get   _   to repair  your desk.",,auxiliary_train-00000-of-00001,B,"Four friends live in a small town. Their names are Cook, Miller, Smith, and Carter. They have different jobs. One is a policeman, one is a carpenter , one is a farmer, and one is a doctor. One day Cook's son broke  his right leg, and Cook took him to the doctor. The doctor's sister is Smith's wife. The farmer isn't married . He has a lot of good hens. Miller always buys eggs from the farmer. The policeman sees Smith every day because they are neighbors . If you need, you can get   _   to repair  your desk.

Choices:
A. Cook
B. Smith
C. Miller
D. Carter

Reply with exactly one uppercase letter out of A, B, C, or D.
",161
"China's Winter Olympians have been welcomed home as national heroes from Vancouver, Canada. The country enjoyed its best Winter Games results, collecting 11 medals in Vancouver--including  5 gold medals. With flowers and national flags in hands, many people waited at Beijing Airport for hours. Every member was received by a crowd of family members and friends. Hundreds of workers and fans welcomed the athletes and coaches back with color balloons and ribbons. Wang Meng who won three gold medals in Vancouver Winter Olympics said, ""We have shown the Olympic spirit and our Chinese sports spirit at the Vancouver Olympics. We Chinese athletes didn't fear to meet the strong opponents   and had good team work."" ,. How many gold medals did Wang Meng win in Vancouver?",,auxiliary_train-00000-of-00001,C,"China's Winter Olympians have been welcomed home as national heroes from Vancouver, Canada. The country enjoyed its best Winter Games results, collecting 11 medals in Vancouver--including  5 gold medals. With flowers and national flags in hands, many people waited at Beijing Airport for hours. Every member was received by a crowd of family members and friends. Hundreds of workers and fans welcomed the athletes and coaches back with color balloons and ribbons. Wang Meng who won three gold medals in Vancouver Winter Olympics said, ""We have shown the Olympic spirit and our Chinese sports spirit at the Vancouver Olympics. We Chinese athletes didn't fear to meet the strong opponents   and had good team work."" ,. How many gold medals did Wang Meng win in Vancouver?

Choices:
A. One.
B. Two.
C. Three.
D. Four.

Reply with exactly one uppercase letter out of A, B, C, or D.
",184
"During a deer-hunting season open to rifle hunters, a hunter saw a deer in the forest. He shot his rifle at the deer, hoping to hit and kill it. Instead, he hit and injured a hiker. The hunter had not realized that the hiker was there. Does the injured hiker have an actionable battery claim against the hunter?",professional_law,test-00000-of-00001,A,"During a deer-hunting season open to rifle hunters, a hunter saw a deer in the forest. He shot his rifle at the deer, hoping to hit and kill it. Instead, he hit and injured a hiker. The hunter had not realized that the hiker was there. Does the injured hiker have an actionable battery claim against the hunter?

Choices:
A. No, because the hunter did not intend to shoot the hiker.
B. No, because the hunter did not make direct physical contact with the hiker.
C. Yes, because the bullet from the hunter's rifle made direct physical contact with the hiker.
D. Yes, because the hunter intentionally shot the rifle.

Reply with exactly one uppercase letter out of A, B, C, or D.
",158
"Until 1954, the state of New Atlantic required segregation in all public and private schools, but all public schools are now desegregated. Other state laws, enacted before 1954 and continuing to the present, provide for free distribution of the same textbooks on secular subjects to students in all public and private schools. In addition, the state accredits schools and certifies teachers. Little White School, a private school that offers elementary and secondary education in the state denies admission to all non-Caucasians. Stone School is a private school that offers religious instruction.""Which of the following is the strongest argument against the constitutionality of free distribution of textbooks to the students at the Little White School?",,auxiliary_train-00000-of-00001,D,"Until 1954, the state of New Atlantic required segregation in all public and private schools, but all public schools are now desegregated. Other state laws, enacted before 1954 and continuing to the present, provide for free distribution of the same textbooks on secular subjects to students in all public and private schools. In addition, the state accredits schools and certifies teachers. Little White School, a private school that offers elementary and secondary education in the state denies admission to all non-Caucasians. Stone School is a private school that offers religious instruction.""Which of the following is the strongest argument against the constitutionality of free distribution of textbooks to the students at the Little White School?

Choices:
A. No legitimate educational function is served by the free distribution of textbooks.
B. The state may not in any way aid private schools.
C. The Constitution forbids private bias of any kind.
D. Segregation is furthered by the distribution of textbooks to these students.

Reply with exactly one uppercase letter out of A, B, C, or D.
",217
"Jim is a little boy. He stays with his grandma. He likes sweets and cakes. He always eats some food with sweets before he goes to bed. And as soon as he gets up in the morning, he can find some cakes on the table in his bedroom. One morning, before Jim got up, his grandma took some cakes to his bedroom. She saw Jim crying in bed. ""What's the matter, dear?"" his grandma asked in a hurry. ""I've a bad toothache,"" said Jim. So his grandma had to take him to the dentist's. The dentist pulled out the bad tooth for him at last. Two days later Jim felt better and was at school again. Mrs. Hunt asked, ""What was the matter with you those days, Jim?"" ""I had a bad toothache, madam,"" answered Jim. ""Oh, I'm sorry to hear that,"" said Mrs. Hunt. ""Is it better now?"" ""I don't know, madam. I left it with the dentist."" Jim stays with his  _  .",,auxiliary_train-00000-of-00001,C,"Jim is a little boy. He stays with his grandma. He likes sweets and cakes. He always eats some food with sweets before he goes to bed. And as soon as he gets up in the morning, he can find some cakes on the table in his bedroom. One morning, before Jim got up, his grandma took some cakes to his bedroom. She saw Jim crying in bed. ""What's the matter, dear?"" his grandma asked in a hurry. ""I've a bad toothache,"" said Jim. So his grandma had to take him to the dentist's. The dentist pulled out the bad tooth for him at last. Two days later Jim felt better and was at school again. Mrs. Hunt asked, ""What was the matter with you those days, Jim?"" ""I had a bad toothache, madam,"" answered Jim. ""Oh, I'm sorry to hear that,"" said Mrs. Hunt. ""Is it better now?"" ""I don't know, madam. I left it with the dentist."" Jim stays with his  _  .

Choices:
A. father
B. mother
C. grandma
D. uncle

Reply with exactly one uppercase letter out of A, B, C, or D.
",252
"Wang Xiaojun is twelve years old.He lives in the country in Hubei.Today is his birthday.His parents prepare a nice dinner for him, but the boy says,""I won't have the dinner , today is over, and my parents are going to Shenzhen tomorrow.I don't want to let them go. Wang Xiaojun has the birthday with his parents for the first time in the past three years.Three years ago, his parents went to Shenzhen to work in 2011.They stayed and worked there for three years.Tomorrow they have to go back to Shenahen. Wang is not the only stay-at-home child .In the country of China ,there are many children staying at home without their parents.Stay-at-home children have a lot of problems.Most of them stay with their grandparents.Some of them don't study well because their parents can't help them with their study. The Chinese government  now is trying to solve their problems. When was Wang xiaojun born?",,auxiliary_train-00000-of-00001,C,"Wang Xiaojun is twelve years old.He lives in the country in Hubei.Today is his birthday.His parents prepare a nice dinner for him, but the boy says,""I won't have the dinner , today is over, and my parents are going to Shenzhen tomorrow.I don't want to let them go. Wang Xiaojun has the birthday with his parents for the first time in the past three years.Three years ago, his parents went to Shenzhen to work in 2011.They stayed and worked there for three years.Tomorrow they have to go back to Shenahen. Wang is not the only stay-at-home child .In the country of China ,there are many children staying at home without their parents.Stay-at-home children have a lot of problems.Most of them stay with their grandparents.Some of them don't study well because their parents can't help them with their study. The Chinese government  now is trying to solve their problems. When was Wang xiaojun born?

Choices:
A. In 2000
B. In 2001
C. In 2002
D. In 2003

Reply with exactly one uppercase letter out of A, B, C, or D.
",254
"In the United States,boys and girls start school when they are five years old.In some states they must stay in school until they are sixteen.Most students are seventeen or eighteen years old when they graduate from secondary school.another name for high school.Most children go to public elementary and secondary schools .The parents of public pupils do not have to pay for their children's education because taxes support the public schools.If a child goes to a private school ,his parents have to pay for the child's education.Today about half of the high school students go on to colleges and universities .Some colleges and universities receive money support from the government .A student at a state university does not have to pay very much if his parents live in that state.Private schools are expensive,however.Almost half of the college students in the USA work while studying.If a student's family is not rich,he has to make money for part of his college expenses . _  support(s) some colleges and university.",,auxiliary_train-00000-of-00001,D,"In the United States,boys and girls start school when they are five years old.In some states they must stay in school until they are sixteen.Most students are seventeen or eighteen years old when they graduate from secondary school.another name for high school.Most children go to public elementary and secondary schools .The parents of public pupils do not have to pay for their children's education because taxes support the public schools.If a child goes to a private school ,his parents have to pay for the child's education.Today about half of the high school students go on to colleges and universities .Some colleges and universities receive money support from the government .A student at a state university does not have to pay very much if his parents live in that state.Private schools are expensive,however.Almost half of the college students in the USA work while studying.If a student's family is not rich,he has to make money for part of his college expenses . _  support(s) some colleges and university.

Choices:
A. Some children's parents
B. Many teachers
C. A few secondary schools
D. The government

Reply with exactly one uppercase letter out of A, B, C, or D.
",240
"Mr. White is an American. He is 38. He teaches science in a school now. He is always busy. Every day he gets up early and gets home late. He is strict in his work. His favorite sport is soccer. He often plays soccer with his students on Fridays. He wants to be a newspaper reporter because he likes writing stories. He hopes he can come to China next year. ,(10) What does he do now?",,auxiliary_train-00000-of-00001,A,"Mr. White is an American. He is 38. He teaches science in a school now. He is always busy. Every day he gets up early and gets home late. He is strict in his work. His favorite sport is soccer. He often plays soccer with his students on Fridays. He wants to be a newspaper reporter because he likes writing stories. He hopes he can come to China next year. ,(10) What does he do now?

Choices:
A. A teacher
B. A reporter
C. A worker
D. A doctor

Reply with exactly one uppercase letter out of A, B, C, or D.
",131
