question,question_concept,_split,answer,final_prompt,len_tk_llama3.1_8b_instruct
If you're going to a party in a new town what are you hoping to make?,going to party,validation-00000-of-00001,B,"Question:
If you're going to a party in a new town what are you hoping to make?

Which of the following is the best response to the question?

Choices:
A. getting drunk
B. making new friends
C. new contacts
D. doing drugs
E. set home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"The teacher played on the upright piano, she was explaining the song to all the students in the what?",upright piano,validation-00000-of-00001,A,"Question:
The teacher played on the upright piano, she was explaining the song to all the students in the what?

Which of the following is the best response to the question?

Choices:
A. music room
B. bathroom
C. house
D. living room
E. music store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
Where are hot dogs are a commonly sold item away from a grocery store?,hot dogs,train-00000-of-00001,E,"Question:
Where are hot dogs are a commonly sold item away from a grocery store?

Which of the following is the best response to the question?

Choices:
A. park
B. disneyland
C. churro stand
D. bowling alley
E. sporting event

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"Jane was going to the party.  She didn't care about making friends or gorging on alcohol, she just wanted to do what?",going to party,train-00000-of-00001,D,"Question:
Jane was going to the party.  She didn't care about making friends or gorging on alcohol, she just wanted to do what?

Which of the following is the best response to the question?

Choices:
A. plan
B. meet new people
C. work
D. have fun
E. getting drunk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"Bob lights a fire in the wood stove in the winter, what does he want?",fire,train-00000-of-00001,E,"Question:
Bob lights a fire in the wood stove in the winter, what does he want?

Which of the following is the best response to the question?

Choices:
A. emits light
B. warm hands
C. boil water
D. emit light
E. warm house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"If you're driving to catch a flight connection, what is the fasted road to take?",connection,train-00000-of-00001,D,"Question:
If you're driving to catch a flight connection, what is the fasted road to take?

Which of the following is the best response to the question?

Choices:
A. secret passageway
B. airport
C. computer network
D. freeway
E. wires

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
Given people's opinion of congress what place might they give the mascot of a weasel to?,weasel,train-00000-of-00001,B,"Question:
Given people's opinion of congress what place might they give the mascot of a weasel to?

Which of the following is the best response to the question?

Choices:
A. state
B. washington dc
C. henhouse
D. public office
E. out of doors

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",punishing,train-00000-of-00001,A,"Question:
The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?

Which of the following is the best response to the question?

Choices:
A. ignore
B. enforce
C. authoritarian
D. yell at
E. avoid

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
If you're waiting for traffic for a long time you might be what arriving to work?,waiting for,train-00000-of-00001,D,"Question:
If you're waiting for traffic for a long time you might be what arriving to work?

Which of the following is the best response to the question?

Choices:
A. lenthy
B. have time to think
C. time consuming
D. being late
E. boredom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"When the baby was born, what did the new grandmother claim it did for her?",baby,train-00000-of-00001,C,"Question:
When the baby was born, what did the new grandmother claim it did for her?

Which of the following is the best response to the question?

Choices:
A. boy or girl
B. park
C. bring joy
D. arrive on time
E. nurse

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"The student had difficulties reading, he would furrow his brow while doing what on a line of the book?",reading,train-00000-of-00001,A,"Question:
The student had difficulties reading, he would furrow his brow while doing what on a line of the book?

Which of the following is the best response to the question?

Choices:
A. concentrating
B. concentration
C. acquiring knowledge
D. sleeping
E. written material

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"He wanted to play an alto sax to be clearly heard over the other ruckus, what was he a member of?",alto,train-00000-of-00001,B,"Question:
He wanted to play an alto sax to be clearly heard over the other ruckus, what was he a member of?

Which of the following is the best response to the question?

Choices:
A. symphony
B. marching band
C. create opera
D. choir
E. instrument

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"When one is using computers for a long period of time, what might happen to the human body?",using computer,train-00000-of-00001,A,"Question:
When one is using computers for a long period of time, what might happen to the human body?

Which of the following is the best response to the question?

Choices:
A. headache
B. addiction
C. editing
D. falling asleep
E. carpal tunnel syndrome

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"I was depressed and my friends threw me a party, why did they do that?",entertain,train-00000-of-00001,B,"Question:
I was depressed and my friends threw me a party, why did they do that?

Which of the following is the best response to the question?

Choices:
A. reciprocity
B. make happy
C. make money
D. get drunk
E. embarrassing yourself

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"The fat child could not be trusted to have food around, there was only one thing it would do and that was what?",have food,train-00000-of-00001,A,"Question:
The fat child could not be trusted to have food around, there was only one thing it would do and that was what?

Which of the following is the best response to the question?

Choices:
A. eat food
B. eating
C. vomit
D. prepare
E. say grace

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
When a union shop decides to go off strike what will they do?,go off strike,train-00000-of-00001,E,"Question:
When a union shop decides to go off strike what will they do?

Which of the following is the best response to the question?

Choices:
A. more money
B. rule the city
C. reasonable
D. not go to work
E. return to work

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"The tourists spent all day seeing the landmarks, they started at a subway station on upper west side of where?",subway station,train-00000-of-00001,B,"Question:
The tourists spent all day seeing the landmarks, they started at a subway station on upper west side of where?

Which of the following is the best response to the question?

Choices:
A. toronto
B. manhattan
C. san jose
D. large city
E. city underground

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"If you have a ticket and you are planning to eat hot dogs, where would you go?",ticket,validation-00000-of-00001,C,"Question:
If you have a ticket and you are planning to eat hot dogs, where would you go?

Which of the following is the best response to the question?

Choices:
A. lottery
B. person's hand
C. baseball stadium
D. movie
E. kitchen

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"The fat man had only ran the length of the driveway, it was a start but he was already what?",running,train-00000-of-00001,D,"Question:
The fat man had only ran the length of the driveway, it was a start but he was already what?

Which of the following is the best response to the question?

Choices:
A. fall down
B. dehydration
C. running
D. breathing hard
E. sweat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"The man spent big money and time maintaining his lawn, it was part of keeping up with the Joneses where?",lawn,train-00000-of-00001,B,"Question:
The man spent big money and time maintaining his lawn, it was part of keeping up with the Joneses where?

Which of the following is the best response to the question?

Choices:
A. front yard
B. suburbia
C. neighborhood
D. back yard
E. golf course

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"There was a surplus of condos due to the overuse of space in the area, where were the condos located?",condo,train-00000-of-00001,E,"Question:
There was a surplus of condos due to the overuse of space in the area, where were the condos located?

Which of the following is the best response to the question?

Choices:
A. central park
B. milwaukee
C. city
D. vacation spot
E. suburbia

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"The religious community was having a bake sale, it took place in the basement of the what?",basement,train-00000-of-00001,E,"Question:
The religious community was having a bake sale, it took place in the basement of the what?

Which of the following is the best response to the question?

Choices:
A. closet
B. parking lot
C. office building
D. own house
E. church

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"Holding a iron and looking in the distance the idea seemed simple enough to him, he just had to get the ball in the what?",ball,train-00000-of-00001,D,"Question:
Holding a iron and looking in the distance the idea seemed simple enough to him, he just had to get the ball in the what?

Which of the following is the best response to the question?

Choices:
A. basketball hoop
B. sporting event
C. sporting goods store
D. hole
E. pool table

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"Billy tried to arise, but he could not stand from bed. He continued to do what?",arise,train-00000-of-00001,D,"Question:
Billy tried to arise, but he could not stand from bed. He continued to do what?

Which of the following is the best response to the question?

Choices:
A. fall down
B. lie flat
C. get down
D. lay down
E. sitting down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
Young Timmy had a weak arm and could never quite land the newspaper all the way up on my what?,newspaper,train-00000-of-00001,D,"Question:
Young Timmy had a weak arm and could never quite land the newspaper all the way up on my what?

Which of the following is the best response to the question?

Choices:
A. library
B. jail
C. subway
D. porch
E. floor

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
Where would you find a parking area near if you're hoping to ride a rollercoaster?,parking area,train-00000-of-00001,B,"Question:
Where would you find a parking area near if you're hoping to ride a rollercoaster?

Which of the following is the best response to the question?

Choices:
A. city
B. amusement park
C. parkade
D. apartment complex
E. people

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"The person knew the police were after him, so what did he do?",person,train-00000-of-00001,C,"Question:
The person knew the police were after him, so what did he do?

Which of the following is the best response to the question?

Choices:
A. the sun
B. catch cold
C. prepare to go
D. feel humiliated
E. hunt for food

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
If someone has a strong feeling of greed and wants to make some quick money what might they try to do?,greed,train-00000-of-00001,A,"Question:
If someone has a strong feeling of greed and wants to make some quick money what might they try to do?

Which of the following is the best response to the question?

Choices:
A. play poker
B. dominate world
C. advance into battle
D. conquer opponent
E. make friends

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
A monkey with a knife was spotted picking bananas from a tree.  Where might that monkey have been?,monkey,train-00000-of-00001,C,"Question:
A monkey with a knife was spotted picking bananas from a tree.  Where might that monkey have been?

Which of the following is the best response to the question?

Choices:
A. nigeria
B. brazil
C. south american country
D. rain forest
E. works

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"Boredom led him to go out to the bar, there were many characters there and he what?",boredom,train-00000-of-00001,A,"Question:
Boredom led him to go out to the bar, there were many characters there and he what?

Which of the following is the best response to the question?

Choices:
A. meet interesting people
B. play games
C. field
D. skateboard
E. listen to music

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"The blowfish was being served at a Michelin starred restaurant, where was this likely happening?",blowfish,train-00000-of-00001,A,"Question:
The blowfish was being served at a Michelin starred restaurant, where was this likely happening?

Which of the following is the best response to the question?

Choices:
A. france
B. japan
C. atlantic ocean
D. fish market
E. books

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"If I was getting drunk, and people couldn't understand me, what might I be having?",getting drunk,validation-00000-of-00001,B,"Question:
If I was getting drunk, and people couldn't understand me, what might I be having?

Which of the following is the best response to the question?

Choices:
A. a seizure
B. slurred speech
C. death
D. forgetfulness
E. pass out

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"The nice lady nursed the injured and abandoned cat back to health, after recovery it went on to what?",cat,train-00000-of-00001,D,"Question:
The nice lady nursed the injured and abandoned cat back to health, after recovery it went on to what?

Which of the following is the best response to the question?

Choices:
A. dog
B. see king
C. sun itself
D. live many years
E. meow

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"As he looked out the window, he knew the landing was happening soon, and it made him nervous, but where would he be soon?",landing,validation-00000-of-00001,E,"Question:
As he looked out the window, he knew the landing was happening soon, and it made him nervous, but where would he be soon?

Which of the following is the best response to the question?

Choices:
A. apartment building
B. disembark
C. stairwell
D. deplane
E. airport

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
How might young adult friends have fun?,friends,train-00000-of-00001,B,"Question:
How might young adult friends have fun?

Which of the following is the best response to the question?

Choices:
A. adult friends don't like to clean room and play poker
B. going out at night
C. jump rope
D. tell story
E. clean room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"The bird flew around and around, finally it landed on a branch with its what?",bird,train-00000-of-00001,D,"Question:
The bird flew around and around, finally it landed on a branch with its what?

Which of the following is the best response to the question?

Choices:
A. having for pet
B. falling down
C. feathers
D. two legs
E. two wings

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
Sarah couldn't stand living without an air conditioner.  It was summer and she was in what?,air conditioner,train-00000-of-00001,B,"Question:
Sarah couldn't stand living without an air conditioner.  It was summer and she was in what?

Which of the following is the best response to the question?

Choices:
A. the sun
B. texas
C. hard
D. car
E. office building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"Always wash your hands before eating, you don't want to get germs onto food and inside your what?",germs,train-00000-of-00001,D,"Question:
Always wash your hands before eating, you don't want to get germs onto food and inside your what?

Which of the following is the best response to the question?

Choices:
A. water
B. doctor
C. spread disease
D. mouth
E. ear

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"While in the process of heading home he realized at the last moment he hadn't gotten a souvenir from the trip, luckily the what had a gift shop?",gift shop,train-00000-of-00001,B,"Question:
While in the process of heading home he realized at the last moment he hadn't gotten a souvenir from the trip, luckily the what had a gift shop?

Which of the following is the best response to the question?

Choices:
A. museum
B. airport
C. hotel
D. shop
E. disneyland

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"If you tried really hard to go to sleep sooner than normal, you would probably be trying to also what?",go to sleep,train-00000-of-00001,E,"Question:
If you tried really hard to go to sleep sooner than normal, you would probably be trying to also what?

Which of the following is the best response to the question?

Choices:
A. dancing
B. close eyes
C. rest up
D. dream
E. get up early

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"For some reason she was devoid of regular emotions, buying products was the only way she could feel what?",buying products,validation-00000-of-00001,A,"Question:
For some reason she was devoid of regular emotions, buying products was the only way she could feel what?

Which of the following is the best response to the question?

Choices:
A. pleasure
B. owning
C. debt
D. spending money
E. smart

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"The cat kept pestering it's owner, it was that time of the day and it was what?",cat,validation-00000-of-00001,C,"Question:
The cat kept pestering it's owner, it was that time of the day and it was what?

Which of the following is the best response to the question?

Choices:
A. litter tray
B. whiskers
C. hungry
D. feline
E. thirsty

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
All the contestants had to wait turn for their chance to what on American Idol?,wait turn,train-00000-of-00001,C,"Question:
All the contestants had to wait turn for their chance to what on American Idol?

Which of the following is the best response to the question?

Choices:
A. have patience
B. stand in line
C. sing
D. get ready
E. get in line

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"James enjoyed listening to music, especially for rock.  The genre stirred his emotions.  What emotions did it probably stir?",listening to music,train-00000-of-00001,B,"Question:
James enjoyed listening to music, especially for rock.  The genre stirred his emotions.  What emotions did it probably stir?

Which of the following is the best response to the question?

Choices:
A. happiness
B. ardor
C. deafness
D. feeling better
E. enlightenment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
John is in a dressing room changing into shorts and sweat pants.  What sort of building is he most likely to be in?,dressing room,train-00000-of-00001,A,"Question:
John is in a dressing room changing into shorts and sweat pants.  What sort of building is he most likely to be in?

Which of the following is the best response to the question?

Choices:
A. gym
B. swimming pool
C. theatre
D. department store
E. boutique

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"The peanuts were for sale in during the 4th inning, where were they being sold?",peanuts,train-00000-of-00001,A,"Question:
The peanuts were for sale in during the 4th inning, where were they being sold?

Which of the following is the best response to the question?

Choices:
A. ballpark
B. carnival
C. bought at grocery store
D. jar
E. container

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"If you are chatting with friends, and you think the same thing as what your friends say, what has happened?",chatting with friends,train-00000-of-00001,E,"Question:
If you are chatting with friends, and you think the same thing as what your friends say, what has happened?

Which of the following is the best response to the question?

Choices:
A. communication
B. answers
C. magic
D. happiness
E. agreement

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"He worked in the back unloading large container from delivery trucks, they always had food in them because he worked where?",large container,train-00000-of-00001,D,"Question:
He worked in the back unloading large container from delivery trucks, they always had food in them because he worked where?

Which of the following is the best response to the question?

Choices:
A. factory
B. garden
C. warehouse
D. supermarket
E. warehouse

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"A single person is going to a party of other singles, what do they want to do?",going to party,train-00000-of-00001,C,"Question:
A single person is going to a party of other singles, what do they want to do?

Which of the following is the best response to the question?

Choices:
A. visit friends
B. race cars
C. meeting people
D. having fun
E. drinking alcohol

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"While people just throw coins down them now, what originally had a pail to be lowered for it's intended use?",pail,validation-00000-of-00001,D,"Question:
While people just throw coins down them now, what originally had a pail to be lowered for it's intended use?

Which of the following is the best response to the question?

Choices:
A. garage
B. utility room
C. slide
D. wishing well
E. garden

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
They were hoping their campaign would create a rise in awareness of the problem and hopefully do what to its effect?,rise,validation-00000-of-00001,E,"Question:
They were hoping their campaign would create a rise in awareness of the problem and hopefully do what to its effect?

Which of the following is the best response to the question?

Choices:
A. set
B. fall
C. park
D. descend
E. reduce

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"The hikers were feeling exhaustion, so they sat on a log to what?",exhaustion,train-00000-of-00001,B,"Question:
The hikers were feeling exhaustion, so they sat on a log to what?

Which of the following is the best response to the question?

Choices:
A. read a book
B. have rest
C. run out of steam
D. sit down
E. go to sleep

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"In ancient times they tried to chart each star, they spent a lot of time staring into the what?",star,train-00000-of-00001,D,"Question:
In ancient times they tried to chart each star, they spent a lot of time staring into the what?

Which of the following is the best response to the question?

Choices:
A. a brain
B. press conference
C. hollywood
D. heavens
E. globular cluster

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
WHat does a real estate agent do when there is something wrong with the house they are showing?,real estate agent,train-00000-of-00001,D,"Question:
WHat does a real estate agent do when there is something wrong with the house they are showing?

Which of the following is the best response to the question?

Choices:
A. charming
B. incompetent
C. exaggerate
D. cover up
E. deceive

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"The local environmentalist and philanthropist passed away, he was memorialized on a bench located where?",bench,train-00000-of-00001,D,"Question:
The local environmentalist and philanthropist passed away, he was memorialized on a bench located where?

Which of the following is the best response to the question?

Choices:
A. rest area
B. garden
C. bus depot
D. state park
E. bank

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"She said you had to pay extra for her to swallow semen, something you'd only hear from a what?",swallow semen,train-00000-of-00001,B,"Question:
She said you had to pay extra for her to swallow semen, something you'd only hear from a what?

Which of the following is the best response to the question?

Choices:
A. you're curious
B. prostitute
C. pornstar
D. gay man in love
E. you're into

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What would someone be if he or she reports the use of a sharp object where the use of sharp objects is not allowed?,sharp,train-00000-of-00001,B,"Question:
What would someone be if he or she reports the use of a sharp object where the use of sharp objects is not allowed?

Which of the following is the best response to the question?

Choices:
A. unobservant
B. above board
C. dull
D. criminal
E. inaccurate

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"If something is very hard but you just manage to be able to do it, it can be called what?",hard,train-00000-of-00001,E,"Question:
If something is very hard but you just manage to be able to do it, it can be called what?

Which of the following is the best response to the question?

Choices:
A. controvertible
B. interesting
C. easy
D. agreeable
E. bearable

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"Charlie had a desire to learn, but didn't live near a school, so what did he do?",desire to learn,train-00000-of-00001,E,"Question:
Charlie had a desire to learn, but didn't live near a school, so what did he do?

Which of the following is the best response to the question?

Choices:
A. attend school
B. understand better
C. memorize
D. work in cafe
E. read book

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"Large trucks can fling rocks on the highway, this can be trouble for cars and their whats?",cars,train-00000-of-00001,A,"Question:
Large trucks can fling rocks on the highway, this can be trouble for cars and their whats?

Which of the following is the best response to the question?

Choices:
A. windows
B. seat belts
C. trunks
D. diesel engines
E. exhaust pipe

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"John doesn't understand triangles, but that's why he's taking the class on what?",triangle,train-00000-of-00001,A,"Question:
John doesn't understand triangles, but that's why he's taking the class on what?

Which of the following is the best response to the question?

Choices:
A. trigonometry
B. music room
C. mathematics
D. music shop
E. algebra

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"John and Grace  live where there are many people, but it's hard for them to move around because of all the what?",people,train-00000-of-00001,E,"Question:
John and Grace  live where there are many people, but it's hard for them to move around because of all the what?

Which of the following is the best response to the question?

Choices:
A. race track
B. populated areas
C. opera
D. commotion
E. roadblock

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Sarah's forgot her purse. She couldn't be the clothes she wanted.    She would have to drive all the way back where?,purse,train-00000-of-00001,B,"Question:
Sarah's forgot her purse. She couldn't be the clothes she wanted.    She would have to drive all the way back where?

Which of the following is the best response to the question?

Choices:
A. house
B. home
C. handbag
D. restaurant
E. department store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"Nowadays people have smart ones, but at one time it was cutting edge to have a tiny calculator on your what?",calculator,train-00000-of-00001,B,"Question:
Nowadays people have smart ones, but at one time it was cutting edge to have a tiny calculator on your what?

Which of the following is the best response to the question?

Choices:
A. mobile phone
B. wristwatch
C. briefcase
D. office
E. desktop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where is the best place to store the title to you car or deed to your home?,title,train-00000-of-00001,B,"Question:
Where is the best place to store the title to you car or deed to your home?

Which of the following is the best response to the question?

Choices:
A. magazine article
B. safe deposit box
C. glove box
D. library
E. book

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"The patient was getting healthier, the doctor said to start jogging to cause a what?",jogging,train-00000-of-00001,A,"Question:
The patient was getting healthier, the doctor said to start jogging to cause a what?

Which of the following is the best response to the question?

Choices:
A. increased heart rate
B. full bladder
C. being healthy
D. sweating
E. knee pain

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
Sarah didn't think that they deserved division.  She spend a lot of effort doing what to them?,division,train-00000-of-00001,B,"Question:
Sarah didn't think that they deserved division.  She spend a lot of effort doing what to them?

Which of the following is the best response to the question?

Choices:
A. multiplication
B. putting together
C. times
D. subtraction
E. multiply

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"He appreciated the small park and its taste of nature, living in the city just felt so what?",nature,train-00000-of-00001,E,"Question:
He appreciated the small park and its taste of nature, living in the city just felt so what?

Which of the following is the best response to the question?

Choices:
A. very hard
B. city
C. man made
D. indoors
E. artificial

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"Billy loved having food, but he didn't like the consequences of overeating.   What is the long-term consequence of having too much food?",having food,train-00000-of-00001,C,"Question:
Billy loved having food, but he didn't like the consequences of overeating.   What is the long-term consequence of having too much food?

Which of the following is the best response to the question?

Choices:
A. digesting
B. constipation
C. weight gain
D. not hungry
E. gas

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
What would you be unable to do on a mountain if there is not good weather?,good weather,train-00000-of-00001,E,"Question:
What would you be unable to do on a mountain if there is not good weather?

Which of the following is the best response to the question?

Choices:
A. travel
B. go somewhere
C. ride bike
D. play frisbee
E. climb

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"Answering questions followed by saying, ""sir"" or ""ma'am"" is an indication that you are what?",answering questions,train-00000-of-00001,D,"Question:
Answering questions followed by saying, ""sir"" or ""ma'am"" is an indication that you are what?

Which of the following is the best response to the question?

Choices:
A. irritation
B. correct
C. responding
D. polite
E. sadness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
James was a collector of literature.  Where might he have gone to get some?,literature,train-00000-of-00001,A,"Question:
James was a collector of literature.  Where might he have gone to get some?

Which of the following is the best response to the question?

Choices:
A. public library
B. own home
C. shelf
D. yard sales
E. books and magazines

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
We live in a small town and when we want to have a nice meal out we go where?,eating place,train-00000-of-00001,D,"Question:
We live in a small town and when we want to have a nice meal out we go where?

Which of the following is the best response to the question?

Choices:
A. restaurant
B. dining room
C. mars
D. big city
E. shopping area

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"The had a reputation for celebrating in a  debaucherous manner, what often happened as a result?",celebrating,train-00000-of-00001,A,"Question:
The had a reputation for celebrating in a  debaucherous manner, what often happened as a result?

Which of the following is the best response to the question?

Choices:
A. drunkenness
B. enjoyment
C. have fun
D. hang over
E. fighting

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"The baby was cranky, it needed to eat breakfast but refused to what?",eat breakfast,validation-00000-of-00001,B,"Question:
The baby was cranky, it needed to eat breakfast but refused to what?

Which of the following is the best response to the question?

Choices:
A. buy food
B. open mouth
C. get out of bed
D. cry
E. wake up

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"The person answered the door when the mailman knocked, what likely happened next?",person,train-00000-of-00001,E,"Question:
The person answered the door when the mailman knocked, what likely happened next?

Which of the following is the best response to the question?

Choices:
A. arm himself
B. cross street
C. feel sleepy
D. dog barked
E. receive mail

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"At a grocery store they sell individual potatoes, where does the grocery clerk likely put the potato?",potato,validation-00000-of-00001,D,"Question:
At a grocery store they sell individual potatoes, where does the grocery clerk likely put the potato?

Which of the following is the best response to the question?

Choices:
A. boiling water
B. root cellar
C. rocket ship
D. paper bag
E. underground

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"James and Holly were getting a divorce. They didn't like it, but they needed it.  What might they be trying to avoid?",getting divorce,train-00000-of-00001,C,"Question:
James and Holly were getting a divorce. They didn't like it, but they needed it.  What might they be trying to avoid?

Which of the following is the best response to the question?

Choices:
A. being single
B. tears
C. children suffer
D. anger
E. no spouse

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"The cubicles felt like their own little rooms, you could hardly even see over the what?",rooms,train-00000-of-00001,E,"Question:
The cubicles felt like their own little rooms, you could hardly even see over the what?

Which of the following is the best response to the question?

Choices:
A. square shape
B. doors and windows
C. apartment
D. border
E. high walls

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
Devil's food is something you can win at what fundraising game popular at churches?,devil,train-00000-of-00001,D,"Question:
Devil's food is something you can win at what fundraising game popular at churches?

Which of the following is the best response to the question?

Choices:
A. satanism
B. angel
C. yoke devil
D. cakewalk
E. god

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"The police busted down his door, he realized only then he was just the pawn in his partner's grander what?",pawn,train-00000-of-00001,A,"Question:
The police busted down his door, he realized only then he was just the pawn in his partner's grander what?

Which of the following is the best response to the question?

Choices:
A. scheme
B. chess game
C. chess set
D. business idea
E. playing chess

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"The small locally owned beauty salon had it's grand opening, people hoped it would boost the economy in the surrounding what?",beauty salon,train-00000-of-00001,C,"Question:
The small locally owned beauty salon had it's grand opening, people hoped it would boost the economy in the surrounding what?

Which of the following is the best response to the question?

Choices:
A. clerk
B. barber shop
C. neighborhood
D. city
E. strip mall

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"If I want more light sources while I am awake at night, where should I install them?",light source,train-00000-of-00001,C,"Question:
If I want more light sources while I am awake at night, where should I install them?

Which of the following is the best response to the question?

Choices:
A. lamp
B. sky
C. house
D. dig in the garden
E. candle

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"The rich young people who had just graduated suffered from boredom, being without responsibility they decided to do what before starting jobs?",boredom,train-00000-of-00001,E,"Question:
The rich young people who had just graduated suffered from boredom, being without responsibility they decided to do what before starting jobs?

Which of the following is the best response to the question?

Choices:
A. play games
B. sleep
C. smoke
D. read book
E. travel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"The producer told them to take out the scene with full nudity, this was because PG-13 only allowed for what kind of nudity?",full,train-00000-of-00001,E,"Question:
The producer told them to take out the scene with full nudity, this was because PG-13 only allowed for what kind of nudity?

Which of the following is the best response to the question?

Choices:
A. close fitting
B. tight
C. empty
D. incomplete
E. partial

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"A sporting goods store is usually found in shopping squares and malls, but the privately owned shop was just right there in the small what?",sporting goods store,train-00000-of-00001,B,"Question:
A sporting goods store is usually found in shopping squares and malls, but the privately owned shop was just right there in the small what?

Which of the following is the best response to the question?

Choices:
A. village
B. town
C. buy fishing pole
D. jerseys
E. city

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
