question,question_concept,_split,answer,final_prompt,len_tk_qwen3_8b_instruct
Sam was a student at Elmhurst elementary .  She was late when the bell rang so she ran in the hall trying to do what?,student,train-00000-of-00001,D,"Question:
Sam was a student at Elmhurst elementary .  She was late when the bell rang so she ran in the hall trying to do what?

Which of the following is the best response to the question?

Choices:
A. go to high school
B. answer question
C. charming
D. go to class
E. try to get

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
"A person woke up in bed.  Their spouse was sleeping beside them.  They rolled over, did something, and stood.  What did they do before standing?",person,train-00000-of-00001,B,"Question:
A person woke up in bed.  Their spouse was sleeping beside them.  They rolled over, did something, and stood.  What did they do before standing?

Which of the following is the best response to the question?

Choices:
A. put on shoes
B. sit up
C. thank god
D. say love
E. converse

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
James  didn't like getting in line when he was told to be the teacher.  He wasn't someone who appreciated authority figures.  He didn't like what?,getting in line,train-00000-of-00001,A,"Question:
James  didn't like getting in line when he was told to be the teacher.  He wasn't someone who appreciated authority figures.  He didn't like what?

Which of the following is the best response to the question?

Choices:
A. being ordered
B. less confusion
C. getting advice
D. longer lines
E. standing in line

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
"Billy loved choose, but he didn't put it on his meal because he was watching his weight. He even used a low fat what?",cheese,train-00000-of-00001,B,"Question:
Billy loved choose, but he didn't put it on his meal because he was watching his weight. He even used a low fat what?

Which of the following is the best response to the question?

Choices:
A. lot of fat
B. salad dressing
C. strong odor
D. age to get better
E. age well

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"James wanted to add space for an extra guest, so he bought a hide bed sofa.  With that he'd be able to have two people stay over, one in the guest room, and one on the sofa.  Where might he have been?",hide bed sofa,train-00000-of-00001,E,"Question:
James wanted to add space for an extra guest, so he bought a hide bed sofa.  With that he'd be able to have two people stay over, one in the guest room, and one on the sofa.  Where might he have been?

Which of the following is the best response to the question?

Choices:
A. hotel
B. guest room
C. office
D. apartment
E. house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",106
"Billy didn't know what to do.  He had just bought a huge ficus, but he has no where to put it.  It was just too gid for his house.  Right now, the ficus waited outside in something. What is the ficus in?",ficus,train-00000-of-00001,B,"Question:
Billy didn't know what to do.  He had just bought a huge ficus, but he has no where to put it.  It was just too gid for his house.  Right now, the ficus waited outside in something. What is the ficus in?

Which of the following is the best response to the question?

Choices:
A. park
B. large pot
C. maze
D. green house
E. tropical forest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",113
"On a rainy day, Bill likes to do creative things.  He loves to taste things.  He tries his hand on a rainy day. What might he do?",rainy day,train-00000-of-00001,B,"Question:
On a rainy day, Bill likes to do creative things.  He loves to taste things.  He tries his hand on a rainy day. What might he do?

Which of the following is the best response to the question?

Choices:
A. enjoy film
B. make bread
C. go to the gym
D. stay in bed
E. write

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
When james was climbing he experiences a couple of symptoms.  The most painful and long lasting was on his hands.   What  might have happened to him?,climbing,train-00000-of-00001,E,"Question:
When james was climbing he experiences a couple of symptoms.  The most painful and long lasting was on his hands.   What  might have happened to him?

Which of the following is the best response to the question?

Choices:
A. calluses
B. loss of oxygen
C. vertigo
D. ascending
E. blisters

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
You go into a building and see many people going in and out of the entry way.  Most going out are carrying plastic bags.  Where might you be.,entryway,train-00000-of-00001,D,"Question:
You go into a building and see many people going in and out of the entry way.  Most going out are carrying plastic bags.  Where might you be.

Which of the following is the best response to the question?

Choices:
A. park
B. house
C. office building
D. department store
E. own home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
James need to use a toilet but there were no public ones in sight.  Eventually he broke down and did something very expensive so that he could get a toilet.  Where might he have gone?,toilet,validation-00000-of-00001,A,"Question:
James need to use a toilet but there were no public ones in sight.  Eventually he broke down and did something very expensive so that he could get a toilet.  Where might he have gone?

Which of the following is the best response to the question?

Choices:
A. motel room
B. apartment
C. bathroom
D. games
E. house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
John plays brass instruments in a band that has a lot of diverse people in it and many different instruments.   They mostly play at clubs.  What sort of band might he be in.,brass instrument,train-00000-of-00001,E,"Question:
John plays brass instruments in a band that has a lot of diverse people in it and many different instruments.   They mostly play at clubs.  What sort of band might he be in.

Which of the following is the best response to the question?

Choices:
A. rubber band
B. annoy mom
C. brass band
D. marching band
E. jazz band

Reply with exactly one uppercase letter out of A, B, C, D or E.
",97
"If you slap a horse's butt while you're on it, it will gallop, If you do so when you're off of it, what will the horse do?",horse,train-00000-of-00001,C,"Question:
If you slap a horse's butt while you're on it, it will gallop, If you do so when you're off of it, what will the horse do?

Which of the following is the best response to the question?

Choices:
A. run quickly
B. drink water
C. go away
D. pull cart
E. gallup

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
Jamie is returning to work today.  He was forced to leave work because some bad things had happened and his serotonin levels were low and he was suffering from something that made him lethargic? What was he suffering from?,returning to work,train-00000-of-00001,D,"Question:
Jamie is returning to work today.  He was forced to leave work because some bad things had happened and his serotonin levels were low and he was suffering from something that made him lethargic? What was he suffering from?

Which of the following is the best response to the question?

Choices:
A. sobering
B. conversation
C. anxiety
D. depression
E. anger

Reply with exactly one uppercase letter out of A, B, C, D or E.
",100
Sally made a mistake.  She came home drunk and endeared the wrong house.   What was the relationship between the house and her neighbor?,house,train-00000-of-00001,A,"Question:
Sally made a mistake.  She came home drunk and endeared the wrong house.   What was the relationship between the house and her neighbor?

Which of the following is the best response to the question?

Choices:
A. belong to
B. burn down
C. winter storm
D. her favorite
E. face street

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"Sam drove to the city square and noticed that the lines weren't quite right.  It was a few degrees off, most like a trapezoid.   What might Sam be interested in?",square,train-00000-of-00001,B,"Question:
Sam drove to the city square and noticed that the lines weren't quite right.  It was a few degrees off, most like a trapezoid.   What might Sam be interested in?

Which of the following is the best response to the question?

Choices:
A. architecture
B. geometry
C. fifties
D. town center
E. four corners

Reply with exactly one uppercase letter out of A, B, C, D or E.
",98
"John couldn't smile. He wasn't sad,  he didn't have the muscles for it anymore.   But he made the kids happy by standing on his head when he did what?",smile,train-00000-of-00001,B,"Question:
John couldn't smile. He wasn't sad,  he didn't have the muscles for it anymore.   But he made the kids happy by standing on his head when he did what?

Which of the following is the best response to the question?

Choices:
A. make jokes
B. frown
C. make others happy too
D. cry
E. rainbow

Reply with exactly one uppercase letter out of A, B, C, D or E.
",97
"The show was live,  and there was no tape delay.  The station decided that they weren't going to have any censorship, and would remain what regarding the issues?",live,train-00000-of-00001,A,"Question:
The show was live,  and there was no tape delay.  The station decided that they weren't going to have any censorship, and would remain what regarding the issues?

Which of the following is the best response to the question?

Choices:
A. neutral
B. animated
C. broadcast
D. biased
E. recorded

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"John suffered from mental illness, but he was in good hands.  He would have to be on drugs for the rest of his life, but they allowed it to be what?",mental illness,train-00000-of-00001,D,"Question:
John suffered from mental illness, but he was in good hands.  He would have to be on drugs for the rest of his life, but they allowed it to be what?

Which of the following is the best response to the question?

Choices:
A. free
B. cause hallucination
C. recur
D. effectively treated
E. managed

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
"John is surrounded by water.  There is no land in sight.  He was going from Britain to America, when his vessel went down. Where might he be?",water,train-00000-of-00001,D,"Question:
John is surrounded by water.  There is no land in sight.  He was going from Britain to America, when his vessel went down. Where might he be?

Which of the following is the best response to the question?

Choices:
A. surface of earth
B. sink
C. medium
D. ocean
E. puddle

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
"Bob and Boris were standing in a queue at the grocery store.  They were standing in place.  The line was fast, but the children in front of them were loud.   They were what?",standing in queue,train-00000-of-00001,B,"Question:
Bob and Boris were standing in a queue at the grocery store.  They were standing in place.  The line was fast, but the children in front of them were loud.   They were what?

Which of the following is the best response to the question?

Choices:
A. frustration
B. being annoyed
C. delays
D. irritation
E. out of order

Reply with exactly one uppercase letter out of A, B, C, D or E.
",98
John played a stringed instrument.  Billy was the singer.  James was the drummer.  Vince played the keyboard and piano.  What might they have been?,stringed instrument,train-00000-of-00001,E,"Question:
John played a stringed instrument.  Billy was the singer.  James was the drummer.  Vince played the keyboard and piano.  What might they have been?

Which of the following is the best response to the question?

Choices:
A. string quartet
B. music store
C. bored
D. concert
E. rock band

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"Sally didn't know what she planned to do.  She was going to remodel her front garden, but she couldn't because of zoning rules.  Such was the perils of living where?",front garden,train-00000-of-00001,B,"Question:
Sally didn't know what she planned to do.  She was going to remodel her front garden, but she couldn't because of zoning rules.  Such was the perils of living where?

Which of the following is the best response to the question?

Choices:
A. outside of house
B. urban area
C. town hall
D. front yard
E. michigan

Reply with exactly one uppercase letter out of A, B, C, D or E.
",100
"Mary was a high school student student.She hang out in a quiet place where she could study.  Then the bell rang, telling her she needed to go.  Where  did she need to go?",student,train-00000-of-00001,B,"Question:
Mary was a high school student student.She hang out in a quiet place where she could study.  Then the bell rang, telling her she needed to go.  Where  did she need to go?

Which of the following is the best response to the question?

Choices:
A. university
B. classroom
C. dinner
D. library
E. every aspect of life

Reply with exactly one uppercase letter out of A, B, C, D or E.
",98
Billy is grooming himself in his bedroom because he wanted to be handsome for the dance.  He can't find his comb. He rushes to the store to do what with a comb?,grooming,train-00000-of-00001,D,"Question:
Billy is grooming himself in his bedroom because he wanted to be handsome for the dance.  He can't find his comb. He rushes to the store to do what with a comb?

Which of the following is the best response to the question?

Choices:
A. beauty
B. prepare
C. positive
D. get
E. looking pretty

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"David was lost but he couldn't remember where he put the map.  He knew that he had it the last time he stopped.  He remembered getting out his toothbrush and brushing, then putting everything up. Where might the map be?",map,train-00000-of-00001,E,"Question:
David was lost but he couldn't remember where he put the map.  He knew that he had it the last time he stopped.  He remembered getting out his toothbrush and brushing, then putting everything up. Where might the map be?

Which of the following is the best response to the question?

Choices:
A. atlas
B. rest area
C. posession
D. heaven
E. suitcase

Reply with exactly one uppercase letter out of A, B, C, D or E.
",105
Dan is very creative. He likes to read and wants to make something like that.   On a rainy day he tries his hand.  What might he do?,rainy day,train-00000-of-00001,A,"Question:
Dan is very creative. He likes to read and wants to make something like that.   On a rainy day he tries his hand.  What might he do?

Which of the following is the best response to the question?

Choices:
A. write
B. go to movie
C. stay in bed
D. enjoy film
E. make bread

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
"Josh is someone who usually stays up late. He's very much a night person.   Now he's applying to for a nine to five job, but he's worried that he might get what?",applying for job,train-00000-of-00001,C,"Question:
Josh is someone who usually stays up late. He's very much a night person.   Now he's applying to for a nine to five job, but he's worried that he might get what?

Which of the following is the best response to the question?

Choices:
A. employment
B. laid offf
C. less sleep
D. rejection
E. income

Reply with exactly one uppercase letter out of A, B, C, D or E.
",97
"After coming home from his trip to the west coat, John hung the fox on his wall.  He could do this because the fox was what?",fox,train-00000-of-00001,B,"Question:
After coming home from his trip to the west coat, John hung the fox on his wall.  He could do this because the fox was what?

Which of the following is the best response to the question?

Choices:
A. hen house
B. painting
C. california
D. virginia
E. blowing the house down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"Joe and Jane have begun reaching a tentative agreement about the merger of their two companies.  Their negotiations have become less than professional,  and have begun doing something that is very unprofessional and compromises their objectivity.  What might they be doing?",reaching tentative agreement,train-00000-of-00001,D,"Question:
Joe and Jane have begun reaching a tentative agreement about the merger of their two companies.  Their negotiations have become less than professional,  and have begun doing something that is very unprofessional and compromises their objectivity.  What might they be doing?

Which of the following is the best response to the question?

Choices:
A. compromises
B. eloping
C. calmness
D. fucking
E. handshake

Reply with exactly one uppercase letter out of A, B, C, D or E.
",106
"Lance was a hothead, but he was getting better.  He removed himself from the situation and spent some time cooling off.  He didn't need what?",cooling off,train-00000-of-00001,D,"Question:
Lance was a hothead, but he was getting better.  He removed himself from the situation and spent some time cooling off.  He didn't need what?

Which of the following is the best response to the question?

Choices:
A. expansion
B. relaxation
C. soap
D. revenge
E. loss of heat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"The museum made an odd choice for the koala display, they put the stuffed creature in what area where you'd usually find a panda?",koala,train-00000-of-00001,B,"Question:
The museum made an odd choice for the koala display, they put the stuffed creature in what area where you'd usually find a panda?

Which of the following is the best response to the question?

Choices:
A. jungle
B. bamboo grove
C. australian outback
D. china
E. child's book

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"I put up a railing to make sure I don't fall at my house, but now when I sit outside it blocks my view, what am I sitting on?",railing,train-00000-of-00001,A,"Question:
I put up a railing to make sure I don't fall at my house, but now when I sit outside it blocks my view, what am I sitting on?

Which of the following is the best response to the question?

Choices:
A. deck
B. stairwell
C. house
D. lawn
E. flight of stairs

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"Randy was not doing housework.   His wife was raising two children, and this only increased her workload. It put her under a lot of stress.  What might this lead to?",doing housework,train-00000-of-00001,E,"Question:
Randy was not doing housework.   His wife was raising two children, and this only increased her workload. It put her under a lot of stress.  What might this lead to?

Which of the following is the best response to the question?

Choices:
A. asthma
B. more
C. boredom
D. headache
E. arguments

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
"James used an axe and a saw to chop wood, shape it, and make a shelter.  He kept adding wood to it, building it bigger and bigger, until it became a what?",shelter,train-00000-of-00001,C,"Question:
James used an axe and a saw to chop wood, shape it, and make a shelter.  He kept adding wood to it, building it bigger and bigger, until it became a what?

Which of the following is the best response to the question?

Choices:
A. shelterbelt
B. tree
C. house
D. home
E. bus stop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
"The bathroom was dirty and messy.  It was cleaned every day, but it was always full of water and pee by morning.  Where is the bathroom located?",bathroom,train-00000-of-00001,A,"Question:
The bathroom was dirty and messy.  It was cleaned every day, but it was always full of water and pee by morning.  Where is the bathroom located?

Which of the following is the best response to the question?

Choices:
A. school
B. at hotel
C. neighbor's house
D. college
E. flat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"Curiosity caused a cat to jump on john's table, and knock over his lunch.  It was ruined.  He needed to get more, by doing what?",curiosity,train-00000-of-00001,C,"Question:
Curiosity caused a cat to jump on john's table, and knock over his lunch.  It was ruined.  He needed to get more, by doing what?

Which of the following is the best response to the question?

Choices:
A. find truth
B. examine thing
C. go to market
D. attend school
E. cooking

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
Saul is writting a program and has been told that another team has been working on added functionality.  He's not sure hot the other team's work will impact his. What does his bosses want him to do with the new code?,writing program,train-00000-of-00001,C,"Question:
Saul is writting a program and has been told that another team has been working on added functionality.  He's not sure hot the other team's work will impact his. What does his bosses want him to do with the new code?

Which of the following is the best response to the question?

Choices:
A. detail
B. loop
C. need to integrate
D. unexpected results
E. satisfaction

Reply with exactly one uppercase letter out of A, B, C, D or E.
",106
Susan was playing games with her five year old son Tim.  She played them because they were designed to help him with something.  What might they help a child with?,playing games,train-00000-of-00001,A,"Question:
Susan was playing games with her five year old son Tim.  She played them because they were designed to help him with something.  What might they help a child with?

Which of the following is the best response to the question?

Choices:
A. learning
B. competitiveness
C. losing
D. winning
E. relaxation

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"Laura and Bob are a married couple who have begun reaching tentative agreement regarding their  sexual incompatibility.  They love each other and want to remain together, but have decided that they can see other people to fulfill their needs as long as they are honest about it.  Then entire negotiation is being done with a surprising amount of what given the subject matter?",reaching tentative agreement,train-00000-of-00001,A,"Question:
Laura and Bob are a married couple who have begun reaching tentative agreement regarding their  sexual incompatibility.  They love each other and want to remain together, but have decided that they can see other people to fulfill their needs as long as they are honest about it.  Then entire negotiation is being done with a surprising amount of what given the subject matter?

Which of the following is the best response to the question?

Choices:
A. calmness
B. compromises
C. fucking
D. anger
E. satisfaction

Reply with exactly one uppercase letter out of A, B, C, D or E.
",127
Sam spent most of his time standing up.  His job was hectic and he never got any rest. But he was the best cashier at his workplace.    Where might he work?,cashier,train-00000-of-00001,C,"Question:
Sam spent most of his time standing up.  His job was hectic and he never got any rest. But he was the best cashier at his workplace.    Where might he work?

Which of the following is the best response to the question?

Choices:
A. bookstore
B. count till
C. supermarket
D. shop
E. preschool

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"Bob's only light source was a small bulb.  There were four walls, if there was a door he couldn't see it.  What was Bob in?",light source,validation-00000-of-00001,A,"Question:
Bob's only light source was a small bulb.  There were four walls, if there was a door he couldn't see it.  What was Bob in?

Which of the following is the best response to the question?

Choices:
A. closed room
B. sky
C. dard
D. his grave
E. house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"Billy and Marge were a couple.  They weren't serious and they didn't get frisky, but they always enjoyed going and doing what?",couple,train-00000-of-00001,A,"Question:
Billy and Marge were a couple.  They weren't serious and they didn't get frisky, but they always enjoyed going and doing what?

Which of the following is the best response to the question?

Choices:
A. dance
B. marry each other
C. french kissing
D. make sex
E. plan to marry

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"The war was followed by a tentative peace.  People didn't think it would last because despite a desire to move forward, there rebuilding was difficult and there was a lot of what?",peace,train-00000-of-00001,E,"Question:
The war was followed by a tentative peace.  People didn't think it would last because despite a desire to move forward, there rebuilding was difficult and there was a lot of what?

Which of the following is the best response to the question?

Choices:
A. love and understanding
B. fighting
C. hostility
D. destruction
E. turmoil

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
"James wanted a hot tub just like the one at the spa he visited, but he didn't want anyone to know about it.  He was afraid that if the neighbors knew, they'd all want to use it, and it would turn his house into what?",spa,train-00000-of-00001,A,"Question:
James wanted a hot tub just like the one at the spa he visited, but he didn't want anyone to know about it.  He was afraid that if the neighbors knew, they'd all want to use it, and it would turn his house into what?

Which of the following is the best response to the question?

Choices:
A. country club
B. health centre
C. hospital
D. backyard
E. resort

Reply with exactly one uppercase letter out of A, B, C, D or E.
",109
"John didn't like skating much, but he liked it more than his other options.  The doctor said that he needed to take better care of himself, and skating was an activity that did what to him?",skating,train-00000-of-00001,D,"Question:
John didn't like skating much, but he liked it more than his other options.  The doctor said that he needed to take better care of himself, and skating was an activity that did what to him?

Which of the following is the best response to the question?

Choices:
A. move fast
B. might fall
C. injuries
D. increased heart rate
E. hurt him

Reply with exactly one uppercase letter out of A, B, C, D or E.
",101
"There was a show on television about a ranger who loved flowers, but the next day it was about a gardener who also loved flowers.  It was a what?",flowers,train-00000-of-00001,B,"Question:
There was a show on television about a ranger who loved flowers, but the next day it was about a gardener who also loved flowers.  It was a what?

Which of the following is the best response to the question?

Choices:
A. countryside
B. anthology
C. dull read
D. state park
E. surface of earth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
"John moved away from his family.  He was a bit upset that he had to do it, but he needed the job.  Still, he would have preferred it if the job were what?",away,train-00000-of-00001,C,"Question:
John moved away from his family.  He was a bit upset that he had to do it, but he needed the job.  Still, he would have preferred it if the job were what?

Which of the following is the best response to the question?

Choices:
A. present
B. stay here
C. closer
D. available
E. come here

Reply with exactly one uppercase letter out of A, B, C, D or E.
",96
James was traveling abroad for a few weeks and he had trouble finding his double edged razor. He eventually found it together with some cream and a small comb.  What did he find it in?,double edged razor,train-00000-of-00001,C,"Question:
James was traveling abroad for a few weeks and he had trouble finding his double edged razor. He eventually found it together with some cream and a small comb.  What did he find it in?

Which of the following is the best response to the question?

Choices:
A. medicine cabinet
B. shower
C. shaving kit
D. first aid kit
E. the breadbox

Reply with exactly one uppercase letter out of A, B, C, D or E.
",99
"If you want to find a star you'd have to look in space, but if you wanted to find one from the screen you should travel to where?",star,train-00000-of-00001,E,"Question:
If you want to find a star you'd have to look in space, but if you wanted to find one from the screen you should travel to where?

Which of the following is the best response to the question?

Choices:
A. outer space
B. uganda
C. constellation
D. solar system
E. hollywood

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"As the child keep growing it's curiosity grew, it wasn't long before it figured out the purpose of the remote control is for to do what?",curiosity,train-00000-of-00001,E,"Question:
As the child keep growing it's curiosity grew, it wasn't long before it figured out the purpose of the remote control is for to do what?

Which of the following is the best response to the question?

Choices:
A. play music
B. design software
C. examine thing
D. see exhibits
E. use television

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
John was traveling to a new city and took time to check out a business.  He noticed that its carpet was stained with sauces and ketchup. What type of business might that be?,carpet,validation-00000-of-00001,E,"Question:
John was traveling to a new city and took time to check out a business.  He noticed that its carpet was stained with sauces and ketchup. What type of business might that be?

Which of the following is the best response to the question?

Choices:
A. bedroom
B. chair
C. bowling alley
D. at hotel
E. restaurant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
John and James wanted to eat hot dogs but weren't sure where they could by some.  They asked a costumed person for directions.  This was their first trip where?,hot dogs,train-00000-of-00001,D,"Question:
John and James wanted to eat hot dogs but weren't sure where they could by some.  They asked a costumed person for directions.  This was their first trip where?

Which of the following is the best response to the question?

Choices:
A. costume shop
B. park
C. bowling alley
D. disneyland
E. sporting event

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
"Sam lives in a ranch house, which is a bit of a sterotype where he lives.  Everyone from out of state thinks he's a cowboy.  Where might he live?",ranch house,train-00000-of-00001,D,"Question:
Sam lives in a ranch house, which is a bit of a sterotype where he lives.  Everyone from out of state thinks he's a cowboy.  Where might he live?

Which of the following is the best response to the question?

Choices:
A. west
B. california
C. hawaii
D. texas
E. montana

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
"John lives in a farhouse well away from anyone. He doesn't farm himself, the farm shut down long ago.  How would you describe the area where he lives?",farmhouse,train-00000-of-00001,B,"Question:
John lives in a farhouse well away from anyone. He doesn't farm himself, the farm shut down long ago.  How would you describe the area where he lives?

Which of the following is the best response to the question?

Choices:
A. farming community
B. rural area
C. cow's shed
D. michigan
E. housing farmer and family

Reply with exactly one uppercase letter out of A, B, C, D or E.
",97
"james told his son to settle down and be careful.  There were many frogs mating in the area, and James didn't want his son to do what to them?",settle,validation-00000-of-00001,D,"Question:
james told his son to settle down and be careful.  There were many frogs mating in the area, and James didn't want his son to do what to them?

Which of the following is the best response to the question?

Choices:
A. wander
B. migrate
C. scare
D. disturb
E. agitate

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"The electricity went out and everyone was shrouded in darkness.  They all remained in their seats, because it would have been dangerous to try to find there way out.  Where mihgt they have been?",electricity,validation-00000-of-00001,A,"Question:
The electricity went out and everyone was shrouded in darkness.  They all remained in their seats, because it would have been dangerous to try to find there way out.  Where mihgt they have been?

Which of the following is the best response to the question?

Choices:
A. opera
B. concert
C. basement
D. bedroom
E. grand canyon

Reply with exactly one uppercase letter out of A, B, C, D or E.
",99
"John heard a language that he could not understand. He thought that the door was shut, but he eventually realized that there was no door, and that the light source that was blinding his eyes was very familiar.  He was on his back looking at what?",light source,train-00000-of-00001,A,"Question:
John heard a language that he could not understand. He thought that the door was shut, but he eventually realized that there was no door, and that the light source that was blinding his eyes was very familiar.  He was on his back looking at what?

Which of the following is the best response to the question?

Choices:
A. sky
B. lamp
C. hallway
D. dard
E. closed room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",109
"John noticed that there was a lot of water on his map. Water covered more than half of his map, in fact.   What might his map have been of?",water,train-00000-of-00001,E,"Question:
John noticed that there was a lot of water on his map. Water covered more than half of his map, in fact.   What might his map have been of?

Which of the following is the best response to the question?

Choices:
A. car
B. puddle
C. ocean
D. sink
E. surface of earth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
"John couldn't find a place to stay, and he didn't want to waste money.  He picked a place that was inexpensive and offered few luxuries.  Where might he be staying?",place to stay,train-00000-of-00001,E,"Question:
John couldn't find a place to stay, and he didn't want to waste money.  He picked a place that was inexpensive and offered few luxuries.  Where might he be staying?

Which of the following is the best response to the question?

Choices:
A. farm
B. town
C. city
D. hotel
E. motel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",93
"While on the fan boat he thought he'd see swamps and gators, but he was surprised to spot a bald eagle in what nature area?",bald eagle,validation-00000-of-00001,A,"Question:
While on the fan boat he thought he'd see swamps and gators, but he was surprised to spot a bald eagle in what nature area?

Which of the following is the best response to the question?

Choices:
A. everglades
B. high places
C. natural habitat
D. new york
E. colorado

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"John can't find any legal alternatives to what he's looking for.  It's very illegal, exacerbated by the fact that he's too young to travel out of the country to get it.  Where will he have to get it from?",legal,train-00000-of-00001,E,"Question:
John can't find any legal alternatives to what he's looking for.  It's very illegal, exacerbated by the fact that he's too young to travel out of the country to get it.  Where will he have to get it from?

Which of the following is the best response to the question?

Choices:
A. rules
B. white market
C. banned
D. underage
E. black market

Reply with exactly one uppercase letter out of A, B, C, D or E.
",105
"John loved his snake.  It was the only ting he loved. He hated everyone else and was abrasive to most people, but he loved his snake.   How might you describe the snake?",snake,validation-00000-of-00001,C,"Question:
John loved his snake.  It was the only ting he loved. He hated everyone else and was abrasive to most people, but he loved his snake.   How might you describe the snake?

Which of the following is the best response to the question?

Choices:
A. sun itself
B. tropical forest
C. pet
D. rude
E. sharp

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
"John bought a small butane stove.  He knew that he couldn't use it inside because of the fumes, but he could use it outside.  What structure would John most likely use the stove outside of?",stove,train-00000-of-00001,E,"Question:
John bought a small butane stove.  He knew that he couldn't use it inside because of the fumes, but he could use it outside.  What structure would John most likely use the stove outside of?

Which of the following is the best response to the question?

Choices:
A. community kitchen
B. the post office
C. apartment
D. friend's house
E. tent

Reply with exactly one uppercase letter out of A, B, C, D or E.
",103
The referee wasn't specialized in one thing. He refereed many games.  He was offered a job but wasn't sure what it would be.  What did he know it would be?,referee,train-00000-of-00001,E,"Question:
The referee wasn't specialized in one thing. He refereed many games.  He was offered a job but wasn't sure what it would be.  What did he know it would be?

Which of the following is the best response to the question?

Choices:
A. side with opponent
B. football
C. hockey game
D. part two boxers
E. sporting event

Reply with exactly one uppercase letter out of A, B, C, D or E.
",100
"While mowing the lawn he had to be careful not to hit the landscaping, he didn't want to launch a rock at a passing car while working in the what?",lawn,train-00000-of-00001,A,"Question:
While mowing the lawn he had to be careful not to hit the landscaping, he didn't want to launch a rock at a passing car while working in the what?

Which of the following is the best response to the question?

Choices:
A. front yard
B. forest
C. back yard
D. suburbia
E. golf course

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
John knows what environment he can find marmosets in but doesn't know how to find that environment.    What areas of the Americas has the environment he's looking for?,marmoset,train-00000-of-00001,C,"Question:
John knows what environment he can find marmosets in but doesn't know how to find that environment.    What areas of the Americas has the environment he's looking for?

Which of the following is the best response to the question?

Choices:
A. texas
B. grassy field
C. south and central america
D. american tropics
E. wilderness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",97
"I was apprehensive to buy the expensive equipment to play a game with so much walking and swinging around in grass, but now I understand why people what?",people,validation-00000-of-00001,B,"Question:
I was apprehensive to buy the expensive equipment to play a game with so much walking and swinging around in grass, but now I understand why people what?

Which of the following is the best response to the question?

Choices:
A. care less
B. play golf
C. shake hands
D. believe in god
E. trip over

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
"James couldn't get into the event, because the ticket office was sold out.  He was sad, but not that sad.  He didn't like football, anyway.  Where might James have been?",ticket office,train-00000-of-00001,B,"Question:
James couldn't get into the event, because the ticket office was sold out.  He was sad, but not that sad.  He didn't like football, anyway.  Where might James have been?

Which of the following is the best response to the question?

Choices:
A. auditorium
B. stadium
C. arena
D. city
E. area

Reply with exactly one uppercase letter out of A, B, C, D or E.
",97
