question,question_concept,_split,answer,final_prompt,len_tk_gemma2_9b_it
What is a child likely to do while going to play?,going to play,train-00000-of-00001,A,"Question:
What is a child likely to do while going to play?

Which of the following is the best response to the question?

Choices:
A. laugh
B. sit
C. happiness
D. being entertained
E. walk slowly

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
The part of a computer that holds the memory and processing chips is called what?,chips,train-00000-of-00001,B,"Question:
The part of a computer that holds the memory and processing chips is called what?

Which of the following is the best response to the question?

Choices:
A. pantry
B. motherboard
C. bar
D. casino
E. supermarket

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Where is the world's most famous horse race?,horse,train-00000-of-00001,A,"Question:
Where is the world's most famous horse race?

Which of the following is the best response to the question?

Choices:
A. in kentucky
B. central park
C. philippines
D. state fair
E. western movie

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
One way to resolve confusion here is to raise my hand. Where am I?,confusion,train-00000-of-00001,B,"Question:
One way to resolve confusion here is to raise my hand. Where am I?

Which of the following is the best response to the question?

Choices:
A. war
B. class
C. mind
D. school
E. opera

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What do people do when they think too quickly?,people,validation-00000-of-00001,A,"Question:
What do people do when they think too quickly?

Which of the following is the best response to the question?

Choices:
A. jump to conclusions
B. hurry home
C. build trust
D. pay bills
E. sing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
You would expect to find the reception desk in what part of a business?,reception desk,train-00000-of-00001,B,"Question:
You would expect to find the reception desk in what part of a business?

Which of the following is the best response to the question?

Choices:
A. building
B. lobby
C. office park
D. motel
E. outside

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What do people do with each other when they feel anger?,anger,train-00000-of-00001,D,"Question:
What do people do with each other when they feel anger?

Which of the following is the best response to the question?

Choices:
A. pass sentence
B. wrestle
C. hug each other
D. fight
E. illustrate point

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What are people in awe of in New York City?,people,train-00000-of-00001,B,"Question:
What are people in awe of in New York City?

Which of the following is the best response to the question?

Choices:
A. opera
B. buildings
C. fireworks
D. end of line
E. neighbor's house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"The text made no sense, it was just a random what?",text,train-00000-of-00001,A,"Question:
The text made no sense, it was just a random what?

Which of the following is the best response to the question?

Choices:
A. sequence of words
B. book
C. hatred
D. fade
E. analyzing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Why does a person move to the suburbs?,person,train-00000-of-00001,E,"Question:
Why does a person move to the suburbs?

Which of the following is the best response to the question?

Choices:
A. make others happy
B. good lover
C. acknowledgment
D. for fun
E. low crime

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
An expert performing on stage is hoping to do what?,performing,train-00000-of-00001,E,"Question:
An expert performing on stage is hoping to do what?

Which of the following is the best response to the question?

Choices:
A. explode
B. stage fright
C. injury
D. get attention
E. being appreciated

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What does a person do when he or she shows excitement?,excitement,train-00000-of-00001,B,"Question:
What does a person do when he or she shows excitement?

Which of the following is the best response to the question?

Choices:
A. library
B. express information
C. music festival
D. dance
E. go somewhere

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
What is someone unintentionally hurting someone else but unable to stop likely to feel?,hurting else,train-00000-of-00001,C,"Question:
What is someone unintentionally hurting someone else but unable to stop likely to feel?

Which of the following is the best response to the question?

Choices:
A. empowering
B. regret
C. despair
D. glee
E. sadness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Where do you keep musical instrument so it doesn't get scratched?,musical instrument,validation-00000-of-00001,C,"Question:
Where do you keep musical instrument so it doesn't get scratched?

Which of the following is the best response to the question?

Choices:
A. bank
B. orchestra
C. case
D. music room
E. movie

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Where is the mailbox that the residents use?,mailbox,train-00000-of-00001,B,"Question:
Where is the mailbox that the residents use?

Which of the following is the best response to the question?

Choices:
A. door bell
B. apartment complex
C. street corner
D. front door
E. post office

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
John wanted to get grapes so he went where?,grape,train-00000-of-00001,A,"Question:
John wanted to get grapes so he went where?

Which of the following is the best response to the question?

Choices:
A. kitchen
B. fruit basket
C. bowl of fruit
D. field
E. farmers market

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
Where could a printer be used by thousands of people?,printer,train-00000-of-00001,A,"Question:
Where could a printer be used by thousands of people?

Which of the following is the best response to the question?

Choices:
A. school
B. home office
C. people store
D. print shop
E. newspaper office

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
If you like your jeans already broken in where should you shop?,jeans,train-00000-of-00001,A,"Question:
If you like your jeans already broken in where should you shop?

Which of the following is the best response to the question?

Choices:
A. thrift store
B. clothing store
C. outside
D. closet
E. gap

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
One of the potential hazards of attending school is what?,attending school,validation-00000-of-00001,D,"Question:
One of the potential hazards of attending school is what?

Which of the following is the best response to the question?

Choices:
A. cooties
B. get smart
C. boredom
D. colds and flu
E. taking tests

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
How can people gain new perspectives?,people,train-00000-of-00001,E,"Question:
How can people gain new perspectives?

Which of the following is the best response to the question?

Choices:
A. waste paper
B. tickle tarantulas
C. pay bills
D. change direction
E. travel abroad

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
The bookend was on a shelf in what location?,bookend,train-00000-of-00001,E,"Question:
The bookend was on a shelf in what location?

Which of the following is the best response to the question?

Choices:
A. bookshelf
B. pair
C. school cafeteria
D. library book
E. school library

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
When someone falls from a mountain it will lead them to?,fall,train-00000-of-00001,C,"Question:
When someone falls from a mountain it will lead them to?

Which of the following is the best response to the question?

Choices:
A. too much
B. act dead
C. die
D. rush
E. explode

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
The breaker that distributes electricity in your home is usually found where?,electricity,train-00000-of-00001,A,"Question:
The breaker that distributes electricity in your home is usually found where?

Which of the following is the best response to the question?

Choices:
A. basement
B. bedroom
C. concert
D. opera
E. back yard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What would happen if you are having a good time while chatting with friends?,chatting with friends,train-00000-of-00001,D,"Question:
What would happen if you are having a good time while chatting with friends?

Which of the following is the best response to the question?

Choices:
A. agreement
B. communication
C. love
D. happiness
E. discord

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
When you play games with children you're doing what to them?,play games,train-00000-of-00001,A,"Question:
When you play games with children you're doing what to them?

Which of the following is the best response to the question?

Choices:
A. entertaining
B. bored
C. win
D. irritate
E. relax

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
Where might I find pens with a company logo?,pens,train-00000-of-00001,A,"Question:
Where might I find pens with a company logo?

Which of the following is the best response to the question?

Choices:
A. office
B. on a pencil
C. write sentences on paper
D. school
E. backpack

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Where can you see a mammoth in NYC?,mammoth,train-00000-of-00001,D,"Question:
Where can you see a mammoth in NYC?

Which of the following is the best response to the question?

Choices:
A. refrigerator
B. museum exhibit
C. prehistoric times
D. museum of natural history
E. forest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
Where would you expect to hear a clavichord being used?,clavichord,train-00000-of-00001,A,"Question:
Where would you expect to hear a clavichord being used?

Which of the following is the best response to the question?

Choices:
A. music hall
B. museum
C. movie show
D. music room
E. parlor

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
If you fall when going for run you most likely did what?,going for run,train-00000-of-00001,A,"Question:
If you fall when going for run you most likely did what?

Which of the following is the best response to the question?

Choices:
A. trip
B. sweating
C. satisfaction
D. working out
E. better health

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"Sometimes people seem like robots, but really we're all just what?",people,train-00000-of-00001,C,"Question:
Sometimes people seem like robots, but really we're all just what?

Which of the following is the best response to the question?

Choices:
A. stupid
B. inhumane
C. human
D. dangerous
E. strange

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What force keeps objects on the surface of the earth?,earth,train-00000-of-00001,D,"Question:
What force keeps objects on the surface of the earth?

Which of the following is the best response to the question?

Choices:
A. tectonic plates
B. the sun
C. one moon
D. gravity
E. four seasons

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"Climbing is quite a talent, it requires the use of very particular whats?",climbing,train-00000-of-00001,E,"Question:
Climbing is quite a talent, it requires the use of very particular whats?

Which of the following is the best response to the question?

Choices:
A. strength
B. skill
C. experience
D. dexterity
E. muscles

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
There was a ruin under the site.  Billy did what to it?,ruin,train-00000-of-00001,E,"Question:
There was a ruin under the site.  Billy did what to it?

Which of the following is the best response to the question?

Choices:
A. dug
B. produce
C. construct
D. new construction
E. found

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"Billy needed his hammer, so he looked where?",hammer,train-00000-of-00001,E,"Question:
Billy needed his hammer, so he looked where?

Which of the following is the best response to the question?

Choices:
A. hardware store
B. toolbelt
C. repair shop
D. backpack
E. tool box

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
A court case with a tough judging might result in what?,judging,train-00000-of-00001,C,"Question:
A court case with a tough judging might result in what?

Which of the following is the best response to the question?

Choices:
A. being judged
B. responsibility
C. go to jail
D. feeling guilty
E. killing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Where do young people read about weasels?,weasel,train-00000-of-00001,C,"Question:
Where do young people read about weasels?

Which of the following is the best response to the question?

Choices:
A. songs
B. corn fields
C. children's story
D. animated film
E. forrest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Bar service is a very important part of what kind of celebration?,bar service,train-00000-of-00001,A,"Question:
Bar service is a very important part of what kind of celebration?

Which of the following is the best response to the question?

Choices:
A. wedding
B. entertainment
C. hotel
D. train
E. pool party

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What did the innocent man feel after he was accused of committing murder?,committing murder,train-00000-of-00001,B,"Question:
What did the innocent man feel after he was accused of committing murder?

Which of the following is the best response to the question?

Choices:
A. fear
B. great sorrow
C. die
D. guilty
E. own death

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Jumping up and down over a rope is a form of what?,jumping up and down,train-00000-of-00001,E,"Question:
Jumping up and down over a rope is a form of what?

Which of the following is the best response to the question?

Choices:
A. headaches
B. fun
C. getting warm
D. broken
E. exercise

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What happens to a dog before someone puts up posters of them?,dogs,validation-00000-of-00001,A,"Question:
What happens to a dog before someone puts up posters of them?

Which of the following is the best response to the question?

Choices:
A. get lost
B. require water
C. trained
D. bark
E. roll over

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Why does the guy try cashing in his check?,cashing in,train-00000-of-00001,A,"Question:
Why does the guy try cashing in his check?

Which of the following is the best response to the question?

Choices:
A. extra money
B. get paid
C. great joy
D. quitting
E. profit

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What is something someone driving a car needs even to begin?,driving car,train-00000-of-00001,C,"Question:
What is something someone driving a car needs even to begin?

Which of the following is the best response to the question?

Choices:
A. practice
B. feet
C. sight
D. keys
E. open car door

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What do you want someone to do when you illustrate point?,illustrate point,validation-00000-of-00001,E,"Question:
What do you want someone to do when you illustrate point?

Which of the following is the best response to the question?

Choices:
A. did not understand
B. accepting
C. make clear
D. understood
E. understanding

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
What type of gift shop can you by replicas of paintings?,gift shop,train-00000-of-00001,D,"Question:
What type of gift shop can you by replicas of paintings?

Which of the following is the best response to the question?

Choices:
A. railway station
B. disneyland
C. airport
D. museum
E. hotel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"When people aren't communicating or talking to each other, what happens?",talking,train-00000-of-00001,A,"Question:
When people aren't communicating or talking to each other, what happens?

Which of the following is the best response to the question?

Choices:
A. misunderstandings
B. headaches
C. introductions
D. conversation
E. distraction

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Where did he put the newspaper for his new puppy's leaks?,newspaper,train-00000-of-00001,A,"Question:
Where did he put the newspaper for his new puppy's leaks?

Which of the following is the best response to the question?

Choices:
A. floor
B. jail
C. next door
D. library
E. porch

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"The lizard frightened the hiker, it's movements made what rustle?",lizard,train-00000-of-00001,E,"Question:
The lizard frightened the hiker, it's movements made what rustle?

Which of the following is the best response to the question?

Choices:
A. garden
B. trees
C. books
D. rocks
E. bushes

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
What is someone likely to do when trying to memorize something?,memorize,train-00000-of-00001,C,"Question:
What is someone likely to do when trying to memorize something?

Which of the following is the best response to the question?

Choices:
A. store data
B. repeat
C. concentrate
D. store data
E. awake

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"Bill puts meat on the scale, where does Bill work?",scale,validation-00000-of-00001,D,"Question:
Bill puts meat on the scale, where does Bill work?

Which of the following is the best response to the question?

Choices:
A. music store
B. assay office
C. tidal wave
D. butcher shop
E. bathroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"The baby came unexpectedly, what did it do?",baby,train-00000-of-00001,E,"Question:
The baby came unexpectedly, what did it do?

Which of the following is the best response to the question?

Choices:
A. died
B. boy or girl
C. learn to walk
D. talk nonsense
E. arrive early

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Where is one likely to find a brownstone?,brownstone,validation-00000-of-00001,A,"Question:
Where is one likely to find a brownstone?

Which of the following is the best response to the question?

Choices:
A. new york city
B. subdivision
C. ring
D. hazleton
E. live in

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What rubber toy filled with helium will make a child happy?,child,validation-00000-of-00001,D,"Question:
What rubber toy filled with helium will make a child happy?

Which of the following is the best response to the question?

Choices:
A. loved
B. learn
C. eat cake
D. balloon
E. become adult

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
He tried to remain calm but his wife was completely what?,calm,train-00000-of-00001,C,"Question:
He tried to remain calm but his wife was completely what?

Which of the following is the best response to the question?

Choices:
A. frenzied
B. frustrated
C. flustered
D. wild
E. anxious

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
What could happen to garbage after it is put into a landfill?,garbage,train-00000-of-00001,E,"Question:
What could happen to garbage after it is put into a landfill?

Which of the following is the best response to the question?

Choices:
A. container
B. healthy
C. smell terrible
D. smells bad
E. composted

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What is required to go on vacation before anything else?,go on vacation,train-00000-of-00001,D,"Question:
What is required to go on vacation before anything else?

Which of the following is the best response to the question?

Choices:
A. pack
B. pay bills
C. save money
D. have money
E. reliable car

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Where is a automobile likely to go after an accident?,automobile,train-00000-of-00001,C,"Question:
Where is a automobile likely to go after an accident?

Which of the following is the best response to the question?

Choices:
A. corner store
B. driveway
C. repair shop
D. exit ramp
E. freeway

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What is going to happen if you kill people?,killing people,train-00000-of-00001,C,"Question:
What is going to happen if you kill people?

Which of the following is the best response to the question?

Choices:
A. get punished
B. vengeance
C. going to prison
D. joy
E. going to jail

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Where does water in the sky come from?,water,train-00000-of-00001,B,"Question:
Where does water in the sky come from?

Which of the following is the best response to the question?

Choices:
A. space
B. rain cloud
C. surface of earth
D. wishing well
E. lake or river

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Why wouldn't someone want to work in an office?,working,train-00000-of-00001,B,"Question:
Why wouldn't someone want to work in an office?

Which of the following is the best response to the question?

Choices:
A. blisters
B. frustration
C. being paid
D. making shareholders richer
E. making money

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
A story about World War II would be set when?,story,validation-00000-of-00001,D,"Question:
A story about World War II would be set when?

Which of the following is the best response to the question?

Choices:
A. book or library
B. book or magazine
C. newspaper
D. past
E. future

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Where do students do most of their learning?,student,train-00000-of-00001,A,"Question:
Where do students do most of their learning?

Which of the following is the best response to the question?

Choices:
A. class room
B. hallway
C. library
D. every aspect of life
E. kindergarten class

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What is the legal consequence of killing likely to be?,killing,train-00000-of-00001,A,"Question:
What is the legal consequence of killing likely to be?

Which of the following is the best response to the question?

Choices:
A. being imprisoned
B. no longer live
C. dies
D. fine
E. feeling of guilt

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What low area between mountains can an apple tree be typically found?,apple tree,train-00000-of-00001,A,"Question:
What low area between mountains can an apple tree be typically found?

Which of the following is the best response to the question?

Choices:
A. valley
B. washington state
C. open
D. countryside
E. fields

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What can happen when you contemplate alone for a long time?,contemplate,validation-00000-of-00001,A,"Question:
What can happen when you contemplate alone for a long time?

Which of the following is the best response to the question?

Choices:
A. daydream
B. headache
C. get ideas
D. sleep
E. become distracted

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Where would you find magazines along side many other printed works?,magazines,validation-00000-of-00001,B,"Question:
Where would you find magazines along side many other printed works?

Which of the following is the best response to the question?

Choices:
A. doctor
B. bookstore
C. market
D. train station
E. mortuary

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
Where are people who do the same kind of work likely to gather?,people,train-00000-of-00001,B,"Question:
Where are people who do the same kind of work likely to gather?

Which of the following is the best response to the question?

Choices:
A. train station
B. convention
C. workplace
D. wedding
E. theater

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
How can people acquire things they desire?,people,train-00000-of-00001,D,"Question:
How can people acquire things they desire?

Which of the following is the best response to the question?

Choices:
A. riots
B. wait in line
C. suffer pain
D. bank money
E. believe in god

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
Why would a tense person be found listening to music that is soft?,listening to music,train-00000-of-00001,A,"Question:
Why would a tense person be found listening to music that is soft?

Which of the following is the best response to the question?

Choices:
A. relaxation
B. calm
C. hunger
D. deafness
E. fall asleep

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"He was morally upright and knew he was strong, so who should he protect?",strong,train-00000-of-00001,E,"Question:
He was morally upright and knew he was strong, so who should he protect?

Which of the following is the best response to the question?

Choices:
A. batman
B. diluted
C. fragile
D. regular
E. weak

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"Animals come in all types, some fly thanks to their lightweight hollow what?",animals,validation-00000-of-00001,B,"Question:
Animals come in all types, some fly thanks to their lightweight hollow what?

Which of the following is the best response to the question?

Choices:
A. tails
B. bones
C. eyes
D. heads
E. bodies

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
What do you use to catch a mouse?,mouse,train-00000-of-00001,E,"Question:
What do you use to catch a mouse?

Which of the following is the best response to the question?

Choices:
A. disneyland
B. cupboard
C. sewer
D. a large bottle of valium
E. trap

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
The rural general store is a staple of the great nation called what?,general store,train-00000-of-00001,D,"Question:
The rural general store is a staple of the great nation called what?

Which of the following is the best response to the question?

Choices:
A. towns
B. salt
C. canada
D. america
E. small town

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
What does someone do to relax at night?,relax,validation-00000-of-00001,D,"Question:
What does someone do to relax at night?

Which of the following is the best response to the question?

Choices:
A. find time
B. check mail
C. listen to music
D. go to bed
E. stop worrying

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Where can you find a barber shop north of the U.S.?,barber shop,train-00000-of-00001,E,"Question:
Where can you find a barber shop north of the U.S.?

Which of the following is the best response to the question?

Choices:
A. small town
B. neighborhood
C. high street
D. motel
E. canada

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
The water in clouds turn in to what when it gets cold?,water,validation-00000-of-00001,B,"Question:
The water in clouds turn in to what when it gets cold?

Which of the following is the best response to the question?

Choices:
A. typhoon
B. snowflake
C. laddle
D. teardrops
E. sink

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"He brought his wallet with him, this was because buying products means what?",buying products,train-00000-of-00001,E,"Question:
He brought his wallet with him, this was because buying products means what?

Which of the following is the best response to the question?

Choices:
A. debt
B. agony
C. pleasure
D. wealth
E. spending money

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Where would there be many people sitting in chair and listening to religious speech?,chair,train-00000-of-00001,C,"Question:
Where would there be many people sitting in chair and listening to religious speech?

Which of the following is the best response to the question?

Choices:
A. auditorium
B. office
C. synagogue
D. confession
E. church

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
What vessels in Alaska are looking for crab?,crab,train-00000-of-00001,C,"Question:
What vessels in Alaska are looking for crab?

Which of the following is the best response to the question?

Choices:
A. tidepools
B. cruise ship
C. fishing boat
D. seychelles
E. underpants

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"If you do not have any corn, where would you get it?",corn,train-00000-of-00001,C,"Question:
If you do not have any corn, where would you get it?

Which of the following is the best response to the question?

Choices:
A. pennsylvania
B. silo
C. supermarket
D. husks
E. container

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"When remembering a tragedy in the past, what do many people feel?",remembering,train-00000-of-00001,A,"Question:
When remembering a tragedy in the past, what do many people feel?

Which of the following is the best response to the question?

Choices:
A. depression
B. pain
C. nostalgia
D. knowing
E. knowledge

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"When one sees an apple tree, where does one tend to be?",apple tree,train-00000-of-00001,D,"Question:
When one sees an apple tree, where does one tend to be?

Which of the following is the best response to the question?

Choices:
A. canada
B. spring
C. active
D. outside
E. washington state

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Where might an American weasel live?,weasel,train-00000-of-00001,A,"Question:
Where might an American weasel live?

Which of the following is the best response to the question?

Choices:
A. michigan
B. chicken coop
C. great britain
D. hen house
E. in deep sea

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"She wants authentic barbecue while visiting southeast Michigan, where should she look?",barbecue,train-00000-of-00001,E,"Question:
She wants authentic barbecue while visiting southeast Michigan, where should she look?

Which of the following is the best response to the question?

Choices:
A. retail store
B. garage
C. australia
D. park
E. detroit

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Why would someone be wet after being full of fear?,fear,train-00000-of-00001,E,"Question:
Why would someone be wet after being full of fear?

Which of the following is the best response to the question?

Choices:
A. run
B. swimming
C. calculate things quickly
D. fight enemy
E. urinate

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"A fertilizer is making a flower grow, what is likely to happen next?",making grow,train-00000-of-00001,E,"Question:
A fertilizer is making a flower grow, what is likely to happen next?

Which of the following is the best response to the question?

Choices:
A. more of
B. flowering
C. leaves
D. harvesting
E. blooms

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
How did the sleeping child know they were still in the process of going somewhere?,going somewhere,train-00000-of-00001,A,"Question:
How did the sleeping child know they were still in the process of going somewhere?

Which of the following is the best response to the question?

Choices:
A. movement
B. arriving
C. driving
D. excitement
E. expense

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"If you needed a lamp to do your work, where would you put it?",lamp,train-00000-of-00001,A,"Question:
If you needed a lamp to do your work, where would you put it?

Which of the following is the best response to the question?

Choices:
A. office
B. desk
C. bedroom
D. desktop
E. corner

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What could fighting inflation cause if it is not successful?,fighting inflation,train-00000-of-00001,D,"Question:
What could fighting inflation cause if it is not successful?

Which of the following is the best response to the question?

Choices:
A. problems
B. not noticeable
C. deflation
D. economic instability
E. eat cake

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What is a place that someone can go buy a teddy bear?,teddy bear,train-00000-of-00001,E,"Question:
What is a place that someone can go buy a teddy bear?

Which of the following is the best response to the question?

Choices:
A. thrift store
B. bed
C. shelf
D. home
E. toy store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Where can a finger be warm?,finger,train-00000-of-00001,A,"Question:
Where can a finger be warm?

Which of the following is the best response to the question?

Choices:
A. glove
B. ring
C. cake batter to taste add weight to scale
D. nose
E. hand

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What bad habit do adults have that can cause lung cancer?,adults,train-00000-of-00001,B,"Question:
What bad habit do adults have that can cause lung cancer?

Which of the following is the best response to the question?

Choices:
A. count
B. smoke cigarettes
C. drive vehicle
D. drink beer
E. dress themselves

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What can a horse winning many races hope to achieve?,horse,train-00000-of-00001,B,"Question:
What can a horse winning many races hope to achieve?

Which of the following is the best response to the question?

Choices:
A. painting
B. triple crown
C. apples
D. race track
E. kentucky derby

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"The office needed lights, so where were they installed?",lights,train-00000-of-00001,B,"Question:
The office needed lights, so where were they installed?

Which of the following is the best response to the question?

Choices:
A. they were installed outside.
B. building
C. carnival
D. heat table
E. plane

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"Where can a computer user learn geography, math, or history?",computer user,train-00000-of-00001,B,"Question:
Where can a computer user learn geography, math, or history?

Which of the following is the best response to the question?

Choices:
A. house
B. school
C. office building
D. computer store
E. internet cafe

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
A good interview after applying for a job may cause you to feel what?,applying for job,validation-00000-of-00001,E,"Question:
A good interview after applying for a job may cause you to feel what?

Which of the following is the best response to the question?

Choices:
A. offer
B. income
C. rejection
D. hostile
E. hope

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Every person would get along in a what?,person,train-00000-of-00001,C,"Question:
Every person would get along in a what?

Which of the following is the best response to the question?

Choices:
A. eat well
B. live comfortably
C. perfect world
D. fruit bowl
E. own house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What does a person often feel about someone judging them guilty?,judging,validation-00000-of-00001,C,"Question:
What does a person often feel about someone judging them guilty?

Which of the following is the best response to the question?

Choices:
A. controversy
B. responsibility
C. resentment
D. judge feelings
E. hurt feelings

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
If an insurance adjuster finds your claim incorrect they will do what?,claim,train-00000-of-00001,D,"Question:
If an insurance adjuster finds your claim incorrect they will do what?

Which of the following is the best response to the question?

Choices:
A. forgive
B. disown reject
C. relinquish
D. deny
E. give back

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Clean linen was important in John's workplace Where might John work?,linen,train-00000-of-00001,A,"Question:
Clean linen was important in John's workplace Where might John work?

Which of the following is the best response to the question?

Choices:
A. hospital
B. daycare
C. dresser drawers
D. at hotel
E. cabinet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Where are bus stops more common in what parts?,bus stop,validation-00000-of-00001,D,"Question:
Where are bus stops more common in what parts?

Which of the following is the best response to the question?

Choices:
A. ocean
B. getting off of bus
C. airport
D. urban area
E. towns

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What is often classified into periods?,period,train-00000-of-00001,D,"Question:
What is often classified into periods?

Which of the following is the best response to the question?

Choices:
A. school
B. end of line
C. end of sentence
D. history
E. a serving of cake

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What do the feathers look like on birds found in the rainforest?,birds,validation-00000-of-00001,D,"Question:
What do the feathers look like on birds found in the rainforest?

Which of the following is the best response to the question?

Choices:
A. pretty smart
B. singing
C. dark
D. very colorful
E. light

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
