question,question_concept,_split,answer,final_prompt,len_tk_glm4_9b_chat
Billy wasn't good at communicating with other people so he took a found a mentor and put a lot of effort into doing what?,communicating,train-00000-of-00001,B,"Question:
Billy wasn't good at communicating with other people so he took a found a mentor and put a lot of effort into doing what?

Which of the following is the best response to the question?

Choices:
A. puzzle
B. learning
C. exchanging ideas
D. confusion
E. response

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"The sunshine was quickly burning up the crew, it seemed to not only beat down from about but also from below by reflecting off the what?",sunshine,train-00000-of-00001,B,"Question:
The sunshine was quickly burning up the crew, it seemed to not only beat down from about but also from below by reflecting off the what?

Which of the following is the best response to the question?

Choices:
A. moon
B. sea
C. beach
D. sun
E. desktop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",punishing,train-00000-of-00001,A,"Question:
The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?

Which of the following is the best response to the question?

Choices:
A. ignore
B. enforce
C. authoritarian
D. yell at
E. avoid

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"If you wanted to move cargo at a low price and time wasn't an issue, what vehicle would you use?",cargo,train-00000-of-00001,B,"Question:
If you wanted to move cargo at a low price and time wasn't an issue, what vehicle would you use?

Which of the following is the best response to the question?

Choices:
A. train
B. boat
C. airplane
D. ship's hold
E. train

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
If you believe something but then you begin getting and understanding new information you may come to a what?,getting,train-00000-of-00001,B,"Question:
If you believe something but then you begin getting and understanding new information you may come to a what?

Which of the following is the best response to the question?

Choices:
A. disappointment
B. new realization
C. heat wave
D. joy
E. wanting more

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"The student had difficulties reading, he would furrow his brow while doing what on a line of the book?",reading,train-00000-of-00001,A,"Question:
The student had difficulties reading, he would furrow his brow while doing what on a line of the book?

Which of the following is the best response to the question?

Choices:
A. concentrating
B. concentration
C. acquiring knowledge
D. sleeping
E. written material

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"If a pregnant woman is diagnosed with exhaustion, what is a likely treatment?",exhaustion,train-00000-of-00001,E,"Question:
If a pregnant woman is diagnosed with exhaustion, what is a likely treatment?

Which of the following is the best response to the question?

Choices:
A. run out of steam
B. give birth
C. have rest
D. sit down
E. stay in bed

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"John lives in Texas. If he takes the highway South and doesn't stop, where will he end up next?",highway,train-00000-of-00001,E,"Question:
John lives in Texas. If he takes the highway South and doesn't stop, where will he end up next?

Which of the following is the best response to the question?

Choices:
A. oklahoma
B. developed land
C. united states
D. desert
E. mexico

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"Nowadays people have smart ones, but at one time it was cutting edge to have a tiny calculator on your what?",calculator,train-00000-of-00001,B,"Question:
Nowadays people have smart ones, but at one time it was cutting edge to have a tiny calculator on your what?

Which of the following is the best response to the question?

Choices:
A. mobile phone
B. wristwatch
C. briefcase
D. office
E. desktop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"A shark is stuck in a lake, where does it need to go provided it isn't a bull shark?",shark,train-00000-of-00001,B,"Question:
A shark is stuck in a lake, where does it need to go provided it isn't a bull shark?

Which of the following is the best response to the question?

Choices:
A. medium
B. saltwater
C. sea world
D. atlantic ocean
E. seawater

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"The tourists spent all day seeing the landmarks, they started at a subway station on upper west side of where?",subway station,train-00000-of-00001,B,"Question:
The tourists spent all day seeing the landmarks, they started at a subway station on upper west side of where?

Which of the following is the best response to the question?

Choices:
A. toronto
B. manhattan
C. san jose
D. large city
E. city underground

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Devil's food is something you can win at what fundraising game popular at churches?,devil,train-00000-of-00001,D,"Question:
Devil's food is something you can win at what fundraising game popular at churches?

Which of the following is the best response to the question?

Choices:
A. satanism
B. angel
C. yoke devil
D. cakewalk
E. god

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"The man spent big money and time maintaining his lawn, it was part of keeping up with the Joneses where?",lawn,train-00000-of-00001,B,"Question:
The man spent big money and time maintaining his lawn, it was part of keeping up with the Joneses where?

Which of the following is the best response to the question?

Choices:
A. front yard
B. suburbia
C. neighborhood
D. back yard
E. golf course

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Diving into backyard pools can be very dangerous and can lead to serious head and what?,diving,validation-00000-of-00001,E,"Question:
Diving into backyard pools can be very dangerous and can lead to serious head and what?

Which of the following is the best response to the question?

Choices:
A. going somewhere
B. splats
C. cancer
D. getting wet
E. spinal injuries

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"It is a lovely day, let's go outside and skate instead of doing what?",skate,train-00000-of-00001,D,"Question:
It is a lovely day, let's go outside and skate instead of doing what?

Which of the following is the best response to the question?

Choices:
A. really
B. put on helmet
C. sing
D. not work so hard
E. falling down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
What could a real estate agent do if his or her customer wants to get a house?,real estate agent,train-00000-of-00001,C,"Question:
What could a real estate agent do if his or her customer wants to get a house?

Which of the following is the best response to the question?

Choices:
A. misrepresent
B. cover up
C. offer price
D. deceive
E. leave town

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
The glass bottle ha a symbol on the bottom.  This symbol told customers what about the bottle?,glass,train-00000-of-00001,E,"Question:
The glass bottle ha a symbol on the bottom.  This symbol told customers what about the bottle?

Which of the following is the best response to the question?

Choices:
A. combustible
B. dirty
C. clear
D. very fragile
E. recyclable

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
If someone has a strong feeling of greed and wants to make some quick money what might they try to do?,greed,train-00000-of-00001,A,"Question:
If someone has a strong feeling of greed and wants to make some quick money what might they try to do?

Which of the following is the best response to the question?

Choices:
A. play poker
B. dominate world
C. advance into battle
D. conquer opponent
E. make friends

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"If you wanted to see a gazelle in the wild, which land mass feature would you be looking for?",gazelle,train-00000-of-00001,B,"Question:
If you wanted to see a gazelle in the wild, which land mass feature would you be looking for?

Which of the following is the best response to the question?

Choices:
A. encyclopedia
B. open plain
C. asia
D. ivory coast
E. breakfast

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"The vet found malignant tumors on the animals, what is their likely fate?",animals,validation-00000-of-00001,C,"Question:
The vet found malignant tumors on the animals, what is their likely fate?

Which of the following is the best response to the question?

Choices:
A. euthanasia
B. pass water
C. die of cancer
D. feel pain
E. feel pleasure

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"The person knew the police were after him, so what did he do?",person,train-00000-of-00001,C,"Question:
The person knew the police were after him, so what did he do?

Which of the following is the best response to the question?

Choices:
A. the sun
B. catch cold
C. prepare to go
D. feel humiliated
E. hunt for food

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"The tourists swam in a swimming pool, isolated from the rest of the country, where were they?",swimming pool,train-00000-of-00001,C,"Question:
The tourists swam in a swimming pool, isolated from the rest of the country, where were they?

Which of the following is the best response to the question?

Choices:
A. in a jungle.
B. ymca
C. resort hotel
D. california
E. motel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"The weasel was becoming a problem, it kept getting into the chicken eggs kept in the what?",weasel,validation-00000-of-00001,B,"Question:
The weasel was becoming a problem, it kept getting into the chicken eggs kept in the what?

Which of the following is the best response to the question?

Choices:
A. forrest
B. barn
C. public office
D. out of doors
E. freezer

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"The man had been entertaining his whole life, being in his nineties now doing a show can lead to what?",entertaining,train-00000-of-00001,D,"Question:
The man had been entertaining his whole life, being in his nineties now doing a show can lead to what?

Which of the following is the best response to the question?

Choices:
A. suicide
B. fulfillment
C. embarrassment
D. fatigue
E. laughter

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"Sam wanted a permanent way to stop the Crimson King from destroying the universe, but the only solution he could find was what?",permanent,train-00000-of-00001,E,"Question:
Sam wanted a permanent way to stop the Crimson King from destroying the universe, but the only solution he could find was what?

Which of the following is the best response to the question?

Choices:
A. changeable
B. sometimes there
C. transparent
D. transient
E. temporary

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
A person that is really skilled with harmonica might find a gig with what sort of group?,harmonica,train-00000-of-00001,B,"Question:
A person that is really skilled with harmonica might find a gig with what sort of group?

Which of the following is the best response to the question?

Choices:
A. mouth
B. blues band
C. rock band
D. gymnastic squad
E. music shop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"It was a rowdy group, he even smashed his guitar at the end of the what?",guitar,train-00000-of-00001,C,"Question:
It was a rowdy group, he even smashed his guitar at the end of the what?

Which of the following is the best response to the question?

Choices:
A. nil
B. rock band
C. concert
D. toy store
E. music room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"The man had been drinking alcohol, when he caused a disturbance he was arrested for public what?",drinking alcohol,train-00000-of-00001,D,"Question:
The man had been drinking alcohol, when he caused a disturbance he was arrested for public what?

Which of the following is the best response to the question?

Choices:
A. vomiting
B. toxicity
C. nausea
D. intoxication
E. frequent urination

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
James was a collector of literature.  Where might he have gone to get some?,literature,train-00000-of-00001,A,"Question:
James was a collector of literature.  Where might he have gone to get some?

Which of the following is the best response to the question?

Choices:
A. public library
B. own home
C. shelf
D. yard sales
E. books and magazines

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
Where is the closest place outside of one's own home that a grill can be found?,grill,train-00000-of-00001,E,"Question:
Where is the closest place outside of one's own home that a grill can be found?

Which of the following is the best response to the question?

Choices:
A. backyard
B. restaurant
C. these twos places are  cannot be found ..
D. barbeque
E. neighbor's house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"I want to make new friends when I socialize at the party, what should I do?",socialize,train-00000-of-00001,C,"Question:
I want to make new friends when I socialize at the party, what should I do?

Which of the following is the best response to the question?

Choices:
A. find friends
B. sing
C. mix
D. with people
E. see people

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"Tired of his sickness, what did the man seek as he visited various doctors?",sickness,train-00000-of-00001,E,"Question:
Tired of his sickness, what did the man seek as he visited various doctors?

Which of the following is the best response to the question?

Choices:
A. being well
B. wounds
C. cause person to hoarse
D. healthy
E. healthiness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"James lost hs return ticket during his vacation.  He was very frustrated and couldn't get a replacement.  Because of this, he missed what?",return ticket,train-00000-of-00001,B,"Question:
James lost hs return ticket during his vacation.  He was very frustrated and couldn't get a replacement.  Because of this, he missed what?

Which of the following is the best response to the question?

Choices:
A. tickets
B. plane
C. suitcase
D. pocket
E. airport

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"Joe was very good at thinking.  As he grew, he learned out to apply his thoughts to most situations.  This led to him doing what?",thinking,train-00000-of-00001,E,"Question:
Joe was very good at thinking.  As he grew, he learned out to apply his thoughts to most situations.  This led to him doing what?

Which of the following is the best response to the question?

Choices:
A. solution to problem
B. sadness
C. depression
D. wonder
E. solving problem

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
"The cat kept pestering it's owner, it was that time of the day and it was what?",cat,validation-00000-of-00001,C,"Question:
The cat kept pestering it's owner, it was that time of the day and it was what?

Which of the following is the best response to the question?

Choices:
A. litter tray
B. whiskers
C. hungry
D. feline
E. thirsty

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"Nature can be good and bad for the person who walks, what are some things?",hike,validation-00000-of-00001,B,"Question:
Nature can be good and bad for the person who walks, what are some things?

Which of the following is the best response to the question?

Choices:
A. seeing bear
B. see beautiful views
C. get wet
D. getting lost
E. murdered by a landshark

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"After spending a hot summer day running after ball while playing baseball, what might happen to a person's body?",running after ball,train-00000-of-00001,C,"Question:
After spending a hot summer day running after ball while playing baseball, what might happen to a person's body?

Which of the following is the best response to the question?

Choices:
A. physical exertion
B. tiredness
C. sweating
D. injury
E. breathing heavily

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Sally worked at a dentist office. She had to work late.  What might have caused her to work late?,dentist office,train-00000-of-00001,C,"Question:
Sally worked at a dentist office. She had to work late.  What might have caused her to work late?

Which of the following is the best response to the question?

Choices:
A. office building
B. town
C. patient
D. michigan
E. office desk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Lisa was driving down the highway when she saw a billboard telling her that she was near the border.  Where might she be?,billboard,train-00000-of-00001,C,"Question:
Lisa was driving down the highway when she saw a billboard telling her that she was near the border.  Where might she be?

Which of the following is the best response to the question?

Choices:
A. street
B. in the usa
C. texas
D. every city
E. countryside

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"If a person is feeling sick, but has a project to finish, what should they do?",person,train-00000-of-00001,D,"Question:
If a person is feeling sick, but has a project to finish, what should they do?

Which of the following is the best response to the question?

Choices:
A. thank god
B. feel ashamed
C. live happily
D. work at home
E. stay in bed

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Bob needs a level to hang a shelf but cant find one in his home. Where would he go to get one?,level,train-00000-of-00001,D,"Question:
Bob needs a level to hang a shelf but cant find one in his home. Where would he go to get one?

Which of the following is the best response to the question?

Choices:
A. glass of water
B. build evenly
C. garage
D. carpenter's shop
E. video game

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"Humans are said to have this thing, but dogs are thought not to have it, What is it?",dogs,train-00000-of-00001,A,"Question:
Humans are said to have this thing, but dogs are thought not to have it, What is it?

Which of the following is the best response to the question?

Choices:
A. no consciousness
B. bones
C. tongue hanging out
D. pointed ears
E. bad breath

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Cameron was sleeping under the covers.  He was hunkered down because it was about to do what?,sleeping,train-00000-of-00001,B,"Question:
Cameron was sleeping under the covers.  He was hunkered down because it was about to do what?

Which of the following is the best response to the question?

Choices:
A. talking
B. get cold
C. snoring
D. might dream
E. wet bed

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"The instructor explained all the parts like the stock, then the cadets had to disassemble and reassemble their what?",stock,train-00000-of-00001,E,"Question:
The instructor explained all the parts like the stock, then the cadets had to disassemble and reassemble their what?

Which of the following is the best response to the question?

Choices:
A. texas
B. fishing rod
C. return dividend
D. artillery
E. machine gun

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
James knew that he shouldn't have been buying beer for minors.  He didn't even get paid for it.  Why was this bad?,buying beer,validation-00000-of-00001,D,"Question:
James knew that he shouldn't have been buying beer for minors.  He didn't even get paid for it.  Why was this bad?

Which of the following is the best response to the question?

Choices:
A. lose money
B. fun
C. have no money
D. broken law
E. relaxation

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"The man asked to have a tissue holder installed at the dealership, where did they put it?",tissue holder,train-00000-of-00001,E,"Question:
The man asked to have a tissue holder installed at the dealership, where did they put it?

Which of the following is the best response to the question?

Choices:
A. convenient spot
B. bathroom or bedroom
C. office
D. airplane
E. car

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"The man woke up with a hangover and broken nose, it seemed he decided to get drunk and what?",get drunk,train-00000-of-00001,D,"Question:
The man woke up with a hangover and broken nose, it seemed he decided to get drunk and what?

Which of the following is the best response to the question?

Choices:
A. vomit
B. stagger
C. get arrested
D. fall down
E. sleep over

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What type of area would you be entering if dressed in a suit when putting your car in a parking lot?,parking lot,train-00000-of-00001,D,"Question:
What type of area would you be entering if dressed in a suit when putting your car in a parking lot?

Which of the following is the best response to the question?

Choices:
A. urban area
B. amusement park
C. house
D. business district
E. shopping center

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
James went across the street for food because his was contaminated. Where might he have gone?,food,train-00000-of-00001,A,"Question:
James went across the street for food because his was contaminated. Where might he have gone?

Which of the following is the best response to the question?

Choices:
A. neighbor's house
B. garage
C. table
D. military base
E. fairgrounds

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"The piece of paper was worth a lot of money, it was an old Apple Inc what?",paper,validation-00000-of-00001,C,"Question:
The piece of paper was worth a lot of money, it was an old Apple Inc what?

Which of the following is the best response to the question?

Choices:
A. notebook
B. copy machine
C. stock certificate
D. ream
E. thumb drive

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"If I was very excited about meeting people who were very close family, what emotion would I be feeling?",meeting people,train-00000-of-00001,A,"Question:
If I was very excited about meeting people who were very close family, what emotion would I be feeling?

Which of the following is the best response to the question?

Choices:
A. love
B. anxiety
C. being bored
D. making new friends
E. ugly

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"Many humans enjoy fishing and enjoy another relaxing activity at the same time, what activity is it?",fishing,validation-00000-of-00001,D,"Question:
Many humans enjoy fishing and enjoy another relaxing activity at the same time, what activity is it?

Which of the following is the best response to the question?

Choices:
A. getting tied up lure.
B. looking for information
C. get wet
D. drink beer
E. sit quietly

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"Opening business was a passionate dream of his, but he'd be lying if he didn't want to what too?",opening business,train-00000-of-00001,B,"Question:
Opening business was a passionate dream of his, but he'd be lying if he didn't want to what too?

Which of the following is the best response to the question?

Choices:
A. busy
B. get rich
C. bankruptcy
D. wealth
E. live the dream

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"The runner preferred exercise in the forest to the city, so where did he drive to every morning?",forest,train-00000-of-00001,D,"Question:
The runner preferred exercise in the forest to the city, so where did he drive to every morning?

Which of the following is the best response to the question?

Choices:
A. south america
B. manhattan
C. temperate zone
D. countryside
E. earth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"The couple was enjoying regularly copulating, but if you ever met them you'd think they hardly knew each other based on their what?",copulating,train-00000-of-00001,E,"Question:
The couple was enjoying regularly copulating, but if you ever met them you'd think they hardly knew each other based on their what?

Which of the following is the best response to the question?

Choices:
A. babies
B. faces
C. odors
D. infidelity
E. rapport

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"There was a surplus of condos due to the overuse of space in the area, where were the condos located?",condo,train-00000-of-00001,E,"Question:
There was a surplus of condos due to the overuse of space in the area, where were the condos located?

Which of the following is the best response to the question?

Choices:
A. central park
B. milwaukee
C. city
D. vacation spot
E. suburbia

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"The car needed to be parked while the crew refinished his driveway, where did he park it?",car,train-00000-of-00001,E,"Question:
The car needed to be parked while the crew refinished his driveway, where did he park it?

Which of the following is the best response to the question?

Choices:
A. parking lot
B. street corner
C. in phoenix
D. garden
E. neighbor's house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"Wanting to understand a subject more, he began reading, what happened as a result?",reading,train-00000-of-00001,D,"Question:
Wanting to understand a subject more, he began reading, what happened as a result?

Which of the following is the best response to the question?

Choices:
A. advance knowledge to understanding
B. free mind
C. subject knowledge
D. further knowledge
E. further education

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"He was excitedly making bread with his sourdough starter, he watched intently as it began to rise inside the where?",making bread,train-00000-of-00001,D,"Question:
He was excitedly making bread with his sourdough starter, he watched intently as it began to rise inside the where?

Which of the following is the best response to the question?

Choices:
A. bread pan
B. yeast
C. to the top
D. oven
E. flour

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"In the video game he used the rocket launcher at long range, but up close he would switch to the rapid fire what?",rocket launcher,train-00000-of-00001,C,"Question:
In the video game he used the rocket launcher at long range, but up close he would switch to the rapid fire what?

Which of the following is the best response to the question?

Choices:
A. pistol
B. assault rifle
C. submachine gun
D. grenade launcher
E. shotgun

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"His first big break wasn't with his band, but he played his musical instrument for the soundtrack of a what?",musical instrument,train-00000-of-00001,D,"Question:
His first big break wasn't with his band, but he played his musical instrument for the soundtrack of a what?

Which of the following is the best response to the question?

Choices:
A. magazine
B. case
C. concert hall
D. movie
E. orchestra

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"After getting dressed very formally and getting the stereotypical viewing glasses, they went to the ticket office where?",ticket office,train-00000-of-00001,C,"Question:
After getting dressed very formally and getting the stereotypical viewing glasses, they went to the ticket office where?

Which of the following is the best response to the question?

Choices:
A. movie theaters
B. eye doctor
C. opera house
D. auditorium
E. end of line

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"If a person wants to make sure their lemonade is the most refreshing, where might they store it?",lemonade,train-00000-of-00001,B,"Question:
If a person wants to make sure their lemonade is the most refreshing, where might they store it?

Which of the following is the best response to the question?

Choices:
A. carnival
B. refrigerator
C. fairgrounds
D. summer
E. freezer

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"The young boy was scared to dance, he found a corner of the auditorium and spent the whole evening doing what?",dance,train-00000-of-00001,E,"Question:
The young boy was scared to dance, he found a corner of the auditorium and spent the whole evening doing what?

Which of the following is the best response to the question?

Choices:
A. am happy
B. celebrate
C. moving
D. partner
E. sitting still

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
The weasel hit the jackpot when he discover the maze of burrows that made up what?,weasel,train-00000-of-00001,E,"Question:
The weasel hit the jackpot when he discover the maze of burrows that made up what?

Which of the following is the best response to the question?

Choices:
A. mole den
B. used car lot
C. viking ship
D. chicken coop
E. rabbit warren

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"If people are 19 years of age, what has happened already to most of them?",people,train-00000-of-00001,C,"Question:
If people are 19 years of age, what has happened already to most of them?

Which of the following is the best response to the question?

Choices:
A. die suddenly
B. go to jail
C. complete high school
D. believe in god
E. cross river

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
James and Lilly have strong feelings for each other.  To express those feelings they kiss. What else might they do?,kiss,train-00000-of-00001,D,"Question:
James and Lilly have strong feelings for each other.  To express those feelings they kiss. What else might they do?

Which of the following is the best response to the question?

Choices:
A. shake hands
B. fall in love
C. smile
D. embrace
E. falling in love

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"Sure you could get a drink absolutely anywhere, but he found he lost less money if he was just at the bar where?",bar,train-00000-of-00001,D,"Question:
Sure you could get a drink absolutely anywhere, but he found he lost less money if he was just at the bar where?

Which of the following is the best response to the question?

Choices:
A. nightclub
B. restaurant
C. miami
D. las vegas
E. new york city

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"She always made sure her infant was sleeping the right way, the articles she read had made her paranoid about what happening?",sleeping,train-00000-of-00001,B,"Question:
She always made sure her infant was sleeping the right way, the articles she read had made her paranoid about what happening?

Which of the following is the best response to the question?

Choices:
A. nightmares
B. death
C. dreams
D. erections
E. vaccines

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"The aging rockstar had to finally stop playing guitar, his hands just wouldn't cooperate because of the what?",playing guitar,train-00000-of-00001,B,"Question:
The aging rockstar had to finally stop playing guitar, his hands just wouldn't cooperate because of the what?

Which of the following is the best response to the question?

Choices:
A. singing
B. arthritis
C. listening to music
D. making music
E. playing music

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Bob raised the curtain and people descended upon him like a hoard.  He regretted his job on this of all days. Where does Bob work?,curtain,train-00000-of-00001,E,"Question:
Bob raised the curtain and people descended upon him like a hoard.  He regretted his job on this of all days. Where does Bob work?

Which of the following is the best response to the question?

Choices:
A. theater
B. show
C. house
D. a stage hand
E. department store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
After procreating what can't some people handle that makes them turn to the government?,procreating,train-00000-of-00001,C,"Question:
After procreating what can't some people handle that makes them turn to the government?

Which of the following is the best response to the question?

Choices:
A. triplets
B. having children
C. added responsibilities
D. quintuplets
E. large family

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"Charlie had a desire to learn, but didn't live near a school, so what did he do?",desire to learn,train-00000-of-00001,E,"Question:
Charlie had a desire to learn, but didn't live near a school, so what did he do?

Which of the following is the best response to the question?

Choices:
A. attend school
B. understand better
C. memorize
D. work in cafe
E. read book

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"Though morbid and cold with all the dead bodies, there was something very human about what place?",human,train-00000-of-00001,D,"Question:
Though morbid and cold with all the dead bodies, there was something very human about what place?

Which of the following is the best response to the question?

Choices:
A. conclave
B. playground
C. stadium
D. mortuary
E. school

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"The dairy cow farm was special, it provided all the milk for the big chocolate company from where?",cow,train-00000-of-00001,D,"Question:
The dairy cow farm was special, it provided all the milk for the big chocolate company from where?

Which of the following is the best response to the question?

Choices:
A. ranch
B. tennessee
C. barnyard
D. switzerland
E. antarctica

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
James is a customer at a restaurant.  The restaurant is very busy and James is frustrated.  What might he be doing?,customer,train-00000-of-00001,B,"Question:
James is a customer at a restaurant.  The restaurant is very busy and James is frustrated.  What might he be doing?

Which of the following is the best response to the question?

Choices:
A. raise hand
B. wait in line
C. take number
D. pay bills
E. order dinner

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"If you were Greek and saw a shark here, where are you?",shark,train-00000-of-00001,B,"Question:
If you were Greek and saw a shark here, where are you?

Which of the following is the best response to the question?

Choices:
A. pool hall
B. mediterranean sea
C. seafood restaurant
D. gulf of mexico
E. south pacific

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"The bee had to be shipped down south to avoid the cold winter, where was it originally from?",bee,train-00000-of-00001,A,"Question:
The bee had to be shipped down south to avoid the cold winter, where was it originally from?

Which of the following is the best response to the question?

Choices:
A. michigan
B. united states
C. sky
D. china
E. apiary

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
John is in a dressing room changing into shorts and sweat pants.  What sort of building is he most likely to be in?,dressing room,train-00000-of-00001,A,"Question:
John is in a dressing room changing into shorts and sweat pants.  What sort of building is he most likely to be in?

Which of the following is the best response to the question?

Choices:
A. gym
B. swimming pool
C. theatre
D. department store
E. boutique

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
He didn't like washing clothes because he thought the machine would do what to his good jeans?,washing clothes,train-00000-of-00001,C,"Question:
He didn't like washing clothes because he thought the machine would do what to his good jeans?

Which of the following is the best response to the question?

Choices:
A. ruin
B. shrinkage
C. wear out
D. wet clothes
E. torn

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"I saw the receptionist carelessly toss my resume into the drawer, where did I want it to end up?",drawer,validation-00000-of-00001,D,"Question:
I saw the receptionist carelessly toss my resume into the drawer, where did I want it to end up?

Which of the following is the best response to the question?

Choices:
A. file cabinet
B. nightstand
C. kitchen cabinet
D. office desk
E. the floor

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
James wanted to eat hamburger.  He wanted to do so in order to do what?,eat hamburger,train-00000-of-00001,B,"Question:
James wanted to eat hamburger.  He wanted to do so in order to do what?

Which of the following is the best response to the question?

Choices:
A. good to eat
B. satisfy hunger
C. cook one
D. taste
E. protein

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
After checking in at the ticket office the couple entered their prom in the school's what?,ticket office,train-00000-of-00001,D,"Question:
After checking in at the ticket office the couple entered their prom in the school's what?

Which of the following is the best response to the question?

Choices:
A. movie theaters
B. end of line
C. football field
D. auditorium
E. opera house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
Billy was searching for leaves to add to his collection.  Where might he have looked for them?,leaf,train-00000-of-00001,E,"Question:
Billy was searching for leaves to add to his collection.  Where might he have looked for them?

Which of the following is the best response to the question?

Choices:
A. compost pile
B. floral arrangement
C. trees
D. bathroom
E. forrest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
