question,question_concept,_split,answer,final_prompt,len_tk_glm4_9b_chat
What always happens to someone after he or she finishes getting divorce?,getting divorce,train-00000-of-00001,A,"Question:
What always happens to someone after he or she finishes getting divorce?

Which of the following is the best response to the question?

Choices:
A. no spouse
B. lot of grief
C. freedom
D. children suffer
E. party time

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"After hours of eating, what did he satisfyingly have?",eating,train-00000-of-00001,D,"Question:
After hours of eating, what did he satisfyingly have?

Which of the following is the best response to the question?

Choices:
A. stomach aches
B. full belly
C. getting full
D. full stomach
E. satisfaction

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where are thousands of acres of farmland and Mt. Rushmore?,farmland,train-00000-of-00001,D,"Question:
Where are thousands of acres of farmland and Mt. Rushmore?

Which of the following is the best response to the question?

Choices:
A. house
B. farming areas
C. countryside
D. north dakota
E. michigan

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
Sean stared at his door all night.  He was scared that he might see it doing what?,door,train-00000-of-00001,C,"Question:
Sean stared at his door all night.  He was scared that he might see it doing what?

Which of the following is the best response to the question?

Choices:
A. wall
B. window
C. opening
D. closet
E. exit

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"The climber was suffering elevation sickness, his wits were suffering what?",elevation,train-00000-of-00001,A,"Question:
The climber was suffering elevation sickness, his wits were suffering what?

Which of the following is the best response to the question?

Choices:
A. diminishment
B. reduction
C. depression
D. demotion
E. disgust

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"Every one of the kids felt average, but the teacher explained that each one was what?",average,train-00000-of-00001,D,"Question:
Every one of the kids felt average, but the teacher explained that each one was what?

Which of the following is the best response to the question?

Choices:
A. uncommon
B. an adult
C. bad
D. special
E. hyperbolic

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
John was writing into the wee hours.  Because of this he left a mess where?,mess,train-00000-of-00001,D,"Question:
John was writing into the wee hours.  Because of this he left a mess where?

Which of the following is the best response to the question?

Choices:
A. apartment
B. table
C. closet
D. desk
E. night stand

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"James tried to arise from the lunch table, where he had done what?",arise,train-00000-of-00001,D,"Question:
James tried to arise from the lunch table, where he had done what?

Which of the following is the best response to the question?

Choices:
A. fall down
B. sitting down
C. go ahead
D. sit down
E. lie down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
The ECB was focused on fighting inflation without concern for other issues.  This obviously caused what?,fighting inflation,train-00000-of-00001,E,"Question:
The ECB was focused on fighting inflation without concern for other issues.  This obviously caused what?

Which of the following is the best response to the question?

Choices:
A. celebration
B. deflation
C. recession
D. spend more
E. problems

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"Some people have many pairs of jeans, they store them in their what?",jeans,train-00000-of-00001,D,"Question:
Some people have many pairs of jeans, they store them in their what?

Which of the following is the best response to the question?

Choices:
A. gap
B. mailbox
C. shopping mall
D. closet
E. thrift store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What could happen after driving car that does not involve pain?,driving car,train-00000-of-00001,D,"Question:
What could happen after driving car that does not involve pain?

Which of the following is the best response to the question?

Choices:
A. automobile accidents
B. backache
C. eye strain
D. getting tired
E. car crash

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Celebrating with too many drinks will lead to what kind of pain the next morning?,celebrating,train-00000-of-00001,E,"Question:
Celebrating with too many drinks will lead to what kind of pain the next morning?

Which of the following is the best response to the question?

Choices:
A. nausea
B. intimacy
C. drinking
D. riots
E. headaches

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What does going to party with the opposite sex lead to?,going to party,train-00000-of-00001,E,"Question:
What does going to party with the opposite sex lead to?

Which of the following is the best response to the question?

Choices:
A. get drunk
B. meet new people
C. drinking beer
D. enjoy yourself
E. having sex

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"If I find liquid water, what planet am I likely on?",water,train-00000-of-00001,C,"Question:
If I find liquid water, what planet am I likely on?

Which of the following is the best response to the question?

Choices:
A. septic tank
B. moon
C. planet earth
D. drenching
E. puddle

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"He hated having meeting while having food, he didn't want to hear somebody eat and what?",having food,train-00000-of-00001,C,"Question:
He hated having meeting while having food, he didn't want to hear somebody eat and what?

Which of the following is the best response to the question?

Choices:
A. drinking
B. sit
C. talk
D. dancing
E. being sociable

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
After giving assistance to a person who's lost their wallet what is customarily given?,giving assistance,train-00000-of-00001,A,"Question:
After giving assistance to a person who's lost their wallet what is customarily given?

Which of the following is the best response to the question?

Choices:
A. reward
B. guillotine
C. satisfaction
D. helpfulness
E. pleasure

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"People enjoy many things, using television is the most common way people are what?",using television,train-00000-of-00001,E,"Question:
People enjoy many things, using television is the most common way people are what?

Which of the following is the best response to the question?

Choices:
A. eye strain
B. visual
C. laziness
D. distracted
E. entertained

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
Where do you go to meet a friend who lives close to you?,friend,train-00000-of-00001,D,"Question:
Where do you go to meet a friend who lives close to you?

Which of the following is the best response to the question?

Choices:
A. workplace
B. bus station
C. social atmosphere
D. neighbor's house
E. at school

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
John is an omnidiciplinarian. Where might he find success?,success,train-00000-of-00001,C,"Question:
John is an omnidiciplinarian. Where might he find success?

Which of the following is the best response to the question?

Choices:
A. ocean
B. working hard
C. various situations
D. michigan
E. awards ceremony

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"The balloon was purchased along with other weekly household essentials, where was it purchased?",balloon,train-00000-of-00001,D,"Question:
The balloon was purchased along with other weekly household essentials, where was it purchased?

Which of the following is the best response to the question?

Choices:
A. birthday party
B. child's hand
C. clown
D. grocery store
E. sky

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"James needed more sleep at night, so he did what earlier?",sleep at night,train-00000-of-00001,C,"Question:
James needed more sleep at night, so he did what earlier?

Which of the following is the best response to the question?

Choices:
A. get into bed
B. closed his eyes
C. go to sleep
D. relax
E. rest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Where would you get a ball if you do not have one?,ball,train-00000-of-00001,D,"Question:
Where would you get a ball if you do not have one?

Which of the following is the best response to the question?

Choices:
A. bowling alley
B. soccer field
C. sporting event
D. sporting goods store
E. cuddle

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
If you're a child answering questions and an adult is asking them that adult is doing what?,answering questions,validation-00000-of-00001,C,"Question:
If you're a child answering questions and an adult is asking them that adult is doing what?

Which of the following is the best response to the question?

Choices:
A. discussion
B. explaning
C. teaching
D. confusion
E. correct

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Where would you find a toy soldier that is being played with?,toy soldier,validation-00000-of-00001,C,"Question:
Where would you find a toy soldier that is being played with?

Which of the following is the best response to the question?

Choices:
A. toy box
B. movies
C. child's hand
D. toybos
E. child park

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
If something is going to die what is likely to happen first?,die,train-00000-of-00001,C,"Question:
If something is going to die what is likely to happen first?

Which of the following is the best response to the question?

Choices:
A. being sick
B. stop living
C. stop breathing
D. stop moving
E. go to heaven

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"Cats mark their territories, they do this by a spray they what?",cats,train-00000-of-00001,E,"Question:
Cats mark their territories, they do this by a spray they what?

Which of the following is the best response to the question?

Choices:
A. eat meat
B. have cancer
C. cross roads
D. meows
E. excrete

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"Where would people be looking at some things which can move, but are not moving?",people,train-00000-of-00001,C,"Question:
Where would people be looking at some things which can move, but are not moving?

Which of the following is the best response to the question?

Choices:
A. football stadium
B. surface of earth
C. car show
D. opera
E. movie

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
Where would you play a trumpet and have to walk the entire time?,trumpet,train-00000-of-00001,E,"Question:
Where would you play a trumpet and have to walk the entire time?

Which of the following is the best response to the question?

Choices:
A. music store
B. music shop
C. drill team
D. brass band
E. marching band

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
If you are in a bar in a glove shaped state where are you?,bar,validation-00000-of-00001,B,"Question:
If you are in a bar in a glove shaped state where are you?

Which of the following is the best response to the question?

Choices:
A. in my pocket
B. michigan
C. new york city
D. restaurant
E. public house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"She was contemplating which make-up to where, what prompted her to think about this?",contemplating,train-00000-of-00001,D,"Question:
She was contemplating which make-up to where, what prompted her to think about this?

Which of the following is the best response to the question?

Choices:
A. food
B. action
C. thinking
D. reflection
E. discovery

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Why would you go to a bathroom after drinking alcohol?,drinking alcohol,train-00000-of-00001,C,"Question:
Why would you go to a bathroom after drinking alcohol?

Which of the following is the best response to the question?

Choices:
A. disorientation
B. having sex
C. throwing up
D. check makeup
E. frequent urination

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"I picked from an apple tree outside of Fort Wayne, where am I?",apple tree,validation-00000-of-00001,C,"Question:
I picked from an apple tree outside of Fort Wayne, where am I?

Which of the following is the best response to the question?

Choices:
A. woods
B. illinois
C. indiana
D. washington state
E. tampa

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Sarah put her food in a trash can beside her desk.  Where might she have been?,trash can,train-00000-of-00001,C,"Question:
Sarah put her food in a trash can beside her desk.  Where might she have been?

Which of the following is the best response to the question?

Choices:
A. bus stop
B. corner
C. office
D. park
E. motel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
If I want to listen to the movie what do I need to do?,listen,train-00000-of-00001,D,"Question:
If I want to listen to the movie what do I need to do?

Which of the following is the best response to the question?

Choices:
A. able to hear
B. pay attention
C. close eyes
D. shut up
E. very quiet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"Grandma always had baked cookies, all you had to do was look in the what?",cookies,train-00000-of-00001,B,"Question:
Grandma always had baked cookies, all you had to do was look in the what?

Which of the following is the best response to the question?

Choices:
A. mouth
B. jar
C. fridge
D. house
E. plate

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What is it called when you slowly cook using a grill?,grill,train-00000-of-00001,E,"Question:
What is it called when you slowly cook using a grill?

Which of the following is the best response to the question?

Choices:
A. backyard
B. restaurant
C. crockpot
D. neighbor's house
E. barbeque

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
The graveyard is usually found on the outskirts of what group of homes and businesses?,graveyard,train-00000-of-00001,A,"Question:
The graveyard is usually found on the outskirts of what group of homes and businesses?

Which of the following is the best response to the question?

Choices:
A. city
B. arlington
C. church property
D. every town
E. city

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"The student was contemplating the problem, that's when he made the what that led him to the answer?",contemplating,train-00000-of-00001,B,"Question:
The student was contemplating the problem, that's when he made the what that led him to the answer?

Which of the following is the best response to the question?

Choices:
A. action
B. discovery
C. reflection
D. deciding
E. thinking

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"The merchant wanted a place to sell his wares, what did he build?",merchant,train-00000-of-00001,C,"Question:
The merchant wanted a place to sell his wares, what did he build?

Which of the following is the best response to the question?

Choices:
A. business
B. mall
C. store
D. sell goods
E. house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"If someone is aloof and self-important, what is their experience when meeting people?",meeting people,train-00000-of-00001,D,"Question:
If someone is aloof and self-important, what is their experience when meeting people?

Which of the following is the best response to the question?

Choices:
A. stress
B. nervousness
C. smile
D. being bored
E. making new friends

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"As the company was concerned about profit, what were they looking to cut?",profit,train-00000-of-00001,B,"Question:
As the company was concerned about profit, what were they looking to cut?

Which of the following is the best response to the question?

Choices:
A. losses
B. expense
C. losing money
D. lose money
E. eat cake

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
Why is a husband looking at apartments after communicating with his wife when they are tired?,communicating,train-00000-of-00001,B,"Question:
Why is a husband looking at apartments after communicating with his wife when they are tired?

Which of the following is the best response to the question?

Choices:
A. confusion
B. misunderstandings
C. transfer of information
D. exchanging ideas
E. static

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
What does a computer have to do before a program can exist?,program,train-00000-of-00001,C,"Question:
What does a computer have to do before a program can exist?

Which of the following is the best response to the question?

Choices:
A. write code
B. executable file
C. compile
D. think logically
E. get frustrated

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
How much water would there be if there was not a little amount of water?,little,train-00000-of-00001,D,"Question:
How much water would there be if there was not a little amount of water?

Which of the following is the best response to the question?

Choices:
A. bog
B. big
C. rain
D. lot of
E. large

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
If a group of friends have gathered after reading a book they are likely about to have a what?,reading book,train-00000-of-00001,B,"Question:
If a group of friends have gathered after reading a book they are likely about to have a what?

Which of the following is the best response to the question?

Choices:
A. learn things
B. discussion
C. fit
D. learning
E. nightmares

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
Why would a band be performing when there are no people nearby?,band,validation-00000-of-00001,A,"Question:
Why would a band be performing when there are no people nearby?

Which of the following is the best response to the question?

Choices:
A. record album
B. play music
C. hold concert
D. blaring
E. practice

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
John couldn't reach the place he needed to dust.  What couldn't he reach?,dust,train-00000-of-00001,E,"Question:
John couldn't reach the place he needed to dust.  What couldn't he reach?

Which of the following is the best response to the question?

Choices:
A. coffee shop
B. fridge
C. table
D. library
E. shelf

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
There aren't many anemone in what glove-shaped state?,anemone,train-00000-of-00001,A,"Question:
There aren't many anemone in what glove-shaped state?

Which of the following is the best response to the question?

Choices:
A. michigan
B. lake
C. tide pool
D. nursery
E. atlantic ocean

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"A gentleman is very wealthy and flaunts it, where does he likely live?",gentleman,train-00000-of-00001,B,"Question:
A gentleman is very wealthy and flaunts it, where does he likely live?

Which of the following is the best response to the question?

Choices:
A. europe
B. big house
C. tuxedo
D. palace
E. men's room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
What do people in love do on their birthdays?,love,train-00000-of-00001,D,"Question:
What do people in love do on their birthdays?

Which of the following is the best response to the question?

Choices:
A. stay away from each other
B. please parents
C. meet friend
D. buy presents for others
E. make friends

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Where can you take your automobile to go as fast as you can?,automobile,train-00000-of-00001,D,"Question:
Where can you take your automobile to go as fast as you can?

Which of the following is the best response to the question?

Choices:
A. garage
B. parkling lot
C. freeway
D. racetrack
E. side of road

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"Unlike identical twins, with fraternal you can end up with both a daughter and what?",daughter,train-00000-of-00001,C,"Question:
Unlike identical twins, with fraternal you can end up with both a daughter and what?

Which of the following is the best response to the question?

Choices:
A. brother
B. daughtercard
C. son
D. boy
E. dude

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"She felt so alone on campus, she just wanted to be what?",alone,train-00000-of-00001,A,"Question:
She felt so alone on campus, she just wanted to be what?

Which of the following is the best response to the question?

Choices:
A. with someone
B. together
C. in crowd
D. many people
E. confined

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"After getting drunk people couldn't understand him, it was because of his what?",getting drunk,train-00000-of-00001,B,"Question:
After getting drunk people couldn't understand him, it was because of his what?

Which of the following is the best response to the question?

Choices:
A. lower standards
B. slurred speech
C. death
D. hangover
E. falling down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
If you have cleaned off dust here it may be difficult to do your homework where?,dust,train-00000-of-00001,A,"Question:
If you have cleaned off dust here it may be difficult to do your homework where?

Which of the following is the best response to the question?

Choices:
A. desktop
B. closet
C. most buildings
D. surface of earth
E. stove

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
There was a black ring where James had placed his full coffee cup.  Where might the ring be?,coffee cup,train-00000-of-00001,E,"Question:
There was a black ring where James had placed his full coffee cup.  Where might the ring be?

Which of the following is the best response to the question?

Choices:
A. cupboard
B. table
C. coffee
D. trash
E. desk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
How is someone likely to feel about someone hurting someone else they love?,hurting else,train-00000-of-00001,D,"Question:
How is someone likely to feel about someone hurting someone else they love?

Which of the following is the best response to the question?

Choices:
A. kick and kiss
B. punishment
C. jail time
D. will resent
E. bad karma

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Artificial intelligence is changing society.  Shifting needs and capabilities have led to what?,changing society,train-00000-of-00001,A,"Question:
Artificial intelligence is changing society.  Shifting needs and capabilities have led to what?

Which of the following is the best response to the question?

Choices:
A. change in leadership
B. revolution
C. no water
D. acceptance
E. depression

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
What can you do to keep yourself from feeling like a failure?,failure,train-00000-of-00001,A,"Question:
What can you do to keep yourself from feeling like a failure?

Which of the following is the best response to the question?

Choices:
A. lower expectations
B. hold back
C. reflection
D. amount to nothing
E. illusion

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Before racers start to run they must do what at the starting line?,run,validation-00000-of-00001,E,"Question:
Before racers start to run they must do what at the starting line?

Which of the following is the best response to the question?

Choices:
A. learn to walk
B. walking
C. walk slowly
D. breathe
E. stand still

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Animals are unselfconscious and just do what?,animals,train-00000-of-00001,B,"Question:
Animals are unselfconscious and just do what?

Which of the following is the best response to the question?

Choices:
A. listen to each other
B. live lives
C. bite
D. fight each other
E. smile

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What does a stove do to the place that it's in?,stove,validation-00000-of-00001,B,"Question:
What does a stove do to the place that it's in?

Which of the following is the best response to the question?

Choices:
A. cool house
B. warm room
C. gas or electric
D. burn child
E. brown meat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Where is a caught monkey likely to live at least to begin with?,monkey,train-00000-of-00001,E,"Question:
Where is a caught monkey likely to live at least to begin with?

Which of the following is the best response to the question?

Choices:
A. story book
B. house
C. rain forest
D. tropical areas
E. pet store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
Danny was having fun singing in front of his class.   He has a lot of what?,having fun,train-00000-of-00001,C,"Question:
Danny was having fun singing in front of his class.   He has a lot of what?

Which of the following is the best response to the question?

Choices:
A. laughter
B. being happy
C. glee
D. opera
E. injuries

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
If you harm property after starting a fire where are you likely to end up?,starting fire,train-00000-of-00001,B,"Question:
If you harm property after starting a fire where are you likely to end up?

Which of the following is the best response to the question?

Choices:
A. damage
B. going to jail
C. going to school
D. burns
E. destruction

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"Bill was awaking, what was happening to him physiologically?",awaking,train-00000-of-00001,E,"Question:
Bill was awaking, what was happening to him physiologically?

Which of the following is the best response to the question?

Choices:
A. tiredness
B. grogginess
C. discomfort
D. getting out of bed
E. eyes opening

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"It was t he biggest concert in town, there wasn't an empty seat in the what?",seat,train-00000-of-00001,E,"Question:
It was t he biggest concert in town, there wasn't an empty seat in the what?

Which of the following is the best response to the question?

Choices:
A. theatre
B. building
C. show
D. airplane
E. auditorium

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
After walking a dog for a long time what do you have?,walking dog,train-00000-of-00001,D,"Question:
After walking a dog for a long time what do you have?

Which of the following is the best response to the question?

Choices:
A. exercise and companionship
B. pride
C. poop
D. sore feet
E. tiredness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"This ice in my mouth is cold, what should i do with it?",cold,train-00000-of-00001,E,"Question:
This ice in my mouth is cold, what should i do with it?

Which of the following is the best response to the question?

Choices:
A. light fire
B. stay in bed
C. opposite of hot
D. scream
E. spit

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Why did only the close friends laugh about the fox?,fox,train-00000-of-00001,A,"Question:
Why did only the close friends laugh about the fox?

Which of the following is the best response to the question?

Choices:
A. inside joke
B. bad joke
C. hen house
D. grassy field
E. tennessee

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"When Catholic people experience stress, what do they do?",people,train-00000-of-00001,A,"Question:
When Catholic people experience stress, what do they do?

Which of the following is the best response to the question?

Choices:
A. cross themselves
B. teach each other
C. burn themselves
D. talk to each other
E. die

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What is likely to happen if you're doing housework all day?,doing housework,train-00000-of-00001,C,"Question:
What is likely to happen if you're doing housework all day?

Which of the following is the best response to the question?

Choices:
A. boredom
B. tiredness
C. get tired
D. backache
E. get a clean house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
On a hot day what can you do to enjoy something cool and sweet?,hot day,validation-00000-of-00001,E,"Question:
On a hot day what can you do to enjoy something cool and sweet?

Which of the following is the best response to the question?

Choices:
A. dive
B. cool off
C. fresh cake
D. go for swim
E. eat ice cream

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
James loved climbing.  What emotion might he feel from heights?,climbing,train-00000-of-00001,B,"Question:
James loved climbing.  What emotion might he feel from heights?

Which of the following is the best response to the question?

Choices:
A. exhaustion
B. exhilaration
C. falling down
D. nervousness
E. vertigo

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"The stray dog never warmed up to a human again, he never got over being what?",dog,train-00000-of-00001,C,"Question:
The stray dog never warmed up to a human again, he never got over being what?

Which of the following is the best response to the question?

Choices:
A. guard house
B. fleas
C. abandoned
D. walked
E. punishment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What could happen to you if you are cleaning house for only a short time?,cleaning house,train-00000-of-00001,C,"Question:
What could happen to you if you are cleaning house for only a short time?

Which of the following is the best response to the question?

Choices:
A. exhaustion
B. tiredness
C. sneezing
D. order
E. make money

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What happens at the first opening of a business if it's not succesful?,opening business,train-00000-of-00001,D,"Question:
What happens at the first opening of a business if it's not succesful?

Which of the following is the best response to the question?

Choices:
A. making money
B. grand opening
C. wealth
D. lose money
E. get rich

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What might someone do too much  of if they are experiencing stress?,stress,train-00000-of-00001,C,"Question:
What might someone do too much  of if they are experiencing stress?

Which of the following is the best response to the question?

Choices:
A. clean house
B. use drugs
C. drink alcohol
D. hang out at bar
E. dream

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"They were a culture of peace, but they still had competitions where the men were always what?",peace,train-00000-of-00001,B,"Question:
They were a culture of peace, but they still had competitions where the men were always what?

Which of the following is the best response to the question?

Choices:
A. turmoil
B. fighting
C. physical altercation
D. war
E. hostility

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
If you spend all your time buying and not saving what is is likely to happen?,buying,validation-00000-of-00001,E,"Question:
If you spend all your time buying and not saving what is is likely to happen?

Which of the following is the best response to the question?

Choices:
A. using money
B. feel better
C. ocean
D. losing money
E. go broke

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
Why do some people get passports and go to different locations?,people,validation-00000-of-00001,C,"Question:
Why do some people get passports and go to different locations?

Which of the following is the best response to the question?

Choices:
A. believe in god
B. smoke marijuana
C. desire to travel
D. use weapons
E. throw away

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"The entrance hall was grandiose and had royalty inside, where was the entrance hall?",entrance hall,train-00000-of-00001,C,"Question:
The entrance hall was grandiose and had royalty inside, where was the entrance hall?

Which of the following is the best response to the question?

Choices:
A. house
B. person
C. palace
D. school
E. outside

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"When doing housework, what would be most useful to clean the patio?",doing housework,train-00000-of-00001,E,"Question:
When doing housework, what would be most useful to clean the patio?

Which of the following is the best response to the question?

Choices:
A. mop
B. mobility
C. vacuuming
D. toothbrush
E. broom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"He had done wrong, he felt everybody judging him and began what?",judging,train-00000-of-00001,D,"Question:
He had done wrong, he felt everybody judging him and began what?

Which of the following is the best response to the question?

Choices:
A. being judged
B. hurt feelings
C. go to jail
D. feeling guilty
E. apologetic

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
He borrowed a metal detector to try to find his ring that he what while pulling weeds?,find,train-00000-of-00001,B,"Question:
He borrowed a metal detector to try to find his ring that he what while pulling weeds?

Which of the following is the best response to the question?

Choices:
A. found
B. lost
C. loose
D. lose
E. hide

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What do most birds have the ability to do?,most birds,train-00000-of-00001,C,"Question:
What do most birds have the ability to do?

Which of the following is the best response to the question?

Choices:
A. beak
B. ability to fly
C. ability to fly
D. wings
E. learn to fly

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"The roommates were young and irresponsible, it was always a mess at their what?",mess,train-00000-of-00001,A,"Question:
The roommates were young and irresponsible, it was always a mess at their what?

Which of the following is the best response to the question?

Choices:
A. apartment
B. table
C. office
D. desk
E. closet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
How can you let someone know about your anger without hurting him or her?,anger,validation-00000-of-00001,D,"Question:
How can you let someone know about your anger without hurting him or her?

Which of the following is the best response to the question?

Choices:
A. release energy
B. destroy enemy
C. punch
D. write letter
E. lose your temper

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"The children saw superman fly overhead, what did they exclaim as a result?",children,train-00000-of-00001,D,"Question:
The children saw superman fly overhead, what did they exclaim as a result?

Which of the following is the best response to the question?

Choices:
A. ouch
B. skip
C. enjoyed
D. awesome
E. watch television

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Where might a conductor flail his arms in the air while he faces people?,conductor,train-00000-of-00001,D,"Question:
Where might a conductor flail his arms in the air while he faces people?

Which of the following is the best response to the question?

Choices:
A. opera
B. lead orchestra
C. subway
D. orchestra
E. choir

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"The children play cards often, but they make their own rules because they can't what the originals?",play cards,train-00000-of-00001,E,"Question:
The children play cards often, but they make their own rules because they can't what the originals?

Which of the following is the best response to the question?

Choices:
A. bid
B. concentrate
C. winning
D. count
E. remember

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Where would you hear a trumpet along with other instruments made from the same material?,trumpet,validation-00000-of-00001,C,"Question:
Where would you hear a trumpet along with other instruments made from the same material?

Which of the following is the best response to the question?

Choices:
A. music store
B. bass
C. brass band
D. orchestra
E. marching band

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"His want for more was insatiable, a what wasn't enough?",want,train-00000-of-00001,D,"Question:
His want for more was insatiable, a what wasn't enough?

Which of the following is the best response to the question?

Choices:
A. presence
B. overabundance
C. stockpile
D. plentitude
E. morman

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
John was an aristocratic fox hunter.  Where might he live?,fox,validation-00000-of-00001,B,"Question:
John was an aristocratic fox hunter.  Where might he live?

Which of the following is the best response to the question?

Choices:
A. england
B. new hampshire
C. street
D. arkansas
E. north dakota

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
What does a person do if they want to appear authroitative?,person,train-00000-of-00001,A,"Question:
What does a person do if they want to appear authroitative?

Which of the following is the best response to the question?

Choices:
A. stand erect
B. washing dishes
C. catch cold
D. bow to people
E. wait patiently

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"The plates needed to be stored in their proper place, which was where?",plates,train-00000-of-00001,E,"Question:
The plates needed to be stored in their proper place, which was where?

Which of the following is the best response to the question?

Choices:
A. ironing board
B. restaurant
C. table
D. stomach
E. shelf

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
